fov_solid_angle,R_sk-BB84,QBER-BB84,Throughputs-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_sk-B92,QBER-B92,Throughputs-B92,Latency-B92,Loss-B92,R_s-B92,R_sk-COW,QBER-COW,Throughputs-COW,Latency-COW,Loss-COW,R_s-COW,Visibility-COW,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,Visibility-COW+Eve,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
1e-11,0.2739904207728308,0.0001,1104057.4114729483,0.009057499996,0.1601003824220022,0.2748,0.1367,0.0,711364.0409525813,0.014057499992,0.1601003824220022,0.1367,0.11631203907780174,0.0,415670.78880443453,0.024057499996,0.1601003824220022,0.1295,0.9827213822894169,0.0,0.2263,1104057.4114729483,0.009057499996,0.1601003824220022,0.277,0.0,0.3053,865239.022729088,0.011557499994,0.1601003824220022,0.204,0.0,0.0,415670.78880443453,0.024057499996,0.1601003824220022,0.1307,0.049009384775808136,0.1336,0.0,976543.4239299188,0.010240200030999999,0.16012326230365437,0.1336,0.07856784991593548,0.0001,600949.7993189172,0.016640325051,0.16012326230365437,0.0788,-2.844571169721686,0.0,0.2255,976543.4239299188,0.010240200030999999,0.16012326230365437,0.1317,0.0,0.2271,600949.7993189172,0.016640325051,0.16012326230365437,0.0782,-1.5745061194234204
1e-10,0.27498143289657057,0.0002,1104057.4114729483,0.009057499996,0.1601003824220022,0.2765,0.13435801657984334,0.0002,711364.0409525813,0.014057499992,0.1601003824220022,0.1351,0.11897256318549808,0.0002,415670.78880443453,0.024057499996,0.1601003824220022,0.1323,0.9857723577235772,0.0,0.2295,1104057.4114729483,0.009057499996,0.1601003824220022,0.2737,0.0,0.311,865239.022729088,0.011557499994,0.1601003824220022,0.2037,0.0,0.0001,415670.78880443453,0.024057499996,0.1601003824220022,0.13425,0.003188097768331562,0.13154723860359047,0.0005,976543.4239299188,0.010240200030999999,0.16012326230365437,0.1332,0.08145930632147118,0.0001,600949.7993189172,0.016640325051,0.16012326230365437,0.0817,-2.833896110090178,0.0,0.2262,976543.4239299188,0.010240200030999999,0.16012326230365437,0.1313,0.0,0.2295,600949.7993189172,0.016640325051,0.16012326230365437,0.0813,-1.5729385611549587
1e-09,0.258966884363937,0.0018,1104057.4114729483,0.009057499996,0.1601003824220022,0.2692,0.13217915189706167,0.0035,711364.0409525813,0.014057499992,0.1601003824220022,0.1417,0.1170328818273943,0.001,415670.78880443453,0.024057499996,0.1601003824220022,0.1325,0.9799554565701559,0.0,0.2231,1104057.4114729483,0.009057499996,0.1601003824220022,0.2767,0.0,0.3017,970167.3543391547,0.010307499995,0.1601003824220022,0.202,0.0,0.0008,415670.78880443453,0.024057499996,0.1601003824220022,0.1297,0.0,0.12334669688214989,0.0034,976543.4239299188,0.010240200030999999,0.16012326230365437,0.132,0.07241309129021362,0.0037,600949.7993189172,0.016640325051,0.16012326230365437,0.0779,-2.8168844207570767,0.0,0.2206,976543.4239299188,0.010240200030999999,0.16012326230365437,0.133,0.0,0.2329,600949.7993189172,0.016640325051,0.16012326230365437,0.0789,-1.5766973199940904
1e-08,0.21118588513785952,0.015,1104057.4114729483,0.009057499996,0.1601003824220022,0.2724,0.0915130453467124,0.0245,711364.0409525813,0.014057499992,0.1601003824220022,0.137,0.10776958861471422,0.0072,415670.78880443453,0.024057499996,0.1601003824220022,0.12965,0.978494623655914,0.0,0.2342,1104057.4114729483,0.009057499996,0.1601003824220022,0.276,0.0,0.3207,970167.3543391547,0.010307499995,0.1601003824220022,0.2015,0.0,0.0077,415670.78880443453,0.024057499996,0.1601003824220022,0.12785,0.05477980665950591,0.0841596127355114,0.0332,976543.4239299188,0.010240200030999999,0.16012326230365437,0.1452,0.046199473032159356,0.0358,651028.9492654206,0.015360300047,0.16012326230365437,0.0833,-2.6449710371545065,0.0,0.2341,976543.4239299188,0.010240200030999999,0.16012326230365437,0.1374,0.0,0.2434,651028.9492654206,0.015360300047,0.16012326230365437,0.0872,-1.495285671201512
1e-07,0.002737157571381376,0.1085,1104057.4114729483,0.009057499996,0.1601003824220022,0.2959,0.0,0.1747,865239.022729088,0.011557499994,0.1601003824220022,0.1856,0.06950149887703375,0.0723,415670.78880443453,0.024057499996,0.1601003824220022,0.13265,0.9829059829059829,0.0,0.2786,1104057.4114729483,0.009057499996,0.1601003824220022,0.3005,0.0,0.3686,970167.3543391547,0.010307499995,0.1601003824220022,0.2339,0.0,0.0699,415670.78880443453,0.024057499996,0.1601003824220022,0.13405,0.003194888178913738,0.0,0.2298,1562469.478379419,0.006400125019,0.16012326230365437,0.2449,0.0,0.2342,1116049.627364048,0.008960175027,0.16012326230365437,0.1486,-1.5268052932066198,0.0,0.3439,1562469.478379419,0.006400125019,0.16012326230365437,0.2458,0.0,0.3547,1116049.627364048,0.008960175027,0.16012326230365437,0.147,-0.7979036724543173
