filter_bandwidth,R_sk-BB84,QBER-BB84,Throughputs-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_sk-B92,QBER-B92,Throughputs-B92,Latency-B92,Loss-B92,R_s-B92,R_sk-COW,QBER-COW,Throughputs-COW,Latency-COW,Loss-COW,R_s-COW,Visibility-COW,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,Visibility-COW+Eve,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
1e-10,0.25609472703249325,0.0016,1104057.4114729483,0.009057499996,0.1601003824220022,0.2652,0.1272570645377486,0.0048,711364.0409525813,0.014057499992,0.1601003824220022,0.1395,0.11717384105923574,0.0018,415670.78880443453,0.024057499996,0.1601003824220022,0.1324,0.9873551106427819,0.0,0.2199,1104057.4114729483,0.009057499996,0.1601003824220022,0.2729,0.0,0.3058,865239.022729088,0.011557499994,0.1601003824220022,0.1967,0.0,0.0013,415670.78880443453,0.024057499996,0.1601003824220022,0.13025,0.0,804662.9306864162,0.005361930294906166,1193600.0,0.006284,0.1601003824220022,0.1492,486439.613106534,0.008415147265077139,570400.0,0.006284,0.1601003824220022,0.0713,-2.8505238586567625,0.0,0.24671916010498687,1219200.0,0.006284,0.1601003824220022,0.1524,0.0,0.23333333333333334,528000.0,0.006284,0.1601003824220022,0.066,-1.2700494593627263
2e-10,0.243894939116824,0.0043,1104057.4114729483,0.009057499996,0.1601003824220022,0.2651,0.12018340626691774,0.0102,711364.0409525813,0.014057499992,0.1601003824220022,0.1438,0.11536761197102886,0.0018,415670.78880443453,0.024057499996,0.1601003824220022,0.13115,0.9831223628691983,0.0,0.2285,1104057.4114729483,0.009057499996,0.1601003824220022,0.2751,0.0,0.3169,865239.022729088,0.011557499994,0.1601003824220022,0.2004,0.0,0.0035,415670.78880443453,0.024057499996,0.1601003824220022,0.1313,0.0,784661.200802996,0.007894736842105263,1216000.0,0.006284,0.1601003824220022,0.152,438827.2634828244,0.015256588072122053,576800.0,0.006284,0.1601003824220022,0.0721,-2.772752841417364,0.0,0.2526041666666667,1231200.0,0.006284,0.1601003824220022,0.1539,0.0,0.23922734026745915,538400.0,0.006284,0.1601003824220022,0.0673,-1.2976223791029526
5e-10,0.22455677549718012,0.0117,1104057.4114729483,0.009057499996,0.1601003824220022,0.2751,0.09633652074723165,0.0233,711364.0409525813,0.014057499992,0.1601003824220022,0.1415,0.1117167629431064,0.0053,415670.78880443453,0.024057499996,0.1601003824220022,0.13125,0.9832810867293625,0.0,0.2341,1104057.4114729483,0.009057499996,0.1601003824220022,0.2737,0.0,0.3084,970167.3543391547,0.010307499995,0.1601003824220022,0.202,0.0,0.0074,415670.78880443453,0.024057499996,0.1601003824220022,0.13445,0.04189044038668099,694554.0319566329,0.017676767676767676,1267200.0,0.006284,0.1601003824220022,0.1584,361476.75925992784,0.029216467463479414,602400.0,0.006284,0.1601003824220022,0.0753,-2.71656695293993,0.0,0.22693266832917705,1285600.0,0.006284,0.1601003824220022,0.1607,0.0,0.2517985611510791,556000.0,0.006284,0.1601003824220022,0.0695,-1.2262929508634994
1e-09,0.1893056407246616,0.0229,1104057.4114729483,0.009057499996,0.1601003824220022,0.2763,0.07169109892723623,0.0428,780792.5048187037,0.012807499993,0.1601003824220022,0.1463,0.10580232658707736,0.0123,415670.78880443453,0.024057499996,0.1601003824220022,0.13175,0.9831756046267087,0.0,0.2296,1104057.4114729483,0.009057499996,0.1601003824220022,0.2749,0.0,0.3237,970167.3543391547,0.010307499995,0.1601003824220022,0.2059,0.0,0.0133,415670.78880443453,0.024057499996,0.1601003824220022,0.1288,0.010775862068965518,263808.1051269249,0.06635071090047394,1350400.0,0.006284,0.1601003824220022,0.1688,186038.67534181065,0.0625782227784731,639200.0,0.006284,0.1601003824220022,0.0799,-2.5225515334328383,0.0,0.2616822429906542,1370400.0,0.006284,0.1601003824220022,0.1713,0.0,0.27296587926509186,609600.0,0.006284,0.1601003824220022,0.0762,-1.119634287002707
2e-09,0.12909694937609842,0.045,1104057.4114729483,0.009057499996,0.1601003824220022,0.2744,0.029504107441263493,0.0807,780792.5048187037,0.012807499993,0.1601003824220022,0.1547,0.09628212622701644,0.0247,415670.78880443453,0.024057499996,0.1601003824220022,0.1308,0.9866962305986696,0.0,0.2507,1104057.4114729483,0.009057499996,0.1601003824220022,0.2817,0.0,0.3338,970167.3543391547,0.010307499995,0.1601003824220022,0.2092,0.0,0.0244,415670.78880443453,0.024057499996,0.1601003824220022,0.12895,0.0,0.0,0.12551440329218108,1556800.0,0.006284,0.1601003824220022,0.1946,0.0,0.11074197120708748,722400.0,0.006284,0.1601003824220022,0.0903,-2.1309998884069907,0.0,0.294238683127572,1556000.0,0.006284,0.1601003824220022,0.1945,0.0,0.30414746543778803,694400.0,0.006284,0.1601003824220022,0.0868,-1.036876437083994
5e-09,0.02458476685500924,0.0965,1104057.4114729483,0.009057499996,0.1601003824220022,0.2913,0.0,0.16,865239.022729088,0.011557499994,0.1601003824220022,0.1701,0.07353565803143168,0.0601,415670.78880443453,0.024057499996,0.1601003824220022,0.13135,0.9744136460554371,0.0,0.2723,1104057.4114729483,0.009057499996,0.1601003824220022,0.3064,0.0,0.3582,970167.3543391547,0.010307499995,0.1601003824220022,0.2317,0.0,0.0599,415670.78880443453,0.024057499996,0.1601003824220022,0.1296,0.0,0.0,0.2565597667638484,2195200.0,0.006284,0.1601003824220022,0.2744,0.0,0.22877358490566038,1017600.0,0.006284,0.1601003824220022,0.1272,-1.6550644236792045,0.0,0.34513274336283184,2171200.0,0.006284,0.1601003824220022,0.2714,0.0,0.35213675213675216,936000.0,0.006284,0.1601003824220022,0.117,-0.6619352391462595
1e-08,0.0,0.1539,1104057.4114729483,0.009057499996,0.1601003824220022,0.3081,0.0,0.2322,970167.3543391547,0.010307499995,0.1601003824220022,0.2048,0.05303106172992919,0.1048,415670.78880443453,0.024057499996,0.1601003824220022,0.13315,0.9701492537313433,0.0,0.3063,1104057.4114729483,0.009057499996,0.1601003824220022,0.3179,0.0,0.3769,1104057.4114729483,0.009057499996,0.1601003824220022,0.2503,0.0,0.1065,415670.78880443453,0.024057499996,0.1601003824220022,0.13605,0.03956043956043956,0.0,0.34688346883468835,3543200.0,0.006284,0.1601003824220022,0.4429,0.0,0.3318295739348371,1596000.0,0.006284,0.1601003824220022,0.1995,-0.9726847864078028,0.0,0.4175627240143369,3573600.0,0.006284,0.1601003824220022,0.4467,0.0,0.40562659846547316,1564000.0,0.006284,0.1601003824220022,0.1955,-0.44076031480377803
