C_n2,global_seed,R_sk-BB84,R_sk_std-BB84,R_sk_sem-BB84,QBER_total-BB84,QBER_total_std-BB84,QBER_total_sem-BB84,QBER_est-BB84,QBER_est_std-BB84,QBER_est_sem-BB84,Throughputs-BB84,Throughputs_std-BB84,Throughputs_sem-BB84,Throughput_final-BB84,Throughput_final_std-BB84,Throughput_final_sem-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_s_std-BB84,R_s_sem-BB84,N_keys-BB84,N_replicas-BB84,R_sk-B92,R_sk_std-B92,R_sk_sem-B92,QBER_total-B92,QBER_total_std-B92,QBER_total_sem-B92,QBER_est-B92,QBER_est_std-B92,QBER_est_sem-B92,Throughputs-B92,Throughputs_std-B92,Throughputs_sem-B92,Throughput_final-B92,Throughput_final_std-B92,Throughput_final_sem-B92,Latency-B92,Loss-B92,R_s-B92,R_s_std-B92,R_s_sem-B92,N_keys-B92,N_replicas-B92,R_sk-COW,R_sk_std-COW,R_sk_sem-COW,QBER_total-COW,QBER_total_std-COW,QBER_total_sem-COW,QBER_est-COW,QBER_est_std-COW,QBER_est_sem-COW,Throughputs-COW,Throughputs_std-COW,Throughputs_sem-COW,Throughput_final-COW,Throughput_final_std-COW,Throughput_final_sem-COW,Latency-COW,Loss-COW,R_s-COW,R_s_std-COW,R_s_sem-COW,Visibility-COW,Visibility_std-COW,Visibility_sem-COW,N_keys-COW,N_replicas-COW,R_sk-BB84+Eve,R_sk_std-BB84+Eve,R_sk_sem-BB84+Eve,QBER_total-BB84+Eve,QBER_total_std-BB84+Eve,QBER_total_sem-BB84+Eve,QBER_est-BB84+Eve,QBER_est_std-BB84+Eve,QBER_est_sem-BB84+Eve,Throughputs-BB84+Eve,Throughputs_std-BB84+Eve,Throughputs_sem-BB84+Eve,Throughput_final-BB84+Eve,Throughput_final_std-BB84+Eve,Throughput_final_sem-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_s_std-BB84+Eve,R_s_sem-BB84+Eve,N_keys-BB84+Eve,N_replicas-BB84+Eve,R_sk-B92+Eve,R_sk_std-B92+Eve,R_sk_sem-B92+Eve,QBER_total-B92+Eve,QBER_total_std-B92+Eve,QBER_total_sem-B92+Eve,QBER_est-B92+Eve,QBER_est_std-B92+Eve,QBER_est_sem-B92+Eve,Throughputs-B92+Eve,Throughputs_std-B92+Eve,Throughputs_sem-B92+Eve,Throughput_final-B92+Eve,Throughput_final_std-B92+Eve,Throughput_final_sem-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_s_std-B92+Eve,R_s_sem-B92+Eve,N_keys-B92+Eve,N_replicas-B92+Eve,R_sk-COW+Eve,R_sk_std-COW+Eve,R_sk_sem-COW+Eve,QBER_total-COW+Eve,QBER_total_std-COW+Eve,QBER_total_sem-COW+Eve,QBER_est-COW+Eve,QBER_est_std-COW+Eve,QBER_est_sem-COW+Eve,Throughputs-COW+Eve,Throughputs_std-COW+Eve,Throughputs_sem-COW+Eve,Throughput_final-COW+Eve,Throughput_final_std-COW+Eve,Throughput_final_sem-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,R_s_std-COW+Eve,R_s_sem-COW+Eve,Visibility-COW+Eve,Visibility_std-COW+Eve,Visibility_sem-COW+Eve,N_keys-COW+Eve,N_replicas-COW+Eve,R_sk-BBM92,R_sk_std-BBM92,R_sk_sem-BBM92,QBER_total-BBM92,QBER_total_std-BBM92,QBER_total_sem-BBM92,QBER_est-BBM92,QBER_est_std-BBM92,QBER_est_sem-BBM92,Throughputs-BBM92,Throughputs_std-BBM92,Throughputs_sem-BBM92,Throughput_final-BBM92,Throughput_final_std-BBM92,Throughput_final_sem-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_s_std-BBM92,R_s_sem-BBM92,N_keys-BBM92,N_replicas-BBM92,R_sk-E91,R_sk_std-E91,R_sk_sem-E91,QBER_total-E91,QBER_total_std-E91,QBER_total_sem-E91,QBER_est-E91,QBER_est_std-E91,QBER_est_sem-E91,Throughputs-E91,Throughputs_std-E91,Throughputs_sem-E91,Throughput_final-E91,Throughput_final_std-E91,Throughput_final_sem-E91,Latency-E91,Loss-E91,R_s-E91,R_s_std-E91,R_s_sem-E91,CHSH_S-E91,CHSH_S_std-E91,CHSH_S_sem-E91,N_keys-E91,N_replicas-E91,R_sk-BBM92+Eve,R_sk_std-BBM92+Eve,R_sk_sem-BBM92+Eve,QBER_total-BBM92+Eve,QBER_total_std-BBM92+Eve,QBER_total_sem-BBM92+Eve,QBER_est-BBM92+Eve,QBER_est_std-BBM92+Eve,QBER_est_sem-BBM92+Eve,Throughputs-BBM92+Eve,Throughputs_std-BBM92+Eve,Throughputs_sem-BBM92+Eve,Throughput_final-BBM92+Eve,Throughput_final_std-BBM92+Eve,Throughput_final_sem-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_s_std-BBM92+Eve,R_s_sem-BBM92+Eve,N_keys-BBM92+Eve,N_replicas-BBM92+Eve,R_sk-E91+Eve,R_sk_std-E91+Eve,R_sk_sem-E91+Eve,QBER_total-E91+Eve,QBER_total_std-E91+Eve,QBER_total_sem-E91+Eve,QBER_est-E91+Eve,QBER_est_std-E91+Eve,QBER_est_sem-E91+Eve,Throughputs-E91+Eve,Throughputs_std-E91+Eve,Throughputs_sem-E91+Eve,Throughput_final-E91+Eve,Throughput_final_std-E91+Eve,Throughput_final_sem-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,R_s_std-E91+Eve,R_s_sem-E91+Eve,CHSH_S-E91+Eve,CHSH_S_std-E91+Eve,CHSH_S_sem-E91+Eve,N_keys-E91+Eve,N_replicas-E91+Eve
1e-18,20260805,0.11649371,0.0009654795546773571,0.00043177558302895906,2.4000000000000004e-05,2.60768096208106e-05,1.1661903789690601e-05,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,1954144.81701459,0.0,0.0,805409.9308259884,1095.445115886695,489.897948948557,0.013111499996,0.15970655627034802,0.27275600000000005,0.0021679667894135284,0.0009695442228181241,25,5,0.05833239999999999,0.0003210457288300248,0.0001435760147099799,3.2000000000000005e-05,3.633180424916991e-05,1.6248076809271923e-05,1.6000000000000003e-05,3.5777087639996646e-05,1.6000000000000003e-05,1027987.0946133735,0.0,0.0,425621.86133533204,511.10125240883235,228.57142875428545,0.018111499992,0.15970655627034802,0.13651200000000002,0.0006731418869748147,0.0003010382035556332,25,5,0.0849082828,0.0009724135263532258,0.0004348765494332192,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,509800.82451288693,14907.119852980002,6666.666667999991,320230.55118817266,7974.378528197992,3566.2504934730864,0.028111499996,0.15970655627034802,0.131998,0.0005324190079251582,0.00023810501884673056,0.9770447469424294,0.005727098706732254,0.0025612364044208906,25,5,0.0,0.0,0.0,0.22601999999999997,0.0007619711280619487,0.00034076384784774297,0.226096,0.0016123523188186805,0.0007210658777115966,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.15970655627034802,0.27264,0.0021618048015489286,0.0009667884980697693,25,5,0.0,0.0,0.0,0.30992,0.0018976827975191017,0.0008486695469969361,0.307264,0.00460066082209937,0.0020574780679268514,1462578.27217182,21310.771179369443,9530.466602002687,0.0,0.0,0.0,0.0153614999942,0.15970655627034802,0.19820800000000002,0.0015650942463634435,0.0006999314252124925,25,5,0.0,0.0,0.0,4.000000000000001e-06,8.944271909999161e-06,4.000000000000001e-06,0.0,0.0,0.0,509800.82451288693,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.15970655627034802,0.13166000000000003,0.0011794702200564426,0.0005274751178965683,0.018399612479493017,0.01972249367034125,0.008820167306538472,25,5,0.07594958,0.00041072381474660004,0.00018368127395028565,1.6000000000000003e-05,1.6733200530681514e-05,7.483314773547884e-06,3.2000000000000005e-05,4.38178046004133e-05,1.9595917942265427e-05,528451.2560838609,0.0,0.0,218323.62895571667,230.77403529275554,103.20528607130738,0.023734150023,0.1598784145634935,0.177824,0.0008644535846417656,0.00038659539573047117,25,5,0.056981031599999996,0.0007380457259660818,0.00033006408275266814,1.2000000000000002e-05,1.7888543819998323e-05,8.000000000000001e-06,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,238428.4513383819,0.0,0.0,168874.8769134672,1285.7685465409709,575.0131746793426,0.046694325051,0.1598784145634935,0.07908,0.0014516886718577082,0.0006492149104880443,-2.830364692826483,0.0055338413111593165,0.0024748090696897593,25,5,0.0,0.0,0.0,0.224992,0.0016246599644233238,0.0007265700241545883,0.222736,0.0034675178442222826,0.00155072112257491,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.1598784145634935,0.17703600000000003,0.0009591037482983782,0.0004289242357340044,25,5,0.0,0.0,0.0,0.22436799999999998,0.0017165430376195195,0.0007676613836842449,0.224304,0.0027043076748032714,0.001209403158586902,238428.4513383819,0.0,0.0,0.0,0.0,0.0,0.046694325051,0.1598784145634935,0.07786799999999999,0.0003612755181298636,0.00016156732342896654,-1.5495891852311965,0.013716423494025824,0.0061341710681633846,25,5
1e-17,20260805,0.11644489999999999,0.0011080868180111132,0.0004955514900088575,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1954144.81701459,0.0,0.0,805809.9308263084,894.4271917154631,400.0000003200024,0.013111499996,0.15970656322858012,0.27251200000000003,0.002365020084481334,0.0010576691354105116,25,5,0.058140199999999996,0.00027975266978171883,0.0001251091973037949,2.8000000000000003e-05,2.280350850198276e-05,1.019803902718557e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1027987.0946133735,0.0,0.0,425621.86133533204,511.10125240880626,228.57142875427377,0.018111499992,0.15970656322858012,0.13606400000000002,0.0005864128238706808,0.0002622517874104907,25,5,0.0852245512,0.0008672457745213943,0.00038784410100585855,4.000000000000001e-06,8.944271909999161e-06,4.000000000000001e-06,0.0,0.0,0.0,503134.1578448868,18257.418587156997,8164.965810910243,317506.56669727154,13645.999007029157,6102.676280122365,0.028111499996,0.15970656322858012,0.131832,0.0010790366073493483,0.0004825598408487784,0.9804694145997201,0.00522662014030996,0.0023374155852605117,25,5,0.0,0.0,0.0,0.22505199999999997,0.0019325941115505838,0.0008642823612685834,0.223648,0.0035460851653619486,0.0015858574967505799,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.15970656322858012,0.275332,0.0015559305897115227,0.0006958333133732599,25,5,0.0,0.0,0.0,0.310584,0.0019241309726731092,0.0008604975305019724,0.309264,0.004343049619794848,0.0019422708359031792,1446578.2721590202,14466.316489248762,6469.533410797268,0.0,0.0,0.0,0.0153614999942,0.15970656322858012,0.197592,0.001113247501681432,0.0004978594179082987,25,5,0.0,0.0,0.0,2e-05,1.4142135623730951e-05,6.324555320336758e-06,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.15970656322858012,0.13229799999999997,0.0008199817071130366,0.0003667069674822145,0.008257715800479057,0.012619103493109953,0.005643434645139781,25,5,0.07612717,0.0007199641124736774,0.00032197773937028937,1.6000000000000003e-05,2.6076809620810595e-05,1.16619037896906e-05,3.2000000000000005e-05,7.155417527999328e-05,3.2000000000000005e-05,528451.2560838609,0.0,0.0,218268.5869507206,499.93008635610283,223.5755314179172,0.023734150023,0.1598784195042846,0.178236,0.001537231277329462,0.0006874707266495017,25,5,0.0558544748,0.0008946768679379189,0.00040011165892115774,2.8000000000000003e-05,2.683281572999748e-05,1.2e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,238428.4513383819,0.0,0.0,167315.3225689317,3145.4496473411455,1406.6878462515083,0.046694325051,0.1598784195042846,0.07825599999999999,0.0010400384608272963,0.00046511933952481734,-2.827287183600019,0.01360938402990902,0.00608630156455532,25,5,0.0,0.0,0.0,0.22376000000000001,0.000879204185613341,0.0003931920650267546,0.225008,0.003432829736529334,0.0015352081292124569,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.1598784195042846,0.176756,0.0016656170027950542,0.0007448865685458397,25,5,0.0,0.0,0.0,0.22485999999999998,0.0016572869395490802,0.0007411612510108656,0.22561599999999998,0.003757616265666312,0.0016804570806777564,238428.4513383819,0.0,0.0,0.0,0.0,0.0,0.046694325051,0.1598784195042846,0.079008,0.0014033958814247734,0.0006276177180418055,-1.552452009037205,0.012254847510277856,0.005480534417375067,25,5
3e-17,20260805,0.11607153999999997,0.0008716541260729508,0.00038981557575345794,2.0000000000000005e-05,2e-05,8.94427190999916e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1954144.81701459,0.0,0.0,805676.5974928684,1192.5695889539682,533.333333760011,0.013111499996,0.15970658355842915,0.27164,0.002110071088849827,0.0009436524784050424,25,5,0.05815296,0.0003510313543688058,0.0001569859941204935,2.4000000000000004e-05,1.6733200530681514e-05,7.483314773547884e-06,1.6000000000000003e-05,3.5777087639996646e-05,1.6000000000000003e-05,1027987.0946133735,0.0,0.0,425740.0056873183,246.9224502097882,110.42707676797872,0.018111499992,0.15970658355842915,0.136096,0.0008765158298627571,0.000391989795785553,25,5,0.0853088438,0.0006312831113689847,0.000282318390013724,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,496467.49117688683,18257.418587156997,8164.965810910243,312847.0310970434,10882.71301239711,4866.897215068289,0.028111499996,0.15970658355842915,0.132118,0.0011028916537901567,0.0004932281419383908,0.9796846343673413,0.0025227182969052354,0.0011281939199925207,25,5,0.0,0.0,0.0,0.226276,0.0014693808219790993,0.0006571270805559566,0.23167999999999997,0.0031924911902775754,0.0014277254638059749,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.15970658355842915,0.27222,0.0011835539700410865,0.0005293014264103238,25,5,0.0,0.0,0.0,0.31023200000000006,0.0029068746102988443,0.001299993846139285,0.306992,0.004982079886954831,0.002228053859313094,1440108.7387482228,17717.546928135256,7923.527865170602,0.0,0.0,0.0,0.015111499994399999,0.15970658355842915,0.19824,0.0011610340218960091,0.0005192301994298911,25,5,0.0,0.0,0.0,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,496467.49117688683,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.15970658355842915,0.132124,0.0008516630789226376,0.0003808753076795572,0.01494202294089284,0.018487294581651575,0.008267769480927292,25,5,0.07595990999999999,0.00032744379174141355,0.00014643731542881698,2.0000000000000005e-05,2.4494897427831785e-05,1.0954451150103323e-05,0.0,0.0,0.0,532516.2657460046,9089.637933747079,4065.0096621438393,220229.954112705,3885.820216676853,1737.791630566481,0.023734150023,0.15987843393954393,0.177684,0.000765950390038421,0.0003425434279036774,25,5,0.056339862799999994,0.0007735207023895312,0.0003459289745092751,1.6000000000000003e-05,1.6733200530681514e-05,7.483314773547884e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,239210.18396571727,1748.0072949513742,781.7326273353596,166950.89831746323,2051.164020390692,917.3084365190703,0.046694325051,0.15987843393954393,0.079396,0.0009429103881069509,0.00042168234489957027,-2.8283656039743663,0.007924280970508403,0.003543846184572959,25,5,0.0,0.0,0.0,0.22614399999999998,0.0012158453849071308,0.0005437425861563482,0.22692799999999996,0.0022933643408756597,0.0010256237126743948,532516.2657460046,9089.637933747079,4065.0096621438393,0.0,0.0,0.0,0.023734150023,0.15987843393954393,0.17824800000000002,0.0010102078993949738,0.000451778706890886,25,5,0.0,0.0,0.0,0.22565999999999997,0.0026566896694947334,0.0011881077392223345,0.22553600000000001,0.002658360396936413,0.0011888549112486285,239991.91659305262,2140.862969646764,957.4230261284467,0.0,0.0,0.0,0.046694325051,0.15987843393954393,0.07908,0.0016171580009386823,0.0007232150440913124,-1.5455384263907603,0.0112420897999174,0.005027615400354463,25,5
1e-16,20260805,0.11604744,0.0016033860387473712,0.0007170560353626467,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,1954144.81701459,0.0,0.0,806209.9308266283,0.0,0.0,0.013111499996,0.1597066735364746,0.271456,0.0037506106169528995,0.0016773240593278215,25,5,0.05838426,0.0006067969135139061,0.00027136782943083094,3.6e-05,1.6733200530681508e-05,7.4833147735478805e-06,4.800000000000001e-05,7.155417527999329e-05,3.2000000000000005e-05,1027987.0946133735,0.0,0.0,425193.2899064178,966.795675955616,432.3641703579233,0.018111499992,0.1597066735364746,0.13676,0.0014421511709942182,0.000644949610434799,25,5,0.0846375094,0.000574308797412425,0.0002568387022180675,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,503134.15784488694,18257.418587156997,8164.965810910243,316735.8666633381,11528.330496496113,5155.6261314498415,0.028111499996,0.1597066735364746,0.13125000000000003,0.0011631422956801115,0.0005201730481291778,0.978783326000044,0.003786279652834886,0.0016932757371126218,25,5,0.0,0.0,0.0,0.224876,0.0015494773312314158,0.0006929473284456807,0.223088,0.002246846679237377,0.0010048203819588881,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1597066735364746,0.27412400000000003,0.0025063678899954218,0.0011208817957304956,25,5,0.0,0.0,0.0,0.30914,0.001583350877095763,0.0007080960386840082,0.30816,0.002523489647294006,0.001128538878373273,1453047.8055698175,0.0,0.0,0.0,0.0,0.0,0.015611499994,0.1597066735364746,0.198148,0.002243818174451741,0.001003465993444715,25,5,0.0,0.0,0.0,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,509800.8245128868,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.1597066735364746,0.132332,0.0012397056102155654,0.0005544132033059723,0.005917971317452551,0.006091572805665977,0.0027242341766716477,25,5,0.07611894,0.0007468511869843951,0.0003340020046347027,2e-05,1.4142135623730951e-05,6.324555320336758e-06,0.0,0.0,0.0,528451.2560838609,0.0,0.0,218492.1624821385,0.0,0.0,0.023734150023,0.15987849782442565,0.178056,0.0017470203204313277,0.0007812912389115826,25,5,0.055825210800000004,0.0009602618721979992,0.0004294421644871883,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,238428.4513383819,0.0,0.0,165186.22824252723,3105.548179752486,1388.8433674654589,0.046694325051,0.15987849782442565,0.079216,0.0011452859904844724,0.0005121874656802915,-2.8248753994164293,0.006577351540669698,0.0029414810313700833,25,5,0.0,0.0,0.0,0.225,0.0014127986409959443,0.0006318227599572505,0.22566400000000003,0.0035468972356131213,0.0015862206656074053,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.15987849782442565,0.17763200000000004,0.0015949043858488948,0.0007132629248741365,25,5,0.0,0.0,0.0,0.224628,0.0022326486512660297,0.0009984708308208128,0.22391999999999998,0.004428634100939019,0.0019805453794346623,237646.7187110466,1748.0072949513485,781.732627335348,0.0,0.0,0.0,0.046694325051,0.15987849782442565,0.078708,0.0012937233089034194,0.000578570652556801,-1.5621759343054298,0.008150707734587063,0.0036451073118539973,25,5
3e-16,20260805,0.11712132,0.0004163507634795509,0.00018619772192484253,1.2000000000000002e-05,1.7888543819998323e-05,8.000000000000001e-06,0.0,0.0,0.0,1954144.81701459,0.0,0.0,806209.9308266283,0.0,0.0,0.013111499996,0.15970699609900263,0.273968,0.0009739199145720424,0.00043555022672477496,25,5,0.058366379999999995,0.000829184054206303,0.00037082238221283276,2.8000000000000003e-05,2.2803508501982765e-05,1.0198039027185571e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1027987.0946133735,0.0,0.0,425621.86133533204,511.10125240880626,228.57142875427377,0.018111499992,0.15970699609900263,0.136592,0.0018767312007850294,0.0008392997080900264,25,5,0.0851562358,0.0009195807283701113,0.00041124900388686764,8.000000000000001e-06,1.0954451150103324e-05,4.898979485566357e-06,1.6000000000000003e-05,3.5777087639996646e-05,1.6000000000000003e-05,509800.82451288693,14907.119852980004,6666.666667999992,320645.37782503816,9649.498934781524,4315.3871133966595,0.028111499996,0.15970699609900263,0.13223000000000001,0.001420827223838276,0.0006354132513569389,0.9780312589731077,0.0014766129150963225,0.0006603613709219004,25,5,0.0,0.0,0.0,0.224616,0.002649732061926258,0.001184996202525559,0.22457599999999997,0.006687875596929124,0.0029909088919591012,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.15970699609900263,0.272832,0.00157547453168881,0.0007045736299351651,25,5,0.0,0.0,0.0,0.31122800000000006,0.0016797976068562454,0.0007512283274744063,0.31048,0.004135698248180111,0.0018495404834715048,1451911.6054966203,20922.642776743225,9356.890303548562,0.0,0.0,0.0,0.0153614999942,0.15970699609900263,0.19958,0.0007588148654316073,0.0003393523242884858,25,5,0.0,0.0,0.0,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.15970699609900263,0.131214,0.0014526286517895788,0.0006496352822930739,0.011671141186782117,0.0171118903531756,0.007652670010644705,25,5,0.07559054999999999,0.0005208837958220627,0.00023294631516725063,2.4000000000000004e-05,2.60768096208106e-05,1.1661903789690601e-05,0.0,0.0,0.0,528451.2560838609,0.0,0.0,218492.1624821385,2.9103830456733704e-11,1.3015628661377062e-11,0.023734150023,0.15987872678857595,0.17682,0.0012184416276539516,0.0005449036612099447,25,5,0.05636399760000001,0.0017804947550899457,0.0007962614611925916,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,238428.4513383819,0.0,0.0,166763.33002523583,2349.7112282652124,1050.822806779108,0.046694325051,0.15987872678857595,0.07920799999999999,0.001702973869441337,0.0007615930671953363,-2.8218607071922763,0.011563433793893426,0.005171324803292798,25,5,0.0,0.0,0.0,0.22522399999999995,0.0017873108291508882,0.0007993097021805797,0.22177599999999997,0.003701415945283655,0.001655323533331179,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.15987872678857595,0.17829200000000003,0.0026395681464967025,0.00118045076136195,25,5,0.0,0.0,0.0,0.226668,0.0017675180338542356,0.0007904580950309691,0.22582399999999997,0.002553366405355886,0.0011419001707680088,238428.4513383819,0.0,0.0,0.0,0.0,0.0,0.046694325051,0.15987872678857595,0.078748,0.001742102178404011,0.0007790917789323668,-1.5591005882794877,0.014138390183438378,0.006322880308516786,25,5
1e-15,20260805,0.11650160000000001,0.0007871414525039385,0.0003520203591413457,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1954144.81701459,0.0,0.0,805809.9308263084,894.4271917154631,400.0000003200024,0.013111499996,0.1597084286796745,0.272648,0.002033056811798463,0.000909210646660072,25,5,0.05813064320000001,0.0010467626972151822,0.0004681265094568354,2.8000000000000003e-05,2.683281572999748e-05,1.2e-05,6.400000000000001e-05,8.76356092008266e-05,3.9191835884530854e-05,1027987.0946133735,0.0,0.0,425143.4342582697,969.4541296446282,433.55306699065653,0.018111499992,0.1597084286796745,0.13622399999999998,0.002536982459537307,0.0011345730474500056,25,5,0.085471085,0.0009934299092089988,0.0004442753615745531,1.2000000000000002e-05,1.7888543819998323e-05,8.000000000000001e-06,0.0,0.0,0.0,516467.49118088686,0.0,0.0,326467.93969588063,1181.2742989012183,528.2819264833058,0.028111499996,0.1597084286796745,0.13206,0.0011071359446788792,0.000495126246527084,0.9812452188766152,0.0024944211156908646,0.0011155390358391281,25,5,0.0,0.0,0.0,0.22513200000000003,0.0023630742688286427,0.0010567989401962913,0.222912,0.003889102724279733,0.0017392596125938209,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1597084286796745,0.274204,0.0011946045370749164,0.0005342433902258361,25,5,0.0,0.0,0.0,0.310852,0.0013095495408727473,0.0005856483586590205,0.31015999999999994,0.0029927913392015938,0.0013384169753854788,1446578.2721590202,14466.316489248762,6469.533410797268,0.0,0.0,0.0,0.0153614999942,0.1597084286796745,0.19718,0.0017733020047358131,0.0007930447654451864,25,5,0.0,0.0,0.0,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1597084286796745,0.13238199999999997,0.0005219386937179455,0.00023341807984815372,0.008440725467542154,0.010995350396561498,0.004917270184628156,25,5,0.07549562,0.0006238211658800938,0.00027898130654221244,2e-05,2e-05,8.94427190999916e-06,1.6000000000000003e-05,3.5777087639996646e-05,1.6000000000000003e-05,528451.2560838609,0.0,0.0,218370.21219227416,272.6891380124168,121.95028986431716,0.023734150023,0.15987974260513604,0.17668,0.0013013838787998054,0.0005819965635637424,25,5,0.0568591828,0.0008569584543834123,0.0003832434715788925,2e-05,3.4641016151377554e-05,1.549193338482967e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,238428.4513383819,0.0,0.0,167337.57935316899,3003.314502698665,1343.123077169038,0.046694325051,0.15987974260513604,0.07964800000000001,0.00039461373518923044,0.000176476627347644,-2.8303404017176015,0.007944239823998092,0.00355277205520414,25,5,0.0,0.0,0.0,0.224544,0.0020150632744407706,0.0009011636921225755,0.22635199999999997,0.0019730990851956625,0.00088239673616803,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.15987974260513604,0.176336,0.0010259044789842772,0.0004587984306860696,25,5,0.0,0.0,0.0,0.225488,0.0006418099407145433,0.00028702613121456576,0.22644800000000004,0.003116202817532891,0.0013936082663359834,239210.18396571727,1748.0072949513678,781.7326273353566,0.0,0.0,0.0,0.046694325051,0.15987974260513604,0.07822,0.0010653637876331342,0.00047644516998286755,-1.5428105963847243,0.012892571255715659,0.005765733146508007,25,5
