receiver_radius,global_seed,R_sk-BB84,R_sk_std-BB84,R_sk_sem-BB84,QBER_total-BB84,QBER_total_std-BB84,QBER_total_sem-BB84,QBER_est-BB84,QBER_est_std-BB84,QBER_est_sem-BB84,Throughputs-BB84,Throughputs_std-BB84,Throughputs_sem-BB84,Throughput_final-BB84,Throughput_final_std-BB84,Throughput_final_sem-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_s_std-BB84,R_s_sem-BB84,N_keys-BB84,N_replicas-BB84,R_sk-B92,R_sk_std-B92,R_sk_sem-B92,QBER_total-B92,QBER_total_std-B92,QBER_total_sem-B92,QBER_est-B92,QBER_est_std-B92,QBER_est_sem-B92,Throughputs-B92,Throughputs_std-B92,Throughputs_sem-B92,Throughput_final-B92,Throughput_final_std-B92,Throughput_final_sem-B92,Latency-B92,Loss-B92,R_s-B92,R_s_std-B92,R_s_sem-B92,N_keys-B92,N_replicas-B92,R_sk-COW,R_sk_std-COW,R_sk_sem-COW,QBER_total-COW,QBER_total_std-COW,QBER_total_sem-COW,QBER_est-COW,QBER_est_std-COW,QBER_est_sem-COW,Throughputs-COW,Throughputs_std-COW,Throughputs_sem-COW,Throughput_final-COW,Throughput_final_std-COW,Throughput_final_sem-COW,Latency-COW,Loss-COW,R_s-COW,R_s_std-COW,R_s_sem-COW,Visibility-COW,Visibility_std-COW,Visibility_sem-COW,N_keys-COW,N_replicas-COW,R_sk-BB84+Eve,R_sk_std-BB84+Eve,R_sk_sem-BB84+Eve,QBER_total-BB84+Eve,QBER_total_std-BB84+Eve,QBER_total_sem-BB84+Eve,QBER_est-BB84+Eve,QBER_est_std-BB84+Eve,QBER_est_sem-BB84+Eve,Throughputs-BB84+Eve,Throughputs_std-BB84+Eve,Throughputs_sem-BB84+Eve,Throughput_final-BB84+Eve,Throughput_final_std-BB84+Eve,Throughput_final_sem-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_s_std-BB84+Eve,R_s_sem-BB84+Eve,N_keys-BB84+Eve,N_replicas-BB84+Eve,R_sk-B92+Eve,R_sk_std-B92+Eve,R_sk_sem-B92+Eve,QBER_total-B92+Eve,QBER_total_std-B92+Eve,QBER_total_sem-B92+Eve,QBER_est-B92+Eve,QBER_est_std-B92+Eve,QBER_est_sem-B92+Eve,Throughputs-B92+Eve,Throughputs_std-B92+Eve,Throughputs_sem-B92+Eve,Throughput_final-B92+Eve,Throughput_final_std-B92+Eve,Throughput_final_sem-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_s_std-B92+Eve,R_s_sem-B92+Eve,N_keys-B92+Eve,N_replicas-B92+Eve,R_sk-COW+Eve,R_sk_std-COW+Eve,R_sk_sem-COW+Eve,QBER_total-COW+Eve,QBER_total_std-COW+Eve,QBER_total_sem-COW+Eve,QBER_est-COW+Eve,QBER_est_std-COW+Eve,QBER_est_sem-COW+Eve,Throughputs-COW+Eve,Throughputs_std-COW+Eve,Throughputs_sem-COW+Eve,Throughput_final-COW+Eve,Throughput_final_std-COW+Eve,Throughput_final_sem-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,R_s_std-COW+Eve,R_s_sem-COW+Eve,Visibility-COW+Eve,Visibility_std-COW+Eve,Visibility_sem-COW+Eve,N_keys-COW+Eve,N_replicas-COW+Eve,R_sk-BBM92,R_sk_std-BBM92,R_sk_sem-BBM92,QBER_total-BBM92,QBER_total_std-BBM92,QBER_total_sem-BBM92,QBER_est-BBM92,QBER_est_std-BBM92,QBER_est_sem-BBM92,Throughputs-BBM92,Throughputs_std-BBM92,Throughputs_sem-BBM92,Throughput_final-BBM92,Throughput_final_std-BBM92,Throughput_final_sem-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_s_std-BBM92,R_s_sem-BBM92,N_keys-BBM92,N_replicas-BBM92,R_sk-E91,R_sk_std-E91,R_sk_sem-E91,QBER_total-E91,QBER_total_std-E91,QBER_total_sem-E91,QBER_est-E91,QBER_est_std-E91,QBER_est_sem-E91,Throughputs-E91,Throughputs_std-E91,Throughputs_sem-E91,Throughput_final-E91,Throughput_final_std-E91,Throughput_final_sem-E91,Latency-E91,Loss-E91,R_s-E91,R_s_std-E91,R_s_sem-E91,CHSH_S-E91,CHSH_S_std-E91,CHSH_S_sem-E91,N_keys-E91,N_replicas-E91,R_sk-BBM92+Eve,R_sk_std-BBM92+Eve,R_sk_sem-BBM92+Eve,QBER_total-BBM92+Eve,QBER_total_std-BBM92+Eve,QBER_total_sem-BBM92+Eve,QBER_est-BBM92+Eve,QBER_est_std-BBM92+Eve,QBER_est_sem-BBM92+Eve,Throughputs-BBM92+Eve,Throughputs_std-BBM92+Eve,Throughputs_sem-BBM92+Eve,Throughput_final-BBM92+Eve,Throughput_final_std-BBM92+Eve,Throughput_final_sem-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_s_std-BBM92+Eve,R_s_sem-BBM92+Eve,N_keys-BBM92+Eve,N_replicas-BBM92+Eve,R_sk-E91+Eve,R_sk_std-E91+Eve,R_sk_sem-E91+Eve,QBER_total-E91+Eve,QBER_total_std-E91+Eve,QBER_total_sem-E91+Eve,QBER_est-E91+Eve,QBER_est_std-E91+Eve,QBER_est_sem-E91+Eve,Throughputs-E91+Eve,Throughputs_std-E91+Eve,Throughputs_sem-E91+Eve,Throughput_final-E91+Eve,Throughput_final_std-E91+Eve,Throughput_final_sem-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,R_s_std-E91+Eve,R_s_sem-E91+Eve,CHSH_S-E91+Eve,CHSH_S_std-E91+Eve,CHSH_S_sem-E91+Eve,N_keys-E91+Eve,N_replicas-E91+Eve
0.025,20260805,0.0352201252,0.0008828359975823361,0.0003948162607155887,0.007192,0.00034368590311503885,0.0001537010084547267,0.0069440000000000005,0.001072417829020014,0.0004795998331942996,737766.7740181091,0.0,0.0,261714.74656023877,6244.085178342074,2792.439783214355,0.021861499989,0.7065953900884787,0.09659600000000002,0.0007204720674668755,0.00032220490374914966,25,5,0.0151244796,0.0005642960864181142,0.00025236088173359985,0.013648000000000002,0.0006416541124313009,0.0002869564426877363,0.013920000000000002,0.0013108775686539148,0.0005862422707379601,379895.02863731096,2086.5621254984194,933.1389503781826,116440.8815801956,4257.933911087693,1904.2059337787252,0.034361499978999996,0.7065953900884787,0.048375999999999995,0.0006015646266196178,0.000269027879596149,25,5,0.0180788172,0.0004675191225882634,0.00020908090777768285,0.0014160000000000002,0.00020019990009987525,8.95321171423976e-05,0.001232,0.00026892378102354576,0.00012026637102698326,190228.93716741927,2.0579515874459978e-11,9.203439287865707e-12,69989.57699526413,1607.8085103249582,719.0338247778558,0.063111499989,0.7065953900884787,0.04854000000000001,0.0003599305488563045,0.0001609658348843012,0.9044901615321189,0.00886626515327708,0.003965114317853028,25,5,0.0,0.0,0.0,0.235168,0.0022616188892030493,0.0010114267150911167,0.233392,0.004714098004920991,0.0021082087183198943,331187.9847740329,2049.5848746441475,916.6022210719398,0.0,0.0,0.0,0.038111499975999996,0.7065953900884787,0.04287199999999999,0.0005376988004450058,0.00024046621384302542,25,5,0.0,0.0,0.0,0.320324,0.0023184218770534674,0.0010368297835228425,0.321248,0.006121071801571992,0.0027374265286944153,244288.1936635611,632.637016668755,282.9238748708007,0.0,0.0,0.0,0.0486114999676,0.7065953900884787,0.03222,0.0007131619731870169,0.0003189357302028104,25,5,0.0,0.0,0.0,0.0029640000000000005,0.00015059880477613367,6.734983296193098e-05,0.002944,0.00041337634184844237,0.00018486752013266162,84527.35365453288,396.90040406862994,177.4992567589181,0.0,0.0,0.0,0.128111499976,0.7065953900884787,0.02144,0.0005930851540883486,0.0002652357441974969,0.028735213740099037,0.029790136620687902,0.013322554108572802,25,5,0.0087187852,0.0004700744863308371,0.00021022370118480948,0.01162,0.0003969886648255837,0.00017753872816937696,0.011504,0.000623281637785038,0.00027874002224294927,78189.72026265273,283.71343261229146,126.88050429017788,25645.35575122914,395.159736152507,176.72080640157736,0.1326309801558,0.8807492926344589,0.026404000000000004,0.0011303450800529888,0.0005055056874061849,25,5,0.006092947333333334,0.0002325238077703011,0.00010398780811229741,0.01112,0.0006135506861249894,0.0002743882083634227,0.01184,0.0015474710551951097,0.0006920500945259188,34728.78931189872,272.3471358000201,121.7973418252423,18692.33111812463,716.3657577338414,320.368506209203,0.2946642153534,0.8807492926344589,0.011286666666666665,0.0006597979488702071,0.0002950706130177427,-2.7693725471111255,0.004626487845659414,0.002069028263994201,15,5,0.0,0.0,0.0,0.23672666666666667,0.0020479529074446884,0.0009158723831529317,0.23533333333333334,0.0033359989341858126,0.0014919040779412648,33702.99883565192,207.34853122930582,92.72908217269317,0.0,0.0,0.0,0.3005682603606,0.8807492926344589,0.010966666666666668,0.0005275730597114802,0.00023593784492248503,15,5,0.0,0.0,0.0,0.23851999999999998,0.0017137677789012089,0.0007664202502543865,0.23928000000000002,0.009210428871664992,0.0041190290117939215,14858.11401566439,107.66321610037801,48.14845397533901,0.0,0.0,0.0,0.6771151308198,0.8807492926344589,0.0047,0.0005787918451395112,0.00025884358211089565,-1.489035765440395,0.02681862646331547,0.011993654367029632,5,5
0.05,20260805,0.08068419400000001,0.000986483350359246,0.0004411687660150031,0.007808,0.0006014316253739908,0.0002689683996308861,0.007968,0.0002917533204609672,0.00013047605144240058,1634033.4720198307,0.0,0.0,562964.1976496069,4664.704303249814,2086.1191834004753,0.014361499994999999,0.31039394368936524,0.226212,0.0013424306313549361,0.0006003532293575195,25,5,0.0347494688,0.0008539142656667571,0.00038188206899753674,0.01594,0.00034058772731852853,0.0001523154621172784,0.015695999999999998,0.0012904572832914691,0.0005771100414998857,863988.2417217896,0.0,0.0,250677.31622665803,6531.71305507378,2921.07088013356,0.019361499990999998,0.31039394368936524,0.11572,0.0018592471594707346,0.0008314806071099909,25,5,0.0484331306,0.0015253855652335234,0.0006821731631518196,0.002264,0.00026130442016927325,0.00011685888926393241,0.002448,0.0004439819816163715,0.0001985547783358537,428829.04594119533,0.0,0.0,185836.57967738155,5140.560036913321,2298.9283369914024,0.033111499995,0.31039394368936524,0.109676,0.001428786198141623,0.0006389726128716305,0.8358759321901529,0.011091039766267607,0.004960063771705549,25,5,0.0,0.0,0.0,0.23026399999999997,0.0012075926465493223,0.0005400518493626323,0.23070400000000002,0.0026219992372233914,0.00117259370627682,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.31039394368936524,0.20563199999999998,0.0015995999499874834,0.0007153628449954553,25,5,0.0,0.0,0.0,0.315716,0.003818806096150978,0.0017078220047768368,0.313664,0.007562518099151892,0.003382060910155225,1108539.454106598,0.0,0.0,0.0,0.0,0.0,0.016861499993,0.31039394368936524,0.14940799999999999,0.0011010540404539709,0.0004924063362711764,25,5,0.0,0.0,0.0,0.002456,0.00011260550608207392,5.035871324805666e-05,0.002432,0.0002007984063681783,8.979977728257467e-05,377432.814922728,1768.3243998165633,790.8187128522704,0.0,0.0,0.0,0.0361114999944,0.31039394368936524,0.099902,0.001006016898466423,0.0004499044342968851,0.002560585849189665,0.0030038370262808,0.0013433567568189382,25,5,0.041583032799999996,0.0012555450671374545,0.000561496823786777,0.012487999999999999,0.00043785842460777234,0.0001958162403887891,0.012592,0.0010712235994413128,0.0004790657574905562,391983.0745667734,0.0,0.0,123024.39571366347,3096.920392081371,1384.9849035198495,0.030294200030999995,0.3947367507116568,0.1291,0.0021477895613863022,0.0009605206921248458,25,5,0.029814745599999998,0.0016242544240545576,0.000726388660988152,0.013124,0.0006143940103874713,0.00027476535443901953,0.012864,0.0012216709868045489,0.0005463478745268439,174157.76689830422,1091.4203374669642,488.09801332037847,88881.85450405526,5113.044626650138,2286.623071435948,0.063094450071,0.3947367507116568,0.05774,0.000326496554346288,0.00014601369798755088,-2.75454491952678,0.017572940954927854,0.00785885810796175,25,5,0.0,0.0,0.0,0.23424399999999998,0.003219484430774596,0.0014397972079428425,0.23278399999999996,0.003414510213778845,0.0015270153895753672,348913.32933630655,3787.349139061274,1693.7540258932625,0.0,0.0,0.0,0.033574225035,0.3947367507116568,0.11668,0.002089066777295544,0.0009342590647138501,25,5,0.0,0.0,0.0,0.232728,0.0015722976817384342,0.0007031528994464937,0.22999999999999998,0.004660300419500886,0.0020841497067149535,156288.92411604704,878.8805875392031,393.0473475685225,0.0,0.0,0.0,0.069654500079,0.3947367507116568,0.052068,0.0011952070950257973,0.0005345128623335467,-1.5149654613914911,0.015526994645967298,0.006943883102931632,25,5
0.075,20260805,0.08808882359999999,0.0008777489721536506,0.0003925412737832265,0.012556000000000001,0.0005492540395845995,0.00024563387388550496,0.012032,0.0004983171680767179,0.00022285421243494586,1954144.81701459,0.0,0.0,612815.3396713145,8920.326885028679,3989.291459288615,0.013111499996,0.17715347882531252,0.27009999999999995,0.0012712198865656268,0.0005685068161420625,25,5,0.0331888124,0.0012108838667720327,0.0005415237277920128,0.024187999999999998,0.0005762985337479182,0.00025772853935876033,0.024832,0.001309167674516904,0.0005854775828330233,1033701.3803322308,12777.531310220886,5714.285718857171,240544.6064750501,8135.653990663442,3638.375072908179,0.018111499992,0.17715347882531252,0.13836800000000002,0.0014888653397805902,0.0006658408218185442,25,5,0.0484346944,0.0016030375456302624,0.0007169001845027375,0.003896,0.0002459268183830304,0.00010998181667894016,0.00392,0.00043081318457076026,0.00019266551326067668,483134.1578408869,0.0,0.0,177018.278994431,5278.274710879941,2360.5162114891195,0.028111499996,0.17715347882531252,0.128912,0.001489906037305696,0.0006663062359005747,0.728840137402319,0.012254024103457144,0.005480166178650218,25,5,0.0,0.0,0.0,0.232328,0.001388135440077795,0.000620793041198107,0.23492800000000003,0.004164074927279765,0.0018622309201600097,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.17715347882531252,0.26872799999999997,0.0018847068737604753,0.0008428665374779075,25,5,0.0,0.0,0.0,0.31667999999999996,0.002583989164063944,0.001155595084793967,0.315792,0.004816172754376637,0.0021538579340337114,1453047.8055698175,0.0,0.0,0.0,0.0,0.0,0.015611499994,0.17715347882531252,0.197044,0.002030339873026185,0.0009079955947029683,25,5,0.0,0.0,0.0,0.004028,0.00022432119828495926,0.00010031948963187563,0.003936,0.0007253137252251607,0.00032437015892341266,483134.1578408869,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.17715347882531252,0.129116,0.0013147927593351004,0.0005879931972395611,0.009567188307379298,0.01151670234789666,0.005150425865305673,25,5,0.0474171236,0.0005382093964088702,0.000240694559299873,0.020328000000000002,0.0008183642220918507,0.00036598360619022265,0.020111999999999998,0.0005501999636495814,0.00024605690398767544,528451.2560838609,0.0,0.0,138270.11238995887,2181.2210276539413,975.4716983572322,0.023734150023,0.18370699966492376,0.175348,0.0008938232487466373,0.0003997299088134369,25,5,0.0332863912,0.0014557197157932542,0.0006510176481400781,0.020032,0.0005041031640448224,0.00022544178849539015,0.019535999999999998,0.0006630837051232667,0.00029654004788560995,235524.8730082186,1646.9857030261358,736.5543979873441,99433.34611625852,3539.481857822039,1582.904407843465,0.0480063350526,0.18370699966492376,0.077608,0.0008773368794254619,0.00039235698031257386,-2.7144725655782986,0.006875912797393551,0.0030750016844665437,25,5,0.0,0.0,0.0,0.23661600000000002,0.0014626277721963414,0.0006541070248820192,0.23337599999999997,0.0009284826331170528,0.0004152300567155455,524386.246421717,9089.637933747053,4065.009662143828,0.0,0.0,0.0,0.023734150023,0.18370699966492376,0.17151999999999998,0.0012005831916198056,0.0005369171258211082,25,5,0.0,0.0,0.0,0.237612,0.0017590110858092935,0.0007866536722090591,0.237776,0.0015863417034170184,0.0007094335768766527,233291.3512158622,1693.6517553592878,757.4240910390422,0.0,0.0,0.0,0.0473503300518,0.18370699966492376,0.077564,0.001747878714327742,0.0007816751243323532,-1.4938780286290072,0.01203928142437,0.005384130333028363,25,5
0.1,20260805,0.07286312560000001,0.003979774006679882,0.0017798090428045835,0.021528,0.0007206386056824885,0.0003222793819033421,0.021456000000000003,0.002302971992882242,0.001029920385272571,2007478.15039059,73029.67439244574,32659.863263236864,504728.83537558344,34061.41899395525,15232.729656117288,0.013111499996,0.16039872318990112,0.278536,0.0020195246965561174,0.0009031589007478227,25,5,0.0222738436,0.0014996002852576428,0.000670641635382833,0.039284000000000006,0.0009048093721884196,0.0004046430525784428,0.039327999999999995,0.0016938476909096646,0.0007575117160810125,1069571.8393325245,18699.086963068657,8362.485913320323,157592.00869038317,8160.618162328252,3649.5393898770767,0.0171114999928,0.16039872318990112,0.14501999999999998,0.0014756693396557386,0.0006599393911564915,25,5,0.03156464639999999,0.0027149668615816095,0.0012141700918311482,0.007240000000000001,0.000539073278877743,0.00024108089928486697,0.00704,0.0007959899496852957,0.00035597752738059167,516467.49118088686,0.0,0.0,120985.76830313794,10207.757894729979,4565.048110095275,0.028111499996,0.16039872318990112,0.131986,0.0007700194802730767,0.00034436318037793154,0.5976950849576859,0.018309760708820705,0.008188373919335565,25,5,0.0,0.0,0.0,0.236584,0.002349527612095664,0.0010507406911317325,0.238672,0.0022037059694977323,0.0009855272700438015,1980811.48370259,59628.47944769705,26666.666687999943,0.0,0.0,0.0,0.013111499996,0.16039872318990112,0.27888799999999997,0.0017215458169912183,0.0007698986946345553,25,5,0.0,0.0,0.0,0.322388,0.0022247966199183174,0.000994959295649824,0.322592,0.003224704637637373,0.0014421317554231985,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.16039872318990112,0.20285999999999996,0.0008584870412533882,0.0003839270764090484,25,5,0.0,0.0,0.0,0.006936,0.00020119642143934886,8.997777503361602e-05,0.0064319999999999985,0.0006659729724245571,0.00029783216750378053,509800.82451288693,14907.119852980004,6666.666667999992,0.0,0.0,0.0,0.028111499996,0.16039872318990112,0.13251,0.0007472282114588592,0.00033417061510551926,0.00887834718578133,0.008279872289830584,0.003702871457015605,25,5,0.0336287784,0.0014105367554866483,0.0006308112140060289,0.0338,0.0005236410984634409,0.0002341794183953829,0.033664000000000006,0.0012398709610278004,0.0005544871504372308,548776.3043945801,0.0,0.0,99120.56284074552,3680.978882384661,1646.183800950661,0.023734150023,0.16046348209667194,0.180416,0.0011892350482557972,0.000531842081825041,25,5,0.0231447184,0.0008818854069882339,0.0003943911436781518,0.033628,0.0008097653981246657,0.0003621380952067866,0.03448,0.0012912009913255188,0.0005774426378437952,242337.1144750587,1.4551915228366852e-11,6.507814330688531e-12,69282.42122117244,1917.1926902399957,857.3946362684655,0.046694325051,0.16046348209667194,0.07959599999999999,0.000905582685346848,0.0004049888887364709,-2.6382761641685955,0.006514135606550037,0.002913210006179541,25,5,0.0,0.0,0.0,0.244944,0.002455499949093886,0.0010981329609842402,0.24718400000000001,0.0032285724399492783,0.0014438614892017887,548776.3043945801,5.820766091346741e-11,2.6031257322754125e-11,0.0,0.0,0.0,0.023734150023,0.16046348209667194,0.18146800000000002,0.0008469474599997486,0.00037876641878604436,25,5,0.0,0.0,0.0,0.24267600000000003,0.0025605624382154745,0.0011451183344964812,0.24435199999999999,0.006413386001169746,0.002868153412912219,242337.1144750587,1.4551915228366852e-11,6.507814330688531e-12,0.0,0.0,0.0,0.046694325051,0.16046348209667194,0.080684,0.0008031687244906884,0.0003591879730725959,-1.4554287482922361,0.010208347728946097,0.004565311891975814,25,5
0.15,20260805,0.0365213716,0.001486006371512854,0.0006645622523401096,0.043368000000000004,0.0010426504687573873,0.00046628746498270774,0.043504,0.0010813325113026074,0.00048358660031063794,2087478.1504545896,0.0,0.0,264482.49633130495,9602.510817634666,4294.373388581639,0.013111499996,0.15952628868403051,0.280312,0.002298938885660064,0.0010281167248907038,25,5,0.0,0.0,0.0,0.08065199999999999,0.0008297710527609465,0.0003710848959470082,0.080928,0.001829185611139558,0.0008180366739945096,1146634.6922323122,0.0,0.0,0.0,0.0,0.0,0.016861499993,0.15952628868403051,0.154844,0.0014250192981149423,0.0006372880039668097,25,5,3.2013399999999994e-05,7.158413859089174e-05,3.201339999999999e-05,0.015543999999999999,0.0005847050538519394,0.00026148804944012234,0.015504,0.0018576544350335999,0.0008307683190878192,509800.82451288693,14907.119852980004,6666.666667999992,118.0000000236,263.85602139774636,118.00000002359998,0.028111499996,0.15952628868403051,0.13275399999999998,0.0006372440662728763,0.0002849842100889065,0.3680703326802562,0.004376873762788916,0.0019573974525062612,25,5,0.0,0.0,0.0,0.24731599999999995,0.0024480359474484794,0.0010947949579715804,0.2476,0.0020230669786242667,0.0009047430574477948,2087478.1504545896,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.15952628868403051,0.28192399999999995,0.002679716402905366,0.0011984056074635227,25,5,0.0,0.0,0.0,0.33214399999999994,0.0010047288191347846,0.00044932838770769394,0.333824,0.00557663697939898,0.0024939478743550426,1554033.471955831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.15952628868403051,0.213096,0.0014178434328232367,0.0006340788594488828,25,5,0.0,0.0,0.0,0.015244000000000002,0.0005548693539924512,0.000248145118831703,0.014992,0.0011819983079514103,0.0005286057131738167,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.15952628868403051,0.13217399999999999,0.0008165659801877626,0.0003651794079627167,0.004486952187665846,0.009074252278235438,0.004058128987823355,25,5,0.0014396476000000003,0.0005595021162433616,0.00025021695309502916,0.069484,0.0010275602172135705,0.0004595388993327986,0.07067200000000001,0.002425596833771017,0.0010847598812640503,548776.30439458,0.0,0.0,4365.33288910056,1632.1734560496807,729.9301597595702,0.023734150023,0.15952622427173224,0.183276,0.0019386799632739947,0.0008670040368994895,25,5,0.0001422892,0.00018418401042218622,8.236959353450762e-05,0.06947600000000001,0.0016262472136793998,0.0007272798636013527,0.06748799999999999,0.002095022672908346,0.0009369226222052737,246245.77761173545,0.0,0.0,418.23776658574764,521.3450221885686,233.15258186895508,0.046694325051,0.15952622427173224,0.08134,0.0008535806933149286,0.0003817328909067161,-2.4254005659424847,0.007338659378235643,0.0032819482466902475,25,5,0.0,0.0,0.0,0.26218400000000003,0.001169221963529593,0.0005228919582475899,0.26307200000000003,0.0036527688128322622,0.0016335678743168288,548776.30439458,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.15952622427173224,0.183964,0.0013468778712266405,0.0006023420954905952,25,5,0.0,0.0,0.0,0.263964,0.000450643983650068,0.00020153411621857116,0.26399999999999996,0.0020653329029481217,0.0009236449534317952,247027.5102390708,1748.0072949513612,781.7326273353538,0.0,0.0,0.0,0.046694325051,0.15952622427173224,0.081384,0.0008800454533715805,0.00039356829140569505,-1.3368465947872816,0.014676708883520602,0.006563623749905422,25,5
