height_ag,global_seed,R_sk-BB84,R_sk_std-BB84,R_sk_sem-BB84,QBER_total-BB84,QBER_total_std-BB84,QBER_total_sem-BB84,QBER_est-BB84,QBER_est_std-BB84,QBER_est_sem-BB84,Throughputs-BB84,Throughputs_std-BB84,Throughputs_sem-BB84,Throughput_final-BB84,Throughput_final_std-BB84,Throughput_final_sem-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_s_std-BB84,R_s_sem-BB84,N_keys-BB84,N_replicas-BB84,R_sk-B92,R_sk_std-B92,R_sk_sem-B92,QBER_total-B92,QBER_total_std-B92,QBER_total_sem-B92,QBER_est-B92,QBER_est_std-B92,QBER_est_sem-B92,Throughputs-B92,Throughputs_std-B92,Throughputs_sem-B92,Throughput_final-B92,Throughput_final_std-B92,Throughput_final_sem-B92,Latency-B92,Loss-B92,R_s-B92,R_s_std-B92,R_s_sem-B92,N_keys-B92,N_replicas-B92,R_sk-COW,R_sk_std-COW,R_sk_sem-COW,QBER_total-COW,QBER_total_std-COW,QBER_total_sem-COW,QBER_est-COW,QBER_est_std-COW,QBER_est_sem-COW,Throughputs-COW,Throughputs_std-COW,Throughputs_sem-COW,Throughput_final-COW,Throughput_final_std-COW,Throughput_final_sem-COW,Latency-COW,Loss-COW,R_s-COW,R_s_std-COW,R_s_sem-COW,Visibility-COW,Visibility_std-COW,Visibility_sem-COW,N_keys-COW,N_replicas-COW,R_sk-BB84+Eve,R_sk_std-BB84+Eve,R_sk_sem-BB84+Eve,QBER_total-BB84+Eve,QBER_total_std-BB84+Eve,QBER_total_sem-BB84+Eve,QBER_est-BB84+Eve,QBER_est_std-BB84+Eve,QBER_est_sem-BB84+Eve,Throughputs-BB84+Eve,Throughputs_std-BB84+Eve,Throughputs_sem-BB84+Eve,Throughput_final-BB84+Eve,Throughput_final_std-BB84+Eve,Throughput_final_sem-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_s_std-BB84+Eve,R_s_sem-BB84+Eve,N_keys-BB84+Eve,N_replicas-BB84+Eve,R_sk-B92+Eve,R_sk_std-B92+Eve,R_sk_sem-B92+Eve,QBER_total-B92+Eve,QBER_total_std-B92+Eve,QBER_total_sem-B92+Eve,QBER_est-B92+Eve,QBER_est_std-B92+Eve,QBER_est_sem-B92+Eve,Throughputs-B92+Eve,Throughputs_std-B92+Eve,Throughputs_sem-B92+Eve,Throughput_final-B92+Eve,Throughput_final_std-B92+Eve,Throughput_final_sem-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_s_std-B92+Eve,R_s_sem-B92+Eve,N_keys-B92+Eve,N_replicas-B92+Eve,R_sk-COW+Eve,R_sk_std-COW+Eve,R_sk_sem-COW+Eve,QBER_total-COW+Eve,QBER_total_std-COW+Eve,QBER_total_sem-COW+Eve,QBER_est-COW+Eve,QBER_est_std-COW+Eve,QBER_est_sem-COW+Eve,Throughputs-COW+Eve,Throughputs_std-COW+Eve,Throughputs_sem-COW+Eve,Throughput_final-COW+Eve,Throughput_final_std-COW+Eve,Throughput_final_sem-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,R_s_std-COW+Eve,R_s_sem-COW+Eve,Visibility-COW+Eve,Visibility_std-COW+Eve,Visibility_sem-COW+Eve,N_keys-COW+Eve,N_replicas-COW+Eve,R_sk-BBM92,R_sk_std-BBM92,R_sk_sem-BBM92,QBER_total-BBM92,QBER_total_std-BBM92,QBER_total_sem-BBM92,QBER_est-BBM92,QBER_est_std-BBM92,QBER_est_sem-BBM92,Throughputs-BBM92,Throughputs_std-BBM92,Throughputs_sem-BBM92,Throughput_final-BBM92,Throughput_final_std-BBM92,Throughput_final_sem-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_s_std-BBM92,R_s_sem-BBM92,N_keys-BBM92,N_replicas-BBM92,R_sk-E91,R_sk_std-E91,R_sk_sem-E91,QBER_total-E91,QBER_total_std-E91,QBER_total_sem-E91,QBER_est-E91,QBER_est_std-E91,QBER_est_sem-E91,Throughputs-E91,Throughputs_std-E91,Throughputs_sem-E91,Throughput_final-E91,Throughput_final_std-E91,Throughput_final_sem-E91,Latency-E91,Loss-E91,R_s-E91,R_s_std-E91,R_s_sem-E91,CHSH_S-E91,CHSH_S_std-E91,CHSH_S_sem-E91,N_keys-E91,N_replicas-E91,R_sk-BBM92+Eve,R_sk_std-BBM92+Eve,R_sk_sem-BBM92+Eve,QBER_total-BBM92+Eve,QBER_total_std-BBM92+Eve,QBER_total_sem-BBM92+Eve,QBER_est-BBM92+Eve,QBER_est_std-BBM92+Eve,QBER_est_sem-BBM92+Eve,Throughputs-BBM92+Eve,Throughputs_std-BBM92+Eve,Throughputs_sem-BBM92+Eve,Throughput_final-BBM92+Eve,Throughput_final_std-BBM92+Eve,Throughput_final_sem-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_s_std-BBM92+Eve,R_s_sem-BBM92+Eve,N_keys-BBM92+Eve,N_replicas-BBM92+Eve,R_sk-E91+Eve,R_sk_std-E91+Eve,R_sk_sem-E91+Eve,QBER_total-E91+Eve,QBER_total_std-E91+Eve,QBER_total_sem-E91+Eve,QBER_est-E91+Eve,QBER_est_std-E91+Eve,QBER_est_sem-E91+Eve,Throughputs-E91+Eve,Throughputs_std-E91+Eve,Throughputs_sem-E91+Eve,Throughput_final-E91+Eve,Throughput_final_std-E91+Eve,Throughput_final_sem-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,R_s_std-E91+Eve,R_s_sem-E91+Eve,CHSH_S-E91+Eve,CHSH_S_std-E91+Eve,CHSH_S_sem-E91+Eve,N_keys-E91+Eve,N_replicas-E91+Eve
2,20260805,0.06834474399999999,0.0013007827663772324,0.0005817277379159438,0.022983999999999997,0.0007435590090907374,0.00033252969792185456,0.022767999999999997,0.0007213321010463904,0.0003225895224584952,1954144.81701459,0.0,0.0,477686.5503384459,7640.839209287388,3417.087175422468,0.013111499996,0.18663968015832488,0.270176,0.0013530262377352321,0.000605091728583354,25,5,0.017373456000000002,0.0011103136660772935,0.0004965473667391661,0.045264,0.0006875172725103,0.0003074670714076557,0.044688,0.0013140471833233398,0.0005876597655106231,1056558.5232076594,0.0,0.0,127844.29324997016,10367.497810390205,4636.485972122545,0.018111499992,0.18663968015832488,0.140384,0.0019024931011701498,0.0008508207801881679,25,5,0.026192424600000003,0.0011410035716553656,0.00051027230975829,0.00786,0.0006675327707311457,0.0002985297305127247,0.007568,0.0008515397818070507,0.0003808201675331808,483134.1578408869,0.0,0.0,96703.9019447609,3955.8345136296666,1769.1029760431504,0.028111499996,0.18663968015832488,0.12767000000000003,0.001345157983286722,0.0006015729382211273,0.5718703318488048,0.014076697613782477,0.00629529055262534,25,5,0.0,0.0,0.0,0.236672,0.0019489792200021088,0.0008716100045318466,0.235184,0.002711988200564298,0.0012128379941278207,2007478.15039059,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.18663968015832488,0.276152,0.0020173547035660377,0.0009021884503805195,25,5,0.0,0.0,0.0,0.323136,0.0030915821192392876,0.0013825975553283813,0.32289599999999996,0.004970118710855915,0.0022227046587434893,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.18663968015832488,0.20564,0.0017356266879718152,0.0007761958515735591,25,5,0.0,0.0,0.0,0.007488,0.0003598888717368188,0.00016094719630984592,0.0074080000000000005,0.0004885898075072794,0.00021850400453996273,509800.82451288693,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.18663968015832488,0.131326,0.0011381695831465413,0.000509004911567653,0.003639069011551205,0.004067794321146422,0.001819172924114202,25,5,0.0323912916,0.0011634436811443875,0.0005203078318062881,0.035504,0.0005659328582084618,0.0002530928683309741,0.034416,0.001026683982537959,0.00045914703527301663,528451.2560838609,0.0,0.0,92628.70071656108,3024.4302258454327,1352.5663156390858,0.023734150023,0.17310293592674475,0.17825600000000003,0.0008396904191426778,0.00037552097145166364,25,5,0.0214114652,0.0005017453247826039,0.00022438733072132242,0.036036,0.000493639544607196,0.00022076231562474596,0.035856,0.0014788103326660903,0.0006613440859340911,238428.4513383819,0.0,0.0,63376.82063959894,1534.40901504176,686.2085725843746,0.046694325051,0.17310293592674475,0.07922,0.0011075197515168702,0.0004952978901630794,-2.626461659088453,0.004428857884979568,0.001980645458700052,25,5,0.0,0.0,0.0,0.24506,0.0010913294644606727,0.00048805737367650095,0.24392,0.0032824381182285883,0.001467950952859123,548776.3043945801,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.17310293592674475,0.17992400000000003,0.0013494739715904048,0.000603503106868553,25,5,0.0,0.0,0.0,0.245084,0.0007626794870717334,0.00034108063562741356,0.245952,0.003932469961741616,0.00175865403078605,242337.1144750587,0.0,0.0,0.0,0.0,0.0,0.046694325051,0.17310293592674475,0.07964,0.0012928263611173814,0.0005781695253124312,-1.4521814161669604,0.007245627407505523,0.0032403430845635837,25,5
5,20260805,0.06922679880000002,0.0026609162803360033,0.001189997937053438,0.022204,0.000986245405565977,0.0004410623538684748,0.02352,0.001349370223474641,0.000603456709300676,2007478.15039059,73029.67439244574,32659.863263236864,483880.6007581898,35808.744470679434,16014.157365071787,0.013111499996,0.1610424306055901,0.278752,0.0012025472963671793,0.0005377955001671197,25,5,0.0192752824,0.0018319009713886841,0.0008192510200145989,0.042547999999999996,0.0014900738236745207,0.0006663812722458527,0.04265599999999999,0.002364673338962488,0.001057514066100305,1070444.2159808837,0.0,0.0,139965.50624204887,13200.06721434172,5903.249519766874,0.016861499993,0.1610424306055901,0.14275600000000002,0.0016130344075685325,0.000721370917073868,25,5,0.0296601532,0.0027218114280366146,0.0012172310750051293,0.007384,0.0003479655155327887,0.0001556149093114149,0.00712,0.000632455532033676,0.00028284271247461907,496467.49117688683,18257.418587156997,8164.965810910243,108602.55235705836,10998.50049636831,4918.678952088943,0.028111499996,0.1610424306055901,0.132496,0.001124824430744634,0.0005030367779795011,0.5821561451831524,0.018420145472603774,0.008237739486435405,25,5,0.0,0.0,0.0,0.23669199999999999,0.0013359341301127114,0.0005974479056788143,0.240816,0.004075841017507919,0.0018227715161259234,2034144.8170785897,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.1610424306055901,0.27746,0.002194629809330048,0.0009814682878218778,25,5,0.0,0.0,0.0,0.32176000000000005,0.0018564482217395513,0.0008302288841036478,0.32344,0.0050491979561114305,0.0022580699723436315,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1610424306055901,0.20520799999999997,0.0012510475610463558,0.0005594854779169938,25,5,0.0,0.0,0.0,0.007408,0.000386419461207636,0.0001728120366178234,0.007136000000000001,0.0006867896330027119,0.00030714166112723936,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1610424306055901,0.13208,0.0011377170122662387,0.0005088025157170544,0.010013824417860256,0.01718330201150728,0.0076846062751278294,25,5,0.0303648908,0.001793821781196003,0.0008022214884548033,0.035992,0.0008796135515099819,0.00039337513902126646,0.036752,0.0016710236383725952,0.0007473044894820297,548776.3043945801,5.820766091346741e-11,2.6031257322754125e-11,88773.18338851043,5106.904965350797,2283.877331431118,0.023734150023,0.16062278033448008,0.18043199999999998,0.0006759585786126144,0.0003022978663503882,25,5,0.022023754399999998,0.0010348050295697247,0.00046277887791531684,0.036072,0.0008398333167956614,0.00037558487722484294,0.035615999999999995,0.0008933532336091933,0.0003995197116538812,242337.1144750587,1.4551915228366852e-11,6.507814330688531e-12,64687.397786401634,3068.5956567878416,1372.3176968076455,0.046694325051,0.16062278033448008,0.08100399999999999,0.0017064231597115644,0.0007631356366990076,-2.624615687477716,0.009702470879769182,0.004339076887375216,25,5,0.0,0.0,0.0,0.244572,0.002414315638022514,0.0010797147771518234,0.244,0.003597332344946734,0.0016087759321919237,548776.3043945801,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.16062278033448008,0.180072,0.00037512664528129285,0.0001677617358040843,25,5,0.0,0.0,0.0,0.244644,0.0011492954363435009,0.00051398054437887,0.24620799999999998,0.0022989388856600847,0.0010281167248907131,243900.57972972942,2140.862969646759,957.4230261284445,0.0,0.0,0.0,0.046694325051,0.16062278033448008,0.07976,0.000770973410695856,0.0003447897910321595,-1.4424775737887092,0.012048679998643402,0.005388333503221744,25,5
8,20260805,0.07052227400000001,0.0024147927554036587,0.0010799281505313207,0.022128000000000002,0.00052661181148926,0.000235507961648858,0.022352,0.0011251311034719484,0.0005031739261925252,2007478.15039059,73029.67439244574,32659.863263236864,494069.91518315737,23881.025881336052,10679.919448619847,0.013111499996,0.1601003824220022,0.27588,0.002258096543551699,0.0010098514742277827,25,5,0.0191767908,0.0007717924424631269,0.0003451560731736294,0.042491999999999995,0.0004143911195959672,0.00018532134253776555,0.043216,0.0008660715905743567,0.00038731898998112555,1075286.1250513815,10826.837822506313,4841.9090704979835,136487.36076597188,8908.359213064114,3983.939353679578,0.0171114999928,0.1601003824220022,0.14523599999999998,0.0014325780956024776,0.0006406684009688665,25,5,0.0298711318,0.0015280496379503502,0.0006833645726901851,0.007228,0.00027298351598585606,0.00012208193969625493,0.007312000000000001,0.0007602104971650942,0.00033997646977401236,509800.82451288693,14907.119852980002,6666.666667999991,112197.9923733578,5558.827892076348,2485.9834083809155,0.028111499996,0.1601003824220022,0.13198800000000002,0.001490057045887849,0.0006663737689915507,0.5857166882415482,0.013009029261886924,0.005817814750172615,25,5,0.0,0.0,0.0,0.23702399999999998,0.0010595659488677387,0.000473852297662466,0.23878400000000002,0.00333629734885847,0.0014920375330399738,1980811.48370259,59628.47944769706,26666.666687999947,0.0,0.0,0.0,0.013111499996,0.1601003824220022,0.276112,0.0017504627959485442,0.0007828307607650576,25,5,0.0,0.0,0.0,0.320208,0.0018461094225424397,0.0008256052325415555,0.320496,0.00467586141796357,0.0020911087967870196,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1601003824220022,0.205424,0.0010419596921186526,0.0004659785402784118,25,5,0.0,0.0,0.0,0.007588,0.0003454272716506331,0.00015447977213862033,0.008383999999999999,0.000686789633002712,0.0003071416611272394,509800.82451288693,14907.119852980004,6666.666667999992,0.0,0.0,0.0,0.028111499996,0.1601003824220022,0.13156400000000001,0.0009056102914609748,0.00040500123456602735,0.006997075929961077,0.012252886352816765,0.005479657361095552,25,5,0.0321017128,0.0014037526805691942,0.0006277772834700532,0.035328000000000005,0.0005147037983151054,0.00023018253626198344,0.035216000000000004,0.0013052509337288392,0.0005837259631025515,548776.30439458,1.0081862609186659e-10,4.508746026790953e-11,93727.43515251552,3656.742184886688,1635.3448203195476,0.023734150023,0.16012326230365437,0.18135999999999997,0.001499533260718151,0.0006706116610975401,25,5,0.0219350188,0.0008804868909116122,0.0003937657082751613,0.036124,0.0005641630969852595,0.0002523014070511694,0.036368,0.002706791458535364,0.0012105139404401753,242337.1144750587,1.4551915228366852e-11,6.507814330688531e-12,65247.36095667524,3125.885483987117,1397.9384864150047,0.046694325051,0.16012326230365437,0.08018800000000001,0.0017284443873032186,0.0007729838290675942,-2.6262523728032363,0.010039207010426654,0.0044896698631012874,25,5,0.0,0.0,0.0,0.24270399999999998,0.0015564960648842133,0.0006960862015584048,0.24328,0.002320689552697662,0.0010378439189011105,548776.30439458,1.0081862609186659e-10,4.508746026790953e-11,0.0,0.0,0.0,0.023734150023,0.16012326230365437,0.18152399999999996,0.0007783829391758149,0.0003481034329046412,25,5,0.0,0.0,0.0,0.24374800000000002,0.0017166595469108082,0.0007677134882233112,0.242768,0.0031701608791984124,0.0014177390450996299,242337.1144750587,2.0579515874459978e-11,9.203439287865707e-12,0.0,0.0,0.0,0.046694325051,0.16012326230365437,0.08032,0.0015547347040572508,0.0006952984970500061,-1.445128463668484,0.014496170617488199,0.006482884582827742,25,5
10,20260805,0.072745094,0.0019703382531225423,0.0008811620545300384,0.021924,0.0004119223227745739,0.0001842172630347114,0.021344000000000002,0.0011529440576194506,0.0005156122574183051,1980811.48370259,59628.47944769705,26666.666687999943,499997.696143288,20309.62293919016,9082.739497883655,0.013111499996,0.15994611972724282,0.27739600000000003,0.0014185485539804433,0.0006343941992168602,25,5,0.019278217199999996,0.0012686032254764284,0.0005673366097281574,0.042728,0.0005581397674418124,0.00024960769218916324,0.042848,0.0016488541475824965,0.0007373899917953866,1070444.2159808837,0.0,0.0,137858.93629420962,9999.712572041986,4472.007413309028,0.016861499993,0.15994611972724282,0.144144,0.0012285275739681277,0.0005494142335251269,25,5,0.028137806999999997,0.0015465952123257726,0.0006916584056872296,0.007468,0.00036072149922065867,0.00016131955864060604,0.008000000000000002,0.001038460398859774,0.0004644136087583999,503134.15784488694,18257.418587156997,8164.965810910243,104311.95448704596,5035.13961827349,2251.782892532373,0.028111499996,0.15994611972724282,0.13269599999999998,0.0007159120057660703,0.0003201655821602309,0.5744245545798647,0.009997830691293638,0.004471165810653257,25,5,0.0,0.0,0.0,0.23626399999999997,0.0032164390247601533,0.0014384352609693664,0.234816,0.004445006186722339,0.0019878671987836544,2034144.8170785897,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.15994611972724282,0.276568,0.0016429607420751092,0.0007347543807286886,25,5,0.0,0.0,0.0,0.32291600000000004,0.0023759377096211945,0.0010625516458036294,0.323152,0.003124407143763433,0.0013972773525681987,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.15994611972724282,0.20402,0.0020213361917306126,0.0009039690260180395,25,5,0.0,0.0,0.0,0.007816,0.00059454184041159,0.00026588719412562933,0.007904,0.0006867896330027116,0.0003071416611272392,509800.82451288693,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.15994611972724282,0.131528,0.0005280814331142481,0.00023616519641979345,0.015292759840592996,0.017987868071773626,0.008044419155756778,25,5,0.032825879599999996,0.00134219943086592,0.0006002498333555453,0.035372,0.000490428384170412,0.00021932624102008458,0.034592,0.0010786658426037237,0.000482394029813803,548776.3043945801,0.0,0.0,95920.7596452985,3433.847856747909,1535.663446416057,0.023734150023,0.16003292135946312,0.181768,0.0032812985234507443,0.0014674413105811104,25,5,0.022475862399999994,0.0016479010008161276,0.0007369637316029595,0.036275999999999996,0.0005231443395469366,0.00023395726105423633,0.035615999999999995,0.0012018652170688714,0.0005374904650317074,242337.1144750587,2.0579515874459978e-11,9.203439287865707e-12,66546.02495752365,4111.780198949176,1838.8440066775934,0.046694325051,0.16003292135946312,0.080512,0.0011825903770959734,0.0005288704945447414,-2.6304812352438427,0.017903063300980997,0.008006493309295057,25,5,0.0,0.0,0.0,0.24447599999999997,0.001424106737572701,0.0006368798944856026,0.24788800000000002,0.002532097944393151,0.0011323886258701136,548776.30439458,1.0081862609186659e-10,4.508746026790953e-11,0.0,0.0,0.0,0.023734150023,0.16003292135946312,0.179284,0.001016208639994759,0.0004544623196701785,25,5,0.0,0.0,0.0,0.244612,0.0021338978419783864,0.0009543081263407552,0.246736,0.0042079543723761974,0.0018818544045701281,244682.31235706474,2140.8629696467565,957.4230261284432,0.0,0.0,0.0,0.046694325051,0.16003292135946312,0.080784,0.0008375440286934144,0.00037456107646150177,-1.4430078994274866,0.014546941966832334,0.006505590220516317,25,5
20,20260805,0.0714873628,0.0017008527799610388,0.0007606444871424749,0.021668,0.00016709278859364398,7.472616676907788e-05,0.022016,0.0009901919005930123,0.00044282728009913797,2007478.15039059,73029.67439244574,32659.863263236864,501033.2615644536,28520.35274516354,12754.689496091682,0.013111499996,0.1597693734970531,0.27734800000000004,0.0017670653638165205,0.0007902556548358274,25,5,0.0201502692,0.0010109106656313398,0.00045209299350624724,0.041648,0.0005636665681056478,0.00025207935258564866,0.042176000000000005,0.0009302042786399115,0.00041599999999999954,1070444.2159808837,0.0,0.0,142774.63317340103,6141.507313204947,2746.5655673276706,0.016861499993,0.1597693734970531,0.14634,0.0022052210773525556,0.0009862048468751272,25,5,0.028628400800000002,0.0015609033162969107,0.0006980571843089495,0.007292,0.0002844644090215856,0.00012721635115031397,0.007456,0.0005134978091481982,0.0002296432015105169,509800.82451288693,14907.119852980004,6666.666667999992,107719.31282851542,6134.888628142367,2743.6056013833527,0.028111499996,0.1597693734970531,0.131816,0.001479401906176959,0.0006616086456508893,0.5765255537403661,0.008435406856805853,0.003772428629937144,25,5,0.0,0.0,0.0,0.236976,0.0025710075845862606,0.0011497895459604839,0.237696,0.006761159663844675,0.003023682523017264,2007478.15039059,73029.67439244573,32659.863263236857,0.0,0.0,0.0,0.013111499996,0.1597693734970531,0.27616399999999997,0.002785871497395392,0.0012458796089510448,25,5,0.0,0.0,0.0,0.322608,0.0021480037243915497,0.0009606164687324456,0.321408,0.0024183300022949878,0.001081510055431763,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1597693734970531,0.203728,0.002199481757141893,0.0009836381448479912,25,5,0.0,0.0,0.0,0.0071719999999999996,0.00025003999680051254,0.00011182128598795519,0.007168000000000001,0.0010682321844992318,0.00047772795605867586,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1597693734970531,0.13162200000000002,0.0007193886293235375,0.00032172037548156566,0.011698200386289248,0.009735121395004325,0.00435367864168845,25,5,0.031017530400000003,0.0006868144155729426,0.00030715274422957796,0.03625199999999999,0.0006245958693427288,0.0002793277644631837,0.036160000000000005,0.0008313843876330588,0.00037180640123591095,548776.3043945801,0.0,0.0,91348.93877184414,1979.393624726015,885.2117398234157,0.023734150023,0.15992156423514892,0.180704,0.0012783896119728032,0.0005717132148201534,25,5,0.021733923200000005,0.0009646334116373953,0.0004313971763577505,0.035584000000000005,0.001118874434420591,0.0005003758587302144,0.03584,0.0017223240113288763,0.000770246713722297,242337.1144750587,2.0579515874459978e-11,9.203439287865707e-12,65040.85009173535,3033.377281554744,1356.5675605919853,0.046694325051,0.15992156423514892,0.079692,0.0009242943254180463,0.00041335698857041263,-2.629249698700703,0.007708036825611425,0.0034471388630277675,25,5,0.0,0.0,0.0,0.24415599999999998,0.002140485926139193,0.0009572544071457658,0.24355200000000005,0.004164843334388462,0.0018625745622658976,548776.30439458,1.0081862609186659e-10,4.508746026790953e-11,0.0,0.0,0.0,0.023734150023,0.15992156423514892,0.180728,0.001549554774765947,0.0006929819622472066,25,5,0.0,0.0,0.0,0.24341200000000002,0.0020329092453919267,0.0009091446529568297,0.244752,0.0041893579460342166,0.0018735378298822807,243118.84710239404,1748.0072949513483,781.732627335348,0.0,0.0,0.0,0.046694325051,0.15992156423514892,0.07986800000000002,0.0009233200961746794,0.0004129213000076453,-1.446849009517122,0.011512538512904609,0.0051485637416878085,25,5
50,20260805,0.0704150488,0.0010931192883876885,0.0004888578072702136,0.021644,0.0004497554891271477,0.00020113676938839396,0.02264,0.0005276362383309167,0.00023596609926004197,2060811.4837665898,59628.47944769705,26666.666687999943,505196.8721385699,21396.79167436442,9568.936136856077,0.013111499996,0.15971981008951008,0.277364,0.0022032430642123925,0.0009853202525067688,25,5,0.020076654,0.0015230680669116546,0.0006811367463947315,0.042264,0.001205188781892698,0.000538976808406448,0.041999999999999996,0.002006389792637514,0.0008972847931398377,1075286.1250513815,10826.837822506313,4841.9090704979835,142676.1328889424,11086.011544537158,4957.815082586504,0.0171114999928,0.15971981008951008,0.14468399999999998,0.0014266323983423296,0.0006380094043194015,25,5,0.029203933999999997,0.0016697063172481869,0.000746715365565555,0.0074080000000000005,0.0004203807797699606,0.00018800000000000004,0.007888000000000001,0.001206117738863002,0.0005393922505932025,516467.49118088686,0.0,0.0,110622.95294084284,6120.549925242829,2737.1931385048442,0.028111499996,0.15971981008951008,0.13318,0.0011324310133513592,0.0005064385451365222,0.5813655195828903,0.010268213678693834,0.004592084758610519,25,5,0.0,0.0,0.0,0.23694,0.0017760630619434734,0.0007942795477664052,0.240304,0.001718045401029905,0.0007683332610267509,2087478.1504545896,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.15971981008951008,0.277988,0.00035031414473296,0.0001566652482205197,25,5,0.0,0.0,0.0,0.321868,0.0011605688260504026,0.0005190221575231658,0.321216,0.003556357687297519,0.0015904515082202384,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.15971981008951008,0.204184,0.0007283405796740896,0.0003257238093845732,25,5,0.0,0.0,0.0,0.007452,0.0004657467122803982,0.0002082882617912013,0.00736,0.0010291744264214876,0.00046026079563656037,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.15971981008951008,0.13178,0.0022585614890899023,0.0010100594041936343,0.01618987870150516,0.019371663890760553,0.00866327145940373,25,5,0.030418563600000004,0.0021266245477908883,0.0009510554102960352,0.03598,0.0010186265262597477,0.0004555436312802541,0.036688,0.002080461487266707,0.000930410662019734,548776.30439458,1.0081862609186659e-10,4.508746026790953e-11,89224.15096819999,6761.668953924022,3023.9102844648014,0.023734150023,0.1598877529595515,0.180232,0.0013179226077429562,0.0005893929079994082,25,5,0.0218386892,0.0012357997085325773,0.000552666430970654,0.035068,0.000693339743560112,0.0003100709596205365,0.034176,0.0014701292460188658,0.0006574617859617392,243118.84710239404,1748.0072949513549,781.7326273353508,65843.64328498057,3723.9477363543,1665.400056628936,0.046694325051,0.1598877529595515,0.079488,0.0004900204077382909,0.00021914378841299647,-2.6301512546635513,0.007127439873459826,0.003187488012519734,25,5,0.0,0.0,0.0,0.24512799999999996,0.0011855462875822239,0.0005301924179012735,0.245856,0.00220501247162006,0.000986111555555456,548776.30439458,1.1641532182693481e-10,5.206251464550825e-11,0.0,0.0,0.0,0.023734150023,0.1598877529595515,0.18048000000000003,0.0010826818553942893,0.0004841900453334456,25,5,0.0,0.0,0.0,0.245284,0.0014521294708117582,0.0006494120417731776,0.2452,0.003828315556481721,0.0017120747647226128,243118.847102394,1748.0072949513612,781.7326273353538,0.0,0.0,0.0,0.046694325051,0.1598877529595515,0.07916399999999998,0.0012726664920551618,0.0005691537577843075,-1.446518292393619,0.010001561759759357,0.0044728343951968685,25,5
