distance,R_sk-BB84,QBER-BB84,Throughputs-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_sk-B92,QBER-B92,Throughputs-B92,Latency-B92,Loss-B92,R_s-B92,R_sk-COW,QBER-COW,Throughputs-COW,Latency-COW,Loss-COW,R_s-COW,Visibility-COW,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,Visibility-COW+Eve,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
1100,0.15357620451314993,0.0293,1102839.8130037342,0.009067499996,0.24399589331927285,0.2484,0.05511829526452491,0.0521,710858.3618757325,0.014067499992,0.24399589331927285,0.1346,0.08640412585134669,0.0158,344026.83415223646,0.029067499995,0.24399589331927285,0.11905,0.9714867617107943,0.0,0.2403,1102839.8130037342,0.009067499996,0.24399589331927285,0.2446,0.0,0.3286,864491.0313539612,0.011567499994,0.24399589331927285,0.1924,0.0,0.0135,344026.83415223646,0.029067499995,0.24399589331927285,0.12075,0.0,0.05030332137195724,0.0595,972138.5073652817,0.010286600031,0.2417300507918838,0.1441,0.029532692491794466,0.0595,598239.0814331898,0.016715725051,0.2417300507918838,0.0846,-2.49519690256387,0.0,0.2606,972138.5073652817,0.010286600031,0.2417300507918838,0.1373,0.0,0.2568,598239.0814331898,0.016715725051,0.2417300507918838,0.0855,-1.3642521312547269
1200,0.15270162765662856,0.0296,968992.2485314885,0.010319999995,0.2663647830174134,0.2482,0.05347827440646334,0.0524,710732.0544197481,0.014069999992,0.2663647830174134,0.1314,0.08442884087916958,0.0158,343997.2480811829,0.029069999994999998,0.2663647830174134,0.11505,0.9870550161812298,0.0,0.2402,1102535.8329007875,0.009069999996,0.2663647830174134,0.2513,0.0,0.33,864304.235538965,0.011569999994,0.2663647830174134,0.1829,0.0,0.014,343997.2480811829,0.029069999994999998,0.2663647830174134,0.11685,0.010238907849829351,0.04602730269668713,0.061,971043.4804041145,0.010298200031,0.26213870831025143,0.1365,0.026902301759230463,0.0618,597565.2186879065,0.016734575051,0.26213870831025143,0.0813,-2.462958765964705,0.0,0.2646,971043.4804041145,0.010298200031,0.26213870831025143,0.1363,0.0,0.26,597565.2186879065,0.016734575051,0.26213870831025143,0.0851,-1.338127386497284
1300,0.14327792871379647,0.0311,968757.5688877489,0.010322499995,0.2904400264257584,0.2387,0.05004230737487292,0.0556,710605.7918411687,0.014072499992,0.2904400264257584,0.1315,0.08420146792363509,0.0164,343967.6670984552,0.029072499995,0.2904400264257584,0.1166,0.9901719901719902,0.0,0.2363,968757.5688877489,0.010322499995,0.2904400264257584,0.2387,0.0,0.3313,864117.5204307371,0.011572499994,0.2904400264257584,0.1849,0.0,0.0159,343967.6670984552,0.029072499995,0.2904400264257584,0.1133,0.04285714285714286,0.0430590510082436,0.0629,969950.9175669287,0.010309800031,0.2831727113636996,0.1336,0.021879054801749898,0.0655,554257.667158062,0.018042150055,0.2831727113636996,0.0724,-2.4924988528267384,0.0,0.2579,969950.9175669287,0.010309800031,0.2831727113636996,0.1321,0.0,0.2622,596892.8723266117,0.016753425050999998,0.2831727113636996,0.0801,-1.320752506893903
1400,0.12781771749471704,0.0353,968523.002890326,0.010324999995,0.31685287056677336,0.2285,0.0436274633260655,0.0602,652528.5485071946,0.015324999991,0.31685287056677336,0.127,0.07653609548717073,0.0173,343938.09120274085,0.029074999995,0.31685287056677336,0.10885,0.9896640826873385,0.0,0.2445,968523.002890326,0.010324999995,0.31685287056677336,0.2328,0.0,0.3254,863930.8859769836,0.011574999994,0.31685287056677336,0.1753,0.0,0.0156,343938.09120274085,0.029074999995,0.31685287056677336,0.11425,0.0,0.03640465571939745,0.0673,968860.8105455961,0.010321400030999999,0.30528336148051993,0.1262,0.020364565092122124,0.0695,553634.7488602094,0.018062450055,0.30528336148051993,0.0749,-2.437036322298582,0.0,0.2612,968860.8105455961,0.010321400030999999,0.30528336148051993,0.1281,0.0,0.2602,553634.7488602094,0.018062450055,0.30528336148051993,0.0809,-1.3898114537997321
1500,0.12005949320150823,0.0351,968288.5504566878,0.010327499995,0.3460437039986175,0.2139,0.04040915029537251,0.062,652422.1174928591,0.015327499991,0.3460437039986175,0.1227,0.06778892627658142,0.0174,343908.5203927278,0.029077499995,0.3460437039986175,0.1014,0.9732977303070761,0.0,0.2366,968288.5504566878,0.010327499995,0.3460437039986175,0.2317,0.0,0.3331,863744.332125456,0.011577499994,0.3460437039986175,0.1747,0.0,0.0163,343908.5203927278,0.029077499995,0.3460437039986175,0.1073,0.06937799043062201,0.032315631723808705,0.0709,860242.8009412348,0.011624625034999999,0.3289279463601392,0.1236,0.018092478892719175,0.0732,553013.2291595179,0.018082750055,0.3289279463601392,0.074,-2.408025924676978,0.0,0.2702,967773.1510692957,0.010333000031,0.3289279463601392,0.128,0.0,0.2591,553013.2291595179,0.018082750055,0.3289279463601392,0.0779,-1.3458566476463258
1600,0.11848886403657964,0.0366,968054.2115043824,0.010329999995,0.37813023180614447,0.2166,0.03160185330576219,0.0683,652315.7211918357,0.015329999991,0.37813023180614447,0.1125,0.06622037586260004,0.0174,343878.95466710435,0.029079999994999998,0.37813023180614447,0.1003,0.9795918367346939,0.0,0.2369,968054.2115043824,0.010329999995,0.37813023180614447,0.2315,0.0,0.3222,863557.8588239505,0.011579999994,0.37813023180614447,0.1663,0.0,0.0174,343878.95466710435,0.029079999994999998,0.37813023180614447,0.1058,0.0,0.03268118456706381,0.0695,859278.1607945972,0.011637675035,0.35447976862553376,0.1202,0.017623176137770938,0.0742,552393.1033510033,0.018103050055,0.35447976862553376,0.0743,-2.4805144666626964,0.0,0.2673,859278.1607945972,0.011637675035,0.35447976862553376,0.1229,0.0,0.267,552393.1033510033,0.018103050055,0.35447976862553376,0.0716,-1.3295713799845867
1700,0.10736482167599255,0.0397,967819.985951038,0.010332499995,0.41285944768702454,0.2072,0.022349294659931313,0.0778,603045.3795284459,0.01658249999,0.41285944768702454,0.1058,0.06101193027882098,0.0195,293405.70679264824,0.034082499994,0.41285944768702454,0.09865,0.9688385269121813,0.0,0.232,967819.985951038,0.010332499995,0.41285944768702454,0.2313,0.0,0.3247,779271.381683608,0.012832499992999999,0.41285944768702454,0.1673,0.0,0.0158,343849.39402455935,0.029082499995,0.41285944768702454,0.10245,0.0,0.030043963426801816,0.0724,858315.6816386062,0.011650725035,0.38214066107764144,0.12,0.018341644556849453,0.07,514989.40896548284,0.019417875059,0.38214066107764144,0.0684,-2.3645160278835573,0.0,0.2662,858315.6816386062,0.011650725035,0.38214066107764144,0.1191,0.0,0.2686,551774.3667507613,0.018123350055,0.38214066107764144,0.0703,-1.3125801420073977
1800,0.08932100149414539,0.0459,863185.1536624179,0.011584999993999999,0.44965502796445966,0.1931,0.014355815841024145,0.0885,602954.4773005453,0.016584999989999998,0.44965502796445966,0.1047,0.057011788242858484,0.0208,293384.18664398725,0.034084999994,0.44965502796445966,0.09215,0.9908675799086758,0.0,0.2432,967585.8737143618,0.010334999995,0.44965502796445966,0.2223,0.0,0.3312,779119.5952827298,0.012834999993,0.44965502796445966,0.1626,0.0,0.0169,343819.838463782,0.029084999995,0.44965502796445966,0.1,0.0,0.024358911980515378,0.0785,857355.3562197969,0.011663775034999999,0.41188652086318844,0.1181,0.012207425759946062,0.0818,482262.3878555465,0.020735600063,0.41188652086318844,0.0667,-2.4121836703917934,0.0,0.2638,857355.3562197969,0.011663775034999999,0.41188652086318844,0.1203,0.0,0.2634,514413.2137142368,0.019439625058999998,0.41188652086318844,0.0661,-1.3199232771545026
1900,0.07979994751178345,0.0491,862998.9216982087,0.011587499994,0.487730769728273,0.1835,0.010562780025112756,0.0919,560616.6786919009,0.017837499989,0.487730769728273,0.0923,0.05007846616070247,0.021,293362.66965193034,0.034087499994,0.487730769728273,0.08455,0.9853211009174312,0.0,0.2407,967351.8747121412,0.010337499994999999,0.487730769728273,0.2091,0.0,0.3305,778967.8680002162,0.012837499993,0.487730769728273,0.1537,0.0,0.0179,343790.28798346204,0.029087499995,0.487730769728273,0.1012,0.014040561622464899,0.02016074297370807,0.0808,770757.4595788164,0.012974250038999999,0.44346264035407124,0.1061,0.010649490884717108,0.0835,453386.7409143264,0.022056225066999998,0.44346264035407124,0.0622,-2.3483562490800796,0.0,0.2655,856397.1773171301,0.011676825035,0.44346264035407124,0.1168,0.0,0.2752,513838.3063726761,0.019461375059,0.44346264035407124,0.0688,-1.3598111501521248
2000,0.06975719619055357,0.0513,862812.770075658,0.011589999994,0.526224175232378,0.1676,0.006527952004264774,0.0992,560538.1169375515,0.017839999989,0.526224175232378,0.0973,0.04464552191356174,0.0219,255819.90283424762,0.039089999993,0.526224175232378,0.08115,0.9693486590038314,0.0,0.2492,967117.9888622428,0.010339999995,0.526224175232378,0.2059,0.0,0.3335,778816.1998015353,0.012839999993,0.526224175232378,0.1591,0.0,0.0176,293341.15581578313,0.034089999993999996,0.526224175232378,0.09785,0.0,0.014040483778574175,0.0884,699906.3854142326,0.014287625043,0.47642554053558883,0.1019,0.009289155757103519,0.086,452880.60231566906,0.022080875067,0.47642554053558883,0.0603,-2.28706955344089,0.0,0.2632,855441.1377418116,0.011689875035,0.47642554053558883,0.1181,0.0,0.2736,481185.6399617604,0.020782000063,0.47642554053558883,0.0691,-1.2929825877361563
