temperature,R_sk-BB84,QBER-BB84,Throughputs-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_sk-B92,QBER-B92,Throughputs-B92,Latency-B92,Loss-B92,R_s-B92,R_sk-COW,QBER-COW,Throughputs-COW,Latency-COW,Loss-COW,R_s-COW,Visibility-COW,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,Visibility-COW+Eve,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
273,0.18149223500513328,0.0234,1104057.4114729483,0.009057499996,0.1601003824220022,0.267,0.07482862306639809,0.041,780792.5048187037,0.012807499993,0.1601003824220022,0.1478,0.10436236779426712,0.0133,415670.78880443453,0.024057499996,0.1601003824220022,0.13125,0.9818731117824774,0.0,0.2272,1104057.4114729483,0.009057499996,0.1601003824220022,0.2707,0.0,0.3169,970167.3543391547,0.010307499995,0.1601003824220022,0.2084,0.0,0.0115,415670.78880443453,0.024057499996,0.1601003824220022,0.13175,0.037267080745341616,0.04991239763919443,0.06635071090047394,1314641.7445482865,0.001284,0.294568632392333,0.1688,0.025952223254977463,0.0625782227784731,622274.1433021807,0.001284,0.294568632392333,0.0799,-2.5225515334328383,0.0,0.2616822429906542,1334112.1495327102,0.001284,0.294568632392333,0.1713,0.0,0.27296587926509186,593457.9439252337,0.001284,0.294568632392333,0.0762,-1.119634287002707
282,0.19048638374699578,0.0213,1104057.4114729483,0.009057499996,0.1601003824220022,0.2711,0.07369512907991428,0.0409,780792.5048187037,0.012807499993,0.1601003824220022,0.1453,0.10689221715616823,0.0126,415670.78880443453,0.024057499996,0.1601003824220022,0.1322,0.9890470974808324,0.0,0.2378,1104057.4114729483,0.009057499996,0.1601003824220022,0.2813,0.0,0.322,970167.3543391547,0.010307499995,0.1601003824220022,0.2053,0.0,0.0133,415670.78880443453,0.024057499996,0.1601003824220022,0.13055,0.02454642475987193,0.04991239763919443,0.06635071090047394,1314641.7445482865,0.001284,0.294568632392333,0.1688,0.025952223254977463,0.0625782227784731,622274.1433021807,0.001284,0.294568632392333,0.0799,-2.5225515334328383,0.0,0.2616822429906542,1334112.1495327102,0.001284,0.294568632392333,0.1713,0.0,0.27296587926509186,593457.9439252337,0.001284,0.294568632392333,0.0762,-1.119634287002707
293,0.19081296033955217,0.0229,1104057.4114729483,0.009057499996,0.1601003824220022,0.2785,0.07014072387902456,0.0417,780792.5048187037,0.012807499993,0.1601003824220022,0.1403,0.10318253333283751,0.0141,415670.78880443453,0.024057499996,0.1601003824220022,0.1322,0.9741784037558685,0.0,0.2329,1104057.4114729483,0.009057499996,0.1601003824220022,0.283,0.0,0.3216,970167.3543391547,0.010307499995,0.1601003824220022,0.2051,0.0,0.011,415670.78880443453,0.024057499996,0.1601003824220022,0.1336,0.004201680672268907,0.04991239763919443,0.06635071090047394,1314641.7445482865,0.001284,0.294568632392333,0.1688,0.025952223254977463,0.0625782227784731,622274.1433021807,0.001284,0.294568632392333,0.0799,-2.5225515334328383,0.0,0.2616822429906542,1334112.1495327102,0.001284,0.294568632392333,0.1713,0.0,0.27296587926509186,593457.9439252337,0.001284,0.294568632392333,0.0762,-1.119634287002707
303,0.1890303971931489,0.0216,1104057.4114729483,0.009057499996,0.1601003824220022,0.2703,0.07418577762446864,0.042,711364.0409525813,0.014057499992,0.1601003824220022,0.1492,0.10568701974872313,0.0136,415670.78880443453,0.024057499996,0.1601003824220022,0.1331,0.9824753559693319,0.0,0.2353,1104057.4114729483,0.009057499996,0.1601003824220022,0.2789,0.0,0.3218,970167.3543391547,0.010307499995,0.1601003824220022,0.2034,0.0,0.0131,415670.78880443453,0.024057499996,0.1601003824220022,0.13045,0.06340378197997776,0.04991239763919443,0.06635071090047394,1314641.7445482865,0.001284,0.294568632392333,0.1688,0.025952223254977463,0.0625782227784731,622274.1433021807,0.001284,0.294568632392333,0.0799,-2.5225515334328383,0.0,0.2616822429906542,1334112.1495327102,0.001284,0.294568632392333,0.1713,0.0,0.27296587926509186,593457.9439252337,0.001284,0.294568632392333,0.0762,-1.119634287002707
308,0.1862306343202838,0.0225,1104057.4114729483,0.009057499996,0.1601003824220022,0.2701,0.07288062950196665,0.0429,780792.5048187037,0.012807499993,0.1601003824220022,0.149,0.10167570149240857,0.014,415670.78880443453,0.024057499996,0.1601003824220022,0.13175,0.9667359667359667,0.0,0.2397,1104057.4114729483,0.009057499996,0.1601003824220022,0.2783,0.0,0.3259,970167.3543391547,0.010307499995,0.1601003824220022,0.2032,0.0,0.0137,415670.78880443453,0.024057499996,0.1601003824220022,0.13035,0.019867549668874173,0.04991239763919443,0.06635071090047394,1314641.7445482865,0.001284,0.294568632392333,0.1688,0.025952223254977463,0.0625782227784731,622274.1433021807,0.001284,0.294568632392333,0.0799,-2.5225515334328383,0.0,0.2616822429906542,1334112.1495327102,0.001284,0.294568632392333,0.1713,0.0,0.27296587926509186,593457.9439252337,0.001284,0.294568632392333,0.0762,-1.119634287002707
313,0.19409104492390025,0.0209,1104057.4114729483,0.009057499996,0.1601003824220022,0.2745,0.06486922477964054,0.0452,780792.5048187037,0.012807499993,0.1601003824220022,0.1384,0.10223216754897171,0.0142,415670.78880443453,0.024057499996,0.1601003824220022,0.1287,0.9856410256410256,0.0,0.2402,1104057.4114729483,0.009057499996,0.1601003824220022,0.277,0.0,0.3205,970167.3543391547,0.010307499995,0.1601003824220022,0.206,0.0,0.0146,415670.78880443453,0.024057499996,0.1601003824220022,0.1318,0.024134312696747113,0.04991239763919443,0.06635071090047394,1314641.7445482865,0.001284,0.294568632392333,0.1688,0.025952223254977463,0.0625782227784731,622274.1433021807,0.001284,0.294568632392333,0.0799,-2.5225515334328383,0.0,0.2616822429906542,1334112.1495327102,0.001284,0.294568632392333,0.1713,0.0,0.27296587926509186,593457.9439252337,0.001284,0.294568632392333,0.0762,-1.119634287002707
