eve_intercept_rate,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,Visibility-COW+Eve
0.1,0.13328413177204332,0.045,1104057.4114729483,0.009057499996,0.1601003824220022,0.2833,0.02881630841966662,0.0813,780792.5048187037,0.012807499993,0.1601003824220022,0.1545,0.0725206415857862,0.0128,415670.78880443453,0.024057499996,0.1601003824220022,0.1298,0.791894852135816
0.3,0.02682571703055192,0.0945,1104057.4114729483,0.009057499996,0.1601003824220022,0.2755,0.0,0.1566,780792.5048187037,0.012807499993,0.1601003824220022,0.1716,0.020926937437098486,0.0133,415670.78880443453,0.024057499996,0.1601003824220022,0.12865,0.48028311425682507
0.5,0.0,0.144,1104057.4114729483,0.009057499996,0.1601003824220022,0.2791,0.0,0.22,865239.022729088,0.011557499994,0.1601003824220022,0.1781,0.0,0.0129,415670.78880443453,0.024057499996,0.1601003824220022,0.13305,0.225531914893617
0.7,0.0,0.1895,1104057.4114729483,0.009057499996,0.1601003824220022,0.2699,0.0,0.2729,865239.022729088,0.011557499994,0.1601003824220022,0.2004,0.0,0.0116,415670.78880443453,0.024057499996,0.1601003824220022,0.13485,0.033953997809419496
0.9,0.0,0.2409,1104057.4114729483,0.009057499996,0.1601003824220022,0.2755,0.0,0.3252,970167.3543391547,0.010307499995,0.1601003824220022,0.204,0.0,0.013,415670.78880443453,0.024057499996,0.1601003824220022,0.13135,0.0
