precipitation_rate,R_sk-BB84,QBER-BB84,Throughputs-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_sk-B92,QBER-B92,Throughputs-B92,Latency-B92,Loss-B92,R_s-B92,R_sk-COW,QBER-COW,Throughputs-COW,Latency-COW,Loss-COW,R_s-COW,Visibility-COW,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,Visibility-COW+Eve,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
2.7778e-08,0.1805857811925824,0.0224,1104057.4114729483,0.009057499996,0.2088854259808599,0.2615,0.059715194090752696,0.0504,711364.0409525813,0.014057499992,0.2088854259808599,0.1409,0.09209515845977675,0.0158,415670.78880443453,0.024057499996,0.2088854259808599,0.12415,0.9705521472392638,0.0,0.2364,1104057.4114729483,0.009057499996,0.2088854259808599,0.2654,0.0,0.3233,865239.022729088,0.011557499994,0.2088854259808599,0.1977,0.0,0.0147,344145.22934597696,0.029057499995,0.2088854259808599,0.12575,0.05928853754940711,0.0465347427606857,0.062,976543.4239299188,0.010240200030999999,0.2089069768989078,0.1413,0.031700134404966204,0.0578,651028.9492654206,0.015360300047,0.2089069768989078,0.0874,-2.4808989965951715,0.0,0.2551,976543.4239299188,0.010240200030999999,0.2089069768989078,0.1396,0.0,0.2519,651028.9492654206,0.015360300047,0.2089069768989078,0.0843,-1.4092439642028627
2.7778e-07,0.1196376480369343,0.0366,970167.3543391547,0.010307499995,0.3493193296419439,0.2187,0.03603645294653461,0.0668,653274.5390089479,0.015307499991,0.3493193296419439,0.1233,0.06867315643105817,0.0194,344145.22934597696,0.029057499995,0.3493193296419439,0.10325,0.9814077025232404,0.0,0.2517,970167.3543391547,0.010307499995,0.3493193296419439,0.2225,0.0,0.3279,780792.5048187037,0.012807499993,0.3493193296419439,0.17,0.0,0.0158,344145.22934597696,0.029057499995,0.3493193296419439,0.1048,0.026881720430107527,0.031688941327095654,0.0715,868038.599039398,0.011520225035,0.3493370549705661,0.1233,0.018249780832112206,0.071,558024.8136508849,0.017920350055,0.3493370549705661,0.07,-2.4496955229179025,0.0,0.2587,868038.599039398,0.011520225035,0.3493370549705661,0.1192,0.0,0.2659,558024.8136508849,0.017920350055,0.3493370549705661,0.0722,-1.3475435321802098
1.3889e-06,0.04923504425526066,0.0642,780792.5048187037,0.012807499993,0.5844262731742765,0.1577,0.0,0.1185,524727.7977854772,0.019057499988,0.5844262731742765,0.0847,0.03693660262839497,0.0244,226976.1108055566,0.044057499991999996,0.5844262731742765,0.072,0.9737335834896811,0.0,0.2563,780792.5048187037,0.012807499993,0.5844262731742765,0.1443,0.0,0.3378,653274.5390089479,0.015307499991,0.5844262731742765,0.1093,0.0,0.0291,226976.1108055566,0.044057499991999996,0.5844262731742765,0.07215,0.0,0.0,0.1105,651028.9492654206,0.015360300047,0.5844375939053359,0.0814,0.002100142351777426,0.1025,390617.3695490802,0.025600500079,0.5844375939053359,0.0454,-2.220049694267787,0.0,0.2806,651028.9492654206,0.015360300047,0.5844375939053359,0.0847,0.0,0.2884,372016.54242700344,0.026880525082999998,0.5844375939053359,0.0515,-1.194656971742801
2.7778e-06,0.007941318618465395,0.0984,603955.9115832438,0.01655749999,0.7173014666731345,0.11,0.0,0.1636,415670.78901177313,0.024057499984,0.7173014666731345,0.0637,0.020141118334716844,0.0364,169326.50386255077,0.059057499989,0.7173014666731345,0.0511,0.9798657718120806,0.0,0.2743,603955.9115832438,0.01655749999,0.7173014666731345,0.1162,0.0,0.3585,524727.7977854772,0.019057499988,0.7173014666731345,0.084,0.0,0.0415,169326.50386255077,0.059057499989,0.7173014666731345,0.05055,0.06329113924050633,0.0,0.1434,488271.71194111847,0.020480400063,0.7173091677231771,0.0624,0.0,0.1492,289346.1996630551,0.034560675107,0.7173091677231771,0.0359,-1.9840927212456148,0.0,0.3105,488271.71194111847,0.020480400063,0.7173091677231771,0.0648,0.0,0.3114,289346.1996630551,0.034560675107,0.7173091677231771,0.0387,-1.1179288176058262
5.5556e-06,0.0,0.1664,463875.6816186598,0.021557499986,0.8442679596232388,0.0745,0.0,0.2524,329951.3324071262,0.030307499979,0.8442679596232388,0.0509,0.006172600191678748,0.0679,106317.94383131301,0.094057499982,0.8442679596232388,0.0301,0.9858156028368794,0.0,0.3176,463875.6816186598,0.021557499986,0.8442679596232388,0.0747,0.0,0.3836,395139.78096285195,0.025307499982999998,0.8442679596232388,0.0596,0.0,0.0665,112287.00560771277,0.089057499983,0.8442679596232388,0.02775,0.1450381679389313,0.0,0.2075,325514.4746221143,0.030720600094999998,0.8442722019524156,0.04,0.0,0.2095,195308.68477072555,0.051201000159,0.8442722019524156,0.0235,-1.6168186078882325,0.0,0.3428,325514.4746221143,0.030720600094999998,0.8442722019524156,0.0424,0.0,0.3393,195308.68477072555,0.051201000159,0.8442722019524156,0.0237,-0.8787070745655526
8.3334e-06,0.0,0.24,359615.2119691698,0.027807499981,0.9046358112941656,0.0574,0.0,0.3248,283225.9436969666,0.035307499975,0.9046358112941656,0.0389,0.001526518114814538,0.1,74594.85669909902,0.134057499974,0.9046358112941656,0.0194,1.0,0.0,0.3544,376541.46688422275,0.026557499982,0.9046358112941656,0.0571,0.0,0.4169,316881.8824992918,0.031557499977999996,0.9046358112941656,0.047,0.0,0.0965,74594.85669909902,0.134057499974,0.9046358112941656,0.0188,0.19047619047619047,0.0,0.2633,260411.5796959961,0.038400750119,0.9046384091300328,0.0338,0.0,0.2676,150237.4498229579,0.066561300207,0.9046384091300328,0.0204,-1.3148816100988108,0.0,0.371,252011.20615720388,0.039680775123,0.9046384091300328,0.0325,0.0,0.3725,150237.4498229579,0.066561300207,0.9046384091300328,0.0168,-0.6847346763447656
