dark_count,R_sk-BB84,QBER-BB84,Throughputs-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_sk-B92,QBER-B92,Throughputs-B92,Latency-B92,Loss-B92,R_s-B92,R_sk-COW,QBER-COW,Throughputs-COW,Latency-COW,Loss-COW,R_s-COW,Visibility-COW,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,Visibility-COW+Eve,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
10,0.2001980350698191,0.0185,1104057.4114729483,0.009057499996,0.1601003824220022,0.2727,0.06967130127441172,0.043,780792.5048187037,0.012807499993,0.1601003824220022,0.1427,0.1083085788840019,0.0136,415670.78880443453,0.024057499996,0.1601003824220022,0.1336,0.9956803455723542,0.0,0.234,1104057.4114729483,0.009057499996,0.1601003824220022,0.2727,0.0,0.3192,970167.3543391547,0.010307499995,0.1601003824220022,0.2063,0.0,0.0143,415670.78880443453,0.024057499996,0.1601003824220022,0.13065,0.0,0.04991239763919443,0.06635071090047394,1314641.7445482865,0.001284,0.294568632392333,0.1688,0.025952223254977463,0.0625782227784731,622274.1433021807,0.001284,0.294568632392333,0.0799,-2.5225515334328383,0.0,0.2616822429906542,1334112.1495327102,0.001284,0.294568632392333,0.1713,0.0,0.27296587926509186,593457.9439252337,0.001284,0.294568632392333,0.0762,-1.119634287002707
30,0.18894265080296613,0.0217,1104057.4114729483,0.009057499996,0.1601003824220022,0.2706,0.07091365327681225,0.0438,780792.5048187037,0.012807499993,0.1601003824220022,0.1474,0.1020758696317515,0.0127,415670.78880443453,0.024057499996,0.1601003824220022,0.12805,0.980498374864572,0.0,0.2281,1104057.4114729483,0.009057499996,0.1601003824220022,0.2798,0.0,0.3232,970167.3543391547,0.010307499995,0.1601003824220022,0.2075,0.0,0.0133,415670.78880443453,0.024057499996,0.1601003824220022,0.13355,0.012526096033402923,0.04991239763919443,0.06635071090047394,1314641.7445482865,0.001284,0.294568632392333,0.1688,0.025952223254977463,0.0625782227784731,622274.1433021807,0.001284,0.294568632392333,0.0799,-2.5225515334328383,0.0,0.2616822429906542,1334112.1495327102,0.001284,0.294568632392333,0.1713,0.0,0.27296587926509186,593457.9439252337,0.001284,0.294568632392333,0.0762,-1.119634287002707
100,0.19314101781689225,0.0222,1104057.4114729483,0.009057499996,0.1601003824220022,0.2788,0.07223739803777753,0.0432,780792.5048187037,0.012807499993,0.1601003824220022,0.1485,0.10465974750934635,0.0132,415670.78880443453,0.024057499996,0.1601003824220022,0.13045,0.9870550161812298,0.0,0.2388,1104057.4114729483,0.009057499996,0.1601003824220022,0.2858,0.0,0.3182,970167.3543391547,0.010307499995,0.1601003824220022,0.1944,0.0,0.012,415670.78880443453,0.024057499996,0.1601003824220022,0.1317,0.02412280701754386,0.04991239763919443,0.06635071090047394,1314641.7445482865,0.001284,0.294568632392333,0.1688,0.025952223254977463,0.0625782227784731,622274.1433021807,0.001284,0.294568632392333,0.0799,-2.5225515334328383,0.0,0.2616822429906542,1334112.1495327102,0.001284,0.294568632392333,0.1713,0.0,0.27296587926509186,593457.9439252337,0.001284,0.294568632392333,0.0762,-1.119634287002707
300,0.18227676393318953,0.0251,1104057.4114729483,0.009057499996,0.1601003824220022,0.2755,0.07241300231983247,0.0396,711364.0409525813,0.014057499992,0.1601003824220022,0.1395,0.10431140563637553,0.0113,415670.78880443453,0.024057499996,0.1601003824220022,0.13275,0.96440489432703,0.0,0.236,1104057.4114729483,0.009057499996,0.1601003824220022,0.2807,0.0,0.3225,970167.3543391547,0.010307499995,0.1601003824220022,0.2124,0.0,0.0132,415670.78880443453,0.024057499996,0.1601003824220022,0.13065,0.0,0.04991239763919443,0.06635071090047394,1314641.7445482865,0.001284,0.294568632392333,0.1688,0.025952223254977463,0.0625782227784731,622274.1433021807,0.001284,0.294568632392333,0.0799,-2.5225515334328383,0.0,0.2616822429906542,1334112.1495327102,0.001284,0.294568632392333,0.1713,0.0,0.27296587926509186,593457.9439252337,0.001284,0.294568632392333,0.0762,-1.119634287002707
1000,0.18940012292373865,0.0222,1104057.4114729483,0.009057499996,0.1601003824220022,0.2734,0.07403725735108586,0.0411,780792.5048187037,0.012807499993,0.1601003824220022,0.1465,0.10459982071655592,0.014,415670.78880443453,0.024057499996,0.1601003824220022,0.1341,0.9733036707452726,0.0,0.2307,1104057.4114729483,0.009057499996,0.1601003824220022,0.2752,0.0,0.3288,970167.3543391547,0.010307499995,0.1601003824220022,0.2082,0.0,0.0141,415670.78880443453,0.024057499996,0.1601003824220022,0.12995,0.0,0.04991239763919443,0.06635071090047394,1314641.7445482865,0.001284,0.294568632392333,0.1688,0.025952223254977463,0.0625782227784731,622274.1433021807,0.001284,0.294568632392333,0.0799,-2.5225515334328383,0.0,0.2616822429906542,1334112.1495327102,0.001284,0.294568632392333,0.1713,0.0,0.27296587926509186,593457.9439252337,0.001284,0.294568632392333,0.0762,-1.119634287002707
3000,0.1977475368695546,0.0223,1104057.4114729483,0.009057499996,0.1601003824220022,0.2859,0.07551742570893165,0.0391,780792.5048187037,0.012807499993,0.1601003824220022,0.1442,0.10558044775761409,0.012,415670.78880443453,0.024057499996,0.1601003824220022,0.1308,0.9849462365591398,0.0,0.2364,1104057.4114729483,0.009057499996,0.1601003824220022,0.276,0.0,0.3213,970167.3543391547,0.010307499995,0.1601003824220022,0.2109,0.0,0.0126,415670.78880443453,0.024057499996,0.1601003824220022,0.1296,0.019522776572668113,0.04991239763919443,0.06635071090047394,1314641.7445482865,0.001284,0.294568632392333,0.1688,0.025952223254977463,0.0625782227784731,622274.1433021807,0.001284,0.294568632392333,0.0799,-2.5225515334328383,0.0,0.2616822429906542,1334112.1495327102,0.001284,0.294568632392333,0.1713,0.0,0.27296587926509186,593457.9439252337,0.001284,0.294568632392333,0.0762,-1.119634287002707
10000,0.19203260451521711,0.0222,1104057.4114729483,0.009057499996,0.1601003824220022,0.2772,0.06882926632034084,0.0443,780792.5048187037,0.012807499993,0.1601003824220022,0.1444,0.10402112554035714,0.0152,415670.78880443453,0.024057499996,0.1601003824220022,0.13305,0.9805194805194806,0.0,0.2343,1104057.4114729483,0.009057499996,0.1601003824220022,0.2758,0.0,0.3279,970167.3543391547,0.010307499995,0.1601003824220022,0.2072,0.0,0.0121,415670.78880443453,0.024057499996,0.1601003824220022,0.1306,0.04149377593360996,0.04991239763919443,0.06635071090047394,1314641.7445482865,0.001284,0.294568632392333,0.1688,0.025952223254977463,0.0625782227784731,622274.1433021807,0.001284,0.294568632392333,0.0799,-2.5225515334328383,0.0,0.2616822429906542,1334112.1495327102,0.001284,0.294568632392333,0.1713,0.0,0.27296587926509186,593457.9439252337,0.001284,0.294568632392333,0.0762,-1.119634287002707
