charlie_position,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
0.1,0.05702064253180199,0.0548,1116049.627364048,0.008960175027,0.16012326230365437,0.1473,0.03683479631780424,0.0513,651028.9492654206,0.015360300047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,1116049.627364048,0.008960175027,0.16012326230365437,0.1488,0.0,0.2522,651028.9492654206,0.015360300047,0.16012326230365437,0.089,-1.3934862008580298
0.2,0.06147479952902565,0.0515,1116354.8746873138,0.008957725027,0.16002867318779468,0.1483,0.036337119141172464,0.0523,651207.0102039756,0.015356100047,0.16002867318779468,0.0891,-2.4988468242303443,0.0,0.2538,1116354.8746873138,0.008957725027,0.16002867318779468,0.1469,0.0,0.2619,651207.0102039756,0.015356100047,0.16002867318779468,0.0914,-1.4015543260300467
0.3,0.058856561260081076,0.0554,1116660.289030786,0.008955275027,0.15997119542365135,0.154,0.03383724052494452,0.0558,651385.1685709845,0.015351900047,0.15997119542365135,0.0893,-2.5309517859460913,0.0,0.2546,1116660.289030786,0.008955275027,0.15997119542365135,0.1481,0.0,0.2474,651385.1685709845,0.015351900047,0.15997119542365135,0.0891,-1.3912512019475756
0.4,0.06407466379678475,0.0496,1116965.8705315832,0.008952825027,0.1599402623827414,0.1488,0.035355205444817656,0.0533,651563.424446433,0.015347700047,0.1599402623827414,0.0885,-2.504962079086752,0.0,0.2507,1116965.8705315832,0.008952825027,0.1599402623827414,0.1486,0.0,0.2437,651563.424446433,0.015347700047,0.1599402623827414,0.0866,-1.3841075796865236
0.5,0.06796875189997417,0.0475,1117271.6193269743,0.008950375027,0.15993049841933626,0.1515,0.036681359970809305,0.0526,651741.7779103944,0.015343500046999999,0.15993049841933626,0.0905,-2.5544393894455766,0.0,0.2566,1117271.6193269743,0.008950375027,0.15993049841933626,0.1471,0.0,0.2512,651741.7779103944,0.015343500046999999,0.15993049841933626,0.0901,-1.3799818615710693
0.6,0.0611433373709998,0.0516,1116965.8705315832,0.008952825027,0.1599402623827414,0.1478,0.03480419922758567,0.0549,651563.424446433,0.015347700047,0.1599402623827414,0.0901,-2.550665704350076,0.0,0.2521,1116965.8705315832,0.008952825027,0.1599402623827414,0.1461,0.0,0.2543,651563.424446433,0.015347700047,0.1599402623827414,0.0888,-1.415012413440721
0.7,0.060437461278524146,0.0534,1116660.289030786,0.008955275027,0.15997119542365135,0.1516,0.036756820117941465,0.0534,651385.1685709845,0.015351900047,0.15997119542365135,0.0922,-2.522710252804346,0.0,0.2547,1116660.289030786,0.008955275027,0.15997119542365135,0.1449,0.0,0.2606,651385.1685709845,0.015351900047,0.15997119542365135,0.0876,-1.4333043240141095
0.8,0.06327305865326649,0.0502,1116354.8746873138,0.008957725027,0.16002867318779468,0.1487,0.037361534174378506,0.0524,651207.0102039756,0.015356100047,0.16002867318779468,0.0918,-2.531522058429958,0.0,0.2574,1116354.8746873138,0.008957725027,0.16002867318779468,0.1463,0.0,0.249,651207.0102039756,0.015356100047,0.16002867318779468,0.0884,-1.38987182603735
0.9,0.06649440946735205,0.0476,1116049.627364048,0.008960175027,0.16012326230365437,0.1485,0.03866215076201192,0.05,651028.9492654206,0.015360300047,0.16012326230365437,0.0905,-2.5210023625874594,0.0,0.2566,1116049.627364048,0.008960175027,0.16012326230365437,0.1473,0.0,0.2469,651028.9492654206,0.015360300047,0.16012326230365437,0.0906,-1.383798996181122
