atm_visibility,R_sk-BB84,QBER-BB84,Throughputs-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_sk-B92,QBER-B92,Throughputs-B92,Latency-B92,Loss-B92,R_s-B92,R_sk-COW,QBER-COW,Throughputs-COW,Latency-COW,Loss-COW,R_s-COW,Visibility-COW,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,Visibility-COW+Eve,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
100,0.0,0.5036,198777.51840888074,0.050307499963,0.9999999999987026,0.0294,0.0,0.5039,198777.51840888074,0.050307499963,0.9999999999987026,0.0277,0.0,0.4997,14726.293431687374,0.679057499865,0.9999999999987026,0.0023,0.0,0.0,0.5078,198777.51840888074,0.050307499963,0.9999999999987026,0.0292,0.0,0.5028,198777.51840888074,0.050307499963,0.9999999999987026,0.0291,0.0,0.4982,14835.529612811906,0.6740574998659999,0.9999999999987026,0.0036,0.0,0.0,0.36363636363636365,37600.0,0.006284,0.9999999999987026,0.0047,0.0,0.5333333333333333,12000.0,0.006284,0.9999999999987026,0.0015,1.2777777777777777,0.0,0.36363636363636365,37600.0,0.006284,0.9999999999987026,0.0047,0.0,0.5333333333333333,12000.0,0.006284,0.9999999999987026,0.0015,1.2777777777777777
200,0.0,0.4997,198777.51840888074,0.050307499963,0.9999988613685357,0.0258,0.0,0.4974,193958.20215042258,0.051557499962,0.9999988613685357,0.0265,0.0,0.5044,14835.529612811906,0.6740574998659999,0.9999988613685357,0.0033,0.0,0.0,0.4992,198777.51840888074,0.050307499963,0.9999988613685357,0.0294,0.0,0.5007,198777.51840888074,0.050307499963,0.9999988613685357,0.027,0.0,0.4921,14946.398481427786,0.669057499867,0.9999988613685357,0.0028,0.0,0.0,0.36363636363636365,37600.0,0.006284,0.9999988613685357,0.0047,0.0,0.5333333333333333,12000.0,0.006284,0.9999988613685357,0.0015,1.2777777777777777,0.0,0.36363636363636365,37600.0,0.006284,0.9999988613685357,0.0047,0.0,0.5333333333333333,12000.0,0.006284,0.9999988613685357,0.0015,1.2777777777777777
500,0.0,0.4716,209172.20116762072,0.047807499965,0.9958084449766119,0.0257,0.0,0.4904,198777.51840888074,0.050307499963,0.9958084449766119,0.0274,0.0,0.4193,17887.247737460788,0.559057499889,0.9958084449766119,0.00365,1.0,0.0,0.4877,209172.20116762072,0.047807499965,0.9958084449766119,0.0292,0.0,0.4829,203842.42995134948,0.049057499964,0.9958084449766119,0.0273,0.0,0.4166,18213.02869368913,0.549057499891,0.9958084449766119,0.00375,1.0,0.0,0.4444444444444444,31200.0,0.006284,0.9958084449766119,0.0039,0.0,0.5294117647058824,13600.0,0.006284,0.9958084449766119,0.0017,0.14285714285714285,0.0,0.7,32800.0,0.006284,0.9958084449766119,0.0041,0.0,0.6428571428571429,11200.0,0.006284,0.9958084449766119,0.0014,0.517032967032967
1000,0.0,0.2271,376541.46688422275,0.026557499982,0.8996403179507881,0.0567,0.0,0.3139,283225.9436969666,0.035307499975,0.8996403179507881,0.043,0.0015304911834439412,0.0938,77484.84204278806,0.129057499975,0.8996403179507881,0.0198,0.9767441860465116,0.0,0.3426,376541.46688422275,0.026557499982,0.8996403179507881,0.0585,0.0,0.4129,329951.3324071262,0.030307499979,0.8996403179507881,0.0492,0.0,0.0959,77484.84204278806,0.129057499975,0.8996403179507881,0.0205,0.0,0.0,0.36666666666666664,96000.0,0.006284,0.8996403179507881,0.012,0.0,0.4634146341463415,32800.0,0.006284,0.8996403179507881,0.0041,-0.9341783216783217,0.0,0.36666666666666664,97600.0,0.006284,0.8996403179507881,0.0122,0.0,0.3684210526315789,45600.0,0.006284,0.8996403179507881,0.0057,-0.4628992628992629
2000,0.023025821744463344,0.0829,711364.0409525813,0.014057499992,0.6628959522081964,0.1313,0.0,0.1469,463875.6816186598,0.021557499986,0.6628959522081964,0.0752,0.0264647207586466,0.0315,203842.4298391598,0.049057499991,0.6628959522081964,0.06,0.9765395894428153,0.0,0.2712,711364.0409525813,0.014057499992,0.6628959522081964,0.1243,0.0,0.3519,561561.1403160001,0.017807499989,0.6628959522081964,0.0949,0.0,0.0312,203842.4298391598,0.049057499991,0.6628959522081964,0.05775,0.04,0.0,0.3047619047619048,338400.0,0.006284,0.6628959522081964,0.0423,0.0,0.175,160000.0,0.006284,0.6628959522081964,0.02,-1.416919191919192,0.0,0.3142857142857143,336000.0,0.006284,0.6628959522081964,0.042,0.0,0.28804347826086957,147200.0,0.006284,0.6628959522081964,0.0184,-0.433277603086383
5000,0.13670600479398948,0.0326,970167.3543391547,0.010307499995,0.3080525893755355,0.2335,0.04363320856374589,0.061,711364.0409525813,0.014057499992,0.3080525893755355,0.1294,0.07694199715828616,0.0175,344145.22934597696,0.029057499995,0.3080525893755355,0.10885,0.9900990099009901,0.0,0.2443,970167.3543391547,0.010307499995,0.3080525893755355,0.2323,0.0,0.3281,865239.022729088,0.011557499994,0.3080525893755355,0.1734,0.0,0.0136,344145.22934597696,0.029057499995,0.3080525893755355,0.1097,0.005973715651135006,58668.197213296575,0.09061488673139159,988800.0,0.006284,0.3080525893755355,0.1236,31521.73760143813,0.0914179104477612,428800.0,0.006284,0.3080525893755355,0.0536,-2.2750367055966887,0.0,0.21656050955414013,1007200.0,0.006284,0.3080525893755355,0.1259,0.0,0.26501766784452296,452800.0,0.006284,0.3080525893755355,0.0566,-1.2103664933635994
10000,0.19557589444790818,0.0209,1104057.4114729483,0.009057499996,0.1601003824220022,0.2766,0.07012841263267376,0.0431,780792.5048187037,0.012807499993,0.1601003824220022,0.1439,0.10346649688964846,0.0123,415670.78880443453,0.024057499996,0.1601003824220022,0.13065,0.9743589743589743,0.0,0.2328,1104057.4114729483,0.009057499996,0.1601003824220022,0.2791,0.0,0.3195,970167.3543391547,0.010307499995,0.1601003824220022,0.2031,0.0,0.013,415670.78880443453,0.024057499996,0.1601003824220022,0.13175,0.0,263808.1051269249,0.06635071090047394,1350400.0,0.006284,0.1601003824220022,0.1688,186038.67534181065,0.0625782227784731,639200.0,0.006284,0.1601003824220022,0.0799,-2.5225515334328383,0.0,0.2616822429906542,1370400.0,0.006284,0.1601003824220022,0.1713,0.0,0.27296587926509186,609600.0,0.006284,0.1601003824220022,0.0762,-1.119634287002707
20000,0.22007750659947276,0.0176,1104057.4114729483,0.009057499996,0.08385276642791462,0.2956,0.08467970437235489,0.0355,780792.5048187037,0.012807499993,0.08385276642791462,0.1519,0.11861810489572529,0.0128,415670.78880443453,0.024057499996,0.08385276642791462,0.1436,0.9742647058823529,0.0,0.2414,1104057.4114729483,0.009057499996,0.08385276642791462,0.3015,0.0,0.3203,970167.3543391547,0.010307499995,0.08385276642791462,0.2302,0.0,0.0127,415670.78880443453,0.024057499996,0.08385276642791462,0.13885,0.028207461328480437,433234.855589915,0.05327868852459016,1562400.0,0.006284,0.08385276642791462,0.1953,200973.23988608495,0.06257242178447277,690400.0,0.006284,0.08385276642791462,0.0863,-2.4400439957103677,0.0,0.2429718875502008,1593600.0,0.006284,0.08385276642791462,0.1992,0.0,0.26600441501103755,724800.0,0.006284,0.08385276642791462,0.0906,-1.3982396641080435
50000,0.24395217564084476,0.0161,1104057.4114729483,0.009057499996,0.034820677722749216,0.3201,0.09973960957795061,0.0306,780792.5048187037,0.012807499993,0.034820677722749216,0.1648,0.13419101275812226,0.0109,415670.78880443453,0.024057499996,0.034820677722749216,0.1518,0.9909255898366606,0.0,0.2279,1104057.4114729483,0.009057499996,0.034820677722749216,0.3197,0.0,0.3151,970167.3543391547,0.010307499995,0.034820677722749216,0.2346,0.0,0.011,415670.78880443453,0.024057499996,0.034820677722749216,0.1507,0.04,680807.3318784727,0.03683241252302026,1738400.0,0.006284,0.034820677722749216,0.2173,313676.2714268568,0.04842105263157895,760000.0,0.006284,0.034820677722749216,0.095,-2.48023859350708,0.0,0.25280898876404495,1708800.0,0.006284,0.034820677722749216,0.2136,0.0,0.254841997961264,784800.0,0.006284,0.034820677722749216,0.0981,-1.2971715518668343
