hour,R_sk-BB84,QBER-BB84,Throughputs-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_sk-B92,QBER-B92,Throughputs-B92,Latency-B92,Loss-B92,R_s-B92,R_sk-COW,QBER-COW,Throughputs-COW,Latency-COW,Loss-COW,R_s-COW,Visibility-COW,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,Visibility-COW+Eve,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
10,0.20036949212153884,0.0197,1104057.4114729483,0.009057499996,0.1597065761074148,0.2781,0.07492738037812995,0.0397,780792.5048187037,0.012807499993,0.1597065761074148,0.1446,0.10343129307471075,0.0122,415670.78880443453,0.024057499996,0.1597065761074148,0.13185,0.9677765843179377,0.0,0.2385,1104057.4114729483,0.009057499996,0.1597065761074148,0.2766,0.0,0.3252,970167.3543391547,0.010307499995,0.1597065761074148,0.1988,0.0,0.011,415670.78880443453,0.024057499996,0.1597065761074148,0.1322,0.0,331131.7083987568,0.05868544600938967,1364800.0,0.006284,0.1597065761074148,0.1706,150974.73551897233,0.06720430107526881,595200.0,0.006284,0.1597065761074148,0.0744,-2.45666492964871,0.0,0.28132387706855794,1355200.0,0.006284,0.1597065761074148,0.1694,0.0,0.2964426877470356,607200.0,0.006284,0.1597065761074148,0.0759,-1.2299104693545226
11,0.19472269734892966,0.0206,1104057.4114729483,0.009057499996,0.15971408520521901,0.2741,0.07331788903779773,0.0391,780792.5048187037,0.012807499993,0.15971408520521901,0.14,0.10297149493447384,0.0137,415670.78880443453,0.024057499996,0.15971408520521901,0.1292,0.985153764581124,0.0,0.2334,1104057.4114729483,0.009057499996,0.15971408520521901,0.2779,0.0,0.3177,970167.3543391547,0.010307499995,0.15971408520521901,0.2109,0.0,0.0117,415670.78880443453,0.024057499996,0.15971408520521901,0.1313,0.0021645021645021645,271633.4219644207,0.06572769953051644,1364000.0,0.006284,0.15971408520521901,0.1705,115479.05988698026,0.07529722589167767,605600.0,0.006284,0.15971408520521901,0.0757,-2.452864198428541,0.0,0.2616822429906542,1371200.0,0.006284,0.15971408520521901,0.1714,0.0,0.2915082382762991,631200.0,0.006284,0.15971408520521901,0.0789,-1.2212730972841541
12,0.18822243379070883,0.0222,1104057.4114729483,0.009057499996,0.15980678312226393,0.2717,0.07814970910349187,0.0373,780792.5048187037,0.012807499993,0.15980678312226393,0.1446,0.106600363297261,0.0118,415670.78880443453,0.024057499996,0.15980678312226393,0.13005,0.9937304075235109,0.0,0.2364,1104057.4114729483,0.009057499996,0.15980678312226393,0.2775,0.0,0.3209,970167.3543391547,0.010307499995,0.15980678312226393,0.2033,0.0,0.0124,415670.78880443453,0.024057499996,0.15980678312226393,0.1319,0.06749740394600208,269501.3502161998,0.06666666666666667,1392800.0,0.006284,0.15980678312226393,0.1741,127112.53963660917,0.07275132275132275,604800.0,0.006284,0.15980678312226393,0.0756,-2.468168739376447,0.0,0.26635514018691586,1371200.0,0.006284,0.15980678312226393,0.1714,0.0,0.2692307692307692,603200.0,0.006284,0.15980678312226393,0.0754,-1.1575592105911048
13,0.19422003621186057,0.0223,1104057.4114729483,0.009057499996,0.15986425295204665,0.2808,0.07294568268114046,0.0412,780792.5048187037,0.012807499993,0.15986425295204665,0.1446,0.10348252873974577,0.0137,415670.78880443453,0.024057499996,0.15986425295204665,0.13145,0.9774774774774775,0.0,0.2346,1104057.4114729483,0.009057499996,0.15986425295204665,0.2778,0.0,0.3183,970167.3543391547,0.010307499995,0.15986425295204665,0.2026,0.0,0.0124,415670.78880443453,0.024057499996,0.15986425295204665,0.13,0.01956521739130435,451671.3925802129,0.0472972972972973,1423200.0,0.006284,0.15986425295204665,0.1779,100866.96521227225,0.07745504840940526,578400.0,0.006284,0.15986425295204665,0.0723,-2.522607762162614,0.0,0.2733644859813084,1371200.0,0.006284,0.15986425295204665,0.1714,0.0,0.27296587926509186,609600.0,0.006284,0.15986425295204665,0.0762,-1.1249393267905052
14,0.18453042506492892,0.0235,1104057.4114729483,0.009057499996,0.1597747009086361,0.2719,0.07446843488007572,0.0393,780792.5048187037,0.012807499993,0.1597747009086361,0.1427,0.10378558697867112,0.0125,415670.78880443453,0.024057499996,0.1597747009086361,0.1304,0.9783783783783784,0.0,0.2417,1104057.4114729483,0.009057499996,0.1597747009086361,0.2837,0.0,0.3204,970167.3543391547,0.010307499995,0.1597747009086361,0.2017,0.0,0.0134,415670.78880443453,0.024057499996,0.1597747009086361,0.13165,0.0,275623.2051537892,0.06621004566210045,1404000.0,0.006284,0.1597747009086361,0.1755,192111.206580376,0.05726256983240224,572800.0,0.006284,0.1597747009086361,0.0716,-2.37701250819371,0.0,0.2505854800936768,1368800.0,0.006284,0.1597747009086361,0.1711,0.0,0.27009222661396576,607200.0,0.006284,0.1597747009086361,0.0759,-1.1302901254120765
15,0.18528181448054556,0.0228,1104057.4114729483,0.009057499996,0.1597065761074148,0.27,0.07216130573481465,0.043,780792.5048187037,0.012807499993,0.1597065761074148,0.1478,0.10713031347547565,0.0136,415670.78880443453,0.024057499996,0.1597065761074148,0.13465,0.9835728952772074,0.0,0.2401,1104057.4114729483,0.009057499996,0.1597065761074148,0.278,0.0,0.3287,970167.3543391547,0.010307499995,0.1597065761074148,0.207,0.0,0.0129,415670.78880443453,0.024057499996,0.1597065761074148,0.1307,0.0,293242.70013934834,0.06323185011709602,1368000.0,0.006284,0.1597065761074148,0.171,90331.99219643007,0.08079470198675497,604000.0,0.006284,0.1597065761074148,0.0755,-2.516828662515454,0.0,0.25882352941176473,1360000.0,0.006284,0.1597065761074148,0.17,0.0,0.2827763496143959,622400.0,0.006284,0.1597065761074148,0.0778,-1.2732812983238888
16,0.19701981614365383,0.0202,1104057.4114729483,0.009057499996,0.1597065761074148,0.2756,0.08133058160529033,0.0378,780792.5048187037,0.012807499993,0.1597065761074148,0.1518,0.10255409729055673,0.0135,415670.78880443453,0.024057499996,0.1597065761074148,0.1311,0.9724867724867725,0.0,0.2316,1104057.4114729483,0.009057499996,0.1597065761074148,0.2754,0.0,0.3177,970167.3543391547,0.010307499995,0.1597065761074148,0.2039,0.0,0.0118,415670.78880443453,0.024057499996,0.1597065761074148,0.13475,0.0,400970.5025272425,0.05116279069767442,1376800.0,0.006284,0.1597065761074148,0.1721,103412.49805097833,0.07793923381770146,605600.0,0.006284,0.1597065761074148,0.0757,-2.481794993900763,0.0,0.2459016393442623,1368800.0,0.006284,0.1597065761074148,0.1711,0.0,0.27741935483870966,620000.0,0.006284,0.1597065761074148,0.0775,-1.208219572794492
17,0.19611682682182113,0.0193,1104057.4114729483,0.009057499996,0.1597065761074148,0.2705,0.07478036802308605,0.0366,780792.5048187037,0.012807499993,0.1597065761074148,0.1367,0.1053423392404637,0.0115,415670.78880443453,0.024057499996,0.1597065761074148,0.1305,0.982281284606866,0.0,0.2378,1104057.4114729483,0.009057499996,0.1597065761074148,0.2728,0.0,0.3145,970167.3543391547,0.010307499995,0.1597065761074148,0.2022,0.0,0.0102,415670.78880443453,0.024057499996,0.1597065761074148,0.1308,0.013605442176870748,520104.8167821839,0.037825059101654845,1353600.0,0.006284,0.1597065761074148,0.1692,204632.1558652817,0.055782312925170066,588000.0,0.006284,0.1597065761074148,0.0735,-2.486194795016264,0.0,0.28841607565011823,1355200.0,0.006284,0.1597065761074148,0.1694,0.0,0.28058510638297873,601600.0,0.006284,0.1597065761074148,0.0752,-1.217740846211237
18,0.19864099961220152,0.019,1104057.4114729483,0.009057499996,0.1597065761074148,0.2727,0.08310046887228162,0.0346,780792.5048187037,0.012807499993,0.1597065761074148,0.1468,0.10702809673444799,0.011,415670.78880443453,0.024057499996,0.1597065761074148,0.1328,0.9787007454739084,0.0,0.2321,1104057.4114729483,0.009057499996,0.1597065761074148,0.2713,0.0,0.3184,970167.3543391547,0.010307499995,0.1597065761074148,0.2065,0.0,0.0111,415670.78880443453,0.024057499996,0.1597065761074148,0.13015,0.0,607892.2447778328,0.028708133971291867,1338400.0,0.006284,0.1597065761074148,0.1673,251311.4685591567,0.04583333333333333,576000.0,0.006284,0.1597065761074148,0.072,-2.5689324949981094,0.0,0.25485436893203883,1320000.0,0.006284,0.1597065761074148,0.165,0.0,0.27148703956343795,586400.0,0.006284,0.1597065761074148,0.0733,-1.3218526166194293
19,0.21082714682340506,0.0131,1104057.4114729483,0.009057499996,0.1597065761074148,0.264,0.10051263640607534,0.0215,711364.0409525813,0.014057499992,0.1597065761074148,0.1435,0.11181377294231754,0.006,415670.78880443453,0.024057499996,0.1597065761074148,0.1314,0.9870828848223897,0.0,0.2338,1104057.4114729483,0.009057499996,0.1597065761074148,0.2579,0.0,0.3234,970167.3543391547,0.010307499995,0.1597065761074148,0.1989,0.0,0.0069,415670.78880443453,0.024057499996,0.1597065761074148,0.12925,0.03773584905660377,597386.0102925085,0.02743142144638404,1285600.0,0.006284,0.1597065761074148,0.1607,300198.216085754,0.03473227206946455,552800.0,0.006284,0.1597065761074148,0.0691,-2.6246659236967345,0.0,0.22807017543859648,1278400.0,0.006284,0.1597065761074148,0.1598,0.0,0.25178826895565093,559200.0,0.006284,0.1597065761074148,0.0699,-1.3543751577498067
20,0.26951163947548146,0.0002,1104057.4114729483,0.009057499996,0.1597065680820472,0.271,0.13618587120583744,0.0006,711364.0409525813,0.014057499992,0.1597065680820472,0.1382,0.11858704296110452,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.13205,0.9824753559693319,0.0,0.2341,1104057.4114729483,0.009057499996,0.1597065680820472,0.2657,0.0,0.3224,865239.022729088,0.011557499994,0.1597065680820472,0.1971,0.0,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.1305,0.011815252416756176,905600.0,0.0,1207200.0,0.006284,0.1597065680820472,0.1509,515200.0,0.0,515200.0,0.006284,0.1597065680820472,0.0644,-2.8065147786510014,0.0,0.2553763440860215,1192000.0,0.006284,0.1597065680820472,0.149,0.0,0.24849397590361447,531200.0,0.006284,0.1597065680820472,0.0664,-1.410842666708144
21,0.2675095702086991,0.0001,1104057.4114729483,0.009057499996,0.1597065680820472,0.2683,0.1311,0.0,711364.0409525813,0.014057499992,0.1597065680820472,0.1311,0.11659273080765915,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.1292,0.9859437751004017,0.0,0.2315,1104057.4114729483,0.009057499996,0.1597065680820472,0.2771,0.0,0.3165,865239.022729088,0.011557499994,0.1597065680820472,0.2047,0.0,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.1328,0.004282655246252677,905600.0,0.0,1207200.0,0.006284,0.1597065680820472,0.1509,515200.0,0.0,515200.0,0.006284,0.1597065680820472,0.0644,-2.8065147786510014,0.0,0.24731182795698925,1191200.0,0.006284,0.1597065680820472,0.1489,0.0,0.2473604826546003,530400.0,0.006284,0.1597065680820472,0.0663,-1.410842666708144
22,0.2734896710544553,0.0002,1104057.4114729483,0.009057499996,0.1597065680820472,0.275,0.13330611083452507,0.0001,711364.0409525813,0.014057499992,0.1597065680820472,0.1337,0.12005596202966001,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.13315,0.9853403141361257,0.0,0.2307,1104057.4114729483,0.009057499996,0.1597065680820472,0.276,0.0,0.31,970167.3543391547,0.010307499995,0.1597065680820472,0.1965,0.0,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.12945,0.0,905600.0,0.0,1207200.0,0.006284,0.1597065680820472,0.1509,515200.0,0.0,515200.0,0.006284,0.1597065680820472,0.0644,-2.8065147786510014,0.0,0.24731182795698925,1191200.0,0.006284,0.1597065680820472,0.1489,0.0,0.2473604826546003,530400.0,0.006284,0.1597065680820472,0.0663,-1.410842666708144
23,0.2636210598702201,0.0001,1104057.4114729483,0.009057499996,0.1597065680820472,0.2644,0.1364,0.0,711364.0409525813,0.014057499992,0.1597065680820472,0.1364,0.11702023549929659,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.13095,0.9789695057833859,0.0,0.2185,1104057.4114729483,0.009057499996,0.1597065680820472,0.2748,0.0,0.3098,865239.022729088,0.011557499994,0.1597065680820472,0.2022,0.0,0.0,415670.78880443453,0.024057499996,0.1597065680820472,0.1309,0.0,905600.0,0.0,1207200.0,0.006284,0.1597065680820472,0.1509,515200.0,0.0,515200.0,0.006284,0.1597065680820472,0.0644,-2.8065147786510014,0.0,0.24731182795698925,1191200.0,0.006284,0.1597065680820472,0.1489,0.0,0.2473604826546003,530400.0,0.006284,0.1597065680820472,0.0663,-1.410842666708144
