pressure,global_seed,R_sk-BB84,R_sk_std-BB84,R_sk_sem-BB84,QBER_total-BB84,QBER_total_std-BB84,QBER_total_sem-BB84,QBER_est-BB84,QBER_est_std-BB84,QBER_est_sem-BB84,Throughputs-BB84,Throughputs_std-BB84,Throughputs_sem-BB84,Throughput_final-BB84,Throughput_final_std-BB84,Throughput_final_sem-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_s_std-BB84,R_s_sem-BB84,N_keys-BB84,N_replicas-BB84,R_sk-B92,R_sk_std-B92,R_sk_sem-B92,QBER_total-B92,QBER_total_std-B92,QBER_total_sem-B92,QBER_est-B92,QBER_est_std-B92,QBER_est_sem-B92,Throughputs-B92,Throughputs_std-B92,Throughputs_sem-B92,Throughput_final-B92,Throughput_final_std-B92,Throughput_final_sem-B92,Latency-B92,Loss-B92,R_s-B92,R_s_std-B92,R_s_sem-B92,N_keys-B92,N_replicas-B92,R_sk-COW,R_sk_std-COW,R_sk_sem-COW,QBER_total-COW,QBER_total_std-COW,QBER_total_sem-COW,QBER_est-COW,QBER_est_std-COW,QBER_est_sem-COW,Throughputs-COW,Throughputs_std-COW,Throughputs_sem-COW,Throughput_final-COW,Throughput_final_std-COW,Throughput_final_sem-COW,Latency-COW,Loss-COW,R_s-COW,R_s_std-COW,R_s_sem-COW,Visibility-COW,Visibility_std-COW,Visibility_sem-COW,N_keys-COW,N_replicas-COW,R_sk-BB84+Eve,R_sk_std-BB84+Eve,R_sk_sem-BB84+Eve,QBER_total-BB84+Eve,QBER_total_std-BB84+Eve,QBER_total_sem-BB84+Eve,QBER_est-BB84+Eve,QBER_est_std-BB84+Eve,QBER_est_sem-BB84+Eve,Throughputs-BB84+Eve,Throughputs_std-BB84+Eve,Throughputs_sem-BB84+Eve,Throughput_final-BB84+Eve,Throughput_final_std-BB84+Eve,Throughput_final_sem-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_s_std-BB84+Eve,R_s_sem-BB84+Eve,N_keys-BB84+Eve,N_replicas-BB84+Eve,R_sk-B92+Eve,R_sk_std-B92+Eve,R_sk_sem-B92+Eve,QBER_total-B92+Eve,QBER_total_std-B92+Eve,QBER_total_sem-B92+Eve,QBER_est-B92+Eve,QBER_est_std-B92+Eve,QBER_est_sem-B92+Eve,Throughputs-B92+Eve,Throughputs_std-B92+Eve,Throughputs_sem-B92+Eve,Throughput_final-B92+Eve,Throughput_final_std-B92+Eve,Throughput_final_sem-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_s_std-B92+Eve,R_s_sem-B92+Eve,N_keys-B92+Eve,N_replicas-B92+Eve,R_sk-COW+Eve,R_sk_std-COW+Eve,R_sk_sem-COW+Eve,QBER_total-COW+Eve,QBER_total_std-COW+Eve,QBER_total_sem-COW+Eve,QBER_est-COW+Eve,QBER_est_std-COW+Eve,QBER_est_sem-COW+Eve,Throughputs-COW+Eve,Throughputs_std-COW+Eve,Throughputs_sem-COW+Eve,Throughput_final-COW+Eve,Throughput_final_std-COW+Eve,Throughput_final_sem-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,R_s_std-COW+Eve,R_s_sem-COW+Eve,Visibility-COW+Eve,Visibility_std-COW+Eve,Visibility_sem-COW+Eve,N_keys-COW+Eve,N_replicas-COW+Eve,R_sk-BBM92,R_sk_std-BBM92,R_sk_sem-BBM92,QBER_total-BBM92,QBER_total_std-BBM92,QBER_total_sem-BBM92,QBER_est-BBM92,QBER_est_std-BBM92,QBER_est_sem-BBM92,Throughputs-BBM92,Throughputs_std-BBM92,Throughputs_sem-BBM92,Throughput_final-BBM92,Throughput_final_std-BBM92,Throughput_final_sem-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_s_std-BBM92,R_s_sem-BBM92,N_keys-BBM92,N_replicas-BBM92,R_sk-E91,R_sk_std-E91,R_sk_sem-E91,QBER_total-E91,QBER_total_std-E91,QBER_total_sem-E91,QBER_est-E91,QBER_est_std-E91,QBER_est_sem-E91,Throughputs-E91,Throughputs_std-E91,Throughputs_sem-E91,Throughput_final-E91,Throughput_final_std-E91,Throughput_final_sem-E91,Latency-E91,Loss-E91,R_s-E91,R_s_std-E91,R_s_sem-E91,CHSH_S-E91,CHSH_S_std-E91,CHSH_S_sem-E91,N_keys-E91,N_replicas-E91,R_sk-BBM92+Eve,R_sk_std-BBM92+Eve,R_sk_sem-BBM92+Eve,QBER_total-BBM92+Eve,QBER_total_std-BBM92+Eve,QBER_total_sem-BBM92+Eve,QBER_est-BBM92+Eve,QBER_est_std-BBM92+Eve,QBER_est_sem-BBM92+Eve,Throughputs-BBM92+Eve,Throughputs_std-BBM92+Eve,Throughputs_sem-BBM92+Eve,Throughput_final-BBM92+Eve,Throughput_final_std-BBM92+Eve,Throughput_final_sem-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_s_std-BBM92+Eve,R_s_sem-BBM92+Eve,N_keys-BBM92+Eve,N_replicas-BBM92+Eve,R_sk-E91+Eve,R_sk_std-E91+Eve,R_sk_sem-E91+Eve,QBER_total-E91+Eve,QBER_total_std-E91+Eve,QBER_total_sem-E91+Eve,QBER_est-E91+Eve,QBER_est_std-E91+Eve,QBER_est_sem-E91+Eve,Throughputs-E91+Eve,Throughputs_std-E91+Eve,Throughputs_sem-E91+Eve,Throughput_final-E91+Eve,Throughput_final_std-E91+Eve,Throughput_final_sem-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,R_s_std-E91+Eve,R_s_sem-E91+Eve,CHSH_S-E91+Eve,CHSH_S_std-E91+Eve,CHSH_S_sem-E91+Eve,N_keys-E91+Eve,N_replicas-E91+Eve
80000,20260805,0.0734541744,0.0032964627286967405,0.0014742229493320716,0.021952,0.0007492129203370688,0.00033505820389896407,0.020911999999999997,0.0014908789353934807,0.000666741329152468,2034144.8170785897,73029.67439244574,32659.863263236864,518634.5581492561,34947.76850046916,15629.117205794986,0.013111499996,0.1601003824220022,0.276924,0.0024400573763745884,0.0010912268325146738,25,5,0.019986694,0.0016933102377337703,0.0007572713597138079,0.04216399999999999,0.0005750478240981324,0.0002571692049993531,0.04208,0.0023047776465420678,0.0010307278981380092,1070444.2159808837,0.0,0.0,144008.0921194749,12247.33958533882,5477.176771268337,0.016861499993,0.1601003824220022,0.144524,0.002225282004600778,0.0009951763662788679,25,5,0.0279465514,0.0023434786420024802,0.001048035509467288,0.007532,0.00031673332631726653,0.00014164744967700622,0.007184,0.00041722895393296974,0.0001865904606350497,516467.49118088686,0.0,0.0,106481.82525211314,8383.746913768271,3749.3256010679843,0.028111499996,0.1601003824220022,0.13272,0.0006289276587971026,0.000281264999600023,0.568302549184304,0.017225394004235787,0.007703430386537704,25,5,0.0,0.0,0.0,0.237256,0.0023067899774361677,0.0010316278398724954,0.23704,0.004468198742222643,0.0019982392249177777,2007478.15039059,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.1601003824220022,0.276852,0.0014056030734172355,0.0006286048043087132,25,5,0.0,0.0,0.0,0.321264,0.0004309060222368722,0.00019270703152713645,0.32216,0.0030499836065133357,0.0013639941348847578,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1601003824220022,0.20434800000000003,0.0015730607108436878,0.0007034941364361252,25,5,0.0,0.0,0.0,0.0077280000000000005,0.0004991192242340502,0.00022321290285285932,0.007824000000000001,0.0005639858154244663,0.00025222212432695116,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1601003824220022,0.132308,0.0015896288875080213,0.0007109036502930603,0.005896447434116024,0.0073697028561769485,0.0032958313120772026,25,5,0.0317439024,0.0016889443122562711,0.0007553188584833307,0.036204,0.000463767182970073,0.0002074029893709332,0.035664,0.00163501681948535,0.000731201750544949,548776.3043945801,0.0,0.0,92818.92960113267,4593.3601122006,2054.2130912033203,0.023734150023,0.16012326230365437,0.18176399999999998,0.0015534091540865885,0.0006947056930816114,25,5,0.0227902516,0.0016288817944911775,0.000728458083958823,0.035752000000000006,0.001148529494614748,0.000513638004824411,0.03638400000000001,0.0008549152004731246,0.00038232970065115335,243900.57972972942,2140.8629696467538,957.4230261284421,67571.80242687234,5001.332526941349,2236.6639016643308,0.046694325051,0.16012326230365437,0.08087199999999999,0.001082460160929721,0.00048409090055484365,-2.633317300209709,0.012085110640079296,0.00540462578136466,25,5,0.0,0.0,0.0,0.24448799999999998,0.0023712697020794593,0.0010604640493670691,0.24388800000000002,0.006096451426854793,0.0027264159623945805,548776.3043945801,5.820766091346741e-11,2.6031257322754125e-11,0.0,0.0,0.0,0.023734150023,0.16012326230365437,0.181368,0.0023667107977106087,0.0010584252453527349,25,5,0.0,0.0,0.0,0.2432,0.001824006578935514,0.000815720540381329,0.24390400000000004,0.00437790817628693,0.0019578600562859417,243118.84710239404,1748.0072949513483,781.732627335348,0.0,0.0,0.0,0.046694325051,0.16012326230365437,0.08064000000000002,0.0010398076745244732,0.00046501612875253967,-1.4434787787351935,0.013875039541595533,0.006205106321101026,25,5
85000,20260805,0.0709265448,0.0022592392493078735,0.0010103625077776,0.022095999999999998,0.0003073759912550091,0.00013746272221951624,0.022271999999999997,0.0008664409962599862,0.000387484193225994,1980811.48370259,59628.47944769706,26666.666687999947,491209.5132444734,21006.812044012226,9394.531944194528,0.013111499996,0.1601003824220022,0.27691999999999994,0.003323492139301664,0.001486310869232944,25,5,0.0193297844,0.0011504873536492264,0.0005145135860027022,0.04240400000000001,0.0007669941329632199,0.0003430102039298543,0.043152,0.0014339874476438053,0.0006412986823625938,1075286.1250513815,10826.837822506313,4841.9090704979835,135883.83120700973,8997.485299879572,4023.7977514171607,0.0171114999928,0.1601003824220022,0.14564400000000002,0.0016061382256829428,0.0007182868507775918,25,5,0.027919111200000003,0.0013360009277252388,0.0005974777784792834,0.0075639999999999995,0.0003589986072396386,0.000160549057923116,0.008064,0.0009319227435791018,0.00041676852088419545,503134.1578448868,18257.418587156997,8164.965810910243,104021.00256338398,6338.891259070197,2834.838351452038,0.028111499996,0.1601003824220022,0.13178399999999998,0.0013373406447124913,0.000598076918130105,0.5746284019091451,0.009334990782628439,0.00417473479185823,25,5,0.0,0.0,0.0,0.237248,0.0018326265304202038,0.0008195754998778324,0.237936,0.005883781097219719,0.002631306899622318,2007478.15039059,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.1601003824220022,0.27754400000000007,0.002277691814096025,0.001018614745622705,25,5,0.0,0.0,0.0,0.320732,0.00294874888724014,0.001318720592089163,0.32014400000000004,0.005305815677160291,0.0023728329060428975,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1601003824220022,0.205152,0.0012406933545401125,0.0005548549359967878,25,5,0.0,0.0,0.0,0.007488,0.000444657171312912,0.0001988567323476881,0.007856,0.0004322961947554014,0.00019332873557751311,509800.82451288693,14907.119852980004,6666.666667999992,0.0,0.0,0.0,0.028111499996,0.1601003824220022,0.132354,0.0011915452152562302,0.00053287521991551,0.010209065400980372,0.008210120625940088,0.0036716775646150317,25,5,0.031169548,0.0021308488306578666,0.0009529445670253855,0.03621200000000001,0.0007574430671674299,0.0003387388374544625,0.03584,0.0020238577025077625,0.0009050966799187807,548776.30439458,1.0081862609186659e-10,4.508746026790953e-11,92867.55823139238,6015.386321795557,2690.1625452914577,0.023734150023,0.16012326230365437,0.17971199999999998,0.0015872365923201262,0.0007098337833605845,25,5,0.0215489632,0.0014251019327140078,0.0006373249592829705,0.034708,0.000626833311176108,0.00028032837887021124,0.03518400000000001,0.0015650175717863354,0.0006998971352991806,243118.84710239404,1748.0072949513515,781.7326273353493,64000.87185363504,3844.2278844553016,1719.1909741284521,0.046694325051,0.16012326230365437,0.080508,0.0008752828114386799,0.00039143837318280375,-2.623690828123144,0.012969064383448258,0.005799941913192341,25,5,0.0,0.0,0.0,0.24474,0.0025596484133568144,0.0011447095701530635,0.245072,0.0026482295972970298,0.0011843242799166103,548776.3043945801,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.16012326230365437,0.18048800000000004,0.0016217644711856308,0.0007252751202130139,25,5,0.0,0.0,0.0,0.24674800000000002,0.0015003732868856137,0.0006709873322202052,0.245408,0.004806861762106343,0.002149693931702841,242337.1144750587,1.4551915228366852e-11,6.507814330688531e-12,0.0,0.0,0.0,0.046694325051,0.16012326230365437,0.080404,0.0005525214927946228,0.00024709512338368735,-1.4407947559180296,0.004853500987902796,0.002170551627562607,25,5
90000,20260805,0.0695952004,0.0019618215371921066,0.0008773532633769365,0.022892000000000003,0.0005421438923385541,0.00024245411937106687,0.023264,0.0010619227843868867,0.00047490630654898616,2060811.4837665898,59628.47944769705,26666.666687999943,502527.6468009457,18705.553451468193,8365.377814847738,0.013111499996,0.1601003824220022,0.278468,0.0018168984561609295,0.000812541691238052,25,5,0.019089931999999997,0.0024086574402089646,0.001077184354163576,0.042491999999999995,0.0010013590764555934,0.0004478213929682232,0.043136,0.0030606665940608405,0.0013687717121565587,1070444.2159808837,0.0,0.0,136913.9911142808,17087.391622716794,7641.713845311037,0.016861499993,0.1601003824220022,0.144052,0.0016527310731029377,0.0007391238055968686,25,5,0.029437555999999997,0.0020647973599625963,0.0009234054513276936,0.007652000000000001,0.0001565886330485072,7.002856560004644e-05,0.007808,0.0010332085946216285,0.000462064930502197,509800.82451288693,14907.119852980004,6666.666667999992,110857.94950816614,7535.005915282077,3369.757087486749,0.028111499996,0.1601003824220022,0.132726,0.0014810232948876912,0.0006623337527259188,0.5835689792955974,0.015764547266634416,0.007050119864540611,25,5,0.0,0.0,0.0,0.23784,0.0014150618361047074,0.0006328348915791584,0.236912,0.004369567484316967,0.001954129985441097,2060811.4837665898,59628.47944769705,26666.666687999943,0.0,0.0,0.0,0.013111499996,0.1601003824220022,0.278024,0.001999719980397229,0.0008943019624265503,25,5,0.0,0.0,0.0,0.320036,0.0013937288114981236,0.000623294472941959,0.32289599999999996,0.0033377357594633157,0.001492680809818372,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1601003824220022,0.20568399999999998,0.0022859308825946625,0.0010222993690695511,25,5,0.0,0.0,0.0,0.007464000000000001,0.00027546324618721757,0.00012319090875547565,0.007648,0.0007644082678778401,0.00034185376990754384,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1601003824220022,0.13220400000000002,0.0008136829849517357,0.00036389009329740383,0.005512565167020136,0.00465790118600316,0.0020830767368759913,25,5,0.0311327136,0.00303968130660548,0.0013593868063010467,0.03594,0.000982751240141677,0.0004394997155858019,0.036112,0.0029979192784329585,0.0013407102595266427,548776.3043945801,0.0,0.0,91579.48895189865,8598.196625393646,3845.230427657897,0.023734150023,0.16012326230365437,0.18086799999999997,0.001757134030175281,0.0007858142274100189,25,5,0.0214086492,0.001280186614400885,0.000572516858737138,0.035904000000000005,0.00037266607036327083,0.00016666133324799866,0.036096,0.0007534454193901509,0.0003369510350184431,243900.5797297294,2140.8629696467538,957.4230261284421,64216.78016337906,4162.100341033102,1861.3478583450146,0.046694325051,0.16012326230365437,0.080084,0.0007564919034596483,0.0003383134641127964,-2.6255068360487166,0.008372401617651912,0.0037442518303997755,25,5,0.0,0.0,0.0,0.2435,0.0012117755567760922,0.0005419225036847996,0.24681599999999998,0.0035961757465396574,0.0016082586856597456,548776.3043945801,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.16012326230365437,0.179632,0.0012889996121023498,0.000576458151126343,25,5,0.0,0.0,0.0,0.24359999999999998,0.0023643180835073905,0.00105735519103091,0.243472,0.00420955104494529,0.0018825684582505881,242337.1144750587,2.0579515874459978e-11,9.203439287865707e-12,0.0,0.0,0.0,0.046694325051,0.16012326230365437,0.08046399999999998,0.0009494630061250387,0.00042461276476337713,-1.452943346029673,0.0031634946408614323,0.0014147578126844891,25,5
92700,20260805,0.07018308840000001,0.001378799007279448,0.0006166176615172147,0.022536,0.0006112937100936025,0.0002733788579974689,0.022736,0.0007275163228409369,0.00032535519052260354,2034144.8170785897,73029.67439244574,32659.863263236864,496826.962358197,24439.18181818205,10929.534371986392,0.013111499996,0.1601003824220022,0.27729600000000004,0.0015483152133852014,0.0006924276135452805,25,5,0.0205170768,0.0005015016394162614,0.00022427835131246966,0.041632,0.0005303960784168747,0.00023720033726788817,0.041712000000000006,0.0006825833282464461,0.00030526054445342116,1070444.2159808837,0.0,0.0,146209.66774787047,5703.425848171362,2550.649580228112,0.016861499993,0.1601003824220022,0.146284,0.0015587430833848147,0.0006970910987812137,25,5,0.0294099746,0.0012619183647040336,0.000564347049106718,0.00772,0.00028948229652260284,0.00012946041866145817,0.0075520000000000006,0.0005384421974548425,0.0002407986710926784,503134.15784488694,18257.418587156997,8164.965810910243,109481.96896608004,6007.892664623771,2686.8112799242194,0.028111499996,0.1601003824220022,0.13191999999999998,0.0005270673581241634,0.00023571168829737108,0.5833812521974645,0.008578253719996178,0.00383631168923038,25,5,0.0,0.0,0.0,0.23725199999999996,0.0015541943250443342,0.000695056832208707,0.23704,0.004102682049586594,0.0018347751905887575,2034144.8170785897,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.1601003824220022,0.276152,0.003538858573043,0.0015826256664164104,25,5,0.0,0.0,0.0,0.32065199999999994,0.0019348695046436646,0.0008652999479949158,0.317648,0.0030361027650591807,0.0013577864338694802,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1601003824220022,0.20431600000000003,0.0015585506087387783,0.0006970050215027171,25,5,0.0,0.0,0.0,0.007908000000000002,0.0006469312173639478,0.00028931643575849593,0.008159999999999999,0.0008466404195406689,0.0003786291061183754,509800.82451288693,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.1601003824220022,0.13165200000000002,0.0014242085521439538,0.0006369254273460869,0.011411688978463641,0.009910971764284467,0.004432321317604218,25,5,0.030005170000000005,0.0023007798685289295,0.001028940037458743,0.036176,0.0005740034843099809,0.00025670216204777026,0.037216,0.002272901229706209,0.0010164723311531893,548776.30439458,1.0081862609186659e-10,4.508746026790953e-11,88181.68612819992,6845.842478873212,3061.553829203234,0.023734150023,0.16012326230365437,0.181228,0.0024710564542316828,0.0011050900415803281,25,5,0.0226852052,0.0008083797493302269,0.00036151841422732547,0.035344,0.0010528437680871713,0.00047084604702598773,0.034624,0.0012729807539786264,0.0005692942999890289,243118.84710239404,1748.007294951358,781.7326273353523,66717.92139577566,1425.2297988740343,637.3821427681387,0.046694325051,0.16012326230365437,0.081308,0.0011073030298883897,0.0004952009693043842,-2.631598581987821,0.009132894277773968,0.004084354487284288,25,5,0.0,0.0,0.0,0.24296,0.001656623071190287,0.000740864360055191,0.24296,0.0048809835074501064,0.0021828421839427577,548776.30439458,1.1641532182693481e-10,5.206251464550825e-11,0.0,0.0,0.0,0.023734150023,0.16012326230365437,0.18048,0.0010933434958877277,0.0004889580759124441,25,5,0.0,0.0,0.0,0.245676,0.0017962961893852633,0.000803328077437857,0.245856,0.0033701750696365886,0.0015071881103564998,243118.84710239404,1748.0072949513517,781.7326273353494,0.0,0.0,0.0,0.046694325051,0.16012326230365437,0.08125600000000001,0.0009550287953773978,0.00042710186138671965,-1.4358401865244412,0.011651440316595655,0.005210682516737911,25,5
95000,20260805,0.07149686759999999,0.003074680368464148,0.001375038862593987,0.021808,0.0003058103987767586,0.00013676256797823014,0.022224,0.0016765679228710076,0.0007497839688870395,2087478.1504545896,0.0,0.0,517344.44946602156,22513.516604421155,10068.350708011189,0.013111499996,0.1601003824220022,0.27868,0.0008058535847162352,0.0003603886790674775,25,5,0.019658525599999997,0.0009639080718153583,0.00043107279452797803,0.041991999999999995,0.00046810255286635705,0.00020934182573007266,0.042464,0.00128049990238188,0.0005726569653815457,1070444.2159808837,0.0,0.0,141339.98704276353,6953.438281312161,3109.672134872659,0.016861499993,0.1601003824220022,0.144596,0.0018518855256197694,0.0008281883843667465,25,5,0.028489698399999996,0.0024306959173615887,0.0010870402607703446,0.007324,0.000729575218877395,0.0003262759568218286,0.007311999999999999,0.0007496132336078386,0.0003352372294361114,516467.49118088686,0.0,0.0,107884.31305983194,7694.292576222674,3440.9922478411763,0.028111499996,0.1601003824220022,0.132924,0.001090701609057216,0.00048777658820406704,0.572954023302496,0.015843809352141334,0.0070855669467869845,25,5,0.0,0.0,0.0,0.237112,0.0027668248950737844,0.001237361709444741,0.23744,0.0038553858432068644,0.0017241809649801787,2034144.8170785897,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.1601003824220022,0.277916,0.001513367106818413,0.0006767983451516313,25,5,0.0,0.0,0.0,0.321808,0.0022857646423024435,0.001022225024150751,0.321072,0.007083637483666157,0.0031678989882886165,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1601003824220022,0.205348,0.0011320424020327291,0.0005062647528714657,25,5,0.0,0.0,0.0,0.007624000000000001,0.000320437201335925,0.00014330387294138295,0.007808,0.0002689237810235458,0.00012026637102698328,509800.82451288693,14907.119852980004,6666.666667999992,0.0,0.0,0.0,0.028111499996,0.1601003824220022,0.132538,0.001617009585624045,0.0007231486707448262,0.01622391838148048,0.019485107115300934,0.008714004811735544,25,5,0.030382276399999998,0.0009850730198603561,0.00044053804704175133,0.036016000000000006,0.000798298189901493,0.0003570098037869549,0.036704,0.001001438964690313,0.0004478571200729103,548776.3043945801,5.820766091346741e-11,2.6031257322754125e-11,89758.09765797315,4036.100108643652,1804.9988413842984,0.023734150023,0.16012326230365437,0.18034,0.0023752894560453252,0.0010622617379911692,25,5,0.0213842884,0.0006889894150005498,0.0003081254335438085,0.03585999999999999,0.000873040663428688,0.0003904356541096122,0.036239999999999994,0.0016119553343687894,0.0007208883408684032,243900.5797297294,2140.862969646759,957.4230261284445,63782.505417825516,1840.2138909285304,822.9686706511155,0.046694325051,0.16012326230365437,0.080592,0.0012098429650165324,0.0005410582223753733,-2.629428031691405,0.008748008058177848,0.003912228137160321,25,5,0.0,0.0,0.0,0.24506,0.0019236943624183133,0.0008603022724600931,0.245392,0.0028669705265314442,0.0012821481973625346,548776.30439458,1.0081862609186659e-10,4.508746026790953e-11,0.0,0.0,0.0,0.023734150023,0.16012326230365437,0.180872,0.00115304813429449,0.0005156588019223572,25,5,0.0,0.0,0.0,0.245452,0.0019621722656280646,0.0008775101139018252,0.24531200000000003,0.005091671631203248,0.0022770647772955405,243118.84710239404,3270.2222036447465,1462.4878297757627,0.0,0.0,0.0,0.046694325051,0.16012326230365437,0.08013200000000001,0.003049380264906295,0.0013637243123153582,-1.4469395942570726,0.01046749010198044,0.004681203884366893,25,5
100000,20260805,0.0707786924,0.002744552699019427,0.0012274012805675917,0.022259999999999995,0.0011264990013311153,0.0005037856687124,0.022287999999999995,0.0015570228000899673,0.0006963217647036465,2034144.8170785897,73029.67439244574,32659.863263236864,500086.2013484699,17352.197722751876,7760.138733418049,0.013111499996,0.1601003824220022,0.276404,0.0013388353147418858,0.0005987453548880365,25,5,0.0200071588,0.001483383790787536,0.0006633893985844513,0.04154,0.0004315089802078308,0.0001929766825292642,0.041999999999999996,0.001833902941815626,0.0008201463284073162,1070444.2159808837,0.0,0.0,142544.3999363071,10443.87655693654,4670.643585985311,0.016861499993,0.1601003824220022,0.144264,0.0013712330217727326,0.0006132340499352558,25,5,0.0288336268,0.0022016798324927278,0.0009846211540288179,0.0073160000000000005,0.00038533102652135324,0.00017232527382830403,0.007167999999999999,0.0006987989696615192,0.000312512399753994,496467.49117688695,18257.418587156997,8164.965810910243,105214.46146831561,6705.80369218118,2998.9265798972383,0.028111499996,0.1601003824220022,0.13264,0.0005223504570688154,0.00023360222601679135,0.5754867594513481,0.014501987844001037,0.006485486125612386,25,5,0.0,0.0,0.0,0.237444,0.001203611232915336,0.0005382713070562047,0.23868799999999996,0.004679692297576849,0.0020928220182328014,2007478.15039059,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.1601003824220022,0.27824,0.0021317598363793148,0.0009533519811695954,25,5,0.0,0.0,0.0,0.320584,0.002660090224033749,0.0011896285134444214,0.32049600000000006,0.005891933468735033,0.002634952750999533,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1601003824220022,0.20472400000000004,0.0017954052467340125,0.0008029296357714068,25,5,0.0,0.0,0.0,0.007232,0.0005072671879788797,0.00022685678301518782,0.007456,0.0010573930205935733,0.00047288053459621296,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1601003824220022,0.132098,0.0012299065005113208,0.0005500309082224386,0.010307686285613127,0.009974580463171755,0.004460767992538676,25,5,0.0324433544,0.0017435482975538125,0.0007797385030768709,0.035788,0.000944732766447742,0.0004224973372697167,0.034960000000000005,0.0015189470036838018,0.0006792937508913209,548776.3043945801,0.0,0.0,94940.99447478142,5191.577793080641,2321.74417116133,0.023734150023,0.16012326230365437,0.18152,0.0010585839598255863,0.00047341313881218343,25,5,0.021939847999999994,0.0013679887110616075,0.0006117831500772145,0.035716,0.0007233809508136118,0.0003235057959295335,0.034704,0.0011148452807452716,0.000498573966428253,242337.11447505868,2.5204656522966648e-11,1.1271865066977382e-11,65433.61713180142,3816.084044876495,1706.6046664392402,0.046694325051,0.16012326230365437,0.07994399999999999,0.0016253861079755841,0.0007268947654234438,-2.6243731827779957,0.011558376324767514,0.005169063034340869,25,5,0.0,0.0,0.0,0.24548,0.0007775602870517528,0.0003477355316903937,0.244448,0.0031458416997681067,0.001406863177426994,548776.3043945801,5.820766091346741e-11,2.6031257322754125e-11,0.0,0.0,0.0,0.023734150023,0.16012326230365437,0.18180400000000002,0.0008955891915381623,0.00040051966243868204,25,5,0.0,0.0,0.0,0.244412,0.0014521432436230346,0.0006494182011616286,0.24408,0.004779623416128111,0.002137512573062444,242337.1144750587,2.5204656522966648e-11,1.1271865066977382e-11,0.0,0.0,0.0,0.046694325051,0.16012326230365437,0.08038000000000001,0.0013342413574762289,0.000596690874741689,-1.4435972661304366,0.014148449152086531,0.006327378816052949,25,5
