frequency,R_sk-BB84,QBER-BB84,Throughputs-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_sk-B92,QBER-B92,Throughputs-B92,Latency-B92,Loss-B92,R_s-B92,R_sk-COW,QBER-COW,Throughputs-COW,Latency-COW,Loss-COW,R_s-COW,Visibility-COW,R_sk-BB84+Eve,QBER-BB84+Eve,Throughputs-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_sk-B92+Eve,QBER-B92+Eve,Throughputs-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_sk-COW+Eve,QBER-COW+Eve,Throughputs-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,Visibility-COW+Eve,R_sk-BBM92,QBER-BBM92,Throughputs-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_sk-E91,QBER-E91,Throughputs-E91,Latency-E91,Loss-E91,R_s-E91,CHSH_S-E91,R_sk-BBM92+Eve,QBER-BBM92+Eve,Throughputs-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_sk-E91+Eve,QBER-E91+Eve,Throughputs-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,CHSH_S-E91+Eve
1000000.0,0.19460686592146742,0.0214,226976.11078494933,0.044057499996,0.1601003824220022,0.2774,0.07187963697094629,0.0419,135030.21302292423,0.074057499993,0.1601003824220022,0.1443,0.11583074970897156,0.0017,60954.238606853185,0.164057499996,0.1601003824220022,0.13105,0.985731272294887,0.0,0.2441,226976.11078494933,0.044057499996,0.1601003824220022,0.2734,0.0,0.3226,184988.20701891396,0.054057499995,0.1601003824220022,0.2051,0.0,0.0016,60954.238606853185,0.164057499996,0.1601003824220022,0.13185,0.008383233532934131,0.05702064253180199,0.0548,142441.92459201525,0.070204050027,0.16012326230365437,0.1473,0.03683479631780424,0.0513,83091.12267818241,0.120349800047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,142441.92459201525,0.070204050027,0.16012326230365437,0.1488,0.0,0.2522,83091.12267818241,0.120349800047,0.16012326230365437,0.089,-1.3934862008580298
2000000.0,0.1808557288924828,0.0266,415670.78880443453,0.024057499996,0.1601003824220022,0.28,0.07172301196253175,0.0424,256032.77224072788,0.039057499993,0.1601003824220022,0.1453,0.11610226524348258,0.0028,118966.18386789833,0.084057499996,0.1601003824220022,0.1328,0.9857988165680474,0.0,0.2297,415670.78880443453,0.024057499996,0.1601003824220022,0.2749,0.0,0.3197,344145.22934597696,0.029057499995,0.1601003824220022,0.2046,0.0,0.004,118966.18386789833,0.084057499996,0.1601003824220022,0.1304,0.008244994110718492,0.05702064253180199,0.0548,284029.98766830383,0.035207550027,0.16012326230365437,0.1473,0.03683479631780424,0.0513,165684.15947121644,0.060355800047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,284029.98766830383,0.035207550027,0.16012326230365437,0.1488,0.0,0.2522,165684.15947121644,0.060355800047,0.16012326230365437,0.089,-1.3934862008580298
5000000.0,0.1895729484874196,0.0213,829359.3202004924,0.012057499996,0.1601003824220022,0.2698,0.07360682727998054,0.0392,553786.5155130281,0.018057499993,0.1601003824220022,0.1408,0.10502761594719533,0.0083,277334.81248309894,0.036057499996,0.1601003824220022,0.1302,0.9651162790697675,0.0,0.2431,829359.3202004924,0.012057499996,0.1601003824220022,0.272,0.0,0.3164,711364.0408007697,0.014057499995,0.1601003824220022,0.1996,0.0,0.008,277334.81248309894,0.036057499996,0.1601003824220022,0.1306,0.03111111111111111,0.05702064253180199,0.0548,703747.1001044239,0.014209650027,0.16012326230365437,0.1473,0.03683479631780424,0.0513,410519.1417155431,0.024359400047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,703747.1001044239,0.014209650027,0.16012326230365437,0.1488,0.0,0.2522,410519.1417155431,0.024359400047,0.16012326230365437,0.089,-1.3934862008580298
8000000.0,0.19536377308733563,0.0209,1104057.4114729483,0.009057499996,0.1601003824220022,0.2763,0.07223566026510223,0.0401,780792.5048187037,0.012807499993,0.1601003824220022,0.1404,0.10459606819115,0.0118,415670.78880443453,0.024057499996,0.1601003824220022,0.1309,0.977482088024565,0.0,0.235,1104057.4114729483,0.009057499996,0.1601003824220022,0.2834,0.0,0.3273,970167.3543391547,0.010307499995,0.1601003824220022,0.1999,0.0,0.012,415670.78880443453,0.024057499996,0.1601003824220022,0.12875,0.0,0.05702064253180199,0.0548,1116049.627364048,0.008960175027,0.16012326230365437,0.1473,0.03683479631780424,0.0513,651028.9492654206,0.015360300047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,1116049.627364048,0.008960175027,0.16012326230365437,0.1488,0.0,0.2522,651028.9492654206,0.015360300047,0.16012326230365437,0.089,-1.3934862008580298
10000000.0,0.18926713562229122,0.024,1241079.7399893664,0.008057499996,0.1601003824220022,0.2811,0.07248226705837317,0.0441,904363.5547212792,0.011057499993,0.1601003824220022,0.1515,0.10304886763628889,0.0186,498566.6210641539,0.020057499996,0.1601003824220022,0.13455,0.9836901121304791,0.0,0.2384,1241079.7399893664,0.008057499996,0.1601003824220022,0.2784,0.0,0.3271,1104057.4115948426,0.009057499995,0.1601003824220022,0.2031,0.0,0.0161,498566.6210641539,0.020057499996,0.1601003824220022,0.1313,0.055793991416309016,0.05702064253180199,0.0548,1386895.2218066847,0.007210350027,0.16012326230365437,0.1473,0.03683479631780424,0.0513,809022.2126738149,0.012360600047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,1386895.2218066847,0.007210350027,0.16012326230365437,0.1488,0.0,0.2522,809022.2126738149,0.012360600047,0.16012326230365437,0.089,-1.3934862008580298
20000000.0,0.13115514443074439,0.0323,1524971.4079488916,0.0065574999949999995,0.1601003824220022,0.2229,0.043039277354747565,0.0577,1168565.586972491,0.008557499991,0.1601003824220022,0.1184,0.08823483801765714,0.0331,829359.3202004924,0.012057499996,0.1601003824220022,0.1291,0.9787610619469026,0.0,0.2456,1524971.4079488916,0.0065574999949999995,0.1601003824220022,0.219,0.0,0.3181,1323188.8864389444,0.007557499993,0.1601003824220022,0.1593,0.0,0.0335,829359.3202004924,0.012057499996,0.1601003824220022,0.1251,0.041121495327102804,0.05702064253180199,0.0548,2694909.2966926587,0.003710700027,0.16012326230365437,0.1473,0.03683479631780424,0.0513,1572030.4228941977,0.006361200047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,2694909.2966926587,0.003710700027,0.16012326230365437,0.1488,0.0,0.2522,1572030.4228941977,0.006361200047,0.16012326230365437,0.089,-1.3934862008580298
50000000.0,0.10771055368384896,0.0329,1902044.7002210687,0.005257499994,0.1601003824220022,0.1849,0.03203964165488974,0.0604,1598082.3040477675,0.006257499989,0.1601003824220022,0.0937,0.06019138542395692,0.0768,1241079.740143394,0.008057499995,0.1601003824220022,0.1218,0.9722703639514731,0.0,0.243,1902044.7002210687,0.005257499994,0.1601003824220022,0.1811,0.0,0.3241,1767565.1814654036,0.005657499992,0.1601003824220022,0.1315,0.0,0.0726,1241079.740143394,0.008057499995,0.1601003824220022,0.12335,0.019943019943019943,0.05702064253180199,0.0548,6207671.336321007,0.001610910027,0.16012326230365437,0.1473,0.03683479631780424,0.0513,3621141.611917302,0.002761560047,0.16012326230365437,0.0885,-2.545705938336916,0.0,0.2472,6207671.336321007,0.001610910027,0.16012326230365437,0.1488,0.0,0.2522,3621141.611917302,0.002761560047,0.16012326230365437,0.089,-1.3934862008580298
