precipitation_rate,global_seed,R_sk-BB84,R_sk_std-BB84,R_sk_sem-BB84,QBER_total-BB84,QBER_total_std-BB84,QBER_total_sem-BB84,QBER_est-BB84,QBER_est_std-BB84,QBER_est_sem-BB84,Throughputs-BB84,Throughputs_std-BB84,Throughputs_sem-BB84,Throughput_final-BB84,Throughput_final_std-BB84,Throughput_final_sem-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_s_std-BB84,R_s_sem-BB84,N_keys-BB84,N_replicas-BB84,R_sk-B92,R_sk_std-B92,R_sk_sem-B92,QBER_total-B92,QBER_total_std-B92,QBER_total_sem-B92,QBER_est-B92,QBER_est_std-B92,QBER_est_sem-B92,Throughputs-B92,Throughputs_std-B92,Throughputs_sem-B92,Throughput_final-B92,Throughput_final_std-B92,Throughput_final_sem-B92,Latency-B92,Loss-B92,R_s-B92,R_s_std-B92,R_s_sem-B92,N_keys-B92,N_replicas-B92,R_sk-COW,R_sk_std-COW,R_sk_sem-COW,QBER_total-COW,QBER_total_std-COW,QBER_total_sem-COW,QBER_est-COW,QBER_est_std-COW,QBER_est_sem-COW,Throughputs-COW,Throughputs_std-COW,Throughputs_sem-COW,Throughput_final-COW,Throughput_final_std-COW,Throughput_final_sem-COW,Latency-COW,Loss-COW,R_s-COW,R_s_std-COW,R_s_sem-COW,Visibility-COW,Visibility_std-COW,Visibility_sem-COW,N_keys-COW,N_replicas-COW,R_sk-BB84+Eve,R_sk_std-BB84+Eve,R_sk_sem-BB84+Eve,QBER_total-BB84+Eve,QBER_total_std-BB84+Eve,QBER_total_sem-BB84+Eve,QBER_est-BB84+Eve,QBER_est_std-BB84+Eve,QBER_est_sem-BB84+Eve,Throughputs-BB84+Eve,Throughputs_std-BB84+Eve,Throughputs_sem-BB84+Eve,Throughput_final-BB84+Eve,Throughput_final_std-BB84+Eve,Throughput_final_sem-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_s_std-BB84+Eve,R_s_sem-BB84+Eve,N_keys-BB84+Eve,N_replicas-BB84+Eve,R_sk-B92+Eve,R_sk_std-B92+Eve,R_sk_sem-B92+Eve,QBER_total-B92+Eve,QBER_total_std-B92+Eve,QBER_total_sem-B92+Eve,QBER_est-B92+Eve,QBER_est_std-B92+Eve,QBER_est_sem-B92+Eve,Throughputs-B92+Eve,Throughputs_std-B92+Eve,Throughputs_sem-B92+Eve,Throughput_final-B92+Eve,Throughput_final_std-B92+Eve,Throughput_final_sem-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_s_std-B92+Eve,R_s_sem-B92+Eve,N_keys-B92+Eve,N_replicas-B92+Eve,R_sk-COW+Eve,R_sk_std-COW+Eve,R_sk_sem-COW+Eve,QBER_total-COW+Eve,QBER_total_std-COW+Eve,QBER_total_sem-COW+Eve,QBER_est-COW+Eve,QBER_est_std-COW+Eve,QBER_est_sem-COW+Eve,Throughputs-COW+Eve,Throughputs_std-COW+Eve,Throughputs_sem-COW+Eve,Throughput_final-COW+Eve,Throughput_final_std-COW+Eve,Throughput_final_sem-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,R_s_std-COW+Eve,R_s_sem-COW+Eve,Visibility-COW+Eve,Visibility_std-COW+Eve,Visibility_sem-COW+Eve,N_keys-COW+Eve,N_replicas-COW+Eve,R_sk-BBM92,R_sk_std-BBM92,R_sk_sem-BBM92,QBER_total-BBM92,QBER_total_std-BBM92,QBER_total_sem-BBM92,QBER_est-BBM92,QBER_est_std-BBM92,QBER_est_sem-BBM92,Throughputs-BBM92,Throughputs_std-BBM92,Throughputs_sem-BBM92,Throughput_final-BBM92,Throughput_final_std-BBM92,Throughput_final_sem-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_s_std-BBM92,R_s_sem-BBM92,N_keys-BBM92,N_replicas-BBM92,R_sk-E91,R_sk_std-E91,R_sk_sem-E91,QBER_total-E91,QBER_total_std-E91,QBER_total_sem-E91,QBER_est-E91,QBER_est_std-E91,QBER_est_sem-E91,Throughputs-E91,Throughputs_std-E91,Throughputs_sem-E91,Throughput_final-E91,Throughput_final_std-E91,Throughput_final_sem-E91,Latency-E91,Loss-E91,R_s-E91,R_s_std-E91,R_s_sem-E91,CHSH_S-E91,CHSH_S_std-E91,CHSH_S_sem-E91,N_keys-E91,N_replicas-E91,R_sk-BBM92+Eve,R_sk_std-BBM92+Eve,R_sk_sem-BBM92+Eve,QBER_total-BBM92+Eve,QBER_total_std-BBM92+Eve,QBER_total_sem-BBM92+Eve,QBER_est-BBM92+Eve,QBER_est_std-BBM92+Eve,QBER_est_sem-BBM92+Eve,Throughputs-BBM92+Eve,Throughputs_std-BBM92+Eve,Throughputs_sem-BBM92+Eve,Throughput_final-BBM92+Eve,Throughput_final_std-BBM92+Eve,Throughput_final_sem-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_s_std-BBM92+Eve,R_s_sem-BBM92+Eve,N_keys-BBM92+Eve,N_replicas-BBM92+Eve,R_sk-E91+Eve,R_sk_std-E91+Eve,R_sk_sem-E91+Eve,QBER_total-E91+Eve,QBER_total_std-E91+Eve,QBER_total_sem-E91+Eve,QBER_est-E91+Eve,QBER_est_std-E91+Eve,QBER_est_sem-E91+Eve,Throughputs-E91+Eve,Throughputs_std-E91+Eve,Throughputs_sem-E91+Eve,Throughput_final-E91+Eve,Throughput_final_std-E91+Eve,Throughput_final_sem-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,R_s_std-E91+Eve,R_s_sem-E91+Eve,CHSH_S-E91+Eve,CHSH_S_std-E91+Eve,CHSH_S_sem-E91+Eve,N_keys-E91+Eve,N_replicas-E91+Eve
2.7778e-08,20260805,0.11043692999999999,0.0009715749904150474,0.0004345015447613505,8.000000000000001e-06,1.788854381999832e-05,8.000000000000001e-06,0.0,0.0,0.0,1820811.4835745897,0.0,0.0,749209.9307810283,0.0,0.0,0.013111499996,0.20851448610033643,0.258332,0.002272690036058603,0.001016377882482697,25,5,0.05546309000000001,0.0008329782818297221,0.00037251921239044727,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,3.2000000000000005e-05,4.38178046004133e-05,1.9595917942265427e-05,965129.951705945,12777.531310220784,5714.285718857125,398668.57709423266,5852.7628234846225,2617.4351058990437,0.018111499992,0.20851448610033643,0.12986,0.0019400000000000027,0.0008675943752699196,25,5,0.0787800654,0.0002179911430455381,9.748860286854073e-05,0.0,0.0,0.0,0.0,0.0,0.0,475884.42403947207,22325.710962299392,9984.361471542736,293318.35345787846,14264.402456183636,6379.234710088314,0.031111499995400006,0.20851448610033643,0.125172,0.0002806599365780632,0.00012551493934986581,0.9815062755647632,0.003226100108402974,0.001442755828921698,25,5,0.0,0.0,0.0,0.22558399999999995,0.0013730549879738916,0.0006140488579909555,0.22361599999999998,0.004455073512300341,0.0019923694436524615,1820811.4835745897,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.20851448610033643,0.256428,0.0010538121274686178,0.00047127911050670054,25,5,0.0,0.0,0.0,0.30968399999999996,0.0013966674622113942,0.0006246086774933592,0.310272,0.0022518259257767207,0.0010070471687066286,1399714.4721938178,0.0,0.0,0.0,0.0,0.0,0.015611499994,0.20851448610033643,0.18610800000000002,0.002439286781007916,0.0010908822117900686,25,5,0.0,0.0,0.0,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,1.6000000000000003e-05,3.5777087639996646e-05,1.6000000000000003e-05,486551.09070827207,19027.501649673788,8509.357426131995,0.0,0.0,0.0,0.0311114999954,0.20851448610033643,0.12535999999999997,0.00015049916943292893,6.730527468185751e-05,0.02029122490065014,0.013610705499503306,0.006086892543723924,25,5,0.07146945,0.0006004206681569238,0.000268516285818945,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,509287.6391051829,2597.0394096420337,1161.431332041102,210299.7162237536,1110.234347621958,496.511894447566,0.023734150023,0.20867635888635738,0.16718000000000002,0.0014044927910103367,0.0006281082709215036,25,5,0.053749652800000006,0.0017977231719470054,0.0008039662434400094,1.6000000000000003e-05,1.6733200530681514e-05,7.483314773547884e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,226479.10974896146,1835.0254025543309,820.6483081100799,159964.66477559257,4556.353864778826,2037.663394237868,0.049974350055,0.20867635888635738,0.07492399999999999,0.0014032391100592947,0.0006275476077557783,-2.8320193280917256,0.01249398162680873,0.005587478445435545,25,5,0.0,0.0,0.0,0.22508800000000004,0.0022201171140280086,0.0009928665569954559,0.224736,0.001874801322807308,0.0008384366404207335,511610.50176871696,3180.710697260634,1422.4570671671063,0.0,0.0,0.0,0.0250461600246,0.20867635888635738,0.168832,0.0014134072307724962,0.0006320949295794068,25,5,0.0,0.0,0.0,0.223908,0.0018122692956621974,0.0008104714677272676,0.22497599999999998,0.0037936367775526303,0.0016965659433101857,225138.99667352944,1498.2919671011416,670.0565377160062,0.0,0.0,0.0,0.049974350055,0.20867635888635738,0.075276,0.0009602499674563926,0.0004294368405248909,-1.55984355842413,0.008906606022189132,0.003983155302884779,25,5
2.7778e-07,20260805,0.09047561,0.0008940338188513898,0.0003998240786270881,3.2e-05,2.2803508501982758e-05,1.0198039027185568e-05,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,1554033.471955831,0.0,0.0,640394.9104879156,870.463794689673,389.28324337570587,0.014361499994999999,0.3490142367792308,0.211836,0.0019274542796134176,0.0008619837585476977,25,5,0.045144569999999995,0.0007447693758808813,0.00033307099040594853,4e-05,4e-05,1.788854381999832e-05,4.800000000000001e-05,7.155417527999329e-05,3.2000000000000005e-05,796346.7384126487,0.0,0.0,329846.88637429057,611.6519141371049,273.53905171568624,0.02061149999,0.3490142367792308,0.105748,0.0015301372487460103,0.0006842981806201168,25,5,0.059803300000000004,0.000537692354310992,0.00024046333104425603,8.000000000000001e-06,1.0954451150103324e-05,4.898979485566357e-06,1.6000000000000003e-05,3.5777087639996646e-05,1.6000000000000003e-05,396829.0459347955,10954.451152294198,4898.979486546145,223869.1095186234,5549.770987636553,2481.9330375822956,0.033111499995,0.3490142367792308,0.10373399999999999,0.0010277305094235497,0.00045961505632430906,0.9806693286904655,0.002912987707103266,0.0013027277061408299,25,5,0.0,0.0,0.0,0.22412799999999997,0.0018619667021727332,0.0008326968235798673,0.226112,0.004499457745106632,0.00201221867598927,1554033.471955831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.3490142367792308,0.212092,0.0013892875872187046,0.0006213082970635383,25,5,0.0,0.0,0.0,0.31013199999999996,0.0019569159409642497,0.0008751594140498055,0.309952,0.003832743142972126,0.0017140548415963738,1146634.6922323122,0.0,0.0,0.0,0.0,0.0,0.016861499993,0.3490142367792308,0.15288400000000002,0.0014387772586470855,0.0006434407509631361,25,5,0.0,0.0,0.0,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,388829.0459331955,0.0,0.0,0.0,0.0,0.0,0.033111499995,0.3490142367792308,0.10351400000000002,0.0007962914039470686,0.00035611234182487793,0.018974082766572038,0.011421307982051217,0.005107764207965494,25,5,0.05884821999999999,0.0005994866570658575,0.0002680985833606724,1.2000000000000002e-05,1.788854381999832e-05,8.000000000000001e-06,1.6000000000000003e-05,3.5777087639996646e-05,1.6000000000000003e-05,413759.9120425438,0.0,0.0,172455.97430455073,147.62350385299783,66.01923793840105,0.030294200030999995,0.3491473748813211,0.13772,0.0014496896219536165,0.0006483209081928516,25,5,0.0436893124,0.0012058229587542317,0.0005392604209208774,2.8000000000000003e-05,3.0331501776206206e-05,1.3564659966250538e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,185167.1680666799,1227.8478796503346,549.1102649854257,131359.00665098414,2156.698292252673,964.504797686937,0.059814425067,0.3491473748813211,0.0608,0.0011985824961178088,0.0005360223875921597,-2.8357911432883935,0.00958929555383228,0.004288463342941094,25,5,0.0,0.0,0.0,0.223624,0.002089708113589081,0.0009345458790236073,0.223056,0.0030512423699208023,0.0013645570709940947,415937.59579012083,4869.448893078752,2177.683747577039,0.0,0.0,0.0,0.030294200030999995,0.3491473748813211,0.136156,0.0013822734895815641,0.000618171497240045,25,5,0.0,0.0,0.0,0.224856,0.0014807700699298353,0.0006622205070820458,0.22177600000000003,0.0018464235700401915,0.0008257457235735425,185167.16806667988,1227.8478796503425,549.1102649854292,0.0,0.0,0.0,0.059814425067,0.3491473748813211,0.061512,0.0007793073847975512,0.0003485168575549821,-1.551313538243192,0.005381651512675553,0.0024067477227114214,25,5
1.3889e-06,20260805,0.05822902,0.0007983038038553999,0.00035701231442346657,3.600000000000001e-05,3.577708763999664e-05,1.6000000000000003e-05,1.6000000000000003e-05,3.5777087639996646e-05,1.6000000000000003e-05,1022272.8088945163,12777.531310220887,5714.285718857172,423207.5756191149,5368.084069453294,2400.6801776462535,0.018111499992,0.5842314178731104,0.136272,0.0017969195864033657,0.0008036068690597465,25,5,0.029166579999999998,0.0005416045912379263,0.00024221293658679806,6.8e-05,3.0331501776206206e-05,1.3564659966250538e-05,8e-05,5.6568542494923805e-05,2.5298221281347034e-05,522588.71792634967,1369.704632722248,612.5505335726659,217386.53337103888,1103.3231830469042,493.42112768886426,0.027111499984799996,0.5842314178731104,0.068384,0.0013404029244969593,0.0005994464112829438,25,5,0.0332157044,0.00030516361635244,0.00013647331808474446,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,265395.2222051113,3194.3828256385796,1428.5714288571444,127720.27201210587,1851.1427659638887,827.8562121504477,0.048111499992,0.5842314178731104,0.06803999999999999,0.0007420916385460748,0.0003318734698646453,0.979017601179501,0.005635754349202777,0.0025203859658614993,25,5,0.0,0.0,0.0,0.224392,0.0026971688860729552,0.0012062105952113026,0.222912,0.0038622687633048038,0.0017272591004247172,1022272.8088945163,12777.531310220887,5714.285718857172,0.0,0.0,0.0,0.018111499992,0.5842314178731104,0.134532,0.0010181944804407365,0.00045535041451611336,25,5,0.0,0.0,0.0,0.312372,0.002104309863114267,0.0009410759799293556,0.31268799999999997,0.004966640715815863,0.0022211492520764968,740675.8649295273,6504.925030657913,2909.0909114181995,0.0,0.0,0.0,0.021861499989,0.5842314178731104,0.09837199999999999,0.0007108586357356818,0.00031790564637954917,25,5,0.0,0.0,0.0,2.4000000000000004e-05,2.60768096208106e-05,1.1661903789690601e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,265395.2222051113,3194.382825638579,1428.5714288571442,0.0,0.0,0.0,0.048111499992,0.5842314178731104,0.06793400000000001,0.0008232435848520153,0.00036816572355394446,0.008874390737032058,0.011960313867498943,0.005348814967992209,25,5,0.037678279999999995,0.0008751536805041736,0.00039138062407329286,4.4e-05,3.577708763999663e-05,1.6e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,265149.4938729449,2530.1107823098023,1131.499939969978,111276.91725840124,1021.7919154524926,456.9592363622982,0.043414300047,0.5843164499015517,0.088176,0.002058368285803101,0.0009205302819570898,25,5,0.0273423688,0.0007773813630819822,0.0003476555144585515,2.8000000000000003e-05,1.0954451150103323e-05,4.898979485566356e-06,4.800000000000001e-05,4.381780460041329e-05,1.9595917942265424e-05,118587.1023834314,501.9228241570385,224.46671085476234,83900.79975550008,1339.3508325718412,598.9759014703153,0.089334650103,0.5843164499015517,0.0383,0.0007734339015067819,0.00034589015597440826,-2.828046527705097,0.009343864820247173,0.004178703382128306,25,5,0.0,0.0,0.0,0.226016,0.0018486427453675385,0.0008267381689507301,0.22769599999999998,0.00407623355562462,0.0018229470645084642,266997.2255375557,2065.826803124321,923.8658323054113,0.0,0.0,0.0,0.043414300047,0.5843164499015517,0.088952,0.0013953207516553387,0.0006240064102234879,25,5,0.0,0.0,0.0,0.22423600000000002,0.00442127583396465,0.001977254662404406,0.223568,0.006332797170287392,0.0028321129920961838,118385.58908394052,784.8533288747368,350.997079146182,0.0,0.0,0.0,0.089334650103,0.5843164499015517,0.039363999999999996,0.0007767110144706336,0.0003473557254458319,-1.551441067128635,0.009866843959227559,0.0044125867632431965,25,5
2.7778e-06,20260805,0.03913311,0.00019663875953127667,8.793952666463386e-05,6.000000000000001e-05,3.741657386773942e-05,1.6733200530681514e-05,4.800000000000001e-05,4.381780460041329e-05,1.9595917942265424e-05,695100.1073173091,1327.8122616808212,593.815695695211,287881.3961416789,328.5005784529107,146.9099248137422,0.021861499989,0.7171689142418936,0.091668,0.0005749086884019075,0.000257106981624382,25,5,0.01942713,0.00034153312540659937,0.00015273825699542334,0.00012000000000000002,6.164414002968977e-05,2.7568097504180444e-05,8e-05,0.0,0.0,357056.0304144557,1548.791673966182,692.6406931948148,149210.0795235411,672.3262342556069,300.6734325703969,0.035611499978,0.7171689142418936,0.045548000000000005,0.0007978220352935841,0.0003567968609727381,25,5,0.0207627534,0.000402815259029248,0.00018014446031271687,8.000000000000001e-06,1.788854381999832e-05,8.000000000000001e-06,3.2000000000000005e-05,7.155417527999328e-05,3.2000000000000005e-05,182956.20989323745,2.5204656522966648e-11,1.1271865066977382e-11,79805.09468254402,995.8632611493672,445.36358964492206,0.063111499989,0.7171689142418936,0.047036,0.0004005371393516466,0.00017912565422071756,0.9824513948698922,0.0067087415535545085,0.0030002404314450853,25,5,0.0,0.0,0.0,0.22448800000000002,0.0011884948464339358,0.0005315110535068908,0.224912,0.005322435532723713,0.0023802655314061056,695566.1675570337,3210.4507211865125,1435.7572101972532,0.0,0.0,0.0,0.0221114999888,0.7171689142418936,0.092496,0.000881181025669532,0.0003940761347760121,25,5,0.0,0.0,0.0,0.309164,0.0021711471622163202,0.0009709665287742909,0.31046399999999996,0.0037584677729095984,0.0016808378862936209,511623.3427932664,2495.5855267490615,1116.0597762951043,0.0,0.0,0.0,0.0276114999844,0.7171689142418936,0.0669,0.0012315031465652037,0.0005507449500449364,25,5,0.0,0.0,0.0,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,182956.20989323745,0.0,0.0,0.0,0.0,0.0,0.063111499989,0.7171689142418936,0.046932,0.0005794566420363148,0.0002591408883213924,0.012267185729883457,0.015608210639192113,0.006980203999273802,25,5,0.025565694,0.0006789702481920673,0.0003036447259314732,6.000000000000001e-05,2.4494897427831785e-05,1.0954451150103323e-05,8.000000000000002e-05,8e-05,3.577708763999664e-05,181132.0481814636,1002.5335956338758,448.3466539129265,76214.73947341568,548.4545653054602,245.2763381186213,0.059814425067,0.7172267582011587,0.05994000000000001,0.0016324827717314509,0.0007300684899377593,25,5,0.018964322,0.00045637106926710384,0.00020409534676910185,4e-05,2.8284271247461902e-05,1.2649110640673517e-05,4.800000000000001e-05,0.00010733126291998992,4.8e-05,80937.68280699928,377.0631277691359,168.6277571000953,57865.700732105375,547.0135135947744,244.63188020178416,0.1293509551518,0.7172267582011587,0.02636,0.0005409251334519427,0.00024190907382733786,-2.829467609611398,0.006960822296749709,0.0031129743669657123,25,5,0.0,0.0,0.0,0.225792,0.0009705256307795363,0.0004340322568657811,0.225136,0.0004504220243282815,0.00020143485299222027,181630.21113024183,111.39262170602032,49.816294865316,0.0,0.0,0.0,0.06047043006779999,0.7172267582011587,0.060224,0.0012907672137143873,0.0005772486465986737,25,5,0.0,0.0,0.0,0.224188,0.0014060298716599149,0.000628795674285375,0.225712,0.005594740387185089,0.0025020439644418704,80846.49920039687,383.08194377112954,171.31945344499954,0.0,0.0,0.0,0.1293509551518,0.7172267582011587,0.026416000000000002,0.0007134984232638512,0.00031908619525137773,-1.5590224414866405,0.00872532351610411,0.0039020833015372537,25,5
5.5556e-06,20260805,0.021593460000000002,0.000448577183158038,0.00020060981493934935,0.00011200000000000001,4.604345773288535e-05,2.0591260281973996e-05,0.00011200000000000001,9.121403400793106e-05,4.0792156108742285e-05,391629.71133139235,1990.518664088947,890.1870086769909,163325.15245912023,936.4176937417362,418.7787237080203,0.0333614999798,0.8441949395748815,0.05068,0.0011650751048752211,0.0005210374266787382,25,5,0.0107366492,0.0001965471908046516,8.789857588516451e-05,0.00027600000000000004,7.92464510246358e-05,3.54400902933387e-05,0.000272,0.00013386560424545212,5.986651818838307e-05,199469.97624057607,1569.820329514699,702.0449938511973,83525.76260417316,905.857652755318,405.11185789985814,0.05811149996,0.8441949395748815,0.0253,0.0004977951385861449,0.00022262075374950973,25,5,0.0101450762,0.000301944181783156,0.00013503354317553808,4.4e-05,4.3358966777357606e-05,1.939071942966532e-05,6.400000000000001e-05,3.577708763999664e-05,1.6000000000000003e-05,102960.12795093397,570.7615169409976,255.25231016419366,40111.99894730875,762.1637290763364,340.8499816398842,0.10511149998060001,0.8441949395748815,0.025839999999999995,0.0005049257371138858,0.00022580965435516743,0.9807526848791992,0.007510367441735464,0.0033587384271443373,25,5,0.0,0.0,0.0,0.22492799999999996,0.003333064655838524,0.001490591828771376,0.227216,0.0017393332055704665,0.0007778534566356358,392197.4672160526,1883.004614137814,842.1052638315828,0.0,0.0,0.0,0.03311149998,0.8441949395748815,0.05094800000000001,0.0010999636357625646,0.0004919186924685826,25,5,0.0,0.0,0.0,0.30990799999999996,0.0029169024666587796,0.001304478439837169,0.30832,0.004565961016040313,0.0020419598428960293,286921.6305461164,1861.6964199481977,832.575949694433,0.0,0.0,0.0,0.0428614999722,0.8441949395748815,0.036416000000000004,0.001053603340921047,0.00047118573832406936,25,5,0.0,0.0,0.0,2.4000000000000004e-05,2.60768096208106e-05,1.1661903789690601e-05,0.0,0.0,0.0,103023.40773110374,1041.3033742557138,465.6850260071361,0.0,0.0,0.0,0.10611149998040001,0.8441949395748815,0.026362000000000003,0.00041281957317937357,0.00018461852561430566,0.02808051389138481,0.03142524511626306,0.014053796857911496,25,5,0.014263866,0.0005353784194660825,0.00023942850792251142,0.0001,2.0000000000000005e-05,8.94427190999916e-06,9.600000000000002e-05,6.693280212272606e-05,2.9933259094191536e-05,99658.3013946898,655.6467197038983,293.21412689653346,42160.51147963539,289.5120339245673,129.4737176319115,0.10507877012220002,0.8442268044653491,0.033460000000000004,0.0012405643876881197,0.0005547972602672077,25,5,0.010550457499999999,0.00031096967419468757,0.0001390698660880567,0.00011,6.754628043053148e-05,3.020761493398643e-05,0.0001,0.00012247448713915892,5.4772255750516614e-05,44609.182810690996,320.8927559240727,143.50760314669495,31582.04415101199,677.4623813306323,302.9703873708356,0.2290637152734,0.8442268044653491,0.014835000000000001,0.0005191940870233414,0.00023219065442002654,-2.828623372768498,0.012697088723772827,0.005678310700540418,20,5,0.0,0.0,0.0,0.225144,0.0006134166610061874,0.00027432827050815587,0.22430399999999998,0.0035792289672498053,0.0016006798555613865,100051.68942650752,359.1124981342913,160.59999147960835,0.0,0.0,0.0,0.105734775123,0.8442268044653491,0.033091999999999996,0.00027698375403622524,0.00012387090053761626,25,5,0.0,0.0,0.0,0.224785,0.0021077683696269778,0.0009426226710619651,0.22555999999999998,0.005127670036186019,0.002293163753420149,44448.594878750904,353.64841525075525,158.1563793271524,0.0,0.0,0.0,0.2297197202742,0.8442268044653491,0.014845,0.0005403702434442519,0.00024166091947189146,-1.5496847462382317,0.012752027070591542,0.005702879876152039,20,5
8.3334e-06,20260805,0.013386438,0.0004110123982825814,0.00018381033243101394,0.00016800000000000002,4.3817804600413284e-05,1.959591794226542e-05,0.000128,0.0001073312629199899,4.7999999999999994e-05,242911.13527187976,1523.3116673161064,681.2456878074717,101913.27199994776,674.2772094316016,301.5459351935847,0.049111499967200004,0.9045910966827473,0.031428,0.0010429381573228587,0.0004664161232204564,25,5,0.006447631599999999,0.0002871098771251175,0.00012839944045267492,0.000388,0.000126964561984831,5.678027826631355e-05,0.00038400000000000006,0.00028509647489928736,0.0001274990196040738,123244.34563822908,576.0994250705746,257.63949525127026,51683.95592816686,271.3016139968846,121.32977026048847,0.08986149993459999,0.9045910966827473,0.01524,0.0005877074101966045,0.00026283074401599213,25,5,0.005988718000000001,0.00021994704875946894,9.836331049532667e-05,6.8e-05,3.633180424916991e-05,1.6248076809271923e-05,4.800000000000001e-05,4.381780460041329e-05,1.9595917942265424e-05,63481.170314354495,180.32806273766582,80.64516130645352,23417.153236060425,625.7845044872051,279.8593382598826,0.16811149996799998,0.9045910966827473,0.01616,0.00036844266853881005,0.00016477257053284047,0.9810012951017738,0.012504475739416553,0.005592171555266472,25,5,0.0,0.0,0.0,0.225676,0.00233693816777424,0.0010451105204714018,0.22337600000000002,0.0028059365637875754,0.0012548529794362386,241969.0437681913,789.2371200045935,352.957570139286,0.0,0.0,0.0,0.049111499967200004,0.9045910966827473,0.030704,0.0004596520423102677,0.0002055626425204736,25,5,0.0,0.0,0.0,0.310116,0.0018323427626948004,0.0008194485950930679,0.31096,0.005029194766560528,0.002249124274023105,177318.30095903753,699.2800861202436,312.72756157535434,0.0,0.0,0.0,0.0641114999552,0.9045910966827473,0.022944,0.000811837422148053,0.00036306473252024793,25,5,0.0,0.0,0.0,6.4e-05,1.6733200530681504e-05,7.48331477354788e-06,9.600000000000002e-05,6.693280212272604e-05,2.993325909419153e-05,63725.856725812904,333.5393052928214,149.1633119605608,0.0,0.0,0.0,0.1661114999684,0.9045910966827473,0.015818,0.0004326314829043308,0.00019347868099612434,0.0047356824226972806,0.0037573198520692913,0.0016803245204872778,25,5,0.008301418799999998,0.00021927725478763205,9.806376952493729e-05,0.00015600000000000002,9.316651759081694e-05,4.166533331199932e-05,0.000272,0.0002567489045740994,0.00011482160075525857,61279.654659623455,361.60497199798846,161.71465967788203,25882.89474628756,172.11677273101856,76.97296077888792,0.1687112551998,0.9046106094909033,0.019556,0.0005032693116016518,0.0002250688783461634,25,5,0.006434357000000002,0.000456916226492888,0.00020433914849215756,0.00017999999999999998,4.47213595499958e-05,2e-05,0.00028,0.0003346640106136302,0.00014966629547095764,27273.144334384375,281.9338359027042,126.08464444714346,18925.959210142057,825.4813094459593,369.16646441534084,0.3707607954462,0.9046106094909033,0.00922,0.0005215361924162119,0.00023323807579381201,-2.825276987248143,0.012829331455626812,0.005737451448131575,10,5,0.0,0.0,0.0,0.22598400000000005,0.002032358236138508,0.0009088982341274546,0.22544,0.0022335621773301936,0.0009988793720965504,61339.19959984544,474.10558645361874,212.02646396453898,0.0,0.0,0.0,0.168055250199,0.9046106094909033,0.020248,0.0008407853471606185,0.00037601063814738056,25,5,0.0,0.0,0.0,0.22614,0.0020277450530084,0.0009068351559131392,0.23171999999999998,0.0040634960317440915,0.0018172506706560863,27200.864646223392,56.18362234007219,25.126079754915445,0.0,0.0,0.0,0.37338481544940005,0.9046106094909033,0.00936,0.0006377695508567335,0.00028521921393903307,-1.5523490283141124,0.0038857077492446433,0.0017377413336017457,10,5
