height_ag,global_seed,R_sk-BB84,R_sk_std-BB84,R_sk_sem-BB84,QBER_total-BB84,QBER_total_std-BB84,QBER_total_sem-BB84,QBER_est-BB84,QBER_est_std-BB84,QBER_est_sem-BB84,Throughputs-BB84,Throughputs_std-BB84,Throughputs_sem-BB84,Throughput_final-BB84,Throughput_final_std-BB84,Throughput_final_sem-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_s_std-BB84,R_s_sem-BB84,N_keys-BB84,N_replicas-BB84,R_sk-B92,R_sk_std-B92,R_sk_sem-B92,QBER_total-B92,QBER_total_std-B92,QBER_total_sem-B92,QBER_est-B92,QBER_est_std-B92,QBER_est_sem-B92,Throughputs-B92,Throughputs_std-B92,Throughputs_sem-B92,Throughput_final-B92,Throughput_final_std-B92,Throughput_final_sem-B92,Latency-B92,Loss-B92,R_s-B92,R_s_std-B92,R_s_sem-B92,N_keys-B92,N_replicas-B92,R_sk-COW,R_sk_std-COW,R_sk_sem-COW,QBER_total-COW,QBER_total_std-COW,QBER_total_sem-COW,QBER_est-COW,QBER_est_std-COW,QBER_est_sem-COW,Throughputs-COW,Throughputs_std-COW,Throughputs_sem-COW,Throughput_final-COW,Throughput_final_std-COW,Throughput_final_sem-COW,Latency-COW,Loss-COW,R_s-COW,R_s_std-COW,R_s_sem-COW,Visibility-COW,Visibility_std-COW,Visibility_sem-COW,N_keys-COW,N_replicas-COW,R_sk-BB84+Eve,R_sk_std-BB84+Eve,R_sk_sem-BB84+Eve,QBER_total-BB84+Eve,QBER_total_std-BB84+Eve,QBER_total_sem-BB84+Eve,QBER_est-BB84+Eve,QBER_est_std-BB84+Eve,QBER_est_sem-BB84+Eve,Throughputs-BB84+Eve,Throughputs_std-BB84+Eve,Throughputs_sem-BB84+Eve,Throughput_final-BB84+Eve,Throughput_final_std-BB84+Eve,Throughput_final_sem-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_s_std-BB84+Eve,R_s_sem-BB84+Eve,N_keys-BB84+Eve,N_replicas-BB84+Eve,R_sk-B92+Eve,R_sk_std-B92+Eve,R_sk_sem-B92+Eve,QBER_total-B92+Eve,QBER_total_std-B92+Eve,QBER_total_sem-B92+Eve,QBER_est-B92+Eve,QBER_est_std-B92+Eve,QBER_est_sem-B92+Eve,Throughputs-B92+Eve,Throughputs_std-B92+Eve,Throughputs_sem-B92+Eve,Throughput_final-B92+Eve,Throughput_final_std-B92+Eve,Throughput_final_sem-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_s_std-B92+Eve,R_s_sem-B92+Eve,N_keys-B92+Eve,N_replicas-B92+Eve,R_sk-COW+Eve,R_sk_std-COW+Eve,R_sk_sem-COW+Eve,QBER_total-COW+Eve,QBER_total_std-COW+Eve,QBER_total_sem-COW+Eve,QBER_est-COW+Eve,QBER_est_std-COW+Eve,QBER_est_sem-COW+Eve,Throughputs-COW+Eve,Throughputs_std-COW+Eve,Throughputs_sem-COW+Eve,Throughput_final-COW+Eve,Throughput_final_std-COW+Eve,Throughput_final_sem-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,R_s_std-COW+Eve,R_s_sem-COW+Eve,Visibility-COW+Eve,Visibility_std-COW+Eve,Visibility_sem-COW+Eve,N_keys-COW+Eve,N_replicas-COW+Eve,R_sk-BBM92,R_sk_std-BBM92,R_sk_sem-BBM92,QBER_total-BBM92,QBER_total_std-BBM92,QBER_total_sem-BBM92,QBER_est-BBM92,QBER_est_std-BBM92,QBER_est_sem-BBM92,Throughputs-BBM92,Throughputs_std-BBM92,Throughputs_sem-BBM92,Throughput_final-BBM92,Throughput_final_std-BBM92,Throughput_final_sem-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_s_std-BBM92,R_s_sem-BBM92,N_keys-BBM92,N_replicas-BBM92,R_sk-E91,R_sk_std-E91,R_sk_sem-E91,QBER_total-E91,QBER_total_std-E91,QBER_total_sem-E91,QBER_est-E91,QBER_est_std-E91,QBER_est_sem-E91,Throughputs-E91,Throughputs_std-E91,Throughputs_sem-E91,Throughput_final-E91,Throughput_final_std-E91,Throughput_final_sem-E91,Latency-E91,Loss-E91,R_s-E91,R_s_std-E91,R_s_sem-E91,CHSH_S-E91,CHSH_S_std-E91,CHSH_S_sem-E91,N_keys-E91,N_replicas-E91,R_sk-BBM92+Eve,R_sk_std-BBM92+Eve,R_sk_sem-BBM92+Eve,QBER_total-BBM92+Eve,QBER_total_std-BBM92+Eve,QBER_total_sem-BBM92+Eve,QBER_est-BBM92+Eve,QBER_est_std-BBM92+Eve,QBER_est_sem-BBM92+Eve,Throughputs-BBM92+Eve,Throughputs_std-BBM92+Eve,Throughputs_sem-BBM92+Eve,Throughput_final-BBM92+Eve,Throughput_final_std-BBM92+Eve,Throughput_final_sem-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_s_std-BBM92+Eve,R_s_sem-BBM92+Eve,N_keys-BBM92+Eve,N_replicas-BBM92+Eve,R_sk-E91+Eve,R_sk_std-E91+Eve,R_sk_sem-E91+Eve,QBER_total-E91+Eve,QBER_total_std-E91+Eve,QBER_total_sem-E91+Eve,QBER_est-E91+Eve,QBER_est_std-E91+Eve,QBER_est_sem-E91+Eve,Throughputs-E91+Eve,Throughputs_std-E91+Eve,Throughputs_sem-E91+Eve,Throughput_final-E91+Eve,Throughput_final_std-E91+Eve,Throughput_final_sem-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,R_s_std-E91+Eve,R_s_sem-E91+Eve,CHSH_S-E91+Eve,CHSH_S_std-E91+Eve,CHSH_S_sem-E91+Eve,N_keys-E91+Eve,N_replicas-E91+Eve
2,20260805,0.11711619,0.0004874774833261516,0.00021800655804355903,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,1954144.81701459,0.0,0.0,806209.9308266283,0.0,0.0,0.013111499996,0.1597065930306062,0.273956,0.0011402982066109036,0.000509956860920616,25,5,0.058714560000000006,0.0005351576069252873,0.00023932975755221094,3.2000000000000005e-05,2.2803508501982765e-05,1.0198039027185571e-05,0.0,0.0,0.0,1027987.0946133735,0.0,0.0,425850.4327640863,0.0,0.0,0.018111499992,0.1597065930306062,0.137344,0.0012518306594743538,0.0005598356901806092,25,5,0.0851179322,0.0005931081508672752,0.0002652460286696856,0.0,0.0,0.0,0.0,0.0,0.0,503134.1578448868,18257.418587156997,8164.965810910243,318323.23204791977,12221.687319198576,5465.704729095037,0.028111499996,0.1597065930306062,0.13136,0.0007501333214835896,0.0003354698198050019,0.9820807948354655,0.001375804201386188,0.0006152783436058653,25,5,0.0,0.0,0.0,0.22456,0.0016926310879810944,0.0007569676347110308,0.224288,0.0032880875900741903,0.0014704774734758705,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1597065930306062,0.2734959999999999,0.000774390082581115,0.0003463177731506098,25,5,0.0,0.0,0.0,0.310064,0.0017613290436485779,0.0007876902944685828,0.31105600000000005,0.002306443149093441,0.0010314727335223233,1446578.27215902,14466.316489248973,6469.533410797361,0.0,0.0,0.0,0.0153614999942,0.1597065930306062,0.19936,0.0017048167056900854,0.0007624172086200567,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509800.8245128868,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.1597065930306062,0.13236800000000004,0.0009873803725008927,0.000441569926512212,0.012032990591929828,0.014844781373621631,0.006638788052508134,25,5,0.0756327212,0.0011240898972712076,0.0005027082846238351,3.2000000000000005e-05,2.280350850198276e-05,1.019803902718557e-05,4.800000000000001e-05,7.155417527999329e-05,3.2000000000000005e-05,532516.2657460048,9089.637933747079,4065.0096621438393,219958.69690503547,4055.7377737128672,1813.781072187126,0.023734150023,0.15987844066516577,0.17714799999999997,0.00241783374118239,0.0010812881207152914,25,5,0.05652402919999999,0.0010271452978966548,0.0004593533417732383,2.8000000000000003e-05,2.683281572999748e-05,1.2e-05,1.6000000000000003e-05,3.5777087639996646e-05,1.6000000000000003e-05,239210.1839657173,1748.0072949513615,781.7326273353538,167317.85247625754,2924.3336010702687,1307.8017441759744,0.046694325051,0.15987844066516577,0.07946800000000001,0.0006662732172314906,0.00029796644106341944,-2.8252880912319474,0.005896695940006428,0.002637082592900279,25,5,0.0,0.0,0.0,0.22583199999999998,0.0019842177299883197,0.0008873691452828411,0.22368000000000002,0.003231841580275877,0.0014453234932014407,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.15987844066516577,0.17713600000000004,0.0016861435288847663,0.0007540663100815434,25,5,0.0,0.0,0.0,0.22591200000000003,0.0012948050046242322,0.0005790544015893425,0.22700800000000002,0.0009692883987750962,0.00043347894989260777,238428.4513383819,0.0,0.0,0.0,0.0,0.0,0.046694325051,0.15987844066516577,0.078936,0.0017551296248425681,0.0007849178300943371,-1.5614203472684758,0.009599572161993076,0.004293059181826228,25,5
5,20260805,0.11763773999999998,0.0011273751307794553,0.0005041774857131155,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,1954144.81701459,0.0,0.0,806209.9308266283,0.0,0.0,0.013111499996,0.15970657368761587,0.275176,0.0026371348088408218,0.001179362539679798,25,5,0.05868607,0.0007191160629550731,0.00032159848009591233,2e-05,1.4142135623730951e-05,6.324555320336758e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1027987.0946133735,0.0,0.0,425740.0056873184,246.9224502097882,110.42707676797872,0.018111499992,0.15970657368761587,0.13734000000000002,0.0016086018774078277,0.0007193886293235371,25,5,0.08523087300000001,0.0008603276835034999,0.00038475023664775,0.0,0.0,0.0,0.0,0.0,0.0,509800.82451288693,14907.119852980004,6666.666667999992,321112.4847386621,10500.921817916947,4696.155002254593,0.028111499996,0.15970657368761587,0.132134,0.0012408988677567623,0.0005549468443013285,0.9789647246608038,0.00301476605211855,0.0013482443657591501,25,5,0.0,0.0,0.0,0.22404799999999997,0.0008244513327055698,0.0003687058448139899,0.22315200000000007,0.004248896327283133,0.001900164203430856,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.15970657368761587,0.274616,0.001309992366389969,0.0005858463962507563,25,5,0.0,0.0,0.0,0.309672,0.003046000656598727,0.0013622129055327493,0.309376,0.006231121889355068,0.002786642424136971,1453047.8055698175,0.0,0.0,0.0,0.0,0.0,0.015611499994,0.15970657368761587,0.198436,0.0022587341587712215,0.0010101366244226508,25,5,0.0,0.0,0.0,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,496467.49117688683,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.15970657368761587,0.131466,0.0013243035905712726,0.000592246570272883,0.01786397034973403,0.015927423039557922,0.007122960124569567,25,5,0.07612174000000001,0.0009260839226279715,0.00041415732077315995,2.3999999999999997e-05,3.577708763999663e-05,1.6e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,536581.2754081485,11132.487442163176,4978.599735867923,221845.79545340716,4876.820528361544,2180.9804430965705,0.023734150023,0.1598784269307929,0.178144,0.0022589112421695433,0.0010102158185259177,25,5,0.0566434424,0.0008383121296789158,0.00037490458166493493,4.000000000000001e-05,2.4494897427831785e-05,1.0954451150103323e-05,8e-05,5.6568542494923805e-05,2.5298221281347034e-05,238428.4513383819,2.9103830456733704e-11,1.3015628661377062e-11,168527.9677923515,1479.2338977202116,661.5335099848728,0.046694325051,0.1598784269307929,0.078796,0.0010440689632394945,0.0004669218350002477,-2.831345489469988,0.003617043621324125,0.00161759108297255,25,5,0.0,0.0,0.0,0.22583199999999998,0.0010794998842056306,0.0004827670245573883,0.22604800000000003,0.000942507294401464,0.0004215020759142161,532516.2657460048,9089.637933747079,4065.0096621438393,0.0,0.0,0.0,0.023734150023,0.1598784269307929,0.17705600000000002,0.0009226483620534908,0.00041262089137608854,25,5,0.0,0.0,0.0,0.225556,0.003165987997450414,0.0014158728756495111,0.223296,0.002894076709418753,0.0012942704508718476,239210.1839657173,1748.0072949513612,781.7326273353538,0.0,0.0,0.0,0.046694325051,0.1598784269307929,0.07913200000000001,0.0011947049845045452,0.0005342883116819992,-1.5568787197812444,0.01177475105134412,0.0052658287537885136,25,5
8,20260805,0.11613045999999998,0.0006054623020882523,0.000270770973056569,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1954144.81701459,0.0,0.0,805809.9308263084,894.4271917154631,400.0000003200024,0.013111499996,0.1597065680820472,0.271776,0.001196277559766129,0.0005349915887189263,25,5,0.05876186,0.00039522995742984887,0.00017675221031149803,1.6000000000000003e-05,8.94427190999916e-06,4.000000000000001e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1027987.0946133735,0.0,0.0,425621.86133533204,511.10125240880626,228.57142875427377,0.018111499992,0.1597065680820472,0.13752,0.0010509995242624956,0.0004700212761141759,25,5,0.085495575,0.0008248959798835332,0.00036890469707717585,1.6000000000000003e-05,1.6733200530681514e-05,7.483314773547884e-06,1.6000000000000003e-05,3.5777087639996646e-05,1.6000000000000003e-05,509800.82451288693,14907.119852980002,6666.666667999991,322516.2365131256,9802.064659225363,4383.616579575245,0.028111499996,0.1597065680820472,0.13199200000000003,0.0013120861252219757,0.0005867827536661278,0.9819845176079219,0.0009693853234010627,0.0004335222959030787,25,5,0.0,0.0,0.0,0.225012,0.001812765842573169,0.0008106935302566576,0.22404800000000002,0.005122062084746721,0.0022906558012935913,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1597065680820472,0.273516,0.002894111262546762,0.0012942859035004603,25,5,0.0,0.0,0.0,0.311592,0.0024630306534836276,0.001101500794371024,0.312432,0.00420536799816616,0.0018806977428603487,1453047.8055698175,0.0,0.0,0.0,0.0,0.0,0.015611499994,0.1597065680820472,0.197872,0.0015098079348049532,0.0006752066350384892,25,5,0.0,0.0,0.0,8.000000000000001e-06,1.788854381999832e-05,8.000000000000001e-06,0.0,0.0,0.0,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.13155600000000003,0.00040488269906233657,0.00018106904760339498,0.023588979977840863,0.010046721191166114,0.004493030306887018,25,5,0.07619387000000001,0.0009964218224477008,0.00044561338585145694,1.6000000000000003e-05,1.6733200530681514e-05,7.483314773547884e-06,1.6000000000000003e-05,3.5777087639996646e-05,1.6000000000000003e-05,532516.2657460048,9089.637933747079,4065.0096621438393,220128.32887115137,3948.76511589433,1765.9414452639114,0.023734150023,0.159878422950533,0.17831599999999997,0.002263245457302404,0.0010121541384591547,25,5,0.0559684176,0.001437875310927481,0.0006430373876804987,2.0000000000000005e-05,2e-05,8.94427190999916e-06,3.2000000000000005e-05,4.38178046004133e-05,1.9595917942265427e-05,238428.4513383819,0.0,0.0,165743.37460377085,2403.03891721971,1074.6716742961523,0.046694325051,0.159878422950533,0.07914000000000002,0.0010665833300778664,0.00047699056594444105,-2.8275450777641913,0.01205333870067534,0.00539041693810781,25,5,0.0,0.0,0.0,0.22508399999999998,0.002084437574023274,0.000932188822074158,0.226112,0.004938858167633499,0.002208724518811711,532516.2657460046,9089.637933747079,4065.0096621438393,0.0,0.0,0.0,0.023734150023,0.159878422950533,0.17812799999999998,0.0016103167390299274,0.0007201555387553412,25,5,0.0,0.0,0.0,0.225172,0.0004357981183988826,0.00019489484344128064,0.22489599999999998,0.002977999328408254,0.0013318017870539152,238428.4513383819,2.9103830456733704e-11,1.3015628661377062e-11,0.0,0.0,0.0,0.046694325051,0.159878422950533,0.079088,0.0010363976070987438,0.0004634911002381819,-1.5545804430649095,0.008444815456256407,0.0037766362835260454,25,5
10,20260805,0.11734593999999998,0.0008642280387721745,0.0003864945285511812,1.6000000000000003e-05,1.6733200530681514e-05,7.483314773547884e-06,1.6000000000000003e-05,3.5777087639996646e-05,1.6000000000000003e-05,1954144.81701459,0.0,0.0,805809.9308263084,894.4271917154631,400.0000003200024,0.013111499996,0.15970656607431855,0.27462400000000003,0.0018719188016577963,0.0008371475377733557,25,5,0.05769713,0.0004383256817139483,0.00019602520411926498,3.2000000000000005e-05,2.2803508501982765e-05,1.0198039027185571e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1027987.0946133735,0.0,0.0,425621.86133533204,511.10125240880626,228.57142875427377,0.018111499992,0.15970656607431855,0.13502799999999998,0.0008993997998665546,0.00040222381829026443,25,5,0.08481157780000001,0.000509719707258511,0.0002279535829802647,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,496467.49117688695,18257.418587156997,8164.965810910243,312361.7757743982,11557.581311312679,5168.707493515261,0.028111499996,0.15970656607431855,0.131576,0.0007712198130234967,0.00034489998550304323,0.9786627353168719,0.003456232840324483,0.001545674315406544,25,5,0.0,0.0,0.0,0.22520400000000002,0.003016700183975871,0.001349109335821234,0.22700799999999996,0.003698475361551017,0.0016540084643072372,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.15970656607431855,0.27336400000000005,0.0017411145855457273,0.0007786501139793238,25,5,0.0,0.0,0.0,0.311416,0.0029448735117148794,0.0013169874714665988,0.31174399999999997,0.0030180258448197477,0.0013497021893736374,1453047.8055698175,0.0,0.0,0.0,0.0,0.0,0.015611499994,0.15970656607431855,0.198668,0.0017566786843358608,0.0007856105905599759,25,5,0.0,0.0,0.0,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,496467.49117688683,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.15970656607431855,0.13153,0.001121070916579322,0.000501358155413872,0.0192266325687658,0.01082264970168676,0.004840036085927883,25,5,0.07601292,0.0004961063363836443,0.00022186549844444118,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,528451.2560838609,0.0,0.0,218492.1624821385,2.9103830456733704e-11,1.3015628661377062e-11,0.023734150023,0.1598784215249296,0.17780800000000002,0.001160482658207355,0.00051898362209226,25,5,0.056375425599999994,0.0009841199857592558,0.0004401118372347642,3.6e-05,2.60768096208106e-05,1.1661903789690601e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,238428.4513383819,0.0,0.0,167860.10487130206,2417.896572740311,1081.31621984222,0.046694325051,0.1598784215249296,0.07869200000000001,0.0006812635319756935,0.00030467031361785043,-2.831319126087709,0.011168456237585504,0.004994685470194545,25,5,0.0,0.0,0.0,0.22574799999999998,0.0015908865452948005,0.0007114660919537944,0.225744,0.005542966714675465,0.002478890074206604,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.1598784215249296,0.176672,0.0019737578372231953,0.0008826913390308058,25,5,0.0,0.0,0.0,0.22540400000000002,0.0008329945978216146,0.00037252650912384565,0.226896,0.004044710125583781,0.001808849358017409,237646.71871104656,1748.007294951348,781.7326273353478,0.0,0.0,0.0,0.046694325051,0.1598784215249296,0.079264,0.0014885832190374827,0.0006657146535866541,-1.5543167541725538,0.008660174877338021,0.0038729479445527436,25,5
20,20260805,0.11657223000000001,0.0011593019341396703,0.0005184555862366573,2e-05,1.4142135623730951e-05,6.324555320336758e-06,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,1954144.81701459,0.0,0.0,805276.5974925484,1299.572580347541,581.1865262703817,0.013111499996,0.15970656170173836,0.27294,0.002629296483852658,0.0011758571341791443,25,5,0.05811777,0.00019465103583079298,8.705058960168006e-05,1.2000000000000002e-05,1.788854381999832e-05,8.000000000000001e-06,0.0,0.0,0.0,1027987.0946133735,0.0,0.0,425850.4327640863,0.0,0.0,0.018111499992,0.15970656170173836,0.135948,0.00045532406042289456,0.00020362711017936277,25,5,0.0859507488,0.0009242112606499693,0.0004133198408768215,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,509800.82451288693,14907.119852980004,6666.666667999992,322817.1285680116,8816.195939925301,3942.7226849261247,0.028111499996,0.15970656170173836,0.13248,0.0018397418297141715,0.000822757558458146,0.9831215056663278,0.005072367060124237,0.002268431510653711,25,5,0.0,0.0,0.0,0.22436799999999998,0.00250569750768123,0.0011205819916454062,0.22284800000000002,0.0033142600984231536,0.001482182175037863,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.15970656170173836,0.27383599999999997,0.002463063133579816,0.0011015153199116228,25,5,0.0,0.0,0.0,0.31184799999999996,0.0026370665520612196,0.001179332014319975,0.309808,0.005491986890006188,0.002456091203518299,1453047.8055698175,0.0,0.0,0.0,0.0,0.0,0.015611499994,0.15970656170173836,0.1985,0.0020809613163151174,0.0009306341923656089,25,5,0.0,0.0,0.0,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,503134.1578448868,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.15970656170173836,0.13158,0.0009247972750824733,0.0004135819144981965,0.017332020289395896,0.010958418282448316,0.004900753641086185,25,5,0.07516119,0.000903783750683757,0.00040418438069772056,2.4000000000000004e-05,1.6733200530681514e-05,7.483314773547884e-06,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,528451.2560838609,0.0,0.0,218306.270477374,256.38605675566663,114.65933027775795,0.023734150023,0.15987841842013273,0.17598,0.0019607141556075946,0.0008768580272769364,25,5,0.05679238439999999,0.0011054772026599133,0.0004943844345447754,1.2000000000000002e-05,1.788854381999832e-05,8.000000000000001e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,238428.4513383819,0.0,0.0,168219.30319879687,3107.582945141916,1389.7533422112647,0.046694325051,0.15987841842013273,0.07912,0.0016768422704595697,0.000749906660858537,-2.830306743365224,0.0149528346939803,0.006687110966411443,25,5,0.0,0.0,0.0,0.22433999999999998,0.001221392647759116,0.0005462233975215679,0.224464,0.001839478186877989,0.000822639653797449,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.15987841842013273,0.176464,0.001533518829359464,0.0006858104694447322,25,5,0.0,0.0,0.0,0.2246,0.0026067988031299905,0.00116579586549275,0.22105599999999997,0.0030517667014370565,0.0013647915591767127,239210.18396571727,1748.0072949513612,781.7326273353538,0.0,0.0,0.0,0.046694325051,0.15987841842013273,0.07812000000000001,0.0010597169433391224,0.0004739198244429141,-1.5567485882470427,0.013618735800485228,0.006090483803498996,25,5
50,20260805,0.11663168000000002,0.0010376880989729103,0.0004640682257491914,1.2000000000000002e-05,2.683281572999748e-05,1.2e-05,3.2000000000000005e-05,7.155417527999328e-05,3.2000000000000005e-05,1954144.81701459,0.0,0.0,805276.5974925484,2086.9967806694312,933.3333340800134,0.013111499996,0.15970655863638172,0.27308000000000004,0.002609406062689375,0.0011669618674147039,25,5,0.05839234,0.0008123058940448507,0.00036327423952160553,3.2000000000000005e-05,1.0954451150103323e-05,4.898979485566356e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1027987.0946133735,0.0,0.0,425650.43276392634,447.21359585773155,200.0000001600012,0.018111499992,0.15970655863638172,0.13665600000000003,0.0020237786440221285,0.0009050613238891656,25,5,0.08569859360000001,0.0006670602347650475,0.00029831840600432293,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,509800.82451288693,14907.119852980002,6666.666667999991,322404.3977994008,8982.077780185944,4016.907299137237,0.028111499996,0.15970655863638172,0.132312,0.000578247351917853,0.0002586000773395125,0.981786832112847,0.004661727162677018,0.0020847877656606064,25,5,0.0,0.0,0.0,0.2243,0.0012501999840025628,0.000559106429939776,0.22412799999999997,0.002203705969497755,0.0009855272700438115,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.15970655863638172,0.274128,0.0018942333541567755,0.0008471269090283967,25,5,0.0,0.0,0.0,0.31086400000000003,0.0017261749621634433,0.0007719689112911173,0.310512,0.004484854512690463,0.0020056879119145134,1446578.27215902,14466.316489248973,6469.533410797361,0.0,0.0,0.0,0.0153614999942,0.15970655863638172,0.199636,0.0008240631043797491,0.0003685322238285247,25,5,0.0,0.0,0.0,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,503134.1578448868,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.15970655863638172,0.13247400000000004,0.001176490543948399,0.0005261425662308648,0.020804843143597547,0.013147728249817529,0.005879842823257266,25,5,0.07566409999999998,0.0005082821952419789,0.000227310708062777,1.2000000000000002e-05,1.788854381999832e-05,8.000000000000001e-06,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,532516.2657460048,9089.637933747079,4065.0096621438393,220026.7036295978,4007.502202166746,1792.2094688049897,0.023734150023,0.15987841624353372,0.17715999999999998,0.0011534296684236967,0.0005158294291720857,25,5,0.0557873152,0.0014602478368445524,0.0006530426854362882,1.6000000000000003e-05,8.94427190999916e-06,4.000000000000001e-06,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,238428.4513383819,0.0,0.0,165504.03221674956,4166.191588201431,1863.177519701242,0.046694325051,0.15987841624353372,0.07905999999999999,0.0007398648525237499,0.0003308776208811923,-2.8309087901386136,0.012270352696199168,0.005487468547319832,25,5,0.0,0.0,0.0,0.225936,0.0013811878945313625,0.0006176860043743872,0.224416,0.004606569222317197,0.002060120384831919,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.15987841624353372,0.17676,0.0007775602870517595,0.00034773553169039674,25,5,0.0,0.0,0.0,0.22578399999999998,0.002049995121945422,0.0009167856892425868,0.222784,0.0037156533745762617,0.001661690705275802,238428.4513383819,0.0,0.0,0.0,0.0,0.0,0.046694325051,0.15987841624353372,0.07809600000000001,0.0010979435322456268,0.0004910152747114908,-1.553240764203643,0.01184984987761095,0.005299413969901129,25,5
