temperature,global_seed,R_sk-BB84,R_sk_std-BB84,R_sk_sem-BB84,QBER_total-BB84,QBER_total_std-BB84,QBER_total_sem-BB84,QBER_est-BB84,QBER_est_std-BB84,QBER_est_sem-BB84,Throughputs-BB84,Throughputs_std-BB84,Throughputs_sem-BB84,Throughput_final-BB84,Throughput_final_std-BB84,Throughput_final_sem-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_s_std-BB84,R_s_sem-BB84,N_keys-BB84,N_replicas-BB84,R_sk-B92,R_sk_std-B92,R_sk_sem-B92,QBER_total-B92,QBER_total_std-B92,QBER_total_sem-B92,QBER_est-B92,QBER_est_std-B92,QBER_est_sem-B92,Throughputs-B92,Throughputs_std-B92,Throughputs_sem-B92,Throughput_final-B92,Throughput_final_std-B92,Throughput_final_sem-B92,Latency-B92,Loss-B92,R_s-B92,R_s_std-B92,R_s_sem-B92,N_keys-B92,N_replicas-B92,R_sk-COW,R_sk_std-COW,R_sk_sem-COW,QBER_total-COW,QBER_total_std-COW,QBER_total_sem-COW,QBER_est-COW,QBER_est_std-COW,QBER_est_sem-COW,Throughputs-COW,Throughputs_std-COW,Throughputs_sem-COW,Throughput_final-COW,Throughput_final_std-COW,Throughput_final_sem-COW,Latency-COW,Loss-COW,R_s-COW,R_s_std-COW,R_s_sem-COW,Visibility-COW,Visibility_std-COW,Visibility_sem-COW,N_keys-COW,N_replicas-COW,R_sk-BB84+Eve,R_sk_std-BB84+Eve,R_sk_sem-BB84+Eve,QBER_total-BB84+Eve,QBER_total_std-BB84+Eve,QBER_total_sem-BB84+Eve,QBER_est-BB84+Eve,QBER_est_std-BB84+Eve,QBER_est_sem-BB84+Eve,Throughputs-BB84+Eve,Throughputs_std-BB84+Eve,Throughputs_sem-BB84+Eve,Throughput_final-BB84+Eve,Throughput_final_std-BB84+Eve,Throughput_final_sem-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_s_std-BB84+Eve,R_s_sem-BB84+Eve,N_keys-BB84+Eve,N_replicas-BB84+Eve,R_sk-B92+Eve,R_sk_std-B92+Eve,R_sk_sem-B92+Eve,QBER_total-B92+Eve,QBER_total_std-B92+Eve,QBER_total_sem-B92+Eve,QBER_est-B92+Eve,QBER_est_std-B92+Eve,QBER_est_sem-B92+Eve,Throughputs-B92+Eve,Throughputs_std-B92+Eve,Throughputs_sem-B92+Eve,Throughput_final-B92+Eve,Throughput_final_std-B92+Eve,Throughput_final_sem-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_s_std-B92+Eve,R_s_sem-B92+Eve,N_keys-B92+Eve,N_replicas-B92+Eve,R_sk-COW+Eve,R_sk_std-COW+Eve,R_sk_sem-COW+Eve,QBER_total-COW+Eve,QBER_total_std-COW+Eve,QBER_total_sem-COW+Eve,QBER_est-COW+Eve,QBER_est_std-COW+Eve,QBER_est_sem-COW+Eve,Throughputs-COW+Eve,Throughputs_std-COW+Eve,Throughputs_sem-COW+Eve,Throughput_final-COW+Eve,Throughput_final_std-COW+Eve,Throughput_final_sem-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,R_s_std-COW+Eve,R_s_sem-COW+Eve,Visibility-COW+Eve,Visibility_std-COW+Eve,Visibility_sem-COW+Eve,N_keys-COW+Eve,N_replicas-COW+Eve,R_sk-BBM92,R_sk_std-BBM92,R_sk_sem-BBM92,QBER_total-BBM92,QBER_total_std-BBM92,QBER_total_sem-BBM92,QBER_est-BBM92,QBER_est_std-BBM92,QBER_est_sem-BBM92,Throughputs-BBM92,Throughputs_std-BBM92,Throughputs_sem-BBM92,Throughput_final-BBM92,Throughput_final_std-BBM92,Throughput_final_sem-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_s_std-BBM92,R_s_sem-BBM92,N_keys-BBM92,N_replicas-BBM92,R_sk-E91,R_sk_std-E91,R_sk_sem-E91,QBER_total-E91,QBER_total_std-E91,QBER_total_sem-E91,QBER_est-E91,QBER_est_std-E91,QBER_est_sem-E91,Throughputs-E91,Throughputs_std-E91,Throughputs_sem-E91,Throughput_final-E91,Throughput_final_std-E91,Throughput_final_sem-E91,Latency-E91,Loss-E91,R_s-E91,R_s_std-E91,R_s_sem-E91,CHSH_S-E91,CHSH_S_std-E91,CHSH_S_sem-E91,N_keys-E91,N_replicas-E91,R_sk-BBM92+Eve,R_sk_std-BBM92+Eve,R_sk_sem-BBM92+Eve,QBER_total-BBM92+Eve,QBER_total_std-BBM92+Eve,QBER_total_sem-BBM92+Eve,QBER_est-BBM92+Eve,QBER_est_std-BBM92+Eve,QBER_est_sem-BBM92+Eve,Throughputs-BBM92+Eve,Throughputs_std-BBM92+Eve,Throughputs_sem-BBM92+Eve,Throughput_final-BBM92+Eve,Throughput_final_std-BBM92+Eve,Throughput_final_sem-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_s_std-BBM92+Eve,R_s_sem-BBM92+Eve,N_keys-BBM92+Eve,N_replicas-BBM92+Eve,R_sk-E91+Eve,R_sk_std-E91+Eve,R_sk_sem-E91+Eve,QBER_total-E91+Eve,QBER_total_std-E91+Eve,QBER_total_sem-E91+Eve,QBER_est-E91+Eve,QBER_est_std-E91+Eve,QBER_est_sem-E91+Eve,Throughputs-E91+Eve,Throughputs_std-E91+Eve,Throughputs_sem-E91+Eve,Throughput_final-E91+Eve,Throughput_final_std-E91+Eve,Throughput_final_sem-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,R_s_std-E91+Eve,R_s_sem-E91+Eve,CHSH_S-E91+Eve,CHSH_S_std-E91+Eve,CHSH_S_sem-E91+Eve,N_keys-E91+Eve,N_replicas-E91+Eve
273,20260805,0.11682246,0.0010825995868741218,0.00048415325373274507,2.4000000000000004e-05,3.577708763999664e-05,1.6000000000000003e-05,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,1954144.81701459,0.0,0.0,805657.3929778081,873.9571664464573,390.84552671947534,0.013111499996,0.1597065680820472,0.27352,0.0022193692797729658,0.00099253211534942,25,5,0.058132590000000005,0.0004361918577300583,0.00019507092902326548,4.8e-05,2.280350850198276e-05,1.019803902718557e-05,6.400000000000001e-05,0.00010430723848324238,4.66476151587624e-05,1027987.0946133735,0.0,0.0,425111.4342582441,1176.0517390412058,525.9463267105958,0.018111499992,0.1597065680820472,0.136236,0.0007126570002462621,0.0003187098994383453,25,5,0.0852859068,0.0004381915118634818,0.00019596520153803017,8.000000000000001e-06,1.0954451150103324e-05,4.898979485566357e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,509800.82451288693,14907.119852980002,6666.666667999991,321619.6376121484,9871.229678810203,4414.548116666606,0.028111499996,0.1597065680820472,0.13204,0.0007557446658759762,0.0003379792893063097,0.9800518044398959,0.004944268166014635,0.0022111439436393876,25,5,0.0,0.0,0.0,0.22363999999999998,0.0025342849090029453,0.001133366666176491,0.226608,0.004390389504360639,0.0019634418758903995,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1597065680820472,0.273236,0.0014723722355437139,0.0006584648813718153,25,5,0.0,0.0,0.0,0.30839999999999995,0.0022682151573428845,0.0010143766558828142,0.308912,0.0030080425528904837,0.0013452375254950255,1446578.2721590202,14466.316489248971,6469.53341079736,0.0,0.0,0.0,0.0153614999942,0.1597065680820472,0.19808399999999998,0.0005938686723510658,0.0002655861442169066,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.132098,0.0005135854359305795,0.00022968238939892772,0.013911278195274879,0.019191402770043706,0.008582656235479097,25,5,0.07565163,0.0011863731730572843,0.000530562212327642,3.2000000000000005e-05,3.633180424916991e-05,1.6248076809271923e-05,4.800000000000001e-05,7.155417527999328e-05,3.2000000000000005e-05,528451.2560838609,0.0,0.0,218204.64523582038,420.9386369332855,188.249481307786,0.023734150023,0.159878422950533,0.17722,0.0030587252246646727,0.0013679035053687047,25,5,0.0557303376,0.00226233624459778,0.0010117475261764454,3.2000000000000005e-05,1.7888543819998323e-05,8.000000000000001e-06,4.800000000000001e-05,4.381780460041329e-05,1.9595917942265424e-05,238428.4513383819,0.0,0.0,166161.98955457704,4983.65425757919,2228.757939260663,0.046694325051,0.159878422950533,0.078588,0.0009966544034919955,0.0004457173992565211,-2.8268697840603747,0.011905910467347017,0.005324485027802844,25,5,0.0,0.0,0.0,0.226348,0.00318934476029166,0.0014263183375389848,0.227136,0.003053863127253754,0.0013657291093038969,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.159878422950533,0.176528,0.0027772864454355386,0.001242040256996525,25,5,0.0,0.0,0.0,0.22594000000000003,0.002487770085839925,0.0011125646048657117,0.22316799999999998,0.003427698936604554,0.001532913565730305,238540.127427971,249.7153277824537,111.67608958904165,0.0,0.0,0.0,0.04735033005179999,0.159878422950533,0.07908799999999999,0.001161516250424423,0.0005194458585839357,-1.5577874600364356,0.006993181083652441,0.0031274456564025,25,5
282,20260805,0.11691099,0.0009098903411950205,0.00040691533099650857,0.0,0.0,0.0,0.0,0.0,0.0,1954144.81701459,0.0,0.0,806209.9308266283,0.0,0.0,0.013111499996,0.1597065680820472,0.273476,0.002128398458935738,0.000951848727477221,25,5,0.057978220000000004,0.00048455172530907317,0.00021669811928117858,1.2000000000000002e-05,1.788854381999832e-05,8.000000000000001e-06,3.2000000000000005e-05,7.155417527999329e-05,3.2000000000000005e-05,1027987.0946133735,0.0,0.0,425511.434258564,758.0237026186205,338.99850552226417,0.018111499992,0.1597065680820472,0.135744,0.0009816720429960295,0.00043901708395004363,25,5,0.0856296982,0.00045564698916178897,0.000203771528301774,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,509800.82451288693,14907.119852980004,6666.666667999992,321808.7227197023,10263.423226366318,4589.942403201059,0.028111499996,0.1597065680820472,0.132496,0.0004790407080823055,0.0002142335174523336,0.980281183261496,0.0023886664998122686,0.001068244133831344,25,5,0.0,0.0,0.0,0.223944,0.0022229889788300816,0.0009941508939793806,0.22417600000000001,0.0031695551738374953,0.0014174681654273605,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1597065680820472,0.273348,0.002029807872681533,0.0009077576769160292,25,5,0.0,0.0,0.0,0.31120000000000003,0.0008108020720249983,0.0003626017098691153,0.312912,0.005168705834152297,0.002311515520172858,1446578.2721590202,14466.316489248762,6469.533410797268,0.0,0.0,0.0,0.015361499994199997,0.1597065680820472,0.19666,0.0014870776711389498,0.0006650413520977537,25,5,0.0,0.0,0.0,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,496467.49117688683,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.13184600000000002,0.00036108170820465895,0.00016148064899547217,0.02010229867651657,0.01559902269319066,0.006976095024907232,25,5,0.07554444999999999,0.00045906156177576,0.00020529857159756369,1.6000000000000003e-05,1.6733200530681514e-05,7.483314773547884e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,528451.2560838609,0.0,0.0,218370.21219227422,272.68913801242326,121.95028986432006,0.023734150023,0.159878422950533,0.176796,0.0010870510567586136,0.0004861440115850484,25,5,0.056233724400000004,0.0024299219309428005,0.0010866941235211302,2e-05,2.4494897427831785e-05,1.0954451150103323e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,238428.4513383819,0.0,0.0,166616.83595247025,4796.178538831519,2144.916249010578,0.046694325051,0.159878422950533,0.079088,0.0015487801651622485,0.0006926355463012278,-2.8272894551147685,0.01028851146500002,0.004601162204605198,25,5,0.0,0.0,0.0,0.22445199999999996,0.0032485873853107293,0.0014528124448806184,0.22504,0.0027340811985016224,0.0012227182831707447,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.159878422950533,0.177504,0.0018481558375851395,0.0008265204171706865,25,5,0.0,0.0,0.0,0.22545600000000002,0.0018394238228314674,0.0008226153414567382,0.225648,0.0029721911109482904,0.0013292042732401992,238428.4513383819,2.9103830456733704e-11,1.3015628661377062e-11,0.0,0.0,0.0,0.046694325051,0.159878422950533,0.07971199999999999,0.002152236046533931,0.000962509220735054,-1.5508443317125977,0.015468119946963847,0.00691755353710632,25,5
293,20260805,0.11647152000000001,0.0010592790960129426,0.0004737240131658932,0.0,0.0,0.0,0.0,0.0,0.0,1954144.81701459,0.0,0.0,806209.9308266283,0.0,0.0,0.013111499996,0.1597065680820472,0.272448,0.0024778458386267694,0.001108126346586886,25,5,0.05851258,0.0004174820035043398,0.0001867036278437018,2.4000000000000004e-05,1.673320053068151e-05,7.483314773547882e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1027987.0946133735,0.0,0.0,425650.43276392634,447.21359585773155,200.0000001600012,0.018111499992,0.1597065680820472,0.136936,0.0009023746450338619,0.0004035542094935916,25,5,0.085210498,0.0007039466204865907,0.0003148144991878526,0.0,0.0,0.0,0.0,0.0,0.0,509800.82451288693,14907.119852980002,6666.666667999991,321697.36889651406,9685.91828158337,4331.674340425673,0.028111499996,0.1597065680820472,0.131884,0.0005315355115135779,0.00023770990723989645,0.9800908574712404,0.005368661943931532,0.002400938610969414,25,5,0.0,0.0,0.0,0.224696,0.0009024854569465195,0.00040360376608747546,0.22599999999999998,0.003284387309681973,0.0014688226577773088,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1597065680820472,0.273104,0.003310208452650676,0.001480370223964261,25,5,0.0,0.0,0.0,0.30958399999999997,0.0014581083635999306,0.0006520858839140849,0.309648,0.0034901461287458998,0.001560840799056713,1453047.8055698175,0.0,0.0,0.0,0.0,0.0,0.015611499994,0.1597065680820472,0.19742800000000002,0.001875078665016487,0.0008385606716272843,25,5,0.0,0.0,0.0,4.000000000000001e-06,8.944271909999161e-06,4.000000000000001e-06,0.0,0.0,0.0,496467.49117688695,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.132022,0.0010080525779938335,0.00045081481785762403,0.012146627321054414,0.011088071840800824,0.004958736475086374,25,5,0.07569912000000001,0.0007025345815331788,0.0003141830161705112,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,528451.2560838609,0.0,0.0,218306.270477374,256.38605675566663,114.65933027775795,0.023734150023,0.159878422950533,0.17724,0.001787344398821891,0.0007993247149938487,25,5,0.055611809600000006,0.0014081490945389308,0.0006297434195687654,2.0000000000000005e-05,2.4494897427831785e-05,1.0954451150103323e-05,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,239210.1839657173,1748.0072949513744,781.7326273353596,165619.21753599448,4410.946389273083,1972.6351943043724,0.046694325051,0.159878422950533,0.07896,0.0018821795876058194,0.0008417363007498265,-2.8238860969554276,0.014543369312917262,0.006503992481113482,25,5,0.0,0.0,0.0,0.223844,0.0019241309726731237,0.0008604975305019789,0.223648,0.006851942790187325,0.0030642819713596874,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.159878422950533,0.178196,0.0022449231612685595,0.0010039601585720443,25,5,0.0,0.0,0.0,0.224076,0.0008289028893664166,0.000370696641473859,0.22395199999999998,0.0016662292759401318,0.0007451603854204779,238428.4513383819,0.0,0.0,0.0,0.0,0.0,0.046694325051,0.159878422950533,0.078104,0.0009147021373102812,0.00040906723163802706,-1.5566372353351117,0.007832679662825559,0.003502880834411616,25,5
303,20260805,0.11643572440000001,0.0011361095971898108,0.0005080836578412642,8.000000000000001e-06,1.788854381999832e-05,8.000000000000001e-06,3.2000000000000005e-05,7.155417527999328e-05,3.2000000000000005e-05,1954144.81701459,0.0,0.0,805228.5974925101,2194.3280436752725,981.3333341184073,0.013111499996,0.1597065680820472,0.27259599999999995,0.002434641657410791,0.0010888048493646566,25,5,0.05873221000000001,0.00026093354853295406,0.00011669303042598515,2.4000000000000004e-05,3.5777087639996646e-05,1.6000000000000003e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1027987.0946133735,0.0,0.0,425740.0056873184,246.92245020978817,110.4270767679787,0.018111499992,0.1597065680820472,0.137452,0.0005337789804778762,0.00023871321706181288,25,5,0.0845048866,0.0006183610093912043,0.0002765394503268237,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,496467.49117688695,18257.418587156997,8164.965810910243,312941.70800864534,12326.579689912047,5512.614023342323,0.028111499996,0.1597065680820472,0.13084199999999999,0.0008853643317866279,0.00039594696614571556,0.9798396744757814,0.0038626999625732423,0.0017274519385999327,25,5,0.0,0.0,0.0,0.22546399999999997,0.001590685386869443,0.0007113761311711252,0.226032,0.002431526269650404,0.0010874116056029573,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1597065680820472,0.272776,0.0032418328149366273,0.0014497917091775589,25,5,0.0,0.0,0.0,0.30993600000000004,0.0019739503539856424,0.0008827774351443338,0.309168,0.0022546662724225904,0.0010083174103425942,1446578.2721590202,14466.316489248971,6469.53341079736,0.0,0.0,0.0,0.0153614999942,0.1597065680820472,0.197588,0.0026805447207610736,0.0011987760424699903,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.131466,0.0010075862245981719,0.00045060625827877656,0.01933616474083308,0.017518245294162255,0.007834397464852521,25,5,0.07604369999999999,0.0007116558999966214,0.0003182621937962476,8.000000000000001e-06,1.0954451150103324e-05,4.898979485566357e-06,0.0,0.0,0.0,528451.2560838609,0.0,0.0,218492.1624821385,0.0,0.0,0.023734150023,0.159878422950533,0.17787999999999998,0.0016646921637347711,0.0007444729679444317,25,5,0.05603509760000001,0.0010720554454256568,0.00047943777032411687,2e-05,2.4494897427831785e-05,1.0954451150103323e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,238428.4513383819,0.0,0.0,167492.27707449897,3257.188435282096,1456.6589513633883,0.046694325051,0.159878422950533,0.07842400000000001,0.0007688172734792046,0.00034382553715510953,-2.8298480611498,0.005433105935632802,0.0024297588402065083,25,5,0.0,0.0,0.0,0.22656400000000004,0.0029307132237733503,0.0013106547981829527,0.227136,0.003910355482561657,0.0017487641350393717,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.159878422950533,0.17714800000000003,0.0017422169784501646,0.0007791431190737709,25,5,0.0,0.0,0.0,0.22441999999999998,0.0011432410069622282,0.0005112729212465705,0.223808,0.0034887705570873914,0.0015602256247094434,238428.4513383819,0.0,0.0,0.0,0.0,0.0,0.046694325051,0.159878422950533,0.078288,0.0017337589221111404,0.0007753605612874546,-1.5593557793582247,0.014215986694512562,0.006357582523232525,25,5
308,20260805,0.11676563999999998,0.0004767880496090441,0.0002132260979570729,1.6000000000000003e-05,1.6733200530681514e-05,7.483314773547884e-06,0.0,0.0,0.0,1954144.81701459,0.0,0.0,806209.9308266283,0.0,0.0,0.013111499996,0.15971466077198582,0.273136,0.0011152936832960374,0.0004987744981452123,25,5,0.05877592,0.0003961048181984159,0.00017714345994137074,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1027987.0946133735,0.0,0.0,425621.86133533204,511.10125240880626,228.57142875427377,0.018111499992,0.15971466077198582,0.13755199999999998,0.0008928157704700364,0.0003992793508309702,25,5,0.08487631100000001,0.0007639632261961308,0.0003416547412169193,2e-05,2.4494897427831785e-05,1.0954451150103323e-05,3.2000000000000005e-05,7.155417527999328e-05,3.2000000000000005e-05,496467.49117688695,18257.418587156997,8164.965810910243,312290.53201293387,13407.066573370153,5995.8224473841665,0.028111499996,0.15971466077198582,0.131712,0.0005193457422565395,0.00023225847670214146,0.978636211924168,0.00446418798414663,0.0019964455593779237,25,5,0.0,0.0,0.0,0.22498799999999997,0.0011027783095436854,0.0004931774528503971,0.22591999999999998,0.004982850589772895,0.002228398528091422,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.15971466077198582,0.273308,0.000759815767143566,0.00033979994114183293,25,5,0.0,0.0,0.0,0.309772,0.004216647957797762,0.0018857422941642918,0.31241599999999997,0.00628684976757043,0.0028115646889232465,1453047.8055698175,0.0,0.0,0.0,0.0,0.0,0.015611499994,0.15971466077198582,0.198048,0.0024094231674822142,0.0010775267978106182,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496467.49117688683,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.15971466077198582,0.131704,0.001110238713070303,0.0004965138467354163,0.013825213916326013,0.015453925133977354,0.006911205423753181,25,5,0.07594821000000002,0.0009455493862035986,0.0004228625407268896,3.600000000000001e-05,2.60768096208106e-05,1.1661903789690601e-05,4.800000000000001e-05,4.381780460041329e-05,1.9595917942265424e-05,528451.2560838609,0.0,0.0,218166.96170916696,299.7513979470115,134.05290043202172,0.023734150023,0.15988414175604082,0.1779,0.0020825465180878983,0.0009313431161500072,25,5,0.0578016732,0.0009880808069602442,0.00044188317032519065,1.6000000000000003e-05,1.6733200530681514e-05,7.483314773547884e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,238428.4513383819,0.0,0.0,169476.84768884894,527.25709594666,235.79654163117212,0.046694325051,0.15988414175604082,0.079928,0.0014926888490237945,0.0006675507471346249,-2.8320317692522563,0.011211154482110916,0.0050137807056502915,25,5,0.0,0.0,0.0,0.226248,0.000588319641011579,0.00026310454196003274,0.226064,0.0038754199772411888,0.001733140502094397,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.15988414175604082,0.17669600000000002,0.0023667445996558224,0.0010584403620421889,25,5,0.0,0.0,0.0,0.22570800000000002,0.0010887240238003316,0.0004868921851909281,0.22456,0.003909782602651958,0.0017485079353551656,239210.18396571727,1748.0072949513612,781.7326273353538,0.0,0.0,0.0,0.046694325051,0.15988414175604082,0.07921199999999999,0.0012971969781031681,0.000580124124649198,-1.5444504064150055,0.0075494967068170955,0.003376237566470765,25,5
313,20260805,0.11726497,0.000970300388153069,0.0004339315253009388,2.8000000000000003e-05,1.788854381999832e-05,8.000000000000001e-06,4.800000000000001e-05,7.155417527999328e-05,3.2000000000000005e-05,1954144.81701459,0.0,0.0,805124.0596440482,1487.2778704876914,665.1308839683212,0.013111499996,0.15977727057082192,0.274692,0.002217773658424153,0.000991818531788961,25,5,0.05851579999999999,0.0006004524835488688,0.00026853051409476893,2e-05,1.4142135623730951e-05,6.324555320336758e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1027987.0946133735,0.0,0.0,425740.0056873184,246.9224502097882,110.42707676797872,0.018111499992,0.15977727057082192,0.136944,0.0014312512008728565,0.0006400749956059827,25,5,0.08509774340000001,0.0007200746067382898,0.00032202715390764884,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,496467.49117688695,18257.418587156997,8164.965810910243,312818.8301472566,11165.974221606946,4993.575478904686,0.028111499996,0.15977727057082192,0.13183999999999998,0.0008434453153583797,0.0003772002120890169,0.9794444058433909,0.004301401082603629,0.0019236450438385802,25,5,0.0,0.0,0.0,0.224052,0.001052577788099296,0.000470727097159279,0.22556800000000005,0.0027097453754919456,0.0012118349722631365,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.15977727057082192,0.274536,0.0011486862060632779,0.000513708088314764,25,5,0.0,0.0,0.0,0.30994399999999994,0.0021225173733093673,0.0009492186260288086,0.307984,0.004554874312206641,0.00203700171821233,1451911.6054966203,20922.64277674305,9356.890303548484,0.0,0.0,0.0,0.0153614999942,0.15977727057082192,0.19814,0.00186504691629997,0.0008340743372146186,25,5,0.0,0.0,0.0,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.15977727057082192,0.131718,0.001221769208975262,0.0005463918008169664,0.01872376822862479,0.012636115363612352,0.005651042584913338,25,5,0.07592444999999999,0.0009084726007150675,0.000406281298178983,2.0000000000000005e-05,2.4494897427831785e-05,1.0954451150103323e-05,1.6000000000000003e-05,3.5777087639996646e-05,1.6000000000000003e-05,528451.2560838609,0.0,0.0,218390.53724058493,227.24094834366656,101.62524155359132,0.023734150023,0.15992681356586713,0.177684,0.0021216691542273987,0.0009488392909233897,25,5,0.055955242399999994,0.0010397937466809476,0.000465009900031559,2e-05,1.4142135623730951e-05,6.324555320336758e-06,4.800000000000001e-05,4.381780460041329e-05,1.9595917942265424e-05,238428.4513383819,0.0,0.0,167390.7587187122,2811.965813898478,1257.5493420565037,0.046694325051,0.15992681356586713,0.07837999999999999,0.0005106858133921475,0.0002283856387779228,-2.832996609974608,0.006984009000357881,0.003123343776054115,25,5,0.0,0.0,0.0,0.22431199999999998,0.003146985859517002,0.0014073748612221239,0.224544,0.005046789078215967,0.002256992689398881,532516.2657460048,9089.637933747079,4065.0096621438393,0.0,0.0,0.0,0.023734150023,0.15992681356586713,0.177384,0.0014944162740013168,0.0006683232750697792,25,5,0.0,0.0,0.0,0.224516,0.0016260012300118247,0.0007271698563609422,0.22440000000000002,0.005052365782482491,0.002259486667364953,238428.4513383819,0.0,0.0,0.0,0.0,0.0,0.046694325051,0.15992681356586713,0.079328,0.0007105772301446243,0.00031777979797337853,-1.5577054288322407,0.005413311762620406,0.002420906616923686,25,5
