fov_solid_angle,global_seed,R_sk-BB84,R_sk_std-BB84,R_sk_sem-BB84,QBER_total-BB84,QBER_total_std-BB84,QBER_total_sem-BB84,QBER_est-BB84,QBER_est_std-BB84,QBER_est_sem-BB84,Throughputs-BB84,Throughputs_std-BB84,Throughputs_sem-BB84,Throughput_final-BB84,Throughput_final_std-BB84,Throughput_final_sem-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_s_std-BB84,R_s_sem-BB84,N_keys-BB84,N_replicas-BB84,R_sk-B92,R_sk_std-B92,R_sk_sem-B92,QBER_total-B92,QBER_total_std-B92,QBER_total_sem-B92,QBER_est-B92,QBER_est_std-B92,QBER_est_sem-B92,Throughputs-B92,Throughputs_std-B92,Throughputs_sem-B92,Throughput_final-B92,Throughput_final_std-B92,Throughput_final_sem-B92,Latency-B92,Loss-B92,R_s-B92,R_s_std-B92,R_s_sem-B92,N_keys-B92,N_replicas-B92,R_sk-COW,R_sk_std-COW,R_sk_sem-COW,QBER_total-COW,QBER_total_std-COW,QBER_total_sem-COW,QBER_est-COW,QBER_est_std-COW,QBER_est_sem-COW,Throughputs-COW,Throughputs_std-COW,Throughputs_sem-COW,Throughput_final-COW,Throughput_final_std-COW,Throughput_final_sem-COW,Latency-COW,Loss-COW,R_s-COW,R_s_std-COW,R_s_sem-COW,Visibility-COW,Visibility_std-COW,Visibility_sem-COW,N_keys-COW,N_replicas-COW,R_sk-BB84+Eve,R_sk_std-BB84+Eve,R_sk_sem-BB84+Eve,QBER_total-BB84+Eve,QBER_total_std-BB84+Eve,QBER_total_sem-BB84+Eve,QBER_est-BB84+Eve,QBER_est_std-BB84+Eve,QBER_est_sem-BB84+Eve,Throughputs-BB84+Eve,Throughputs_std-BB84+Eve,Throughputs_sem-BB84+Eve,Throughput_final-BB84+Eve,Throughput_final_std-BB84+Eve,Throughput_final_sem-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_s_std-BB84+Eve,R_s_sem-BB84+Eve,N_keys-BB84+Eve,N_replicas-BB84+Eve,R_sk-B92+Eve,R_sk_std-B92+Eve,R_sk_sem-B92+Eve,QBER_total-B92+Eve,QBER_total_std-B92+Eve,QBER_total_sem-B92+Eve,QBER_est-B92+Eve,QBER_est_std-B92+Eve,QBER_est_sem-B92+Eve,Throughputs-B92+Eve,Throughputs_std-B92+Eve,Throughputs_sem-B92+Eve,Throughput_final-B92+Eve,Throughput_final_std-B92+Eve,Throughput_final_sem-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_s_std-B92+Eve,R_s_sem-B92+Eve,N_keys-B92+Eve,N_replicas-B92+Eve,R_sk-COW+Eve,R_sk_std-COW+Eve,R_sk_sem-COW+Eve,QBER_total-COW+Eve,QBER_total_std-COW+Eve,QBER_total_sem-COW+Eve,QBER_est-COW+Eve,QBER_est_std-COW+Eve,QBER_est_sem-COW+Eve,Throughputs-COW+Eve,Throughputs_std-COW+Eve,Throughputs_sem-COW+Eve,Throughput_final-COW+Eve,Throughput_final_std-COW+Eve,Throughput_final_sem-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,R_s_std-COW+Eve,R_s_sem-COW+Eve,Visibility-COW+Eve,Visibility_std-COW+Eve,Visibility_sem-COW+Eve,N_keys-COW+Eve,N_replicas-COW+Eve,R_sk-BBM92,R_sk_std-BBM92,R_sk_sem-BBM92,QBER_total-BBM92,QBER_total_std-BBM92,QBER_total_sem-BBM92,QBER_est-BBM92,QBER_est_std-BBM92,QBER_est_sem-BBM92,Throughputs-BBM92,Throughputs_std-BBM92,Throughputs_sem-BBM92,Throughput_final-BBM92,Throughput_final_std-BBM92,Throughput_final_sem-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_s_std-BBM92,R_s_sem-BBM92,N_keys-BBM92,N_replicas-BBM92,R_sk-E91,R_sk_std-E91,R_sk_sem-E91,QBER_total-E91,QBER_total_std-E91,QBER_total_sem-E91,QBER_est-E91,QBER_est_std-E91,QBER_est_sem-E91,Throughputs-E91,Throughputs_std-E91,Throughputs_sem-E91,Throughput_final-E91,Throughput_final_std-E91,Throughput_final_sem-E91,Latency-E91,Loss-E91,R_s-E91,R_s_std-E91,R_s_sem-E91,CHSH_S-E91,CHSH_S_std-E91,CHSH_S_sem-E91,N_keys-E91,N_replicas-E91,R_sk-BBM92+Eve,R_sk_std-BBM92+Eve,R_sk_sem-BBM92+Eve,QBER_total-BBM92+Eve,QBER_total_std-BBM92+Eve,QBER_total_sem-BBM92+Eve,QBER_est-BBM92+Eve,QBER_est_std-BBM92+Eve,QBER_est_sem-BBM92+Eve,Throughputs-BBM92+Eve,Throughputs_std-BBM92+Eve,Throughputs_sem-BBM92+Eve,Throughput_final-BBM92+Eve,Throughput_final_std-BBM92+Eve,Throughput_final_sem-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_s_std-BBM92+Eve,R_s_sem-BBM92+Eve,N_keys-BBM92+Eve,N_replicas-BBM92+Eve,R_sk-E91+Eve,R_sk_std-E91+Eve,R_sk_sem-E91+Eve,QBER_total-E91+Eve,QBER_total_std-E91+Eve,QBER_total_sem-E91+Eve,QBER_est-E91+Eve,QBER_est_std-E91+Eve,QBER_est_sem-E91+Eve,Throughputs-E91+Eve,Throughputs_std-E91+Eve,Throughputs_sem-E91+Eve,Throughput_final-E91+Eve,Throughput_final_std-E91+Eve,Throughput_final_sem-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,R_s_std-E91+Eve,R_s_sem-E91+Eve,CHSH_S-E91+Eve,CHSH_S_std-E91+Eve,CHSH_S_sem-E91+Eve,N_keys-E91+Eve,N_replicas-E91+Eve
1e-11,20260805,0.11605018999999998,0.0010021500096043543,0.00044817510902548063,1.6000000000000003e-05,2.1908902300206645e-05,9.797958971132712e-06,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,1954144.81701459,0.0,0.0,805524.0596443681,1155.4987678315392,516.7547585577138,0.013111499996,0.1597065680820472,0.27171599999999996,0.0020845814927701956,0.0009322531844944287,25,5,0.05847174000000001,0.0006383192024763159,0.00028546502561609886,2.0000000000000005e-05,2e-05,8.94427190999916e-06,0.0,0.0,0.0,1027987.0946133735,0.0,0.0,425850.4327640863,0.0,0.0,0.018111499992,0.1597065680820472,0.136776,0.0014931443332779344,0.0006677544458856125,25,5,0.08508051859999999,0.00030321079433340574,0.00013559998952824065,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,496467.49117688695,18257.418587156997,8164.965810910243,312103.9740917641,11309.571181282074,5057.793991543863,0.028111499996,0.1597065680820472,0.13210000000000002,0.0005207206544779922,0.00023287335614019416,0.9779548503543951,0.0034558160529133096,0.001545487922409834,25,5,0.0,0.0,0.0,0.224768,0.001316708016228353,0.0005888497261610987,0.22488000000000002,0.0027387588429797793,0.0012248101893762918,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1597065680820472,0.27325199999999994,0.0019530796194727946,0.0008734437589221181,25,5,0.0,0.0,0.0,0.311136,0.0006240833277696159,0.00027909854890342865,0.310208,0.003008574413239569,0.0013454753806740438,1433639.2053374255,17717.546928135256,7923.527865170602,0.0,0.0,0.0,0.0148614999946,0.1597065680820472,0.199508,0.0016752671428760274,0.00074920224238853,25,5,0.0,0.0,0.0,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,503134.1578448868,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.131408,0.0010458106903259217,0.0004677007590329485,0.004769285224295695,0.004258676873865043,0.0019045381968337068,25,5,0.07633153,0.0007082349862510378,0.0003167323146601899,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,528451.2560838609,0.0,0.0,218370.21219227416,272.6891380124103,121.95028986431426,0.023734150023,0.159878422950533,0.17863600000000002,0.0015575236755825063,0.0006965457630335627,25,5,0.056704621999999996,0.001767760421665224,0.0007905664941554265,2e-05,2.4494897427831785e-05,1.0954451150103323e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,239210.1839657173,1748.0072949513615,781.7326273353538,169122.850292611,2391.4392773734444,1069.4841576539993,0.046694325051,0.159878422950533,0.07886800000000001,0.0024639237001173597,0.0011019001769670446,-2.8359359814313634,0.008774278432671069,0.003923976605792565,25,5,0.0,0.0,0.0,0.225772,0.002028723736736979,0.0009072728365822543,0.22759999999999997,0.004884260435316688,0.0021843076706361654,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.159878422950533,0.17625200000000002,0.0003480229877465018,0.00015564061166675088,25,5,0.0,0.0,0.0,0.22449599999999997,0.0006803528496302472,0.00030426304409178506,0.221808,0.002325235471946887,0.001039876915793409,238428.4513383819,2.9103830456733704e-11,1.3015628661377062e-11,0.0,0.0,0.0,0.046694325051,0.159878422950533,0.07859200000000001,0.0011331901870383484,0.0005067780579306896,-1.5561217256052466,0.011472391237356775,0.005130609334240534,25,5
1e-10,20260805,0.11712473999999999,0.0006994140399291433,0.0003127874675398633,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,1954144.81701459,0.0,0.0,806209.9308266283,0.0,0.0,0.013111499996,0.1597065680820472,0.27397599999999994,0.001636056233752384,0.0007316665907365232,25,5,0.058514489999999995,0.0005217391869986343,0.00023332885773088413,2e-05,2.4494897427831785e-05,1.0954451150103323e-05,0.0,0.0,0.0,1027987.0946133735,0.0,0.0,425850.4327640863,0.0,0.0,0.018111499992,0.1597065680820472,0.136876,0.0012204425426868683,0.0005457984976161052,25,5,0.08527813520000001,0.0007632377630635193,0.00034133030424098146,8.000000000000001e-06,1.0954451150103324e-05,4.898979485566357e-06,0.0,0.0,0.0,516467.49118088686,0.0,0.0,325455.1871211353,1609.5607633240998,719.8174561418274,0.028111499996,0.1597065680820472,0.132242,0.0007731558704426985,0.0003457658167025788,0.9787711554122215,0.0038267840106398186,0.0017113898365999824,25,5,0.0,0.0,0.0,0.225264,0.001609931675568872,0.000719983333140427,0.22369599999999998,0.0036779994562261735,0.0016448513610657972,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1597065680820472,0.271424,0.002957478655882407,0.001322624663311554,25,5,0.0,0.0,0.0,0.309952,0.0016018489317036054,0.0007163686201949359,0.310416,0.0037712173101002834,0.0016865396526616276,1446578.2721590202,14466.316489248971,6469.53341079736,0.0,0.0,0.0,0.0153614999942,0.1597065680820472,0.197512,0.001312600472344889,0.0005870127766923009,25,5,0.0,0.0,0.0,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,509800.82451288693,14907.119852980004,6666.666667999992,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.132554,0.001979098279520246,0.0008850796574320298,0.007659455306980779,0.010427316232963973,0.004663237583958896,25,5,0.07607106,0.0006534851752335317,0.00029224745482210775,2e-05,2.4494897427831785e-05,1.0954451150103323e-05,0.0,0.0,0.0,528451.2560838609,0.0,0.0,218492.1624821385,0.0,0.0,0.023734150023,0.159878422950533,0.17794400000000002,0.0015286202929439363,0.0006836197773616567,25,5,0.0555866024,0.00123261006666618,0.0005512399797632252,2.0000000000000005e-05,2e-05,8.94427190999916e-06,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,237758.3948006356,1498.2919671689076,670.0565377463121,165021.44860606617,4511.642239869769,2017.6677477016428,0.0473503300518,0.159878422950533,0.078772,0.0012630597768910209,0.0005648575041548081,-2.828071014911377,0.01142552949451186,0.005109652125731466,25,5,0.0,0.0,0.0,0.225,0.001356097341638864,0.0006064651680022512,0.224752,0.0030706872194998826,0.001373253072088311,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.159878422950533,0.176648,0.0019320766030362256,0.0008640509244251754,25,5,0.0,0.0,0.0,0.22453200000000004,0.0014957673615906986,0.000668927499808462,0.223488,0.0014328712433432284,0.0006407995006240204,239210.1839657173,1748.0072949513612,781.7326273353538,0.0,0.0,0.0,0.046694325051,0.159878422950533,0.07999599999999998,0.0010992179037843232,0.000491585190989314,-1.554180974898951,0.011997957247938151,0.005365649599505201,25,5
1e-09,20260805,0.11642363999999998,0.0008811976937668349,0.0003940835889757371,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,1954144.81701459,0.0,0.0,806209.9308266283,0.0,0.0,0.013111499996,0.1597065680820472,0.272336,0.0020612811550101405,0.000921832956668391,25,5,0.05841626999999999,0.00036361764189873723,0.00016261475302075044,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,1027987.0946133735,0.0,0.0,425650.43276392634,447.21359585773155,200.0000001600012,0.018111499992,0.1597065680820472,0.136708,0.0007989493100316128,0.00035730099356144813,25,5,0.0849570178,0.0007439201914255987,0.00033269122357245897,8.000000000000001e-06,1.788854381999832e-05,8.000000000000001e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,489800.8245088869,14907.119852980002,6666.666667999991,309343.16954498214,9838.149379511851,4399.7541570771755,0.028111499996,0.1597065680820472,0.13115,0.0011350110131624468,0.0005075923561284279,0.9820103708025126,0.002077194845121323,0.000928949775240685,25,5,0.0,0.0,0.0,0.225624,0.00150495182647153,0.0006730349173705617,0.22464,0.002071521180195854,0.0009264124351497042,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1597065680820472,0.27250800000000003,0.0015971599794635633,0.0007142716570045391,25,5,0.0,0.0,0.0,0.311508,0.0004497999555358045,0.0002011566553708883,0.31211200000000006,0.0019502615209248274,0.0008721834669380084,1440108.7387482228,17717.546928135256,7923.527865170602,0.0,0.0,0.0,0.015111499994400002,0.1597065680820472,0.19838399999999998,0.0012519904152987703,0.0005599071351572486,25,5,0.0,0.0,0.0,1.2000000000000002e-05,1.788854381999832e-05,8.000000000000001e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,503134.1578448868,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.13183999999999998,0.00107454641593557,0.00048055176620213956,0.015598604324572319,0.011927580572817151,0.005334176193585006,25,5,0.07639055000000002,0.0011723361937814578,0.0005242846843557412,1.2000000000000002e-05,1.788854381999832e-05,8.000000000000001e-06,3.2000000000000005e-05,7.155417527999328e-05,3.2000000000000005e-05,528451.2560838609,0.0,0.0,218268.58695072058,499.9300863560768,223.57553141790555,0.023734150023,0.159878422950533,0.17885999999999996,0.0025080271130910833,0.001121623822856843,25,5,0.0569396428,0.0015900111207734378,0.0007110745902060069,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,238428.4513383819,0.0,0.0,168396.4438121511,2537.6684842069058,1134.8798470090985,0.046694325051,0.159878422950533,0.079216,0.0013401044735392908,0.0005993129399570845,-2.828083607643763,0.009332751812463598,0.004173733493960594,25,5,0.0,0.0,0.0,0.226796,0.0020048640851688775,0.0008966024760171075,0.224816,0.002820156024052578,0.0012612121153874193,532516.2657460048,9089.637933747079,4065.0096621438393,0.0,0.0,0.0,0.023734150023,0.159878422950533,0.177088,0.0022920558457419863,0.0010250385358609706,25,5,0.0,0.0,0.0,0.225604,0.000599733274047737,0.00026820887382785006,0.224816,0.0036359977997793046,0.001626067649269239,239210.18396571727,1748.0072949513612,781.7326273353538,0.0,0.0,0.0,0.046694325051,0.159878422950533,0.079316,0.000732038250366739,0.00032737745799000774,-1.5512314838689558,0.014116992359197967,0.0063133109106023565,25,5
1e-08,20260805,0.11665235,0.0010004834468895494,0.0004474297995216666,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,3.2000000000000005e-05,4.381780460041329e-05,1.9595917942265424e-05,1954144.81701459,0.0,0.0,805657.3929778081,873.9571664464573,390.84552671947534,0.013111499996,0.1597065680820472,0.27312400000000003,0.0020939149934990223,0.0009364272529139687,25,5,0.05842899,0.00039646562965785513,0.00017730481973144414,1.2000000000000002e-05,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,1027987.0946133735,0.0,0.0,425850.4327640863,0.0,0.0,0.018111499992,0.1597065680820472,0.13667600000000002,0.0009274049816558038,0.00041474811633086453,25,5,0.0843098122,0.0009020548538950919,0.0004034111945486133,0.0,0.0,0.0,0.0,0.0,0.0,516467.49118088686,0.0,0.0,324384.96070111846,2507.6814420761452,1121.4692340793924,0.028111499996,0.1597065680820472,0.131116,0.0009673055360122768,0.00043259218670706434,0.9768391315269526,0.005509045816091183,0.002463720187188138,25,5,0.0,0.0,0.0,0.22615200000000005,0.002213666641570038,0.0009899818180148534,0.22635200000000003,0.00321327247521897,0.0014370191369637252,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1597065680820472,0.27256400000000003,0.0016439221392754362,0.0007351843306273504,25,5,0.0,0.0,0.0,0.310224,0.0013153250548818734,0.000588231247044902,0.30609600000000003,0.0034804137685051028,0.0015564883552407253,1440108.738748223,17717.546928135063,7923.527865170517,0.0,0.0,0.0,0.015111499994399999,0.1597065680820472,0.197844,0.0015385967632878935,0.0006880813905345766,25,5,0.0,0.0,0.0,4.000000000000001e-06,8.94427190999916e-06,4.000000000000001e-06,0.0,0.0,0.0,503134.1578448868,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.132158,0.0009259967602535124,0.0004141183405742858,0.015142347662659483,0.014374325120704337,0.006428393620115554,25,5,0.07559561,0.0006367888007416591,0.0002847806091537836,2.8000000000000003e-05,3.346640106136303e-05,1.4966629547095768e-05,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,528451.2560838609,0.0,0.0,218390.5372405849,227.24094834366002,101.62524155358841,0.023734150023,0.159878422950533,0.176916,0.0015214072433112717,0.0006803940035009132,25,5,0.0569120192,0.0010562885035231642,0.00047238657954586425,1.6000000000000003e-05,1.6733200530681514e-05,7.483314773547884e-06,0.0,0.0,0.0,238428.4513383819,0.0,0.0,168352.7311261134,2207.1728142060338,987.077690130841,0.046694325051,0.159878422950533,0.07925199999999999,0.0011282375636363145,0.0005045631774119088,-2.8359175796470586,0.005518933184858405,0.002468141952924561,25,5,0.0,0.0,0.0,0.22588399999999997,0.0024309422041669387,0.0010871504035780894,0.22782399999999997,0.004512879346935842,0.00201822099880068,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.159878422950533,0.17657599999999998,0.0018832100254618477,0.0008421971265683602,25,5,0.0,0.0,0.0,0.22405599999999998,0.000914811455984262,0.0004091161204352733,0.22240000000000001,0.004066251344912168,0.0018184828841647102,238428.4513383819,0.0,0.0,0.0,0.0,0.0,0.046694325051,0.159878422950533,0.079316,0.0011368729040662365,0.0005084250190539403,-1.5636979624564233,0.0104305800710456,0.0046646972167225095,25,5
1e-07,20260805,0.11668355999999999,0.0005047180220182356,0.00022571676134040206,4.000000000000001e-06,8.944271909999161e-06,4.000000000000001e-06,0.0,0.0,0.0,1954144.81701459,0.0,0.0,806209.9308266283,0.0,0.0,0.013111499996,0.1597065680820472,0.272944,0.0011806269520894396,0.0005279924241880748,25,5,0.0584649,0.000444435546508156,0.0001987576187219012,1.6000000000000003e-05,2.6076809620810595e-05,1.16619037896906e-05,0.0,0.0,0.0,1027987.0946133735,0.0,0.0,425850.4327640863,0.0,0.0,0.018111499992,0.1597065680820472,0.13676,0.0010396153134693625,0.00046493010227344943,25,5,0.0848408084,0.00023525517748883312,0.00010520931378476182,4.000000000000001e-06,8.944271909999161e-06,4.000000000000001e-06,0.0,0.0,0.0,503134.15784488694,18257.418587156997,8164.965810910243,316295.71562186873,10660.968875720204,4767.730222423977,0.028111499996,0.1597065680820472,0.131762,0.0007418018603373746,0.00033174387711003495,0.9777686724135698,0.00477351508855075,0.002134780845924081,25,5,0.0,0.0,0.0,0.225372,0.0014232779068052666,0.0006365092300980374,0.22686399999999995,0.003826810682539701,0.0017114017646362276,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1597065680820472,0.27217600000000003,0.002723174617978059,0.001217840712080192,25,5,0.0,0.0,0.0,0.310896,0.001290224786616648,0.0005770060658259971,0.30951999999999996,0.001570732313285736,0.0007024528453924803,1446578.27215902,14466.316489248973,6469.533410797361,0.0,0.0,0.0,0.0153614999942,0.1597065680820472,0.19845200000000002,0.001748061783805139,0.0007817569954915663,25,5,0.0,0.0,0.0,8.000000000000001e-06,1.0954451150103323e-05,4.898979485566356e-06,0.0,0.0,0.0,509800.8245128868,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.1597065680820472,0.131834,0.0006820043988128047,0.0003050016393398616,0.019296158039101365,0.010448912051114903,0.004672895527441936,25,5,0.07575951,0.00046580704481577126,0.0002083152433212711,2.8000000000000003e-05,1.788854381999832e-05,8.000000000000001e-06,1.6000000000000003e-05,3.577708763999664e-05,1.6000000000000003e-05,528451.2560838609,0.0,0.0,218370.21219227416,272.68913801241024,121.95028986431423,0.023734150023,0.159878422950533,0.1773,0.001117497203575922,0.0004997599423723365,25,5,0.0566901828,0.0013566392673644684,0.0006067075245544927,4.000000000000001e-05,4.2426406871192855e-05,1.8973665961010275e-05,4.800000000000001e-05,7.155417527999328e-05,3.2000000000000005e-05,239210.1839657173,1748.0072949513744,781.7326273353596,168104.07119046687,3986.7430726956795,1782.9257038747849,0.046694325051,0.159878422950533,0.079296,0.0013275089453559236,0.0005936800485109797,-2.8270451583053195,0.008171465763206067,0.003654390584468193,25,5,0.0,0.0,0.0,0.22671999999999998,0.0015679923469200834,0.0007012274951825479,0.22724800000000003,0.0027168216724695058,0.0012149995884772967,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.159878422950533,0.17826799999999995,0.001870326174762031,0.0008364352933730105,25,5,0.0,0.0,0.0,0.224644,0.0024374741024265315,0.0010900715572842018,0.22324799999999997,0.005394693689172741,0.002412580361355874,239210.18396571727,1748.0072949513612,781.7326273353538,0.0,0.0,0.0,0.046694325051,0.159878422950533,0.078572,0.001218819100605177,0.0005450724722456661,-1.5591794416145608,0.00375530329590793,0.0016794226891558277,25,5
