f_bits_reveal_qber,global_seed,R_sk-BB84,R_sk_std-BB84,R_sk_sem-BB84,QBER_total-BB84,QBER_total_std-BB84,QBER_total_sem-BB84,QBER_est-BB84,QBER_est_std-BB84,QBER_est_sem-BB84,Throughputs-BB84,Throughputs_std-BB84,Throughputs_sem-BB84,Throughput_final-BB84,Throughput_final_std-BB84,Throughput_final_sem-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_s_std-BB84,R_s_sem-BB84,N_keys-BB84,N_replicas-BB84,R_sk-B92,R_sk_std-B92,R_sk_sem-B92,QBER_total-B92,QBER_total_std-B92,QBER_total_sem-B92,QBER_est-B92,QBER_est_std-B92,QBER_est_sem-B92,Throughputs-B92,Throughputs_std-B92,Throughputs_sem-B92,Throughput_final-B92,Throughput_final_std-B92,Throughput_final_sem-B92,Latency-B92,Loss-B92,R_s-B92,R_s_std-B92,R_s_sem-B92,N_keys-B92,N_replicas-B92,R_sk-COW,R_sk_std-COW,R_sk_sem-COW,QBER_total-COW,QBER_total_std-COW,QBER_total_sem-COW,QBER_est-COW,QBER_est_std-COW,QBER_est_sem-COW,Throughputs-COW,Throughputs_std-COW,Throughputs_sem-COW,Throughput_final-COW,Throughput_final_std-COW,Throughput_final_sem-COW,Latency-COW,Loss-COW,R_s-COW,R_s_std-COW,R_s_sem-COW,Visibility-COW,Visibility_std-COW,Visibility_sem-COW,N_keys-COW,N_replicas-COW,R_sk-BB84+Eve,R_sk_std-BB84+Eve,R_sk_sem-BB84+Eve,QBER_total-BB84+Eve,QBER_total_std-BB84+Eve,QBER_total_sem-BB84+Eve,QBER_est-BB84+Eve,QBER_est_std-BB84+Eve,QBER_est_sem-BB84+Eve,Throughputs-BB84+Eve,Throughputs_std-BB84+Eve,Throughputs_sem-BB84+Eve,Throughput_final-BB84+Eve,Throughput_final_std-BB84+Eve,Throughput_final_sem-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_s_std-BB84+Eve,R_s_sem-BB84+Eve,N_keys-BB84+Eve,N_replicas-BB84+Eve,R_sk-B92+Eve,R_sk_std-B92+Eve,R_sk_sem-B92+Eve,QBER_total-B92+Eve,QBER_total_std-B92+Eve,QBER_total_sem-B92+Eve,QBER_est-B92+Eve,QBER_est_std-B92+Eve,QBER_est_sem-B92+Eve,Throughputs-B92+Eve,Throughputs_std-B92+Eve,Throughputs_sem-B92+Eve,Throughput_final-B92+Eve,Throughput_final_std-B92+Eve,Throughput_final_sem-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_s_std-B92+Eve,R_s_sem-B92+Eve,N_keys-B92+Eve,N_replicas-B92+Eve,R_sk-COW+Eve,R_sk_std-COW+Eve,R_sk_sem-COW+Eve,QBER_total-COW+Eve,QBER_total_std-COW+Eve,QBER_total_sem-COW+Eve,QBER_est-COW+Eve,QBER_est_std-COW+Eve,QBER_est_sem-COW+Eve,Throughputs-COW+Eve,Throughputs_std-COW+Eve,Throughputs_sem-COW+Eve,Throughput_final-COW+Eve,Throughput_final_std-COW+Eve,Throughput_final_sem-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,R_s_std-COW+Eve,R_s_sem-COW+Eve,Visibility-COW+Eve,Visibility_std-COW+Eve,Visibility_sem-COW+Eve,N_keys-COW+Eve,N_replicas-COW+Eve,R_sk-BBM92,R_sk_std-BBM92,R_sk_sem-BBM92,QBER_total-BBM92,QBER_total_std-BBM92,QBER_total_sem-BBM92,QBER_est-BBM92,QBER_est_std-BBM92,QBER_est_sem-BBM92,Throughputs-BBM92,Throughputs_std-BBM92,Throughputs_sem-BBM92,Throughput_final-BBM92,Throughput_final_std-BBM92,Throughput_final_sem-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_s_std-BBM92,R_s_sem-BBM92,N_keys-BBM92,N_replicas-BBM92,R_sk-E91,R_sk_std-E91,R_sk_sem-E91,QBER_total-E91,QBER_total_std-E91,QBER_total_sem-E91,QBER_est-E91,QBER_est_std-E91,QBER_est_sem-E91,Throughputs-E91,Throughputs_std-E91,Throughputs_sem-E91,Throughput_final-E91,Throughput_final_std-E91,Throughput_final_sem-E91,Latency-E91,Loss-E91,R_s-E91,R_s_std-E91,R_s_sem-E91,CHSH_S-E91,CHSH_S_std-E91,CHSH_S_sem-E91,N_keys-E91,N_replicas-E91,R_sk-BBM92+Eve,R_sk_std-BBM92+Eve,R_sk_sem-BBM92+Eve,QBER_total-BBM92+Eve,QBER_total_std-BBM92+Eve,QBER_total_sem-BBM92+Eve,QBER_est-BBM92+Eve,QBER_est_std-BBM92+Eve,QBER_est_sem-BBM92+Eve,Throughputs-BBM92+Eve,Throughputs_std-BBM92+Eve,Throughputs_sem-BBM92+Eve,Throughput_final-BBM92+Eve,Throughput_final_std-BBM92+Eve,Throughput_final_sem-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_s_std-BBM92+Eve,R_s_sem-BBM92+Eve,N_keys-BBM92+Eve,N_replicas-BBM92+Eve,R_sk-E91+Eve,R_sk_std-E91+Eve,R_sk_sem-E91+Eve,QBER_total-E91+Eve,QBER_total_std-E91+Eve,QBER_total_sem-E91+Eve,QBER_est-E91+Eve,QBER_est_std-E91+Eve,QBER_est_sem-E91+Eve,Throughputs-E91+Eve,Throughputs_std-E91+Eve,Throughputs_sem-E91+Eve,Throughput_final-E91+Eve,Throughput_final_std-E91+Eve,Throughput_final_sem-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,R_s_std-E91+Eve,R_s_sem-E91+Eve,CHSH_S-E91+Eve,CHSH_S_std-E91+Eve,CHSH_S_sem-E91+Eve,N_keys-E91+Eve,N_replicas-E91+Eve
0.05,20260805,0.0375607216,0.004948950841702188,0.0022132380998701783,0.021832,0.0005821683605281209,0.0002603536056980967,0.02264,0.0022733235581412514,0.0010166612021711068,2007478.15039059,73029.67439244574,32659.863263236864,252102.18956417736,39456.206568996764,17645.3520045101,0.013111499996,0.1599142738885858,0.27683599999999997,0.002220288269572219,0.000992943100081772,25,5,0.0046990792,0.0030934403272543016,0.0013834285712159627,0.040872,0.0011775058386267168,0.0005265966198144472,0.04032,0.0036155220923125334,0.001616910634512619,1070444.2159808837,0.0,0.0,33950.79247382732,24844.09235840473,11110.615870535208,0.016861499993,0.1599142738885858,0.146364,0.002057590824240825,0.0009201825905764614,25,5,0.036758507600000004,0.0027977360372506183,0.0012511855924786533,0.007347999999999999,0.00019879637823662667,8.89044430835714e-05,0.007999999999999998,0.0018110770276274833,0.0008099382692526634,516467.49118088686,0.0,0.0,139488.33159920777,8466.179554678894,3786.190598796181,0.028111499996,0.1599142738885858,0.132278,0.0013184536396855149,0.0005896303927037651,0.5748973534054644,0.020908019701415443,0.009350350665453956,25,5,0.0,0.0,0.0,0.23736799999999997,0.0017830647772865823,0.0007974108100596642,0.23615999999999998,0.008646849137113477,0.0038669884923542264,1980811.48370259,59628.47944769706,26666.666687999947,0.0,0.0,0.0,0.013111499996,0.1599142738885858,0.27837999999999996,0.002830123672209397,0.0012656697831583087,25,5,0.0,0.0,0.0,0.32277199999999995,0.0009990595577842151,0.0004467930169552768,0.32136,0.008379021422576736,0.0037472122971617143,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1599142738885858,0.204128,0.002052929613990696,0.0009180980339811199,25,5,0.0,0.0,0.0,0.0075520000000000006,0.00017239489551607902,7.709734106958528e-05,0.006960000000000001,0.0022733235581412514,0.0010166612021711068,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.13174599999999997,0.0009617328111279131,0.00043009998837479594,0.009322269850757322,0.006512448420800049,0.0029124554737740126,25,5,0.0088868568,0.003693209511993762,0.0016516535047933752,0.03522,0.001094805918873297,0.0004896120913539624,0.035679999999999996,0.003480229877464995,0.0015564061166674983,548776.3043945801,5.820766091346741e-11,2.6031257322754125e-11,27393.647692365932,11999.531296323867,5366.353535343267,0.023734150023,0.1600136234131534,0.179732,0.0025951724412840225,0.001160596398409031,25,5,0.0281536532,0.00257037435522867,0.0011495063571826997,0.035356,0.0006088349530045089,0.0002722792683991943,0.03528,0.004572964027848899,0.002045091684986276,242337.1144750587,0.0,0.0,83862.43823090839,7593.480286325451,3395.907621205655,0.046694325051,0.1600136234131534,0.080152,0.000813707564177691,0.00036390108546141797,-2.6255123841204373,0.009110479384194565,0.004074330242133894,25,5,0.0,0.0,0.0,0.244312,0.0023887067630833344,0.0010682621401135641,0.24335999999999997,0.004754787061478156,0.0021264054176003255,548776.30439458,8.231806349783991e-11,3.681375715146283e-11,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.18127200000000002,0.0019412676270931825,0.0008681612753400137,25,5,0.0,0.0,0.0,0.245112,0.0016390607066243817,0.0007330102318521915,0.24335999999999997,0.003305752561823106,0.0014783774890061083,243118.84710239404,1748.0072949513549,781.7326273353508,0.0,0.0,0.0,0.046694325051,0.1600136234131534,0.08057600000000001,0.0010857624049487057,0.000485567708975792,-1.4460495390828183,0.016577154206692875,0.007413528735932373,25,5
0.1,20260805,0.0649427004,0.004594142730323116,0.002054563088667794,0.021747999999999997,0.00038693668732752573,0.0001730433471705858,0.020560000000000002,0.002397498696558561,0.0010721940122944166,2060811.4837665898,59628.47944769705,26666.666687999943,469988.2320637318,39521.16117180404,17674.400585975814,0.013111499996,0.1599142738885858,0.27684800000000004,0.0014599726024826596,0.000652919596887701,25,5,0.012168015600000002,0.0015184288758275113,0.0006790620370697804,0.041408,0.0009305482255101007,0.0004161538177164778,0.043039999999999995,0.0020119642143934875,0.0008997777503361598,1070444.2159808837,0.0,0.0,84295.57410454792,12357.99828306824,5526.664845353254,0.016861499993,0.1599142738885858,0.144144,0.0004250647009573843,0.00019009471323526626,25,5,0.0366069484,0.0010770664682963169,0.0004816787678792373,0.007112,0.0003819947643620264,0.00017083325203250103,0.006799999999999999,0.0015937377450509225,0.0007127411872482183,496467.49117688683,18257.418587156997,8164.965810910243,134732.6102742846,7766.013865209322,3473.0669833627862,0.028111499996,0.1599142738885858,0.131658,0.0015744586371194357,0.0007041193080721464,0.5834604923864488,0.008475191922550755,0.0037902210522361237,25,5,0.0,0.0,0.0,0.237172,0.0017388847000304594,0.0007776528788604875,0.23816,0.0061047522472251125,0.0027301282021179904,2034144.8170785897,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.1599142738885858,0.27677199999999996,0.0007400810766396079,0.00033097431924547895,25,5,0.0,0.0,0.0,0.32160400000000006,0.0028412110094113217,0.001270628191092902,0.31916,0.005466991860246364,0.00244491308638978,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1599142738885858,0.2061,0.000925418824100744,0.00041385987966943683,25,5,0.0,0.0,0.0,0.0072759999999999995,0.00034275355578024274,0.00015328405005087773,0.00824,0.0016577092628081685,0.0007413501197140257,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.131902,0.0005587217554382412,0.000249867965133584,0.007864718289269776,0.007252592861539536,0.0032434581303064243,25,5,0.023226300000000002,0.0018781875714970538,0.0008399510168725317,0.035376,0.0011849388169859192,0.0005299207487917396,0.035919999999999994,0.0015006665185843251,0.0006711184694225005,548776.3043945801,0.0,0.0,67767.54454613589,4494.191414889617,2009.8635015178286,0.023734150023,0.1600136234131534,0.182188,0.0028935998341166496,0.0012940571857533887,25,5,0.0271065708,0.0018568430902478534,0.0008304054746689954,0.035872,0.00040561065074773515,0.00018139459749397233,0.03508,0.0023520204080747257,0.0010518555033843763,243118.847102394,1748.0072949513549,781.7326273353508,80600.37940682741,4850.108715242864,2169.0345571094426,0.046694325051,0.1600136234131534,0.080456,0.0011453733015921075,0.0005122265123946641,-2.6291283628129483,0.003016380252677747,0.001348966258195087,25,5,0.0,0.0,0.0,0.24395599999999998,0.0028001214259385262,0.0012522523707304374,0.24656000000000003,0.006388113962665358,0.0028568514137070587,548776.3043945801,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.180332,0.00019110206696946658,8.54634424768889e-05,25,5,0.0,0.0,0.0,0.24263200000000001,0.0023436979327549914,0.0010481335792731782,0.24776000000000004,0.0058264912254289225,0.0026056860900730244,243118.84710239404,1748.0072949513483,781.732627335348,0.0,0.0,0.0,0.046694325051,0.1600136234131534,0.08122800000000001,0.0015303986408775954,0.0006844150787351183,-1.4411616143441148,0.012844919252356313,0.005744422522752898,25,5
0.15,20260805,0.0717821096,0.0017269706486963846,0.0007723247531264049,0.021308,0.0004904283841704112,0.00021932624102008423,0.02128,0.000709303257507755,0.00031721006008987563,2007478.15039059,73029.67439244573,32659.863263236857,500263.9122137635,20442.514619536247,9142.17046406326,0.013111499996,0.1599142738885858,0.27832399999999996,0.0018769869472108785,0.0008394140813686667,25,5,0.018604783200000002,0.0026922770330393563,0.0012040228920274895,0.041732,0.0011560795820357687,0.0005170145065663047,0.04077333333333334,0.0031572139617073794,0.0014119490075778236,1075286.1250513815,10826.837822506313,4841.9090704979835,136285.17443212183,23792.22301709749,10640.205600413026,0.0171114999928,0.1599142738885858,0.144272,0.001746974527576174,0.0007812707597241812,25,5,0.0338007134,0.0005106837544070705,0.00022838471797180347,0.007299999999999999,0.0001702938636592644,7.615773105863925e-05,0.006693333333333334,0.0007740226812639995,0.00034615346628659113,503134.1578448868,18257.418587156997,8164.965810910243,125904.472855523,3300.5722773643984,1476.060795367617,0.028111499996,0.1599142738885858,0.131616,0.0011360589773422916,0.0005080610199572514,0.5791336447683584,0.004109844467589468,0.001837978321296296,25,5,0.0,0.0,0.0,0.23836399999999996,0.000791631227276957,0.0003540282474605723,0.23752,0.0029190561640518205,0.0013054416025919295,2087478.1504545896,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1599142738885858,0.278804,0.0020790093794882435,0.0009297612596790738,25,5,0.0,0.0,0.0,0.320752,0.0015470358754728162,0.0006918554762376232,0.3177333333333333,0.001869046102516828,0.0008358628276617336,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1599142738885858,0.204372,0.0011439055905099872,0.0005115701320444739,25,5,0.0,0.0,0.0,0.007052,0.0003963836525387997,0.00017726815844928262,0.007600000000000001,0.001569146972791976,0.0007017438595701743,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.133046,0.0007010563458096634,0.0003135219290576014,0.010802288671626274,0.0112589370736424,0.005035149730211392,25,5,0.029889931199999997,0.0026111501009312343,0.0011677418250275354,0.035275999999999995,0.0005537869626489985,0.0002476610587072595,0.035039999999999995,0.0023216852116990845,0.0010382891911430285,548776.3043945801,0.0,0.0,87418.43594852852,8232.593716542708,3681.7278362654256,0.023734150023,0.1600136234131534,0.181,0.0012029131306956458,0.0005379591062525106,25,5,0.0256048704,0.0022513940305488064,0.0010068540192888738,0.035448,0.0009751512703165593,0.0004361009057546199,0.035519999999999996,0.0010048769963422266,0.00044939465456940523,242337.11447505868,0.0,0.0,75301.65399304804,6153.638394854378,2751.990751969416,0.046694325051,0.1600136234131534,0.08099599999999998,0.0012160921017751955,0.0005438529212939859,-2.6298771542619237,0.013658985533480529,0.006108484031309739,25,5,0.0,0.0,0.0,0.24308000000000002,0.0020986185932655964,0.0009385307666773711,0.24277333333333334,0.005381779961644247,0.002406805166836549,544711.2947324363,9089.637933747066,4065.009662143834,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.18071199999999998,0.001913875649043077,0.0008559112103483701,25,5,0.0,0.0,0.0,0.244788,0.0025014635715916228,0.001118688517863656,0.24165333333333333,0.003079105209129572,0.0013770177114974858,242337.1144750587,1.4551915228366852e-11,6.507814330688531e-12,0.0,0.0,0.0,0.046694325051,0.1600136234131534,0.080344,0.001201116147589397,0.0005371554709765123,-1.4519139585845582,0.01679122140849956,0.007509262498930956,25,5
0.2,20260805,0.0735831452,0.0036216319943988278,0.0016196430657927832,0.021651999999999998,0.000663566123306488,0.00029675579185586294,0.02144,0.0020119642143934836,0.000899777750336158,1980811.48370259,59628.47944769706,26666.666687999947,506079.3203711153,27114.632385545134,12126.03223979924,0.013111499996,0.1599142738885858,0.27780000000000005,0.0009113725912051591,0.0004075782133529725,25,5,0.019238257600000003,0.0012075799311891545,0.0005400461628806936,0.041312,0.0005478320910644087,0.00024499795917517456,0.04244,0.0013446189051177315,0.0006013318551349175,1070444.2159808837,0.0,0.0,136813.54155245743,7149.749340564729,3197.465109517406,0.016861499993,0.1599142738885858,0.145288,0.0011052239592046417,0.0004942711806286066,25,5,0.0325161616,0.0019224822244809712,0.0008597601878948923,0.00756,0.00027202941017470867,0.0001216552506059643,0.0074399999999999996,0.0006228964600958975,0.0002785677655436824,516467.49118088686,0.0,0.0,124072.64833491603,6952.423096107576,3109.2181302472186,0.028111499996,0.1599142738885858,0.13165999999999997,0.0010808792717042959,0.00048338390540025405,0.5902210331951357,0.010744028850015486,0.004804875772170703,25,5,0.0,0.0,0.0,0.237832,0.001309396807694287,0.0005855800543051291,0.23775999999999997,0.003012142094921834,0.0013470708964267689,2007478.15039059,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.1599142738885858,0.27888,0.002130774507074829,0.0009529113285085848,25,5,0.0,0.0,0.0,0.321716,0.0012331585461732143,0.0005514852672556241,0.31911999999999996,0.002637612556839985,0.0011795761950802468,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1599142738885858,0.206352,0.002155207646608579,0.0009638381606888253,25,5,0.0,0.0,0.0,0.007411999999999999,0.0005507449500449361,0.00024630062931304056,0.00762,0.0007496665925596525,0.0003352610922848042,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.13302999999999998,0.0006888033100965788,0.0003080422049005635,0.01015662614677861,0.008067920669678262,0.003608083810895244,25,5,0.031160938399999998,0.001302726709263613,0.0005825970956036087,0.035143999999999995,0.0005084092839435587,0.0002273675438579579,0.035960000000000006,0.0010310189135025627,0.0004610856753359412,548776.30439458,1.1641532182693481e-10,5.206251464550825e-11,91063.20866872426,3966.863924292742,1774.0354784420301,0.023734150023,0.1600136234131534,0.18220799999999998,0.002567161856993046,0.001148069684296209,25,5,0.0243305404,0.0019616170446717673,0.0008772618115416626,0.035464,0.0005103724130475732,0.00022824548188299485,0.03508,0.0013700364958642512,0.000612698947281615,243118.84710239404,1748.0072949513485,781.732627335348,72128.54358355825,6258.666273577425,2798.9606472408836,0.046694325051,0.1600136234131534,0.08076,0.000832225930862527,0.00037218275080933005,-2.6282282924087186,0.01354109785527955,0.0060557630588763366,25,5,0.0,0.0,0.0,0.245148,0.001440180544237446,0.0006440683193575144,0.24752000000000002,0.0037285385877043288,0.001667453147767588,548776.30439458,1.0081862609186659e-10,4.508746026790953e-11,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.179904,0.0021879853747226088,0.0009784968063310205,25,5,0.0,0.0,0.0,0.244996,0.0012906122578063284,0.0005771793482098867,0.24636,0.0041764817729758935,0.0018677794302325882,242337.1144750587,0.0,0.0,0.0,0.0,0.0,0.046694325051,0.1600136234131534,0.080332,0.0013037331015204017,0.0005830471679032505,-1.4424947679947207,0.006144462582192917,0.00274788720379745,25,5
0.25,20260805,0.071098398,0.00206929548520312,0.0009254170740895173,0.021932,0.0009124253394113944,0.00040804901666343914,0.022352000000000004,0.001091934063943424,0.0004883277587850196,2034144.8170785897,73029.67439244574,32659.863263236864,501457.8546316627,26021.41372241261,11637.129990792087,0.013111499996,0.1599142738885858,0.277912,0.0012037109287532214,0.0005383158923903218,25,5,0.020485138000000003,0.000934562981007699,0.00041794927095761196,0.041728,0.0004026412795529043,0.000180066654325558,0.041583999999999996,0.0011403858995971507,0.0005099960784162958,1070444.2159808837,0.0,0.0,146543.56761283232,5884.4013181164955,2631.5842708395694,0.016861499993,0.1599142738885858,0.14536,0.002239776774591602,0.001001658624482409,25,5,0.029634950000000004,0.0010270198756652683,0.00045929725124618434,0.007532,0.000418951071128837,0.00018736061485808583,0.007152,0.0004255819545046524,0.0001903260360539251,509800.82451288693,14907.119852980002,6666.666667999991,111503.4126460719,4762.9479450993485,2130.055075707016,0.028111499996,0.1599142738885858,0.131924,0.0006481357882419363,0.0002898551362318757,0.582953863672596,0.0081794943263207,0.0036579810670453864,25,5,0.0,0.0,0.0,0.235396,0.0013429370796876642,0.0006005797199373338,0.234896,0.004082509032445623,0.0018257535430610615,2060811.4837665898,59628.47944769705,26666.666687999943,0.0,0.0,0.0,0.013111499996,0.1599142738885858,0.27915599999999996,0.0018399673910153753,0.000822858432538663,25,5,0.0,0.0,0.0,0.321368,0.0012543205331971515,0.0005609491955605225,0.31950399999999995,0.0033625704453587577,0.0015037872189907848,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1599142738885858,0.20439600000000002,0.001751764824398514,0.0007834130455896118,25,5,0.0,0.0,0.0,0.007344000000000001,0.00022244100341438827,9.9478640923567e-05,0.007535999999999999,0.0002290851370124217,0.00010244998779892559,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.13165,0.0009236611932954611,0.0004130738432774448,0.0012869011486244136,0.002077923538611338,0.0009292756568763721,25,5,0.032555591599999996,0.0012459350493676644,0.0005571990931871307,0.034544,0.0003353803810600739,0.00014998666607402163,0.034992,0.001296888584266206,0.00057998620673254,548776.3043945801,5.820766091346741e-11,2.6031257322754125e-11,94872.23246207411,3483.4835200868943,1557.86118988291,0.023734150023,0.1600136234131534,0.182268,0.0012512873371052736,0.0005595927090304173,25,5,0.0222131508,0.0013017987830725622,0.0005821821143953503,0.035156,0.0007515849918671887,0.0003361190265367321,0.03486399999999999,0.0004976745924798673,0.00022256684389189776,243900.57972972942,2140.8629696467488,957.4230261284398,66320.84995766361,3877.2880571678256,1733.9759328350697,0.046694325051,0.1600136234131534,0.080336,0.0014355068791197057,0.000641978192776047,-2.625652374138924,0.007065165009346574,0.003159637846630375,25,5,0.0,0.0,0.0,0.243012,0.0016447249010092828,0.0007355433365886737,0.242976,0.004994204641381842,0.0022334762143349516,548776.30439458,1.0081862609186659e-10,4.508746026790953e-11,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.181588,0.0034031926187037933,0.0015219540071894407,25,5,0.0,0.0,0.0,0.245132,0.003054262595128328,0.001365907756768372,0.24291200000000002,0.0036837372327569754,0.0016474173727383124,243118.847102394,1748.0072949513549,781.7326273353508,0.0,0.0,0.0,0.046694325051,0.1600136234131534,0.080016,0.0009288056847371239,0.0004153745297920896,-1.4503649952659725,0.004880789467352685,0.0021827554065731187,25,5
0.3,20260805,0.0692631616,0.0025400297454204754,0.0011359358351263336,0.022108,0.0003077661449867423,0.00013763720427268237,0.02168,0.0012835714064887683,0.0005740305837767801,2007478.15039059,73029.67439244574,32659.863263236864,487871.71268553974,31495.203045604187,14085.082995025874,0.013111499996,0.1599142738885858,0.27632,0.002388556049164456,0.0010681947388000105,25,5,0.0192750224,0.00035993180515036535,0.00016096639671608516,0.041872000000000006,0.0008814306552418062,0.000394187772514572,0.04245333333333333,0.0006950619476788468,0.00031084115271666073,1070444.2159808837,0.0,0.0,139017.57945979142,3087.2777137608596,1380.6725666778839,0.016861499993,0.1599142738885858,0.143752,0.0016923711176925634,0.0007568513724635738,25,5,0.0280180932,0.0013033436884032899,0.0005828730170630121,0.0072959999999999995,0.00025274493071078573,0.00011303096920755822,0.007200000000000001,0.0007745966692414836,0.00034641016151377556,503134.15784488694,18257.418587156997,8164.965810910243,104153.05012398484,6404.098700742485,2864.0000058956557,0.028111499996,0.1599142738885858,0.132108,0.0008256936477895343,0.00036926142500943353,0.5879154980954967,0.007386791761654168,0.0033034737029388286,25,5,0.0,0.0,0.0,0.23613600000000004,0.002830809071626002,0.0012659763030957623,0.23701333333333335,0.004444572220385468,0.0019876731231378165,1980811.48370259,59628.47944769706,26666.666687999947,0.0,0.0,0.0,0.013111499996,0.1599142738885858,0.277592,0.0018123244742594908,0.0008104961443461578,25,5,0.0,0.0,0.0,0.32101999999999997,0.003120640959802972,0.0013955930638979268,0.32066666666666666,0.002907843798341925,0.0013004272802087469,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1599142738885858,0.20478000000000002,0.002400041666304982,0.0010733312629379612,25,5,0.0,0.0,0.0,0.007476000000000001,0.0003128577951721836,0.0001399142594591416,0.007693333333333332,0.0004560701700396556,0.00020396078054371155,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.132032,0.0007097323439156578,0.000317401953365134,0.019344139934104658,0.01265907759480585,0.0056613116068860835,25,5,0.0312063012,0.0005043855053341636,0.0002255680553585545,0.035295999999999994,0.0009053618061305651,0.00040489010854798585,0.03534666666666667,0.00045801504099514,0.00020483055327649718,548776.3043945801,8.231806349783991e-11,3.681375715146283e-11,91392.08960606801,1210.8330374273924,541.5009962180393,0.023734150023,0.1600136234131534,0.18131999999999998,0.0010265476121446998,0.00045908604857912747,25,5,0.0207709712,0.0007318476872336221,0.0003272922355660768,0.035456,0.0003485398112124353,0.00015587174214718973,0.036506666666666666,0.0019474199455804238,0.0008709126758113537,242337.11447505868,2.5204656522966648e-11,1.1271865066977382e-11,61648.98377846548,1718.7445499066864,768.6459299097261,0.046694325051,0.1600136234131534,0.080332,0.0008331386439242913,0.00037259092849934144,-2.637832264440454,0.011254232937580802,0.005033045976609564,25,5,0.0,0.0,0.0,0.24464000000000002,0.0016533602148352284,0.0007394051663330454,0.24417333333333335,0.0030190506234024465,0.0013501604842881974,548776.30439458,1.1641532182693481e-10,5.206251464550825e-11,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.17986399999999997,0.002510713046128535,0.0011228250086277938,25,5,0.0,0.0,0.0,0.24506,0.0005416641025580345,0.00024223955085823657,0.24523999999999999,0.00418876805012856,0.0018732740204133412,242337.11447505868,2.5204656522966648e-11,1.1271865066977382e-11,0.0,0.0,0.0,0.046694325051,0.1600136234131534,0.08032399999999999,0.0007353094586634991,0.0003288403868140311,-1.453902188992323,0.006344333838446268,0.0028372723469436045,25,5
