charlie_position,global_seed,R_sk-BBM92,R_sk_std-BBM92,R_sk_sem-BBM92,QBER_total-BBM92,QBER_total_std-BBM92,QBER_total_sem-BBM92,QBER_est-BBM92,QBER_est_std-BBM92,QBER_est_sem-BBM92,Throughputs-BBM92,Throughputs_std-BBM92,Throughputs_sem-BBM92,Throughput_final-BBM92,Throughput_final_std-BBM92,Throughput_final_sem-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_s_std-BBM92,R_s_sem-BBM92,N_keys-BBM92,N_replicas-BBM92,R_sk-E91,R_sk_std-E91,R_sk_sem-E91,QBER_total-E91,QBER_total_std-E91,QBER_total_sem-E91,QBER_est-E91,QBER_est_std-E91,QBER_est_sem-E91,Throughputs-E91,Throughputs_std-E91,Throughputs_sem-E91,Throughput_final-E91,Throughput_final_std-E91,Throughput_final_sem-E91,Latency-E91,Loss-E91,R_s-E91,R_s_std-E91,R_s_sem-E91,CHSH_S-E91,CHSH_S_std-E91,CHSH_S_sem-E91,N_keys-E91,N_replicas-E91,R_sk-BBM92+Eve,R_sk_std-BBM92+Eve,R_sk_sem-BBM92+Eve,QBER_total-BBM92+Eve,QBER_total_std-BBM92+Eve,QBER_total_sem-BBM92+Eve,QBER_est-BBM92+Eve,QBER_est_std-BBM92+Eve,QBER_est_sem-BBM92+Eve,Throughputs-BBM92+Eve,Throughputs_std-BBM92+Eve,Throughputs_sem-BBM92+Eve,Throughput_final-BBM92+Eve,Throughput_final_std-BBM92+Eve,Throughput_final_sem-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_s_std-BBM92+Eve,R_s_sem-BBM92+Eve,N_keys-BBM92+Eve,N_replicas-BBM92+Eve,R_sk-E91+Eve,R_sk_std-E91+Eve,R_sk_sem-E91+Eve,QBER_total-E91+Eve,QBER_total_std-E91+Eve,QBER_total_sem-E91+Eve,QBER_est-E91+Eve,QBER_est_std-E91+Eve,QBER_est_sem-E91+Eve,Throughputs-E91+Eve,Throughputs_std-E91+Eve,Throughputs_sem-E91+Eve,Throughput_final-E91+Eve,Throughput_final_std-E91+Eve,Throughput_final_sem-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,R_s_std-E91+Eve,R_s_sem-E91+Eve,CHSH_S-E91+Eve,CHSH_S_std-E91+Eve,CHSH_S_sem-E91+Eve,N_keys-E91+Eve,N_replicas-E91+Eve
0.1,20260805,0.03201106039999999,0.0017733236564374804,0.0007930544483805377,0.034984,0.001198198647971194,0.000535850725482386,0.034992,0.0014725216466999732,0.0006585317000722137,548776.30439458,1.1641532182693481e-10,5.206251464550825e-11,94604.04848514237,4265.4679917021995,1907.5752770591253,0.023734150023,0.1600136234131534,0.17951999999999999,0.0029675916161089194,0.0013271473166156006,25,5,0.0223104384,0.0011636167576942154,0.0005203852339924334,0.035500000000000004,0.0005143928459844674,0.00023004347415216976,0.034992,0.0017983103180485842,0.0008042288231591802,243118.84710239404,1748.0072949513549,781.7326273353508,66156.96876316509,3882.0667753706716,1736.1130405844456,0.046694325051,0.1600136234131534,0.08049599999999998,0.0005828207271537263,0.0002606453529223179,-2.6280764614262493,0.008790641933359537,0.00393129458577042,25,5,0.0,0.0,0.0,0.245176,0.0032989210357327534,0.0014753223376604897,0.24398400000000003,0.0037571904396769746,0.0016802666455060075,548776.30439458,1.0081862609186659e-10,4.508746026790953e-11,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.181928,0.0016558139992161132,0.0007405025320686025,25,5,0.0,0.0,0.0,0.24421999999999996,0.0030006665926090486,0.0013419388957773,0.24529599999999996,0.0053839465079066505,0.0024077740757803756,242337.1144750587,2.5204656522966648e-11,1.1271865066977382e-11,0.0,0.0,0.0,0.046694325051,0.1600136234131534,0.080332,0.0016874003674291426,0.0007546283853659369,-1.4450556502956708,0.008348644130646938,0.0037336271592162376,25,5
0.2,20260805,0.032249408800000004,0.001889409346332127,0.0008449695471444157,0.034904000000000004,0.0005904913208506988,0.0002640757467091603,0.035008,0.0017867064672183839,0.0007990394233077611,548834.8686444846,0.0,0.0,94877.17740464723,5913.5556479615825,2644.622483513983,0.023732050023,0.15996426084470428,0.18075999999999998,0.0014858667504187538,0.0006644998118886094,25,5,0.0223632212,0.0011467705833736758,0.0005128513958041258,0.034956,0.0003980954659375061,0.00017803370467414311,0.034352,0.0006872554110372668,0.00030734996339677756,242362.97618085676,0.0,0.0,66215.13116466092,2516.178898054749,1125.2694119201863,0.046689775051,0.15996426084470428,0.080416,0.0011152936832960177,0.0004987744981452035,-2.6249824022954873,0.007279480993443847,0.0032554828684516284,25,5,0.0,0.0,0.0,0.24403199999999997,0.0018542168158012184,0.000829230969030946,0.24558400000000002,0.005692212223731644,0.002545634694923839,548834.8686444846,0.0,0.0,0.0,0.0,0.0,0.023732050023,0.15996426084470428,0.18134,0.0014855975228843128,0.0006643794096749245,25,5,0.0,0.0,0.0,0.244164,0.0022485284076480005,0.0010055724737680573,0.246224,0.004756267444120473,0.0021270674648445117,242362.97618085676,0.0,0.0,0.0,0.0,0.0,0.046689775051,0.15996426084470428,0.079364,0.0009208039965160898,0.0004117960660326912,-1.4415925939152208,0.01973569945157576,0.008826073111445742,25,5
0.3,20260805,0.032681579599999996,0.0012870506986590695,0.0005755865705380553,0.035547999999999996,0.00042955791227726296,0.0001921041384249703,0.03464,0.001195993311018084,0.0005348644688142968,548893.4453954297,0.0,0.0,95923.95766462937,4257.675629121583,1904.0904265720087,0.023729950023,0.15993274712790007,0.18116,0.0006006662967072496,0.0002686261342460936,25,5,0.02136689,0.0006970951824937536,0.0003117504429687309,0.035204,0.0004756889740155874,0.0002127345764091969,0.035952000000000005,0.0020282800595578534,0.0009070744181157364,243170.74290191522,1748.3804220750762,781.8994948579289,64088.61256308049,1808.5782066828458,808.8207625535015,0.046685225051,0.15993274712790007,0.079752,0.0005864469285451142,0.0002622670394845674,-2.6267119563255807,0.011028124211280979,0.004931927080147104,25,5,0.0,0.0,0.0,0.24435600000000002,0.0018239736840206912,0.0008157058293281975,0.24278400000000003,0.0030570050703261843,0.0013671342289621746,548893.4453954297,0.0,0.0,0.0,0.0,0.0,0.023729950023,0.15993274712790007,0.181444,0.0005641630969852494,0.0002523014070511648,25,5,0.0,0.0,0.0,0.24452400000000002,0.0017026097615131927,0.0007614302331796407,0.245648,0.0024222964310752597,0.001083283896307883,242388.8434070573,0.0,0.0,0.0,0.0,0.0,0.046685225051,0.15993274712790007,0.08071999999999999,0.000728697468089467,0.0003258834147360064,-1.4448720613885986,0.012122254830613532,0.005421237168365411,25,5
0.4,20260805,0.0315348548,0.002186980490660399,0.0009780474085164992,0.035755999999999996,0.0009407869046707648,0.0004207326942370889,0.035808,0.0018370410991591876,0.0008215497550361749,548952.0346514184,0.0,0.0,92797.83654303588,5270.504051648153,2357.0410670346664,0.023727850023,0.15991519059428505,0.18120799999999998,0.0018346988853760193,0.0008205022851887748,25,5,0.0217366044,0.0012501600715087646,0.0005590885805299191,0.034811999999999996,0.0012892323297218388,0.0005765622256096907,0.034047999999999995,0.0024544490216747207,0.001097662971954506,242414.71615542815,0.0,0.0,64591.92524339371,4084.2395263476665,1826.527443460985,0.046680675051,0.15991519059428505,0.080272,0.0011590168247268835,0.000518328081431054,-2.624941480757099,0.012201546052297521,0.005456697280706292,25,5,0.0,0.0,0.0,0.244068,0.0014921528071883225,0.0006673110219380452,0.24468800000000002,0.0013357844137435026,0.0005973809504830352,548952.0346514184,0.0,0.0,0.0,0.0,0.0,0.023727850023,0.15991519059428505,0.18204000000000004,0.0008828363381737322,0.0003948164130326915,25,5,0.0,0.0,0.0,0.24351599999999998,0.0020049638400729424,0.0008966470877664232,0.243024,0.0034859259888873058,0.0015589534951370384,242414.71615542815,0.0,0.0,0.0,0.0,0.0,0.046680675051,0.15991519059428505,0.07994000000000001,0.00158499211354505,0.0007088300219375593,-1.4386600816668924,0.009352983310046768,0.004182781294737113,25,5
0.5,20260805,0.0328016748,0.0024272992408170854,0.0010855212208401269,0.035064,0.001014830035030496,0.00045384578878733637,0.034544,0.002118414501460938,0.000947383765957597,549010.6364164557,0.0,0.0,96367.97100363803,6845.15355290543,3061.245732144149,0.023725750022999998,0.1599095498067118,0.18116,0.002381890005856701,0.0010652135936045912,25,5,0.022566135199999997,0.0007850982803682612,0.0003511066247843241,0.035124,0.0010485609185927178,0.000468930698504588,0.035008,0.001077181507453595,0.0004817302149543869,244004.72729500648,2141.7771358456594,957.8318536811391,67290.76656870672,2916.5422600802,1304.3173505580396,0.046676125051,0.1599095498067118,0.080548,0.001054096769751238,0.00047140640640534244,-2.635349670630673,0.006020679765176965,0.002692529845138633,25,5,0.0,0.0,0.0,0.244068,0.0015947789815520007,0.0007132068423676314,0.24473599999999998,0.0037775759423206777,0.001689383319439372,549010.6364164557,8.231806349783991e-11,3.681375715146283e-11,0.0,0.0,0.0,0.023725750022999998,0.1599095498067118,0.18113200000000002,0.0018948139750381771,0.0008473865705803907,25,5,0.0,0.0,0.0,0.24474800000000002,0.0014370525390534448,0.0006426694329124348,0.244832,0.0033478829131258557,0.001497218754891887,242440.59442773787,2.9103830456733704e-11,1.3015628661377062e-11,0.0,0.0,0.0,0.046676125051,0.1599095498067118,0.080864,0.0006681915892915792,0.00029882436312991833,-1.4502773656024377,0.02067141121797385,0.00924453613484825,25,5
0.6,20260805,0.0326113968,0.002142963263839397,0.0009583623062459416,0.034856,0.0005389619652628564,0.00024103111832292544,0.034640000000000004,0.0021436417611158816,0.0009586657394524953,548952.0346514184,0.0,0.0,96127.97797960455,6748.006650128967,3017.8003164618017,0.023727850023,0.15991519059428505,0.180776,0.0020830458468310267,0.0009315664227525581,25,5,0.0215064028,0.0016238847541267208,0.000726223339570576,0.035227999999999995,0.0010513419995415373,0.00047017443571508604,0.036224000000000006,0.00280764670142096,0.0012556177762360642,243196.69911076472,1748.567045378715,781.9829553365532,64409.374196032295,4299.096645414686,1922.6144681977091,0.046680675051,0.15991519059428505,0.07988,0.0016760668244434678,0.00074955987085756,-2.629004733900673,0.006133338290940719,0.002742912269509166,25,5,0.0,0.0,0.0,0.24497999999999998,0.0010623558725775513,0.00047509998947590186,0.244576,0.003823882843393611,0.001710092395164659,548952.0346514184,0.0,0.0,0.0,0.0,0.0,0.023727850023,0.15991519059428505,0.18143999999999996,0.0027409122568955043,0.0012257732253561427,25,5,0.0,0.0,0.0,0.244896,0.0006315694736131387,0.00028244645510254755,0.245872,0.003346926948709807,0.001496791234608216,242414.71615542815,0.0,0.0,0.0,0.0,0.0,0.046680675051,0.15991519059428505,0.081416,0.000979122055721345,0.00043787669497245287,-1.4532228772524358,0.012091655932480934,0.005407552925113195,25,5
0.7,20260805,0.0319104236,0.0025497236715865536,0.0011402710907015765,0.03565999999999999,0.0011947384651043941,0.0005343032846614371,0.035296,0.0023476967436191613,0.001049921901857468,548893.4453954297,0.0,0.0,94204.13717843074,7495.145986738821,3351.9311855265482,0.023729950023,0.15993274712790007,0.18066,0.000988736567544651,0.0004421764353739304,25,5,0.022356937200000003,0.0010766489824298325,0.0004814920625238164,0.034416,0.0006408431945491818,0.0002865937891860186,0.033808000000000005,0.0014779445185797763,0.0006609568821035161,242388.8434070573,0.0,0.0,66685.13168420197,3174.1353735725575,1419.5164930189856,0.046685225051,0.15993274712790007,0.079908,0.0009476919330668618,0.0004238207168131367,-2.629513815270465,0.008186474916312218,0.003661102881794204,25,5,0.0,0.0,0.0,0.24406,0.0025913317039699896,0.0011588787684654516,0.24308799999999997,0.00532994559071669,0.002383624131443558,548893.4453954297,0.0,0.0,0.0,0.0,0.0,0.023729950023,0.15993274712790007,0.1815,0.001678392087683932,0.0007505997601918119,25,5,0.0,0.0,0.0,0.243236,0.0014466098299126717,0.0006469435833208285,0.24264000000000002,0.003504967902848757,0.00156746929794494,242388.8434070573,0.0,0.0,0.0,0.0,0.0,0.046685225051,0.15993274712790007,0.08067200000000001,0.0014720461949273144,0.0006583190715754762,-1.444192837256533,0.005213326864831978,0.002331470651738032,25,5
0.8,20260805,0.03171376160000001,0.0014077036419008096,0.0006295442070928462,0.03556800000000001,0.0005825118024555395,0.00026050719759730304,0.035536,0.0012842429676661682,0.0005743309150655233,548834.8686444846,0.0,0.0,93358.68051664734,3891.9841003587003,1740.5482031500835,0.023732050023,0.15996426084470428,0.180892,0.0023445937814470016,0.0010485342149877562,25,5,0.0218341528,0.0011248854637478441,0.0005030640727683109,0.035892,0.0005401110996822781,0.00024154502685834776,0.036,0.0010895870777500993,0.0004872781546509141,243144.7922330495,1748.1938386035565,781.8160521927697,65534.81853122503,2541.339469288492,1136.5215614464614,0.046689775051,0.15996426084470428,0.07970800000000001,0.0017644602574158473,0.0007890906158357224,-2.628509030420152,0.006504669621825181,0.0029089766891157907,25,5,0.0,0.0,0.0,0.24447999999999998,0.002043183790068818,0.0009137395690239074,0.24432,0.003321204600743532,0.0014852878508895171,548834.8686444846,0.0,0.0,0.0,0.0,0.0,0.023732050023,0.15996426084470428,0.17877200000000001,0.0016022234550773407,0.0007165361121395028,25,5,0.0,0.0,0.0,0.246244,0.0017293004365927696,0.0007733666659482995,0.245552,0.002447267864374454,0.0010944514607784028,242362.97618085676,0.0,0.0,0.0,0.0,0.0,0.046689775051,0.15996426084470428,0.07942,0.001024597481941082,0.0004582139238390745,-1.4478328380005312,0.008868888286635998,0.003966287418753946,25,5
0.9,20260805,0.030631425599999994,0.001019981422067482,0.00045614955910595873,0.035227999999999995,0.0005250904683956842,0.00023482759633399096,0.036671999999999996,0.0009725841865874644,0.0004349528710101819,548776.3043945801,5.820766091346741e-11,2.6031257322754125e-11,89471.1904764651,2701.7225999037596,1208.2470779464545,0.023734150023,0.1600136234131534,0.18162000000000003,0.0018911901014969255,0.0008457659250643704,25,5,0.0211374968,0.0003770075855220957,0.0001686029178520943,0.034971999999999996,0.0004112420211991993,0.0001839130229211638,0.03499200000000001,0.0009322660564452617,0.0004169220550654522,243118.84710239404,1748.0072949513515,781.7326273353493,62903.93868859237,1526.9079443375826,682.8539917846599,0.046694325051,0.1600136234131534,0.08048,0.000646683848568987,0.000289205809070287,-2.622393283679893,0.006839564692619925,0.0030587463178411213,25,5,0.0,0.0,0.0,0.245452,0.0022578573914222356,0.0010097445221440937,0.242816,0.0029155582655813893,0.0013038772948402743,548776.30439458,1.0081862609186659e-10,4.508746026790953e-11,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.181404,0.0015161398352394764,0.0006780383469981601,25,5,0.0,0.0,0.0,0.24472,0.0015776564898608344,0.0007055494312945066,0.24574400000000002,0.0011162795348836272,0.0004992153843783276,243118.84710239404,1748.007294951358,781.7326273353523,0.0,0.0,0.0,0.046694325051,0.1600136234131534,0.0802,0.0008679861750051106,0.0003881752181682912,-1.439610794010585,0.0166893370303239,0.0074636984198417425,25,5
