filter_bandwidth,global_seed,R_sk-BB84,R_sk_std-BB84,R_sk_sem-BB84,QBER_total-BB84,QBER_total_std-BB84,QBER_total_sem-BB84,QBER_est-BB84,QBER_est_std-BB84,QBER_est_sem-BB84,Throughputs-BB84,Throughputs_std-BB84,Throughputs_sem-BB84,Throughput_final-BB84,Throughput_final_std-BB84,Throughput_final_sem-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_s_std-BB84,R_s_sem-BB84,N_keys-BB84,N_replicas-BB84,R_sk-B92,R_sk_std-B92,R_sk_sem-B92,QBER_total-B92,QBER_total_std-B92,QBER_total_sem-B92,QBER_est-B92,QBER_est_std-B92,QBER_est_sem-B92,Throughputs-B92,Throughputs_std-B92,Throughputs_sem-B92,Throughput_final-B92,Throughput_final_std-B92,Throughput_final_sem-B92,Latency-B92,Loss-B92,R_s-B92,R_s_std-B92,R_s_sem-B92,N_keys-B92,N_replicas-B92,R_sk-COW,R_sk_std-COW,R_sk_sem-COW,QBER_total-COW,QBER_total_std-COW,QBER_total_sem-COW,QBER_est-COW,QBER_est_std-COW,QBER_est_sem-COW,Throughputs-COW,Throughputs_std-COW,Throughputs_sem-COW,Throughput_final-COW,Throughput_final_std-COW,Throughput_final_sem-COW,Latency-COW,Loss-COW,R_s-COW,R_s_std-COW,R_s_sem-COW,Visibility-COW,Visibility_std-COW,Visibility_sem-COW,N_keys-COW,N_replicas-COW,R_sk-BB84+Eve,R_sk_std-BB84+Eve,R_sk_sem-BB84+Eve,QBER_total-BB84+Eve,QBER_total_std-BB84+Eve,QBER_total_sem-BB84+Eve,QBER_est-BB84+Eve,QBER_est_std-BB84+Eve,QBER_est_sem-BB84+Eve,Throughputs-BB84+Eve,Throughputs_std-BB84+Eve,Throughputs_sem-BB84+Eve,Throughput_final-BB84+Eve,Throughput_final_std-BB84+Eve,Throughput_final_sem-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_s_std-BB84+Eve,R_s_sem-BB84+Eve,N_keys-BB84+Eve,N_replicas-BB84+Eve,R_sk-B92+Eve,R_sk_std-B92+Eve,R_sk_sem-B92+Eve,QBER_total-B92+Eve,QBER_total_std-B92+Eve,QBER_total_sem-B92+Eve,QBER_est-B92+Eve,QBER_est_std-B92+Eve,QBER_est_sem-B92+Eve,Throughputs-B92+Eve,Throughputs_std-B92+Eve,Throughputs_sem-B92+Eve,Throughput_final-B92+Eve,Throughput_final_std-B92+Eve,Throughput_final_sem-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_s_std-B92+Eve,R_s_sem-B92+Eve,N_keys-B92+Eve,N_replicas-B92+Eve,R_sk-COW+Eve,R_sk_std-COW+Eve,R_sk_sem-COW+Eve,QBER_total-COW+Eve,QBER_total_std-COW+Eve,QBER_total_sem-COW+Eve,QBER_est-COW+Eve,QBER_est_std-COW+Eve,QBER_est_sem-COW+Eve,Throughputs-COW+Eve,Throughputs_std-COW+Eve,Throughputs_sem-COW+Eve,Throughput_final-COW+Eve,Throughput_final_std-COW+Eve,Throughput_final_sem-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,R_s_std-COW+Eve,R_s_sem-COW+Eve,Visibility-COW+Eve,Visibility_std-COW+Eve,Visibility_sem-COW+Eve,N_keys-COW+Eve,N_replicas-COW+Eve,R_sk-BBM92,R_sk_std-BBM92,R_sk_sem-BBM92,QBER_total-BBM92,QBER_total_std-BBM92,QBER_total_sem-BBM92,QBER_est-BBM92,QBER_est_std-BBM92,QBER_est_sem-BBM92,Throughputs-BBM92,Throughputs_std-BBM92,Throughputs_sem-BBM92,Throughput_final-BBM92,Throughput_final_std-BBM92,Throughput_final_sem-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_s_std-BBM92,R_s_sem-BBM92,N_keys-BBM92,N_replicas-BBM92,R_sk-E91,R_sk_std-E91,R_sk_sem-E91,QBER_total-E91,QBER_total_std-E91,QBER_total_sem-E91,QBER_est-E91,QBER_est_std-E91,QBER_est_sem-E91,Throughputs-E91,Throughputs_std-E91,Throughputs_sem-E91,Throughput_final-E91,Throughput_final_std-E91,Throughput_final_sem-E91,Latency-E91,Loss-E91,R_s-E91,R_s_std-E91,R_s_sem-E91,CHSH_S-E91,CHSH_S_std-E91,CHSH_S_sem-E91,N_keys-E91,N_replicas-E91,R_sk-BBM92+Eve,R_sk_std-BBM92+Eve,R_sk_sem-BBM92+Eve,QBER_total-BBM92+Eve,QBER_total_std-BBM92+Eve,QBER_total_sem-BBM92+Eve,QBER_est-BBM92+Eve,QBER_est_std-BBM92+Eve,QBER_est_sem-BBM92+Eve,Throughputs-BBM92+Eve,Throughputs_std-BBM92+Eve,Throughputs_sem-BBM92+Eve,Throughput_final-BBM92+Eve,Throughput_final_std-BBM92+Eve,Throughput_final_sem-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_s_std-BBM92+Eve,R_s_sem-BBM92+Eve,N_keys-BBM92+Eve,N_replicas-BBM92+Eve,R_sk-E91+Eve,R_sk_std-E91+Eve,R_sk_sem-E91+Eve,QBER_total-E91+Eve,QBER_total_std-E91+Eve,QBER_total_sem-E91+Eve,QBER_est-E91+Eve,QBER_est_std-E91+Eve,QBER_est_sem-E91+Eve,Throughputs-E91+Eve,Throughputs_std-E91+Eve,Throughputs_sem-E91+Eve,Throughput_final-E91+Eve,Throughput_final_std-E91+Eve,Throughput_final_sem-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,R_s_std-E91+Eve,R_s_sem-E91+Eve,CHSH_S-E91+Eve,CHSH_S_std-E91+Eve,CHSH_S_sem-E91+Eve,N_keys-E91+Eve,N_replicas-E91+Eve
1e-10,20260805,0.10989863959999999,0.0008143677977331868,0.00036419635088364094,0.0024639999999999996,0.00014099645385611646,6.305553108173775e-05,0.002352,0.00036044417043420193,0.00016119553343687908,1954144.81701459,0.0,0.0,762700.7695232977,5180.4475720710625,2316.766585004927,0.013111499996,0.1599142738885858,0.272304,0.0009178670927754235,0.0004104826427511906,25,5,0.0532246604,0.001287569748851222,0.0005758186968407329,0.004568,0.00037352376095772013,0.00016704490414256882,0.00456,0.0009277930803794559,0.0004149216793564779,1027987.0946133735,0.0,0.0,382798.12736897555,8266.775597346612,3697.0144380806905,0.018111499992,0.1599142738885858,0.13850800000000002,0.0008304938289957347,0.0003714081313057097,25,5,0.07786641359999999,0.00042557285921191883,0.0001903219685153596,0.000744,9.208691546577072e-05,4.1182520563948006e-05,0.000864,0.00023596609926004208,0.00010552724766618337,503134.15784488694,18257.418587156997,8164.965810910243,290177.2253548719,8422.203163071708,3766.523758588417,0.028111499996,0.1599142738885858,0.13179,0.0012255202976695337,0.0005480693386789708,0.9295843533508638,0.007526199121566814,0.00336581856960452,25,5,0.0,0.0,0.0,0.225056,0.002048091794817803,0.0009159344954744317,0.22507200000000002,0.0033910942186851744,0.0015165434382173174,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1599142738885858,0.27235200000000004,0.0015601666577644844,0.0006977277405980074,25,5,0.0,0.0,0.0,0.31118000000000007,0.0017156339936012096,0.0007672548468403487,0.312448,0.005674250611314219,0.002537602017653666,1444305.8720126254,23189.622178132984,10370.714312568418,0.0,0.0,0.0,0.0148614999946,0.1599142738885858,0.199788,0.0022136214671890143,0.0009899616154174912,25,5,0.0,0.0,0.0,0.000724,0.00012033287165193062,5.3814496188294855e-05,0.0008000000000000001,0.00027129319932501074,0.00012132600710482481,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.131334,0.0009380191895691696,0.00041949493441518495,0.008100967195251723,0.00812905613952719,0.003635424424178962,25,5,0.069108962,0.0006878246534880799,0.0003076045363599169,0.0038239999999999997,0.00036038867906747587,0.0001611707169432463,0.0038399999999999997,0.00034871191548325374,0.00015594870951694334,528451.2560838609,0.0,0.0,199360.64849366766,1507.1953467977019,674.0382501622063,0.023734150023,0.1600136234131534,0.177112,0.0005847392581313563,0.00026150334605890186,25,5,0.05261878960000001,0.0020109962732235017,0.000899344873885298,0.0037239999999999994,0.0002964456105257759,0.0001325745073534124,0.00368,0.00020396078054371174,9.12140340079312e-05,239210.18396571727,1748.0072949513612,781.7326273353538,155312.9446596196,5501.018867276433,2460.1304265477997,0.046694325051,0.1600136234131534,0.079628,0.001406740914312229,0.0006291136622264702,-2.8069122217017535,0.004811270342816252,0.0021516655089331713,25,5,0.0,0.0,0.0,0.22670399999999996,0.002051311775425682,0.0009173745145795216,0.22657599999999997,0.003541479916645021,0.001583797966913711,532516.2657460046,9089.637933747079,4065.0096621438393,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.177812,0.00178586673634961,0.0007986638842466845,25,5,0.0,0.0,0.0,0.22622400000000004,0.0022943147125013084,0.0010260487317861624,0.224176,0.0032537486073758023,0.0014551206135575135,238428.4513383819,0.0,0.0,0.0,0.0,0.0,0.046694325051,0.1600136234131534,0.079772,0.0012941870034890626,0.0005787780230796602,-1.5437639870117281,0.011021645001580213,0.004929029489480826,25,5
2e-10,20260805,0.10609320599999998,0.0013868646646800185,0.0006202247331633945,0.004436,0.0002290851370124218,0.00010244998779892564,0.004432,0.00038616058835670946,0.00017269626515938323,1954144.81701459,0.0,0.0,727596.7676658609,8383.066983741068,3749.0215271158304,0.013111499996,0.1599142738885858,0.275424,0.0016464750225861256,0.0007363260147516157,25,5,0.048170960400000004,0.0011262747658332781,0.0005036853875491734,0.008948000000000001,0.0004830320900312932,0.000216018517724754,0.009184000000000001,0.0010768843949096859,0.0004815973421853572,1033701.3803322308,12777.531310220886,5714.285718857171,347846.56876676483,10747.385718790223,4806.377009525076,0.018111499992,0.1599142738885858,0.138644,0.0014787427091958896,0.0006613138437988425,25,5,0.0712006122,0.0007758130613576932,0.0003469541486056034,0.0014360000000000002,0.00011260550608207402,5.03587132480567e-05,0.0013440000000000001,0.0002616868357407381,0.00011702991070662237,509800.82451288693,14907.119852980002,6666.666667999991,268667.3852141762,9278.36189861731,4149.409585030463,0.028111499996,0.1599142738885858,0.131906,0.0005993996996996278,0.0002680596948442656,0.8792705996489598,0.007766165380129714,0.003473134742895107,25,5,0.0,0.0,0.0,0.22855600000000004,0.0015501225757984373,0.0006932358905884752,0.231136,0.0045478434449747855,0.0020338574187980887,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1599142738885858,0.275364,0.002394552150194276,0.0010708762767005376,25,5,0.0,0.0,0.0,0.31313599999999997,0.001830103822191515,0.0008184473104604831,0.313264,0.005190576075928359,0.0023212961896319838,1474381.1389202173,34769.079522229404,15549.205065360171,0.0,0.0,0.0,0.015611499994,0.1599142738885858,0.199992,0.0012512873371052786,0.0005595927090304196,25,5,0.0,0.0,0.0,0.0015879999999999998,0.0001253794241492599,5.6071383075504774e-05,0.001552,0.0004023928428786974,0.0001799555500672319,509800.82451288693,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.13130199999999997,0.0014326444080789977,0.0006406980568099175,0.005785190194878645,0.006654528652823872,0.002975995685186855,25,5,0.06439556760000001,0.00108637693961572,0.00048584253723378686,0.007456,0.00044573534748772176,0.00019933890739140718,0.007311999999999999,0.0005729921465430395,0.00025624987804875144,536581.2754081485,11132.487442163176,4978.599735867923,188024.75987281176,3710.3143276047185,1659.303010883115,0.023734150023,0.1600136234131534,0.17797200000000002,0.0016899467447230342,0.0007557671599110377,25,5,0.0471486276,0.0014751523602966597,0.0006597081909585186,0.006984,0.0003427535557802431,0.00015328405005087792,0.006272,0.00045817027402484284,0.00020489997559785094,239991.91659305262,2140.862969646764,957.4230261284467,139464.8852219198,5517.787373581014,2467.629530543435,0.046694325051,0.1600136234131534,0.079804,0.0016846008429298597,0.0007533763999489224,-2.7833548190376676,0.010592604190236077,0.004737156605623396,25,5,0.0,0.0,0.0,0.22852799999999998,0.0011382969735530433,0.000509061882289377,0.22982399999999997,0.0013077002714689699,0.0005848213402399091,532516.2657460046,9089.637933747079,4065.0096621438393,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.17818,0.0013796376335835463,0.0006169927066019512,25,5,0.0,0.0,0.0,0.230804,0.0017169973791476747,0.000767864571392636,0.23104,0.0034072863102474872,0.001523784761703564,239210.1839657173,1748.0072949513615,781.7326273353538,0.0,0.0,0.0,0.046694325051,0.1600136234131534,0.079088,0.0014321731738864512,0.0006404873144723463,-1.5462083426877675,0.007762757306352681,0.003471610605967551,25,5
5e-10,20260805,0.0918966044,0.0013791164365414617,0.0006167596201987967,0.01136,0.00021213203435596395,9.486832980505124e-05,0.011088,0.0005264218840435866,0.0002354230235129943,1980811.48370259,59628.47944769705,26666.666687999943,637342.2420287401,18704.47058766823,8364.89354343432,0.013111499996,0.1599142738885858,0.27594799999999997,0.0021666379485276227,0.0009689499471076909,25,5,0.0377336292,0.0008360859686510693,0.0003739090121875098,0.021488,0.0007506796920125138,0.00033571416413371734,0.02072,0.0006693280212272624,0.0002993325909419162,1053621.376043447,6567.660719099456,2937.147164212307,271517.80008275073,7020.740809215396,3139.7707403625013,0.0178614999922,0.1599142738885858,0.14162399999999997,0.0011342310170331272,0.0005072435312549589,25,5,0.05187427400000001,0.0016433471021226774,0.000734927166194719,0.0039440000000000005,0.0002593838853899754,0.00011599999999999989,0.003984,0.0007405943559061198,0.00033120386471175133,496467.49117688695,18257.418587156997,8164.965810910243,191568.47393528954,6630.1193443372385,2965.07951057488,0.028111499996,0.1599142738885858,0.131298,0.0009497999789429343,0.000424763463588854,0.7444185228716633,0.014746708317862536,0.006594928448620441,25,5,0.0,0.0,0.0,0.23075599999999996,0.0010772557727856435,0.00048176342742055334,0.23235200000000003,0.0026391513787579466,0.0011802643771630125,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1599142738885858,0.274764,0.002213838295811161,0.0009900585841252087,25,5,0.0,0.0,0.0,0.315292,0.0015541299816939416,0.0006950280569876314,0.317456,0.004958515907002845,0.0022175157271144773,1485836.3386402284,26392.012378788342,11802.866748397331,0.0,0.0,0.0,0.014611499994799998,0.1599142738885858,0.201512,0.002483288142765562,0.0011105602189885998,25,5,0.0,0.0,0.0,0.0037560000000000002,0.0003182451884946574,0.0001423235749972576,0.003632,0.0004819958506045458,0.0002155550973649195,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.13170199999999999,0.0012857176984081634,0.0005749904347030452,0.005278475321996499,0.009570845253567786,0.004280212117821756,25,5,0.050511156,0.00029315183746652556,0.00013110148726082417,0.018588,0.00033184333653096,0.00014840485167271316,0.018511999999999997,0.00028057084666800367,0.0001254750971308653,544711.2947324362,9089.637933747066,4065.009662143834,148041.55292410846,3054.2065692368888,1365.88270122802,0.023734150023,0.1600136234131534,0.179696,0.0008988214505673594,0.0004019651726207165,25,5,0.035679421200000005,0.0010814298567892399,0.00048363013453572054,0.018356,0.00023212065827926527,0.0001038075141788873,0.01896,0.0012611106216347562,0.0005639858154244664,240773.649220388,2140.8629696467697,957.4230261284491,105956.161330678,3997.6963048004577,1787.8241381867083,0.046694325051,0.1600136234131534,0.079796,0.0015443704218871812,0.0006906634491559532,-2.7249397025988635,0.007113270253339971,0.003181151165759065,25,5,0.0,0.0,0.0,0.232924,0.0014845470689742286,0.0006639096324048888,0.231056,0.0038559668048363622,0.001724440778919354,548776.3043945801,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.17887599999999998,0.0006279171919927097,0.0002808131051072971,25,5,0.0,0.0,0.0,0.234592,0.0011954580712011651,0.0005346251022913177,0.23627199999999998,0.0025035015478325514,0.0011195999285459053,240773.649220388,2140.8629696467697,957.4230261284491,0.0,0.0,0.0,0.046694325051,0.1600136234131534,0.07958,0.0015686299754881683,0.0007015126513470746,-1.4996065650223414,0.004714577883662317,0.002108423326617207,25,5
1e-09,20260805,0.07167018160000001,0.0018857058138105173,0.0008433132770493757,0.02178,0.0003880721582386447,0.0001735511451993329,0.022032000000000003,0.0011806438921198896,0.0005280000000000003,2007478.15039059,73029.67439244574,32659.863263236864,503012.3004256078,22029.213494605847,9851.763772958873,0.013111499996,0.1599142738885858,0.27798399999999995,0.0014592737919937998,0.0006526070793364049,25,5,0.0197028692,0.0020920007302119184,0.0009355711683466095,0.041583999999999996,0.0011219982174673856,0.0005017728569781333,0.04244800000000001,0.002625779884148706,0.0011742844629816058,1070444.2159808837,0.0,0.0,141438.92987538458,15858.757301818467,7092.251873107448,0.016861499993,0.1599142738885858,0.14476799999999998,0.0009239696964727826,0.0004132118100925979,25,5,0.028717584999999997,0.00045541065809168125,0.00020366583783418276,0.0073880000000000005,0.000508448620806468,0.00022738513583785527,0.008048,0.0005046979294587997,0.00022570777567465392,509800.82451288693,14907.119852980002,6666.666667999991,108361.93428256157,2589.5228631529244,1158.0698302599649,0.028111499996,0.1599142738885858,0.131826,0.0007134984232638364,0.0003190861952513711,0.5808293269126994,0.004553810167641591,0.002036525818295262,25,5,0.0,0.0,0.0,0.23720399999999997,0.0017718577821032864,0.0007923988894489917,0.237424,0.00179546094360196,0.0008029545441679797,2007478.15039059,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.1599142738885858,0.277236,0.00184235718578131,0.0008239271812484436,25,5,0.0,0.0,0.0,0.321476,0.0014607121550805173,0.0006532503348640503,0.32219200000000003,0.0023079688039486165,0.0010321550271155983,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1599142738885858,0.203124,0.0010940201095044001,0.0004892606667207204,25,5,0.0,0.0,0.0,0.00726,0.00033376638536557256,0.00014926486525636225,0.006576,0.0003935479640399626,0.00017599999999999983,496467.49117688695,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.13155999999999998,0.0018642961138188286,0.0008337385681375172,0.010540193237157176,0.008066956026584093,0.0036076524093887263,25,5,0.0328152864,0.0019798066672740543,0.0008853964580664187,0.03538,0.0007762731478030146,0.0003471599055190564,0.0344,0.0019807069445023913,0.00088579907428265,548776.3043945801,5.820766091346741e-11,2.6031257322754125e-11,96325.90715653854,6146.467483630368,2748.783822977916,0.023734150023,0.1600136234131534,0.18037200000000003,0.0012655907711420795,0.0005659893991940137,25,5,0.022297670800000002,0.000930136842735089,0.00041596984174653806,0.03502,0.0009220629045786405,0.00041235906683374844,0.035311999999999996,0.0012707163334119865,0.0005682816203256977,242337.1144750587,0.0,0.0,66572.74755502988,2434.208622616499,1088.6111903173246,0.046694325051,0.1600136234131534,0.079704,0.001142663555032711,0.0005110146768929427,-2.6311849681274593,0.009523325833065862,0.004258960786923016,25,5,0.0,0.0,0.0,0.24463200000000002,0.002703390463843503,0.001208992969375752,0.244016,0.0032986785232877644,0.0014752138827980128,548776.3043945801,5.820766091346741e-11,2.6031257322754125e-11,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.180444,0.001041383694898283,0.0004657209464904923,25,5,0.0,0.0,0.0,0.24253200000000003,0.0024524926095709104,0.0010967880378632813,0.242848,0.002453797057623155,0.0010973714047668687,243118.84710239404,1748.0072949513517,781.7326273353494,0.0,0.0,0.0,0.046694325051,0.1600136234131534,0.080368,0.0007272688636261001,0.0003252445233973968,-1.4441789513041232,0.00987623671799733,0.0044167873326642895,25,5
2e-09,20260805,0.037979917599999996,0.0035091190361443733,0.001569325741191472,0.041868,0.0015982865825627135,0.0007147754892272114,0.042800000000000005,0.002054458566143404,0.00091878180217068,2087478.1504545896,0.0,0.0,274192.41145166365,32258.370571772622,14426.381888372467,0.013111499996,0.1599142738885858,0.28235200000000005,0.0018127106774110334,0.0008106688596461526,25,5,6.72488e-05,0.00010190340871236841,4.5572589803960015e-05,0.076604,0.0007436934852477911,0.00033258983748755955,0.076352,0.0016671892514048925,0.0007455896994996653,1146634.6922323122,0.0,0.0,554.6666671104,865.4144807088276,387.0251215155237,0.016861499993,0.1599142738885858,0.151588,0.00063711851330816,0.00028492806109613,25,5,0.0001711284,0.0002722071343394585,0.0001217347312686893,0.014643999999999999,0.00027509998182479107,0.00012302845199383788,0.014896000000000001,0.0009706080568385987,0.00043406911892001726,503134.1578448868,18257.418587156997,8164.965810910243,648.0000001296,1028.916906471785,460.14562921394094,0.028111499996,0.1599142738885858,0.13203800000000002,0.0012689050397882383,0.0005674715851917152,0.37289555719483575,0.0063047689648585495,0.00281957839757094,25,5,0.0,0.0,0.0,0.247384,0.0019577231673553767,0.0008755204166665638,0.247936,0.002615889905940211,0.0011698615302675685,2087478.1504545896,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1599142738885858,0.279748,0.002773503199926038,0.001240348338169562,25,5,0.0,0.0,0.0,0.331776,0.0018348514926282149,0.0008205705332267285,0.33081600000000005,0.003128910353461734,0.0013992912491686664,1554033.471955831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1599142738885858,0.21086,0.0021777511336238805,0.0009739199145720449,25,5,0.0,0.0,0.0,0.014296,0.00041167948697985865,0.0001841086635658407,0.014608000000000001,0.0012794999023055852,0.0005722097517519256,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.132318,0.0017825459320870366,0.0007971787754324674,0.009715106253629691,0.00735440478836881,0.0032889898081685225,25,5,0.0039731044,0.0012341862155836937,0.0005519448549876698,0.06678,0.0005302829433425155,0.00023714974172450685,0.06532800000000001,0.00186727609099458,0.0008350712544447928,548776.30439458,0.0,0.0,11529.505761590368,3642.7180712591253,1629.0730460404654,0.023734150023,0.1600136234131534,0.182448,0.0015470358754728344,0.0006918554762376315,25,5,0.0006009324,0.00033209763184461293,0.00014851857599425066,0.06648,0.0004849742261192899,0.00021688706738761724,0.06790399999999999,0.0014067266969813228,0.0006291073040427972,247027.51023907083,1748.0072949513615,781.7326273353538,1841.9501752527372,1026.5540397630252,459.0889230974293,0.046694325051,0.1600136234131534,0.081776,0.0011821505826247456,0.0005286738124779826,-2.4502090384655446,0.004867130627653838,0.0021766469877610396,25,5,0.0,0.0,0.0,0.26007199999999997,0.0024105849912417557,0.0010780463811914602,0.259808,0.0037606807894316053,0.0016818275773693285,548776.30439458,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.182784,0.0026851964546379006,0.0012008563611023552,25,5,0.0,0.0,0.0,0.26061199999999995,0.002140355110723458,0.0009571959047133483,0.26111999999999996,0.0037085846356797784,0.001658529469138255,247027.5102390708,1748.0072949513612,781.7326273353538,0.0,0.0,0.0,0.046694325051,0.1600136234131534,0.081588,0.001609322838960534,0.0007197110531317402,-1.354507942993001,0.014531021980862731,0.006498470586350543,25,5
5e-09,20260805,0.0,0.0,0.0,0.091352,0.0006005997002996282,0.0002685963514271939,0.090752,0.002274449383916912,0.0010171646867641465,2087478.1504545896,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1599142738885858,0.28924000000000005,0.0012882546332150338,0.0005761249864395748,25,5,0.0,0.0,0.0,0.15248,0.0024848742422907367,0.0011112695442600739,0.152704,0.0014359944289585474,0.0006421962316924608,1239714.4720658176,0.0,0.0,0.0,0.0,0.0,0.015611499994,0.1599142738885858,0.17151200000000003,0.000944944442811323,0.0004225920018173561,25,5,0.0,0.0,0.0,0.035712,0.0005164494166905398,0.0002309632005320323,0.036208,0.0012757429208112442,0.0005705295785496146,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.132436,0.0009367390244886751,0.0004189224271867035,0.14825583223663247,0.008873530443369054,0.00396836345435741,25,5,0.0,0.0,0.0,0.274924,0.0026522217101894005,0.0011861096070768492,0.27435200000000004,0.003693280384698669,0.0016516852000305596,2087478.1504545896,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1599142738885858,0.289812,0.0025750572809163175,0.0011516006252169314,25,5,0.0,0.0,0.0,0.352816,0.0007675154721567484,0.0003432433539050673,0.35,0.00351681674245329,0.0015727682601069854,1634033.4720198307,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1599142738885858,0.224364,0.002868637307154733,0.0012828936043179852,25,5,0.0,0.0,0.0,0.035316,0.000722135721315599,0.0003229489123685046,0.035088,0.0018552412242077813,0.0008296890983977054,509800.8245128868,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.133098,0.0004960040322416713,0.0002218197466412749,0.0031294271447324233,0.003989191439190581,0.0017840206466580716,25,5,0.0,0.0,0.0,0.13774799999999998,0.0016217644711856141,0.0007252751202130064,0.13835199999999997,0.0021891368161903566,0.0009790117466098199,569101.3527052992,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.18573599999999998,0.0023740850869334845,0.0010617231277503538,25,5,0.0,0.0,0.0,0.139568,0.000987785401795353,0.0004417510611192704,0.13891199999999998,0.0014616155445259893,0.0006536543429060965,249372.7081211532,1748.0072949940593,781.7326273544488,0.0,0.0,0.0,0.0453823150494,0.1600136234131534,0.083032,0.0014692583162943115,0.0006570722943481935,-2.047347197789564,0.012346231163537186,0.005521402429519094,25,5,0.0,0.0,0.0,0.302388,0.0018425308681267664,0.00082400485435463,0.301824,0.0015277696161397852,0.000683239343129464,569101.3527052992,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.185956,0.0013821287928409563,0.0006181067868904205,25,5,0.0,0.0,0.0,0.300804,0.0017656386946371715,0.0007896176289825418,0.302224,0.004833019759943065,0.002161392143966482,251860.03920816755,2348.9635422994675,1050.4884314500623,0.0,0.0,0.0,0.0447263100486,0.1600136234131534,0.08321599999999998,0.0017547307485765388,0.0007847394472052466,-1.1238192540971519,0.014785191907600453,0.00661213883315488,25,5
