ground_wind_speed,global_seed,R_sk-BB84,R_sk_std-BB84,R_sk_sem-BB84,QBER_total-BB84,QBER_total_std-BB84,QBER_total_sem-BB84,QBER_est-BB84,QBER_est_std-BB84,QBER_est_sem-BB84,Throughputs-BB84,Throughputs_std-BB84,Throughputs_sem-BB84,Throughput_final-BB84,Throughput_final_std-BB84,Throughput_final_sem-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_s_std-BB84,R_s_sem-BB84,N_keys-BB84,N_replicas-BB84,R_sk-B92,R_sk_std-B92,R_sk_sem-B92,QBER_total-B92,QBER_total_std-B92,QBER_total_sem-B92,QBER_est-B92,QBER_est_std-B92,QBER_est_sem-B92,Throughputs-B92,Throughputs_std-B92,Throughputs_sem-B92,Throughput_final-B92,Throughput_final_std-B92,Throughput_final_sem-B92,Latency-B92,Loss-B92,R_s-B92,R_s_std-B92,R_s_sem-B92,N_keys-B92,N_replicas-B92,R_sk-COW,R_sk_std-COW,R_sk_sem-COW,QBER_total-COW,QBER_total_std-COW,QBER_total_sem-COW,QBER_est-COW,QBER_est_std-COW,QBER_est_sem-COW,Throughputs-COW,Throughputs_std-COW,Throughputs_sem-COW,Throughput_final-COW,Throughput_final_std-COW,Throughput_final_sem-COW,Latency-COW,Loss-COW,R_s-COW,R_s_std-COW,R_s_sem-COW,Visibility-COW,Visibility_std-COW,Visibility_sem-COW,N_keys-COW,N_replicas-COW,R_sk-BB84+Eve,R_sk_std-BB84+Eve,R_sk_sem-BB84+Eve,QBER_total-BB84+Eve,QBER_total_std-BB84+Eve,QBER_total_sem-BB84+Eve,QBER_est-BB84+Eve,QBER_est_std-BB84+Eve,QBER_est_sem-BB84+Eve,Throughputs-BB84+Eve,Throughputs_std-BB84+Eve,Throughputs_sem-BB84+Eve,Throughput_final-BB84+Eve,Throughput_final_std-BB84+Eve,Throughput_final_sem-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_s_std-BB84+Eve,R_s_sem-BB84+Eve,N_keys-BB84+Eve,N_replicas-BB84+Eve,R_sk-B92+Eve,R_sk_std-B92+Eve,R_sk_sem-B92+Eve,QBER_total-B92+Eve,QBER_total_std-B92+Eve,QBER_total_sem-B92+Eve,QBER_est-B92+Eve,QBER_est_std-B92+Eve,QBER_est_sem-B92+Eve,Throughputs-B92+Eve,Throughputs_std-B92+Eve,Throughputs_sem-B92+Eve,Throughput_final-B92+Eve,Throughput_final_std-B92+Eve,Throughput_final_sem-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_s_std-B92+Eve,R_s_sem-B92+Eve,N_keys-B92+Eve,N_replicas-B92+Eve,R_sk-COW+Eve,R_sk_std-COW+Eve,R_sk_sem-COW+Eve,QBER_total-COW+Eve,QBER_total_std-COW+Eve,QBER_total_sem-COW+Eve,QBER_est-COW+Eve,QBER_est_std-COW+Eve,QBER_est_sem-COW+Eve,Throughputs-COW+Eve,Throughputs_std-COW+Eve,Throughputs_sem-COW+Eve,Throughput_final-COW+Eve,Throughput_final_std-COW+Eve,Throughput_final_sem-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,R_s_std-COW+Eve,R_s_sem-COW+Eve,Visibility-COW+Eve,Visibility_std-COW+Eve,Visibility_sem-COW+Eve,N_keys-COW+Eve,N_replicas-COW+Eve,R_sk-BBM92,R_sk_std-BBM92,R_sk_sem-BBM92,QBER_total-BBM92,QBER_total_std-BBM92,QBER_total_sem-BBM92,QBER_est-BBM92,QBER_est_std-BBM92,QBER_est_sem-BBM92,Throughputs-BBM92,Throughputs_std-BBM92,Throughputs_sem-BBM92,Throughput_final-BBM92,Throughput_final_std-BBM92,Throughput_final_sem-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_s_std-BBM92,R_s_sem-BBM92,N_keys-BBM92,N_replicas-BBM92,R_sk-E91,R_sk_std-E91,R_sk_sem-E91,QBER_total-E91,QBER_total_std-E91,QBER_total_sem-E91,QBER_est-E91,QBER_est_std-E91,QBER_est_sem-E91,Throughputs-E91,Throughputs_std-E91,Throughputs_sem-E91,Throughput_final-E91,Throughput_final_std-E91,Throughput_final_sem-E91,Latency-E91,Loss-E91,R_s-E91,R_s_std-E91,R_s_sem-E91,CHSH_S-E91,CHSH_S_std-E91,CHSH_S_sem-E91,N_keys-E91,N_replicas-E91,R_sk-BBM92+Eve,R_sk_std-BBM92+Eve,R_sk_sem-BBM92+Eve,QBER_total-BBM92+Eve,QBER_total_std-BBM92+Eve,QBER_total_sem-BBM92+Eve,QBER_est-BBM92+Eve,QBER_est_std-BBM92+Eve,QBER_est_sem-BBM92+Eve,Throughputs-BBM92+Eve,Throughputs_std-BBM92+Eve,Throughputs_sem-BBM92+Eve,Throughput_final-BBM92+Eve,Throughput_final_std-BBM92+Eve,Throughput_final_sem-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_s_std-BBM92+Eve,R_s_sem-BBM92+Eve,N_keys-BBM92+Eve,N_replicas-BBM92+Eve,R_sk-E91+Eve,R_sk_std-E91+Eve,R_sk_sem-E91+Eve,QBER_total-E91+Eve,QBER_total_std-E91+Eve,QBER_total_sem-E91+Eve,QBER_est-E91+Eve,QBER_est_std-E91+Eve,QBER_est_sem-E91+Eve,Throughputs-E91+Eve,Throughputs_std-E91+Eve,Throughputs_sem-E91+Eve,Throughput_final-E91+Eve,Throughput_final_std-E91+Eve,Throughput_final_sem-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,R_s_std-E91+Eve,R_s_sem-E91+Eve,CHSH_S-E91+Eve,CHSH_S_std-E91+Eve,CHSH_S_sem-E91+Eve,N_keys-E91+Eve,N_replicas-E91+Eve
0.1,20260805,0.0738734236,0.00302458244890676,0.0013526343918616598,0.021448000000000002,0.0005977624946414759,0.0002673275144836388,0.020928000000000002,0.001598599386963474,0.0007149153796079638,1980811.48370259,59628.47944769706,26666.666687999947,511527.9887969211,20850.958593097414,9324.832162039838,0.013111499996,0.15980247984505502,0.27868400000000004,0.0021557087001726222,0.0009640622386547391,25,5,0.019628514399999998,0.0012506726180223193,0.0005593177982991069,0.04198400000000001,0.0012245325638789671,0.0005476276106990948,0.042688,0.0015363332971722028,0.0006870691377146861,1075286.1250513815,10826.837822506313,4841.9090704979835,141338.6545634559,10771.389234335133,4817.111708016553,0.017111499992800004,0.15980247984505502,0.14548,0.0022235557110178313,0.0009944043443187497,25,5,0.030313322800000004,0.0010829232281485603,0.00048429799051073893,0.007424,0.00037293431056956914,0.00016678129391511497,0.00736,0.0005986651818838309,0.0002677312084909043,516467.49118088686,0.0,0.0,115223.17203355124,4774.791748539317,2135.351785627799,0.028111499996,0.15980247984505502,0.132344,0.0006640256019160639,0.00029696127693690667,0.5888114170290653,0.007153138878922818,0.0031989809571536117,25,5,0.0,0.0,0.0,0.236044,0.002859139730758187,0.0012786461590291506,0.235344,0.00588405302491403,0.002631428509384207,2007478.15039059,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.15980247984505502,0.277004,0.0029244281492284982,0.0013078440273977642,25,5,0.0,0.0,0.0,0.320532,0.0025905057421283435,0.0011585093871005034,0.319984,0.006262370158334635,0.002800617074860473,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.15980247984505502,0.204632,0.001378158191210284,0.0006163310798588695,25,5,0.0,0.0,0.0,0.007624000000000001,0.00033328666339954235,0.00014905032707109356,0.007488,0.00039839678713563935,0.00017816845961056066,509800.82451288693,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.15980247984505502,0.131556,0.0012198483512306062,0.0005455327671185349,0.007455948528550094,0.004701497021239447,0.002102573387100835,25,5,0.032136918400000006,0.001201546050594318,0.0005373477294450592,0.035283999999999996,0.0006636866730619208,0.00029680970334542664,0.035104,0.0010960291966914013,0.0004901591578252922,548776.3043945801,0.0,0.0,94556.94812085535,3096.7288114793264,1384.8992260699808,0.023734150023,0.15994493725855186,0.18088800000000002,0.0011127084074455485,0.0004976183276367559,25,5,0.0220673276,0.0008973791735998762,0.0004013201667523816,0.035088,0.0005505633478538113,0.00024621941434419697,0.034992,0.00093569225710166,0.00041845429857990436,243118.84710239404,1748.0072949513385,781.7326273353435,65624.47239643076,1703.808971152267,761.9665360340895,0.046694325051,0.15994493725855186,0.080396,0.0015411943420607231,0.000689243063077168,-2.6258817339580056,0.006028522750496013,0.0026960373348026176,25,5,0.0,0.0,0.0,0.24490800000000004,0.0016022858671285603,0.0007165640236573312,0.24574400000000002,0.005120437481309591,0.002289929256549211,548776.3043945801,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.15994493725855186,0.180568,0.0013057258517774723,0.0005839383529106485,25,5,0.0,0.0,0.0,0.243416,0.0012275504062970336,0.0005489772308575305,0.243264,0.004200342843149831,0.001878450425217552,243900.5797297294,2140.862969646759,957.4230261284445,0.0,0.0,0.0,0.046694325051,0.15994493725855186,0.080224,0.0016999058797474672,0.0007602210204933838,-1.4489099092770832,0.0066494116729199325,0.002973707302205913,25,5
2.0,20260805,0.072523658,0.0031254556560668064,0.0013977462615253164,0.021859999999999997,0.0004523273151159454,0.00020228692493584442,0.021376,0.0014281736589084677,0.0006386986769987864,1980811.48370259,59628.47944769706,26666.666687999947,502553.6017250916,31147.732501684284,13929.689443749128,0.013111499996,0.15985484484679058,0.276732,0.002573891994626047,0.0011510794933452728,25,5,0.0197558416,0.0011548419859828453,0.0005164610367857002,0.042247999999999994,0.0007102957130660448,0.0003176538997084723,0.04256,0.0013959942693292096,0.0006243076164840524,1070444.2159808837,0.0,0.0,140737.8920922578,8599.031378688953,3845.6037406804467,0.016861499993,0.15985484484679058,0.145712,0.0009722756810699367,0.00043481490314845674,25,5,0.0301379412,0.0012015418885008532,0.0005373458681002761,0.007547999999999999,0.0006226716630777409,0.0002784672332609349,0.00704,0.0010822199406774948,0.00048398347079213363,509800.8245128868,14907.119852980002,6666.666667999991,113744.3493450185,2323.602107962566,1039.1464532132206,0.028111499996,0.15985484484679058,0.13172,0.0012585308895692628,0.0005628321241720305,0.5866807350326833,0.00720288011032515,0.003221225912093644,25,5,0.0,0.0,0.0,0.23781599999999997,0.001759624960041207,0.0007869282051114979,0.23835199999999998,0.0015436061673885651,0.0006903216641537502,2007478.15039059,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.15985484484679058,0.27755599999999997,0.0012087514219226469,0.0005405700694637135,25,5,0.0,0.0,0.0,0.3222919999999999,0.0016235516622516463,0.0007260743763554921,0.323088,0.0021381113160918413,0.0009561924492485794,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.15985484484679058,0.204156,0.001561050928060965,0.0006981231982966903,25,5,0.0,0.0,0.0,0.007308,0.0005143150785267723,0.00023000869548780106,0.007408,0.000689579582064318,0.000308389364278342,503134.1578448868,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.15985484484679058,0.13207000000000002,0.0008647832098277645,0.0003867428085950691,0.008207837704310189,0.00731967288972322,0.003273457230896688,25,5,0.032631846400000004,0.001362904320226771,0.0006095093413710402,0.034944,0.0007374822031750994,0.00032981206769916666,0.034288,0.0011179982110898028,0.0004999839997439917,548776.30439458,1.0081862609186659e-10,4.508746026790953e-11,97142.61101306422,4023.193078952497,1799.2266422288924,0.023734150023,0.15997682366373145,0.17879599999999998,0.0016754939570168524,0.0007493036767559584,25,5,0.0219476436,0.001406177900271086,0.0006288618746928136,0.035364,0.0010464607016032633,0.00046799145291340395,0.034224,0.001945168373174928,0.0008699057420203635,242337.1144750587,2.5204656522966648e-11,1.1271865066977382e-11,65128.50266790289,3315.5609554994644,1482.7639360081914,0.046694325051,0.15997682366373145,0.080188,0.0014121331381990868,0.0006315251380586526,-2.6232693562134592,0.005540984149309366,0.002478003444020917,25,5,0.0,0.0,0.0,0.24452400000000002,0.0012790934289566183,0.0005720279713440592,0.24379199999999995,0.004247766471923799,0.001899658916753213,548776.30439458,1.0081862609186659e-10,4.508746026790953e-11,0.0,0.0,0.0,0.023734150023,0.15997682366373145,0.18131600000000003,0.001255260929050214,0.0005613697533711638,25,5,0.0,0.0,0.0,0.24498799999999998,0.001117103397183984,0.000499583826799867,0.246816,0.002989795979661498,0.0013370774098757376,242337.11447505868,2.0579515874459978e-11,9.203439287865707e-12,0.0,0.0,0.0,0.046694325051,0.15997682366373145,0.080312,0.0003705671329192567,0.0001657226598869316,-1.4462905712933989,0.008908079115582395,0.0039838140902776886,25,5
5.0,20260805,0.069307282,0.0024565605717258416,0.001098607285844946,0.022260000000000002,0.0004864154602806122,0.00021753160689885957,0.023264,0.001423685358497447,0.0006366914480342899,2060811.4837665898,59628.47944769705,26666.666687999943,494306.6887028624,26442.357107270207,11825.381595436176,0.013111499996,0.1600077888406214,0.27742000000000006,0.0025097410224961614,0.0011223903064442491,25,5,0.01972592,0.00183842793945425,0.000822169968870914,0.04246,0.0012442668524074714,0.0005564530528265608,0.04256,0.0023819319889535062,0.0010652323690162637,1070444.2159808837,0.0,0.0,140458.45747111092,14341.51528989696,6413.720617712441,0.016861499993,0.1600077888406214,0.145368,0.0020666688172031916,0.0009242423924490847,25,5,0.0293918308,0.002777444702047226,0.0012421110315048492,0.007180000000000001,0.00033436506994600937,0.00014953260514014976,0.007375999999999999,0.0006129274019000943,0.00027410946718418893,509800.82451288693,14907.119852980002,6666.666667999991,111723.67054777304,12796.584936445752,5722.806759548505,0.028111499996,0.1600077888406214,0.13155199999999997,0.0009956756499985427,0.00044527968738760596,0.5828782396390195,0.019422137907663856,0.008685844125982382,25,5,0.0,0.0,0.0,0.23682399999999998,0.0027037529472938217,0.0012091550769028783,0.241024,0.004471563484956931,0.0019997439836139112,2034144.8170785897,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.1600077888406214,0.27816,0.0012611106216347703,0.0005639858154244727,25,5,0.0,0.0,0.0,0.321468,0.0020127394267515034,0.000900124435842064,0.320368,0.006636770298872789,0.00296805390786623,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1600077888406214,0.20708000000000001,0.00207089352695884,0.0009261317400888519,25,5,0.0,0.0,0.0,0.00772,0.0003789459064299284,0.0001694697613145189,0.007343999999999999,0.0007826110144893183,0.00034999428566763767,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1600077888406214,0.132102,0.001506310061043196,0.0006736423383368888,0.012159641613486774,0.010478658798897138,0.004686198677472059,25,5,0.031863810000000006,0.0010761684198646593,0.0004812771484111826,0.035156,0.0005146649395480535,0.0002301651580930535,0.035376,0.0011584817650701275,0.0005180887954781493,548776.3043945801,5.820766091346741e-11,2.6031257322754125e-11,94050.19222292646,3608.261218045787,1613.6634728253139,0.023734150023,0.1600695990513087,0.18102,0.0016911534525287655,0.0007563068160475566,25,5,0.0221755016,0.0012342739580817534,0.0005519840946257053,0.035575999999999997,0.0009399361680454695,0.00042035223325206705,0.035408,0.0010223111072467132,0.0004571914259913457,242337.1144750587,2.0579515874459978e-11,9.203439287865707e-12,65800.587269713,2802.7529149568863,1253.429208395857,0.046694325051,0.1600695990513087,0.08027199999999998,0.001762532269208142,0.0007882283932972729,-2.6307706048455346,0.007597166667559527,0.0033975562210117292,25,5,0.0,0.0,0.0,0.24468800000000002,0.0013048064990641428,0.0005835272058781878,0.24488000000000004,0.0030963203968581753,0.0013847165774988012,548776.30439458,1.1641532182693481e-10,5.206251464550825e-11,0.0,0.0,0.0,0.023734150023,0.1600695990513087,0.181196,0.001333146653598171,0.0005962013082843749,25,5,0.0,0.0,0.0,0.244212,0.0011046809494147988,0.0004940283392680993,0.244848,0.0036750401358352533,0.0016435279127535373,243118.847102394,1748.0072949513615,781.7326273353538,0.0,0.0,0.0,0.046694325051,0.1600695990513087,0.08008,0.0013697445017228514,0.0006125683635317746,-1.4448454859167414,0.011086018850416374,0.004957818349875017,25,5
10.0,20260805,0.07288401879999999,0.003123410823546143,0.001396831784621555,0.02242,0.0006120457499239728,0.000273715180433968,0.021360000000000007,0.0015252540771950108,0.0006821143599133511,1980811.48370259,59628.47944769705,26666.666687999943,496898.30644398823,20545.93504509423,9188.42148442518,0.013111499996,0.16008667294501433,0.27794800000000003,0.0025912390858429247,0.0011588373483798385,25,5,0.0200195572,0.0014094138318255572,0.0006303090272780804,0.042128000000000006,0.0009387864506904662,0.00041983806401992734,0.041968,0.0017477757293199792,0.0007816290680367491,1070444.2159808837,0.0,0.0,141860.2297927981,10369.884604469178,4637.55337888432,0.016861499993,0.16008667294501433,0.14392400000000002,0.000654431050608083,0.0002926704631492557,25,5,0.029193347199999997,0.0009491005594191265,0.000424450673668849,0.0072759999999999995,0.00012759310326189275,5.706137047074847e-05,0.007072,0.0004475712233823799,0.00020015993605114894,509800.82451288693,14907.119852980004,6666.666667999992,110249.58887268584,1876.8622329655016,839.3583074625816,0.028111499996,0.16008667294501433,0.13175599999999998,0.001261181985282059,0.0005640177302177646,0.5793045082803314,0.0076568381315425035,0.0034242421109683028,25,5,0.0,0.0,0.0,0.23703600000000002,0.0016012120409240117,0.000716083793979453,0.23624,0.003450217384455659,0.0015429841217588758,2034144.8170785897,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.16008667294501433,0.277688,0.0020076155010359926,0.0008978329465997557,25,5,0.0,0.0,0.0,0.320728,0.0022031159751588034,0.0009852634165541645,0.32092799999999994,0.0067424861883433026,0.0030153314908978146,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.16008667294501433,0.20401200000000003,0.0014851666573149163,0.0006641867207344576,25,5,0.0,0.0,0.0,0.007535999999999999,0.00047924941314517986,0.00021432685319390068,0.007839999999999998,0.0012712198865656558,0.0005685068161420756,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.16008667294501433,0.132074,0.0013040820526332095,0.0005832032235850629,0.00238608876170224,0.00513350489089175,0.0022957731797723186,25,5,0.0330858688,0.00193464976760012,0.0008652016786016076,0.03519599999999999,0.0009744126435961303,0.00043577058184324447,0.03392,0.001406271666499753,0.0006289038082250723,548776.3043945801,0.0,0.0,97775.86641131349,4107.449218361331,1836.9071332768626,0.023734150023,0.16011540925939305,0.1789,0.003076751533679629,0.0013759651158368768,25,5,0.0212857124,0.0009753982784979685,0.0004362113711715458,0.035424,0.0009205867694030781,0.0004116989191144412,0.035632,0.0010501047566790654,0.00046962112388605325,243118.84710239404,1748.0072949513549,781.7326273353508,62609.1453923987,3116.4506540244765,1393.7191021844815,0.046694325051,0.16011540925939305,0.081312,0.0010033543740872429,0.0004487137171961657,-2.6222387345021487,0.011877915980767114,0.0053119655128052706,25,5,0.0,0.0,0.0,0.24290799999999999,0.002198708711948893,0.0009832924285277456,0.244496,0.0028935238032544346,0.0012940231837181284,548776.30439458,1.1641532182693481e-10,5.206251464550825e-11,0.0,0.0,0.0,0.023734150023,0.16011540925939305,0.18104800000000004,0.0015561876493533752,0.0006959482739399507,25,5,0.0,0.0,0.0,0.245508,0.002665505580560655,0.0011920503345077332,0.24566400000000002,0.0042488210129399484,0.0019001305218326475,243118.84710239404,1748.0072949513515,781.7326273353493,0.0,0.0,0.0,0.046694325051,0.16011540925939305,0.080444,0.0011114315093607877,0.0004970472814531829,-1.4381007961802907,0.010515791571716535,0.004702804958315506,25,5
15.0,20260805,0.0698433136,0.003240471515948687,0.0014491829177626116,0.021752000000000004,0.0011628069487236473,0.0005200230764110375,0.023072000000000002,0.0016184931263369651,0.0007238121303211218,1980811.48370259,59628.47944769705,26666.666687999943,480146.4345645175,29166.128223451873,13043.489069622712,0.013111499996,0.1597065761074148,0.278172,0.001959112043758595,0.0008761415410765523,25,5,0.0204015072,0.0009016502694178039,0.0004032302588698418,0.041712,0.0009633898483999116,0.00043084103797108385,0.04182400000000001,0.001184432353492592,0.0005296942514318992,1072348.9778871692,4259.177103406858,1904.761906285677,145678.22353604992,5608.648225666606,2508.2637388948224,0.016861499993,0.1597065761074148,0.146008,0.001424261211997299,0.0006369489775484399,25,5,0.028519869000000003,0.0014202797979458125,0.0006351684350553006,0.007508000000000001,0.00043922659300183527,0.0001964281038955474,0.007200000000000001,0.0008119113252073778,0.00036309778297312703,516467.49118088686,0.0,0.0,108610.75433848468,3959.5793526434804,1770.7777189630867,0.028111499996,0.1597065761074148,0.13231199999999999,0.001725128980685223,0.000771501134153416,0.5734447591974801,0.006773287580489258,0.0030291062922258114,25,5,0.0,0.0,0.0,0.237296,0.0012349412941512546,0.0005522825363887537,0.23712,0.0037968407920269554,0.0016979988221432827,2007478.15039059,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.1597065761074148,0.277788,0.0005745607017539589,0.0002569513572643669,25,5,0.0,0.0,0.0,0.3229,0.002131243768319365,0.0009531211885169824,0.319616,0.0042721048676267305,0.0019105433782042219,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1597065761074148,0.205424,0.0013772000580888892,0.000615902589700683,25,5,0.0,0.0,0.0,0.007239999999999999,0.00043428101501216877,0.0001942163741809632,0.00712,0.0009666436778875657,0.00043229619475540146,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1597065761074148,0.132142,0.001258936058741668,0.0005630133213344076,0.012354678486248641,0.011369207990082317,0.005084464383231563,25,5,0.031585461999999995,0.0021654232380377727,0.0009684067120620336,0.03552399999999999,0.001213210616504818,0.0005425642819058403,0.035440000000000006,0.0020976176963403022,0.0009380831519646854,548776.3043945801,0.0,0.0,93515.38118383278,6128.009519373798,2740.529170417125,0.023734150023,0.15987842864897395,0.17986400000000002,0.0002647262737244013,0.00011838918869559553,25,5,0.021870874399999997,0.0013729866991164916,0.0006140183182855051,0.034732000000000006,0.0007545329681332688,0.0003374374016021343,0.03568,0.0009732420048477147,0.000435247056279534,243118.84710239404,1748.0072949513515,781.7326273353493,66077.72132334557,4121.92555799809,1843.3811491754961,0.046694325051,0.15987842864897395,0.07904399999999998,0.0004804997398542432,0.00021488601629701052,-2.6294727603610153,0.010718038944174496,0.004793252732932849,25,5,0.0,0.0,0.0,0.244752,0.0024575841796365687,0.0010990650572190843,0.24288000000000004,0.0030499836065133222,0.0013639941348847517,548776.30439458,1.1641532182693481e-10,5.206251464550825e-11,0.0,0.0,0.0,0.023734150023,0.15987842864897395,0.181,0.001269724379540703,0.000567838005068351,25,5,0.0,0.0,0.0,0.244832,0.0016998588176669316,0.0007601999736911359,0.24435199999999999,0.0029711142690916482,0.0013287226949217055,243118.84710239404,1748.0072949513517,781.7326273353494,0.0,0.0,0.0,0.046694325051,0.15987842864897395,0.079052,0.00042722359485403404,0.0001910601999370899,-1.4452820288818038,0.005042965173945137,0.0022552825874210753,25,5
20.0,20260805,0.0712497252,0.0011676221950619118,0.0005221765200391908,0.022104000000000002,0.000396837498228178,0.00017747112441183165,0.02224,0.0006621178142898741,0.000296108088373148,2007478.15039059,73029.67439244574,32659.863263236864,500409.4799987817,20761.94295651421,9285.023159147746,0.013111499996,0.1597065761074148,0.27788,0.000633561362458304,0.00028333725487483016,25,5,0.0203972496,0.001927371867766779,0.0008619469028494506,0.041596,0.0015655925395836557,0.0007001542687151169,0.041632,0.002421635810769241,0.001082988457925568,1070444.2159808837,0.0,0.0,144196.37104638765,17131.746241144032,7661.549833694911,0.016861499993,0.1597065761074148,0.14460800000000001,0.0017075479495463704,0.000763638658005213,25,5,0.0299782474,0.0024219774458181455,0.0010831412417641373,0.0074719999999999995,0.0003363331681532467,0.0001504127654157054,0.0074719999999999995,0.00041026820495865886,0.0001834775190588755,516467.49118088686,0.0,0.0,113341.8988531578,7837.578339531633,3505.0715892345315,0.028111499996,0.1597065761074148,0.13298799999999997,0.001847300733502805,0.000826138002999499,0.5855134556869634,0.01564780423953421,0.006997910795641579,25,5,0.0,0.0,0.0,0.237004,0.00180473820816205,0.0008071034630083019,0.238096,0.0022237985520275876,0.0009945129461198577,1980811.48370259,59628.47944769706,26666.666687999947,0.0,0.0,0.0,0.013111499996,0.1597065761074148,0.27727199999999996,0.0012965029888126094,0.0005798137632033288,25,5,0.0,0.0,0.0,0.323924,0.0021543630149071943,0.0009634604299087758,0.32366400000000006,0.0023347119736704144,0.0010441149362019491,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1597065761074148,0.206012,0.0015001733233196651,0.0006708979057949083,25,5,0.0,0.0,0.0,0.0073999999999999995,0.00040398019753448347,0.00018066543665017957,0.007472000000000001,0.0005141206084179079,0.00022992172581119853,503134.15784488694,18257.418587156997,8164.965810910243,0.0,0.0,0.0,0.028111499996,0.1597065761074148,0.132164,0.001174065585902254,0.0005250580920241117,0.007477836438856024,0.008648635341212067,0.003867787307111454,25,5,0.03230101,0.0007553842441989381,0.00033781810383222535,0.035592000000000006,0.0005867878662685496,0.00026241951146970655,0.035104,0.0009506208497608279,0.0004251305681787652,548776.30439458,1.1641532182693481e-10,5.206251464550825e-11,94109.06420834476,2380.037296956042,1064.3850369957127,0.023734150023,0.15987842864897395,0.18156399999999998,0.0017749028142408287,0.0007937606692196349,25,5,0.0222417932,0.0012759033556759695,0.0005706013272023119,0.03436,0.0010625441167311635,0.0004751841748206706,0.034367999999999996,0.0015342490019550294,0.0006861370125565307,242337.1144750587,2.5204656522966648e-11,1.1271865066977382e-11,66166.6307385537,4408.255114708195,1971.4316197297312,0.046694325051,0.15987842864897395,0.08027599999999999,0.0008599302297279701,0.0003845724899157503,-2.629527337812366,0.015974655263234362,0.007144083017143366,25,5,0.0,0.0,0.0,0.242848,0.0006809698965446305,0.0003045389958609586,0.24131199999999997,0.0018274353613739573,0.0008172539385038124,548776.3043945801,5.820766091346741e-11,2.6031257322754125e-11,0.0,0.0,0.0,0.023734150023,0.15987842864897395,0.181112,0.0011606549874962893,0.0005190606900931742,25,5,0.0,0.0,0.0,0.24392400000000003,0.0030640952987790668,0.0013703050755215042,0.246224,0.0053343865626705456,0.0023856101944785563,243118.84710239404,1748.0072949513549,781.7326273353508,0.0,0.0,0.0,0.046694325051,0.15987842864897395,0.080228,0.0015395843594944664,0.0006885230569850201,-1.4571912073197841,0.010934108753337063,0.00488988208916743,25,5
