atm_visibility,global_seed,R_sk-BB84,R_sk_std-BB84,R_sk_sem-BB84,QBER_total-BB84,QBER_total_std-BB84,QBER_total_sem-BB84,QBER_est-BB84,QBER_est_std-BB84,QBER_est_sem-BB84,Throughputs-BB84,Throughputs_std-BB84,Throughputs_sem-BB84,Throughput_final-BB84,Throughput_final_std-BB84,Throughput_final_sem-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_s_std-BB84,R_s_sem-BB84,N_keys-BB84,N_replicas-BB84,R_sk-B92,R_sk_std-B92,R_sk_sem-B92,QBER_total-B92,QBER_total_std-B92,QBER_total_sem-B92,QBER_est-B92,QBER_est_std-B92,QBER_est_sem-B92,Throughputs-B92,Throughputs_std-B92,Throughputs_sem-B92,Throughput_final-B92,Throughput_final_std-B92,Throughput_final_sem-B92,Latency-B92,Loss-B92,R_s-B92,R_s_std-B92,R_s_sem-B92,N_keys-B92,N_replicas-B92,R_sk-COW,R_sk_std-COW,R_sk_sem-COW,QBER_total-COW,QBER_total_std-COW,QBER_total_sem-COW,QBER_est-COW,QBER_est_std-COW,QBER_est_sem-COW,Throughputs-COW,Throughputs_std-COW,Throughputs_sem-COW,Throughput_final-COW,Throughput_final_std-COW,Throughput_final_sem-COW,Latency-COW,Loss-COW,R_s-COW,R_s_std-COW,R_s_sem-COW,Visibility-COW,Visibility_std-COW,Visibility_sem-COW,N_keys-COW,N_replicas-COW,R_sk-BB84+Eve,R_sk_std-BB84+Eve,R_sk_sem-BB84+Eve,QBER_total-BB84+Eve,QBER_total_std-BB84+Eve,QBER_total_sem-BB84+Eve,QBER_est-BB84+Eve,QBER_est_std-BB84+Eve,QBER_est_sem-BB84+Eve,Throughputs-BB84+Eve,Throughputs_std-BB84+Eve,Throughputs_sem-BB84+Eve,Throughput_final-BB84+Eve,Throughput_final_std-BB84+Eve,Throughput_final_sem-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_s_std-BB84+Eve,R_s_sem-BB84+Eve,N_keys-BB84+Eve,N_replicas-BB84+Eve,R_sk-B92+Eve,R_sk_std-B92+Eve,R_sk_sem-B92+Eve,QBER_total-B92+Eve,QBER_total_std-B92+Eve,QBER_total_sem-B92+Eve,QBER_est-B92+Eve,QBER_est_std-B92+Eve,QBER_est_sem-B92+Eve,Throughputs-B92+Eve,Throughputs_std-B92+Eve,Throughputs_sem-B92+Eve,Throughput_final-B92+Eve,Throughput_final_std-B92+Eve,Throughput_final_sem-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_s_std-B92+Eve,R_s_sem-B92+Eve,N_keys-B92+Eve,N_replicas-B92+Eve,R_sk-COW+Eve,R_sk_std-COW+Eve,R_sk_sem-COW+Eve,QBER_total-COW+Eve,QBER_total_std-COW+Eve,QBER_total_sem-COW+Eve,QBER_est-COW+Eve,QBER_est_std-COW+Eve,QBER_est_sem-COW+Eve,Throughputs-COW+Eve,Throughputs_std-COW+Eve,Throughputs_sem-COW+Eve,Throughput_final-COW+Eve,Throughput_final_std-COW+Eve,Throughput_final_sem-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,R_s_std-COW+Eve,R_s_sem-COW+Eve,Visibility-COW+Eve,Visibility_std-COW+Eve,Visibility_sem-COW+Eve,N_keys-COW+Eve,N_replicas-COW+Eve,R_sk-BBM92,R_sk_std-BBM92,R_sk_sem-BBM92,QBER_total-BBM92,QBER_total_std-BBM92,QBER_total_sem-BBM92,QBER_est-BBM92,QBER_est_std-BBM92,QBER_est_sem-BBM92,Throughputs-BBM92,Throughputs_std-BBM92,Throughputs_sem-BBM92,Throughput_final-BBM92,Throughput_final_std-BBM92,Throughput_final_sem-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_s_std-BBM92,R_s_sem-BBM92,N_keys-BBM92,N_replicas-BBM92,R_sk-E91,R_sk_std-E91,R_sk_sem-E91,QBER_total-E91,QBER_total_std-E91,QBER_total_sem-E91,QBER_est-E91,QBER_est_std-E91,QBER_est_sem-E91,Throughputs-E91,Throughputs_std-E91,Throughputs_sem-E91,Throughput_final-E91,Throughput_final_std-E91,Throughput_final_sem-E91,Latency-E91,Loss-E91,R_s-E91,R_s_std-E91,R_s_sem-E91,CHSH_S-E91,CHSH_S_std-E91,CHSH_S_sem-E91,N_keys-E91,N_replicas-E91,R_sk-BBM92+Eve,R_sk_std-BBM92+Eve,R_sk_sem-BBM92+Eve,QBER_total-BBM92+Eve,QBER_total_std-BBM92+Eve,QBER_total_sem-BBM92+Eve,QBER_est-BBM92+Eve,QBER_est_std-BBM92+Eve,QBER_est_sem-BBM92+Eve,Throughputs-BBM92+Eve,Throughputs_std-BBM92+Eve,Throughputs_sem-BBM92+Eve,Throughput_final-BBM92+Eve,Throughput_final_std-BBM92+Eve,Throughput_final_sem-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_s_std-BBM92+Eve,R_s_sem-BBM92+Eve,N_keys-BBM92+Eve,N_replicas-BBM92+Eve,R_sk-E91+Eve,R_sk_std-E91+Eve,R_sk_sem-E91+Eve,QBER_total-E91+Eve,QBER_total_std-E91+Eve,QBER_total_sem-E91+Eve,QBER_est-E91+Eve,QBER_est_std-E91+Eve,QBER_est_sem-E91+Eve,Throughputs-E91+Eve,Throughputs_std-E91+Eve,Throughputs_sem-E91+Eve,Throughput_final-E91+Eve,Throughput_final_std-E91+Eve,Throughput_final_sem-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,R_s_std-E91+Eve,R_s_sem-E91+Eve,CHSH_S-E91+Eve,CHSH_S_std-E91+Eve,CHSH_S_sem-E91+Eve,N_keys-E91+Eve,N_replicas-E91+Eve
100,20260805,0.0,0.0,0.0,0.498996,0.0019477884895439473,0.0008710774936823808,0.5008960000000001,0.003541479916645029,0.0015837979669137147,208450.24400027128,731.4834740324757,327.1293544708635,0.0,0.0,0.0,0.056111499961599996,0.9999999999987024,0.026128000000000002,0.000769103374066189,0.0003439534852272895,25,5,0.0,0.0,0.0,0.4994759999999999,0.0018623318716060845,0.000832860132315123,0.499088,0.002316963530140273,0.0010361775909563066,208805.86531716274,623.2973632356602,278.7470548782629,0.0,0.0,0.0,0.055611499962,0.9999999999987024,0.026608,0.0010893667885519547,0.00048717963832656204,25,5,,,,,,,,,,,,,,,,0.0,0.9999999999987024,,,,,,,0,0,0.0,0.0,0.0,0.500732,0.0011893359491749588,0.0005318872060878885,0.50272,0.0054713800818440945,0.0024468755587483517,208494.19356376314,106.3985492013886,47.58287774433217,0.0,0.0,0.0,0.0563614999614,0.9999999999987024,0.02636,0.0004606517122512377,0.00020600970850908804,25,5,0.0,0.0,0.0,0.501012,0.0032861101624869593,0.001469593140974744,0.50032,0.0017771887913218282,0.0007947829892492592,207279.98594114877,1338.795469805282,598.7275356906755,0.0,0.0,0.0,0.055861499961799996,0.9999999999987024,0.026304,0.0002312574323129956,0.00010342146779078291,25,5,,,,,,,,,,,,,,,,0.0,0.9999999999987024,,,,,,,0,0,,,,,,,,,,,,,,,,0.0,0.9999999999987026,,,,0,0,,,,,,,,,,,,,,,,0.0,0.9999999999987026,,,,0.0012773009154588121,0.051192026437702126,0.02289377020413367,0,5,,,,,,,,,,,,,,,,0.0,0.9999999999987026,,,,0,0,,,,,,,,,,,,,,,,0.0,0.9999999999987026,,,,0.028355726875463717,0.06337424125755198,0.028341822294871595,0,5
200,20260805,0.0,0.0,0.0,0.49916,0.0036442831942647192,0.0016297729903271968,0.49860800000000005,0.0017813253492834982,0.0007966329142082917,208589.94089053926,931.3077314799475,416.49347911205666,0.0,0.0,0.0,0.055611499962,0.9999988611162329,0.02666,0.0007851114570556208,0.00035111251757805495,25,5,0.0,0.0,0.0,0.5005599999999999,0.0013852075656738533,0.000619483655958748,0.5017280000000001,0.005158790555934644,0.0023070812729507587,208599.06708711773,409.9480794770716,183.33435459124368,0.0,0.0,0.0,0.055611499962,0.9999988611162329,0.026568,0.0004729904861622496,0.00021152777595389273,25,5,,,,,,,,,,,,,,,,0.0,0.9999988611162329,,,,,,,0,0,0.0,0.0,0.0,0.49914800000000004,0.00338891132961612,0.001515567220548168,0.499024,0.004272853847254783,0.0019108783320766394,209589.1967190825,731.4182050388746,327.10016528956055,0.0,0.0,0.0,0.056111499961599996,0.9999988611162329,0.026588,0.00030482782025267966,0.00013632314550361576,25,5,0.0,0.0,0.0,0.499996,0.0026027447051141747,0.0011639828177425877,0.496752,0.002965184648550579,0.0013260708879995835,208791.83973745606,1234.5335949709608,552.1002077724522,0.0,0.0,0.0,0.0553614999622,0.9999988611162329,0.026788,0.0007117021849060195,0.00031828289303699686,25,5,,,,,,,,,,,,,,,,0.0,0.9999988611162329,,,,,,,0,0,0.0,0.0,0.0,0.49762000000000006,0.004092309861190857,0.0018301366069230969,0.49896,0.011403858995971494,0.005099960784162952,16516.37762746028,136.87575011102444,61.21269634390501,0.0,0.0,0.0,0.6095466157374,0.9999988612509186,0.00524,0.0008876936408468859,0.00039698866482558415,5,5,,,,,,,,,,,,,,,,0.0,0.9999988612509186,,,,-0.025322215366120032,0.04372931175290751,0.019556342737756333,0,5,0.0,0.0,0.0,0.50132,0.006225512027134817,0.002784133617483193,0.4943200000000001,0.01469802707848915,0.006573157536526875,16464.53478418533,229.2097332431046,102.50570892723505,0.0,0.0,0.0,0.6115146307398,0.9999988612509186,0.006,0.0009669539802906859,0.0004324349662087931,5,5,,,,,,,,,,,,,,,,0.0,0.9999988612509186,,,,-0.04507279681750019,0.02156818256223302,0.009645584472055723,0,5
500,20260805,0.0,0.0,0.0,0.4772,0.0030405920476117864,0.0013597941020610461,0.475296,0.0035414799166449754,0.0015837979669136907,219462.28405020223,610.7978138763226,273.1570864671443,0.0,0.0,0.0,0.05386149996339999,0.9958075161940029,0.027648,0.0001578606980853698,7.059745037889155e-05,25,5,0.0,0.0,0.0,0.48846799999999996,0.001295113894605419,0.0005791925413884429,0.486208,0.0028332878427720642,0.0012670848432524142,213509.30932769956,939.972916342509,420.3686675901146,0.0,0.0,0.0,0.0546114999628,0.9958075161940029,0.027415999999999996,0.0011230672286199072,0.0005022509332992819,25,5,0.0,0.0,0.0,0.37384,0.0039991249042759264,0.001788463027294662,0.3812,0.009186947262284676,0.004108527716834825,11098.563365135702,82.69000741227238,36.9800955267605,0.0,0.0,0.0,0.9051114998206,0.9958075161940029,0.00249,0.0003110466202999159,0.0001391042774324356,0.004213935581208569,0.006871279920976323,0.003072929799146488,5,5,0.0,0.0,0.0,0.48561999999999994,0.0014919115255269053,0.0006672031174987145,0.48451200000000005,0.003406628832144765,0.001523490728557283,217940.93099709862,569.4302572779865,254.6569527437544,0.0,0.0,0.0,0.0536114999636,0.9958075161940029,0.027856000000000002,0.0008907749435182841,0.0003983666652720838,25,5,0.0,0.0,0.0,0.49378400000000006,0.000933316666517833,0.0004173919021734753,0.49616000000000005,0.006940893314264371,0.0031040618550537886,214663.04293976762,1064.1073537159527,475.8832756532567,0.0,0.0,0.0,0.05436149996300001,0.9958075161940029,0.027351999999999998,0.0004041286923740994,0.00018073184556131742,25,5,0.0,0.0,0.0,0.3724200000000001,0.004497443718380487,0.002011317975855638,0.36592,0.005538230764422867,0.0024767720928660308,11025.9382550876,132.3734268829648,59.199196184981474,0.0,0.0,0.0,0.9111114998193999,0.9958075161940029,0.0023799999999999997,0.00023345235059857503,0.00010440306508910549,0.0024171888988361685,0.005404998692255535,0.0024171888988361685,5,5,0.0,0.0,0.0,0.4626733333333333,0.003112198222764375,0.0013918173571110352,0.46568,0.005485009875408889,0.0024529709877343857,34964.777921019086,74.39513126244991,33.270514139571546,0.0,0.0,0.0,0.2913841903494,0.9958080120020615,0.011406666666666666,0.000290019156455416,0.0001297005097222914,15,5,0.0,0.0,0.0,0.46738,0.0044132754276160905,0.001973676771915806,0.46616,0.006478271374371407,0.0028971710339570906,15523.78383693213,106.11984826699936,47.45823889739476,0.0,0.0,0.0,0.6482509107846,0.9958080120020615,0.00596,0.00048270073544588683,0.00021587033144922904,-0.18509814236923838,0.029452432284303016,0.01317152813808219,5,5,0.0,0.0,0.0,0.47905333333333333,0.004629110785741319,0.0020702012784590104,0.4773333333333333,0.00808949936646267,0.003617734097470402,34938.84744457069,174.49389393555185,78.03604169970644,0.0,0.0,0.0,0.29269620035099997,0.9958080120020615,0.01182,0.0010479079688174497,0.0004686386904879095,15,5,0.0,0.0,0.0,0.47774,0.00311094840844396,0.001391258423155095,0.48319999999999996,0.009931767214348117,0.0044416213255972226,15384.317471730072,200.1725466932558,89.51988432707414,0.0,0.0,0.0,0.6541549557918,0.9958080120020615,0.004960000000000001,0.000618869937870632,0.0002767670500619609,-0.11570966851254498,0.022230044187291777,0.009941577989121696,5,5
1000,20260805,0.0,0.0,0.0,0.22050799999999998,0.0005883196410115611,0.00026310454196002477,0.219728,0.0016175042503808032,0.0007233698915492632,436092.6073909622,0.0,0.0,0.0,0.0,0.0,0.030611499982000002,0.8996180798251248,0.05523599999999999,0.0005089990176807838,0.00022763128080297,25,5,0.0,0.0,0.0,0.304312,0.0019569159409642462,0.0008751594140498039,0.303536,0.0027172927703874605,0.0012152102698710179,317591.1517782417,1312.769999127793,587.0885913744169,0.0,0.0,0.0,0.0396114999748,0.8996180798251248,0.04078,0.001222701926063747,0.000546808924579692,25,5,0.0,0.0,0.0,0.05628,0.0012884874853874182,0.0005762291210968068,0.05518399999999999,0.0005166042973108162,0.00023103246525109936,74113.91934304792,469.9048400572406,210.14783306483122,0.0,0.0,0.0,0.143111499973,0.8996180798251248,0.018994,0.0005046087593373697,0.00022566789758403808,0.0853615825512325,0.02758708926159153,0.012337321378054626,25,5,0.0,0.0,0.0,0.345388,0.0024505346355438383,0.001095912405258739,0.34664,0.0033657094348740315,0.0015051910177781471,439229.8622954328,2863.9087997037645,1280.7789514994893,0.0,0.0,0.0,0.030611499982000002,0.8996180798251248,0.056984,0.0013592203647679795,0.0006078618264046524,25,5,0.0,0.0,0.0,0.409876,0.002526792433105648,0.0011300159290912638,0.40800000000000003,0.004929584160961283,0.0022045770569431387,370607.048395666,1448.8385952305634,647.9403174721684,0.0,0.0,0.0,0.0348614999786,0.8996180798251248,0.047316000000000004,0.0011437132507757341,0.0005114841151003611,25,5,0.0,0.0,0.0,0.056448,0.0014248929784373312,0.000637231512089603,0.056367999999999994,0.002310047618556813,0.0010330847012709075,74227.87945703082,22.292330387256463,9.969433224557932,0.0,0.0,0.0,0.143111499973,0.8996180798251248,0.018596,0.00043603898908239935,0.00019500256408570672,0.007380250644216148,0.009144508130138868,0.004089548359958,25,5,0.0,0.0,0.0,0.20523600000000003,0.0030198476782778297,0.0013505169380648285,0.207104,0.006019541510779712,0.0026920208022970437,103447.48726442124,383.87887731862077,171.67585296214764,0.0,0.0,0.0,0.1017987451182,0.8996299511088932,0.033956,0.001166396159115765,0.0005216282200955023,25,5,0.0,0.0,0.0,0.20532,0.0020540660894917684,0.0009186062812761521,0.20352,0.005444446712017673,0.002434830589589347,45781.69494285235,94.02907613005543,42.051081217661356,0.0,0.0,0.0,0.2244716802678,0.8996299511088932,0.015625,0.0002755675960631077,0.00012323757543866246,-1.671518862797189,0.007559081831526251,0.003380524164555262,20,5,0.0,0.0,0.0,0.33904799999999996,0.0036407306958905813,0.0016281842647562906,0.33932799999999996,0.0031927918817235925,0.0014278599371086841,103036.01242653464,20.221663917939384,9.043403027733438,0.0,0.0,0.0,0.10311075511979999,0.8996299511088932,0.03393999999999999,0.0007636753236814719,0.00034152598729818523,25,5,0.0,0.0,0.0,0.338385,0.0022986816874025926,0.0010280017023332239,0.33662000000000003,0.00585807135497684,0.002619809153354503,46162.00109631884,193.18058926406368,86.39298590558249,0.0,0.0,0.0,0.2218476602646,0.8996299511088932,0.015145,0.0003598610843089311,0.00016093476939431055,-0.9198383653252726,0.0164603054413611,0.0073612723794586185,20,5
2000,20260805,0.0,0.0,0.0,0.081456,0.000838379389059632,0.00037493466097441615,0.08272,0.0007838367176906127,0.0003505424368033044,947987.0945493735,12777.531310220782,5714.285718857124,0.0,0.0,0.0,0.018111499992,0.6628212552579535,0.12796800000000003,0.0010879889705323266,0.00048656345937605957,25,5,0.0,0.0,0.0,0.14150000000000001,0.0013910427743243658,0.0006220932405998362,0.13977599999999998,0.0036086119215011357,0.0016138203121785347,569258.6531884354,3931.548095452476,1758.2417596483135,0.0,0.0,0.0,0.025611499985999996,0.6628212552579535,0.073688,0.0007064842531861522,0.0003159493630314817,25,5,0.0,0.0,0.0,0.018528,0.0003556964998422106,0.00015907231060118522,0.019184,0.0008789084138862261,0.00039305979188922435,220768.48600383196,3042.903097859499,1360.827635151707,0.0,0.0,0.0,0.053111499991,0.6628212552579535,0.056732000000000005,0.0007215400196801245,0.0003226825064982589,0.3185128602587147,0.01763572423281408,0.007886935643402522,25,5,0.0,0.0,0.0,0.2693,0.0018991050523864963,0.000849305598709901,0.269552,0.005268350785587456,0.0023560780971775943,942272.8088305164,0.0,0.0,0.0,0.0,0.0,0.018111499992,0.6628212552579535,0.127108,0.0016588309136256237,0.0007418517372089953,25,5,0.0,0.0,0.0,0.35197599999999996,0.0018198571372500646,0.0008138648536458618,0.35417600000000005,0.0034918877416091018,0.0015616196720072343,743584.9558409455,7966.873570085054,3562.894174171323,0.0,0.0,0.0,0.021861499989,0.6628212552579535,0.09848399999999999,0.0007664724391652941,0.0003427768953707339,25,5,0.0,0.0,0.0,0.018956,0.0006938875989668643,0.00031031596800680424,0.018896000000000003,0.0013015682848010696,0.0005820790324345996,222990.70822649862,2484.519975496667,1111.1111113333318,0.0,0.0,0.0,0.053111499991,0.6628212552579535,0.057306,0.0006846385907907901,0.00030617968580557364,0.018350142847597374,0.013119730772634838,0.005867321970821467,25,5,0.0,0.0,0.0,0.087936,0.0011853607045958627,0.0005301094226666792,0.08875200000000001,0.0014417766817368027,0.000644782133747514,247027.51023907083,1748.0072949513612,781.7326273353538,0.0,0.0,0.0,0.046694325051,0.6628611304122899,0.08153999999999999,0.0003078960863668156,0.00013769531582446919,25,5,0.0,0.0,0.0,0.08816399999999999,0.001347249048988349,0.0006025080912319785,0.08864000000000001,0.004113198268987288,0.0018394781868780084,110508.41127255694,570.8589014422832,255.2958618371596,0.0,0.0,0.0,0.095894700111,0.6628611304122899,0.036368,0.0008658637306181642,0.0003872260321827562,-2.328546395982399,0.009396102435256182,0.004202064753756828,25,5,0.0,0.0,0.0,0.273688,0.0016903609082086677,0.0007559523794525726,0.27449599999999996,0.004213274261189259,0.0018842335311738774,248590.9754937415,2140.862969646764,957.4230261284467,0.0,0.0,0.0,0.046694325051,0.6628611304122899,0.08112,0.0022846881625289686,0.0010217436077607724,25,5,0.0,0.0,0.0,0.27282800000000007,0.0030173034318742523,0.0013493791164828467,0.273664,0.004844262585781252,0.002166420088533157,110497.28645136883,570.3166463672184,255.05335799536175,0.0,0.0,0.0,0.095894700111,0.6628611304122899,0.036792000000000005,0.0006874009019487817,0.0003074150289104287,-1.2841107781713046,0.00963090068156142,0.004307069721704078,25,5
5000,20260805,0.046894400800000006,0.002533190872683146,0.0011328773982603058,0.031279999999999995,0.0004973932046178364,0.0002224410034143889,0.031168000000000008,0.0018352983408699529,0.000820770369835559,1714033.4720838307,0.0,0.0,332675.7185278599,19637.36942350909,8782.098586048436,0.014361499994999999,0.30789926472209184,0.233332,0.0019709185675720006,0.0008814215790415011,25,5,0.006440722400000001,0.0006275453504080805,0.00028064681249527864,0.058235999999999996,0.000987461391650326,0.0004416061593773344,0.058592,0.0009888983769831977,0.00044224879875472866,931924.7497126467,2839.4514022712906,1269.8412708571414,47588.954777145904,4666.539591207429,2086.939949126778,0.019361499990999998,0.30789926472209184,0.124892,0.0013330116278562653,0.0005961409229368523,25,5,0.014074646200000002,0.0010098395932548866,0.0004516139953777329,0.009184000000000001,0.0004198571185534431,0.00018776581158453737,0.008928,0.0004753104248804141,0.00021256528408938264,428829.04594119533,0.0,0.0,53528.49654480595,3362.5735105626204,1503.788589791625,0.033111499995,0.30789926472209184,0.11156599999999998,0.0012896821313796692,0.000576763383026351,0.5269455591415289,0.007620945695071923,0.0034081905254030407,25,5,0.0,0.0,0.0,0.24163600000000002,0.0011089093741149549,0.000495919348281557,0.24313600000000002,0.005122624327432178,0.0022909072438664978,1714033.4720838307,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.30789926472209184,0.23466,0.004008815286340845,0.0017927966978996826,25,5,0.0,0.0,0.0,0.324912,0.0011596206276192327,0.0005185981102935149,0.325824,0.005613241487768015,0.002510317908154267,1282381.1387666177,23851.39177907895,10666.666675200035,0.0,0.0,0.0,0.015611499994,0.30789926472209184,0.17307999999999998,0.0010936178491593807,0.0004890807704254973,25,5,0.0,0.0,0.0,0.009148,0.0002114710382061806,9.4572723340295e-05,0.009472,0.0007706620530427064,0.000344650547656608,428829.04594119533,0.0,0.0,0.0,0.0,0.0,0.033111499995,0.30789926472209184,0.11083400000000002,0.0011237570911900839,0.0005025594492196915,0.0042210208921552314,0.005785725852127258,0.0025874552609068888,25,5,0.018886509199999995,0.0019733772212355144,0.0008825211223864503,0.044372,0.00046273102338183355,0.0002069396047159649,0.04457599999999999,0.002437309992594293,0.0010899981651360695,458765.3761600253,7951.776744402223,3556.142668477068,55662.895778536484,6106.214829482431,2730.782288788,0.027014175026999997,0.30798111336784983,0.15154,0.001469557756605718,0.0006572062081264952,25,5,0.013542030399999998,0.00045302751181445974,0.0002026000624189442,0.045,0.0005922837157984318,0.0002648773300982919,0.044576,0.0016908222851618688,0.0007561587134986944,203903.78823227048,1267.7203879728097,566.9417927939219,39886.874515204414,627.367467497028,280.56726083904886,0.0539103800598,0.30798111336784983,0.068048,0.0017204999273466993,0.0007694309585661338,-2.5844207952175777,0.006771938693502863,0.0030285030516267026,25,5,0.0,0.0,0.0,0.25022,0.0034549384943874163,0.0015450954663062076,0.25219199999999997,0.007121258315775381,0.0031847235358818827,461668.9544901281,6492.598524105019,2903.578330102726,0.0,0.0,0.0,0.027014175026999997,0.30798111336784983,0.15312399999999998,0.0012542248602224538,0.0005609064093055157,25,5,0.0,0.0,0.0,0.24988000000000002,0.002262343917268105,0.0010117509574989287,0.249024,0.0020344237513359696,0.0009098219606054713,204992.630106079,1590.3553488804446,711.2285336954136,0.0,0.0,0.0,0.053254375059000006,0.30798111336784983,0.067952,0.0011810673139156771,0.0005281893599837074,-1.4156112858400476,0.013040395629567778,0.005831842216240943,25,5
10000,20260805,0.07241286799999999,0.0023901432801457737,0.0010689045700740547,0.021728000000000004,0.0008816575298833451,0.0003942892339387423,0.021664,0.0013498444354813652,0.0006036687833572323,2034144.8170785897,73029.67439244574,32659.863263236864,514226.4245237384,28223.953631215907,12622.13578264016,0.013111499996,0.1599142738885858,0.27828400000000003,0.002641264848514822,0.0011812095495719653,25,5,0.0200574684,0.0016078957823480965,0.00071907285401311,0.042055999999999996,0.0005263838903310056,0.00023540603220818454,0.042176000000000005,0.0021002095133581347,0.0009392422477721083,1075286.1250513815,10826.837822506313,4841.9090704979835,141963.31451862663,11639.339581965334,5205.270903695694,0.0171114999928,0.1599142738885858,0.14579199999999998,0.0019082243054735495,0.0008533838526712361,25,5,0.0292042248,0.0015140615472804255,0.0006771089083675086,0.007484,0.00031603797240205175,0.00014133647795243803,0.007648,0.0006778790452580755,0.0003031567251439427,509800.82451288693,14907.119852980002,6666.666667999991,110817.37870974552,6473.108882198275,2894.862297270604,0.028111499996,0.1599142738885858,0.13172799999999998,0.0009317295745010953,0.00041668213304628073,0.5825879908357255,0.013467893265321459,0.006023024970994079,25,5,0.0,0.0,0.0,0.23761200000000002,0.0020369388797899643,0.0009109467602445264,0.23671999999999999,0.0026211447880649394,0.0011722115849964968,2007478.15039059,73029.67439244574,32659.863263236864,0.0,0.0,0.0,0.013111499996,0.1599142738885858,0.2775040000000001,0.0018553382440945733,0.0008297324870101127,25,5,0.0,0.0,0.0,0.320496,0.00035253368633365444,0.00015765785740012799,0.32097600000000004,0.0030611893113624902,0.0013690054784404595,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1599142738885858,0.20526,0.0007525955088890933,0.00033657094348741196,25,5,0.0,0.0,0.0,0.007304,0.0002570603042089543,0.00011496086290559942,0.007296000000000001,0.0006774068201605298,0.00030294553966018394,509800.82451288693,14907.119852980002,6666.666667999991,0.0,0.0,0.0,0.028111499996,0.1599142738885858,0.132712,0.0007609664907208524,0.00034031456037025777,0.009118317807975621,0.013271653979531724,0.005935264094417707,25,5,0.031333046399999995,0.002222914421168482,0.0009941175507794647,0.03554,0.0004079215610874218,0.00018242806801586163,0.03585599999999999,0.0021221875506184642,0.0009490711248373323,548776.30439458,5.820766091346741e-11,2.6031257322754125e-11,91858.6845130293,6961.818723315649,3113.419982472918,0.023734150023,0.1600136234131534,0.18068399999999998,0.0007401891650112189,0.0003310226578347789,25,5,0.022309144000000003,0.0015439057144910114,0.0006904556256904567,0.035708000000000004,0.0011277056353499355,0.0005043252918504091,0.036447999999999994,0.0014919517418469025,0.0006672211027837783,244682.31235706474,2140.8629696467565,957.4230261284432,66120.93860375973,4170.530410712701,1865.1179001167434,0.046694325051,0.1600136234131534,0.081284,0.0010331892372648845,0.0004620562736290881,-2.6357805951593467,0.007136161703812566,0.003191388533631123,25,5,0.0,0.0,0.0,0.24516,0.0007585512507405053,0.0003392344322146515,0.24609599999999995,0.0027576221641116678,0.001233246123042754,548776.30439458,1.0081862609186659e-10,4.508746026790953e-11,0.0,0.0,0.0,0.023734150023,0.1600136234131534,0.18208000000000002,0.002234591685297359,0.0009993397820561424,25,5,0.0,0.0,0.0,0.24498799999999998,0.0013993284103454874,0.000625798689675846,0.244944,0.004641516993397732,0.0020757495031915544,243118.84710239404,1748.0072949513515,781.7326273353493,0.0,0.0,0.0,0.046694325051,0.1600136234131534,0.079568,0.0006481666452387107,0.0002898689359003495,-1.4562231310820248,0.01270832796164509,0.005683337040519952,25,5
