receiver_radius,global_seed,R_sk-BB84,R_sk_std-BB84,R_sk_sem-BB84,QBER_total-BB84,QBER_total_std-BB84,QBER_total_sem-BB84,QBER_est-BB84,QBER_est_std-BB84,QBER_est_sem-BB84,Throughputs-BB84,Throughputs_std-BB84,Throughputs_sem-BB84,Throughput_final-BB84,Throughput_final_std-BB84,Throughput_final_sem-BB84,Latency-BB84,Loss-BB84,R_s-BB84,R_s_std-BB84,R_s_sem-BB84,N_keys-BB84,N_replicas-BB84,R_sk-B92,R_sk_std-B92,R_sk_sem-B92,QBER_total-B92,QBER_total_std-B92,QBER_total_sem-B92,QBER_est-B92,QBER_est_std-B92,QBER_est_sem-B92,Throughputs-B92,Throughputs_std-B92,Throughputs_sem-B92,Throughput_final-B92,Throughput_final_std-B92,Throughput_final_sem-B92,Latency-B92,Loss-B92,R_s-B92,R_s_std-B92,R_s_sem-B92,N_keys-B92,N_replicas-B92,R_sk-COW,R_sk_std-COW,R_sk_sem-COW,QBER_total-COW,QBER_total_std-COW,QBER_total_sem-COW,QBER_est-COW,QBER_est_std-COW,QBER_est_sem-COW,Throughputs-COW,Throughputs_std-COW,Throughputs_sem-COW,Throughput_final-COW,Throughput_final_std-COW,Throughput_final_sem-COW,Latency-COW,Loss-COW,R_s-COW,R_s_std-COW,R_s_sem-COW,Visibility-COW,Visibility_std-COW,Visibility_sem-COW,N_keys-COW,N_replicas-COW,R_sk-BB84+Eve,R_sk_std-BB84+Eve,R_sk_sem-BB84+Eve,QBER_total-BB84+Eve,QBER_total_std-BB84+Eve,QBER_total_sem-BB84+Eve,QBER_est-BB84+Eve,QBER_est_std-BB84+Eve,QBER_est_sem-BB84+Eve,Throughputs-BB84+Eve,Throughputs_std-BB84+Eve,Throughputs_sem-BB84+Eve,Throughput_final-BB84+Eve,Throughput_final_std-BB84+Eve,Throughput_final_sem-BB84+Eve,Latency-BB84+Eve,Loss-BB84+Eve,R_s-BB84+Eve,R_s_std-BB84+Eve,R_s_sem-BB84+Eve,N_keys-BB84+Eve,N_replicas-BB84+Eve,R_sk-B92+Eve,R_sk_std-B92+Eve,R_sk_sem-B92+Eve,QBER_total-B92+Eve,QBER_total_std-B92+Eve,QBER_total_sem-B92+Eve,QBER_est-B92+Eve,QBER_est_std-B92+Eve,QBER_est_sem-B92+Eve,Throughputs-B92+Eve,Throughputs_std-B92+Eve,Throughputs_sem-B92+Eve,Throughput_final-B92+Eve,Throughput_final_std-B92+Eve,Throughput_final_sem-B92+Eve,Latency-B92+Eve,Loss-B92+Eve,R_s-B92+Eve,R_s_std-B92+Eve,R_s_sem-B92+Eve,N_keys-B92+Eve,N_replicas-B92+Eve,R_sk-COW+Eve,R_sk_std-COW+Eve,R_sk_sem-COW+Eve,QBER_total-COW+Eve,QBER_total_std-COW+Eve,QBER_total_sem-COW+Eve,QBER_est-COW+Eve,QBER_est_std-COW+Eve,QBER_est_sem-COW+Eve,Throughputs-COW+Eve,Throughputs_std-COW+Eve,Throughputs_sem-COW+Eve,Throughput_final-COW+Eve,Throughput_final_std-COW+Eve,Throughput_final_sem-COW+Eve,Latency-COW+Eve,Loss-COW+Eve,R_s-COW+Eve,R_s_std-COW+Eve,R_s_sem-COW+Eve,Visibility-COW+Eve,Visibility_std-COW+Eve,Visibility_sem-COW+Eve,N_keys-COW+Eve,N_replicas-COW+Eve,R_sk-BBM92,R_sk_std-BBM92,R_sk_sem-BBM92,QBER_total-BBM92,QBER_total_std-BBM92,QBER_total_sem-BBM92,QBER_est-BBM92,QBER_est_std-BBM92,QBER_est_sem-BBM92,Throughputs-BBM92,Throughputs_std-BBM92,Throughputs_sem-BBM92,Throughput_final-BBM92,Throughput_final_std-BBM92,Throughput_final_sem-BBM92,Latency-BBM92,Loss-BBM92,R_s-BBM92,R_s_std-BBM92,R_s_sem-BBM92,N_keys-BBM92,N_replicas-BBM92,R_sk-E91,R_sk_std-E91,R_sk_sem-E91,QBER_total-E91,QBER_total_std-E91,QBER_total_sem-E91,QBER_est-E91,QBER_est_std-E91,QBER_est_sem-E91,Throughputs-E91,Throughputs_std-E91,Throughputs_sem-E91,Throughput_final-E91,Throughput_final_std-E91,Throughput_final_sem-E91,Latency-E91,Loss-E91,R_s-E91,R_s_std-E91,R_s_sem-E91,CHSH_S-E91,CHSH_S_std-E91,CHSH_S_sem-E91,N_keys-E91,N_replicas-E91,R_sk-BBM92+Eve,R_sk_std-BBM92+Eve,R_sk_sem-BBM92+Eve,QBER_total-BBM92+Eve,QBER_total_std-BBM92+Eve,QBER_total_sem-BBM92+Eve,QBER_est-BBM92+Eve,QBER_est_std-BBM92+Eve,QBER_est_sem-BBM92+Eve,Throughputs-BBM92+Eve,Throughputs_std-BBM92+Eve,Throughputs_sem-BBM92+Eve,Throughput_final-BBM92+Eve,Throughput_final_std-BBM92+Eve,Throughput_final_sem-BBM92+Eve,Latency-BBM92+Eve,Loss-BBM92+Eve,R_s-BBM92+Eve,R_s_std-BBM92+Eve,R_s_sem-BBM92+Eve,N_keys-BBM92+Eve,N_replicas-BBM92+Eve,R_sk-E91+Eve,R_sk_std-E91+Eve,R_sk_sem-E91+Eve,QBER_total-E91+Eve,QBER_total_std-E91+Eve,QBER_total_sem-E91+Eve,QBER_est-E91+Eve,QBER_est_std-E91+Eve,QBER_est_sem-E91+Eve,Throughputs-E91+Eve,Throughputs_std-E91+Eve,Throughputs_sem-E91+Eve,Throughput_final-E91+Eve,Throughput_final_std-E91+Eve,Throughput_final_sem-E91+Eve,Latency-E91+Eve,Loss-E91+Eve,R_s-E91+Eve,R_s_std-E91+Eve,R_s_sem-E91+Eve,CHSH_S-E91+Eve,CHSH_S_std-E91+Eve,CHSH_S_sem-E91+Eve,N_keys-E91+Eve,N_replicas-E91+Eve
0.025,20260805,0.037281003199999996,0.0008684054708125657,0.0003883627329539213,0.0064,0.00031304951684997046,0.00013999999999999996,0.006144,0.0009040353975370655,0.0004042969205917849,760552.2951289432,9650.524691459594,4315.845845728767,273652.4661193324,9055.466764325443,4049.7278506043517,0.021361499989400002,0.6941161287885161,0.10048399999999999,0.0014987594870425295,0.0006702656189899622,25,5,0.016312842400000003,0.0005871741553566542,0.0002625922652017002,0.013276,0.00022333830840229836,9.987992791347031e-05,0.0132,0.0011041738993473806,0.0004938015795843508,393039.57247988414,2977.291712640995,1331.4853316624067,122235.64648628987,3563.5645748611,1593.6745263199116,0.03311149998,0.6941161287885161,0.051351999999999995,0.0006456934257060401,0.00028876287850068314,25,5,0.0190128362,0.0006279839614024391,0.0002808429652950916,0.0013479999999999998,8.438009243891591e-05,3.77359245282264e-05,0.0013440000000000001,0.0003639780213144745,0.00016277591959500644,197159.25760085337,361.3847237085978,161.6161616484809,72824.81071693155,1809.1997214008886,809.0987123852136,0.058111499989999996,0.6941161287885161,0.050797999999999996,0.0011352180407304994,0.0005076849416715043,0.9023122970733723,0.008216704017392348,0.003674621746776981,25,5,0.0,0.0,0.0,0.23536799999999997,0.0015211574540460956,0.0006802822943455164,0.23483199999999999,0.004500524413887776,0.002012695704770093,333506.82535559806,2425.1015281257796,1084.5383738455723,0.0,0.0,0.0,0.038111499975999996,0.6941161287885161,0.042708,0.001007233835809737,0.0004504486652216867,25,5,0.0,0.0,0.0,0.318832,0.0012999692304050932,0.000581363913568775,0.31876800000000005,0.00394303436454717,0.0017633785753490318,247350.2565605028,1314.6605735163223,587.9340819442713,0.0,0.0,0.0,0.048111499968,0.6941161287885161,0.03154,0.0008493526947034433,0.00037984207244590493,25,5,0.0,0.0,0.0,0.00286,8.831760866327855e-05,3.9496835316263034e-05,0.003056,0.0006654922989787334,0.00029761720380381233,85387.4011717509,388.69779976017713,173.8309405936715,0.0,0.0,0.0,0.12711149997620003,0.6941161287885161,0.021956000000000003,0.00031221787264665074,0.00013962807740565663,0.046330609527407515,0.03933391847525435,0.017590663106420722,25,5,0.008947741200000001,0.00017673846511498384,7.903984444721581e-05,0.011452,0.00016407315441594966,7.337574531137664e-05,0.011696000000000002,0.0009998399871979512,0.00044714203559942763,80664.13198719324,0.0,0.0,26345.298295637906,578.6116847628103,258.76301194106463,0.128694950151,0.877051205568017,0.027235999999999993,0.0005632761312180732,0.0002519047439013406,25,5,0.006511662666666668,0.00038910470405649055,0.0001740129137270502,0.01124,0.0005262023269512298,0.00023532483459630388,0.0108,0.0006463573143221774,0.0002890597785157174,35899.53274820126,119.13615466964067,53.27930808384911,19616.426675516013,779.962638448559,348.8098958962138,0.2848241403414,0.877051205568017,0.01188,0.000864612951299918,0.00038666666666666634,-2.7686478423115153,0.006013642428350585,0.002689382652433763,15,5,0.0,0.0,0.0,0.23698666666666668,0.0017576183380421896,0.000786030816472508,0.23853333333333335,0.004487018312123699,0.002006655592438992,33981.67408432012,208.00810151448752,93.02405097141421,0.0,0.0,0.0,0.2999122553598,0.877051205568017,0.011106666666666667,0.000502991053598373,0.00022494443758404043,15,5,0.0,0.0,0.0,0.2374,0.004396020928066646,0.0019659603251337464,0.2404,0.008948742928478831,0.004001999500249841,14932.33029945463,197.81085539057236,88.4637038681401,0.0,0.0,0.0,0.6738351058158,0.877051205568017,0.0051199999999999996,0.0002774887385102324,0.00012409673645990868,-1.482177344909438,0.02192976550000138,0.00980728927772655,5,5
0.05,20260805,0.082952774,0.0009527733282664819,0.00042609318583051504,0.007652000000000001,0.000545453939393603,0.00024393441741582934,0.0076,0.0006621178142898742,0.00029610808837314805,1714033.4720838307,0.0,0.0,596386.2462365996,6398.158453039225,2861.34344636212,0.014361499994999999,0.29709198919007496,0.230564,0.0018063997342780917,0.000807846520076674,25,5,0.03582880839999999,0.0011434118666477106,0.0005113493320208411,0.0153,0.0001954482028569217,8.74070935336491e-05,0.015376,0.0013040245396463979,0.000583177502995443,886210.4639617896,0.0,0.0,259221.3324167632,8029.232747426738,3590.782046082717,0.019361499990999998,0.29709198919007496,0.118488,0.0017304103559560666,0.0007738630369774745,25,5,0.0501734346,0.0022067328827436953,0.000986880946799795,0.002044,0.00015126136320951235,6.764613810115108e-05,0.00184,5.656854249492387e-05,2.5298221281347064e-05,428829.04594119533,5.820766091346741e-11,2.6031257322754125e-11,188153.44583007292,6942.882761521405,3104.9515629146645,0.033111499995,0.29709198919007496,0.11212600000000002,0.0012680812276822152,0.0005671031652177643,0.8329328092244118,0.018875940875586764,0.00844157738741578,25,5,0.0,0.0,0.0,0.230196,0.0028062572939771546,0.0012549964143375057,0.23224000000000006,0.005424684322612685,0.0024259925803678723,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.29709198919007496,0.20616400000000001,0.0018888832679654947,0.0008447342777465593,25,5,0.0,0.0,0.0,0.31523199999999996,0.0020047244199639744,0.0008965400158386566,0.31296,0.0008119113252073978,0.000363097782973136,1108539.454106598,0.0,0.0,0.0,0.0,0.0,0.016861499993,0.29709198919007496,0.149852,0.0008816575298833401,0.0003942892339387401,25,5,0.0,0.0,0.0,0.00232,0.00019131126469709012,8.555699854482984e-05,0.0024000000000000002,0.0004118252056394801,0.00018417383093154144,391453.7808171505,9792.916527280076,4379.525410595885,0.0,0.0,0.0,0.035111499994600004,0.29709198919007496,0.100736,0.0009961074239257497,0.00044547278255803533,0.0264606636491893,0.018865077124318817,0.008436718970150624,25,5,0.042934973200000004,0.0012467524202700384,0.0005575646325672385,0.012208,0.0003433948165013553,0.00015357083056361938,0.012064,0.001127687900085834,0.0005043173603991832,396338.44206192746,5963.832558301651,2667.1070013577937,125757.91421953103,3707.6326909815652,1658.1037465270501,0.030294200030999995,0.38646119846475013,0.13178,0.0017980545041794528,0.0008041144197189872,25,5,0.0308996644,0.00026274799267891565,0.00011750447451633449,0.012472,0.0008288063706318855,0.00037065347698355625,0.0124,0.0009414881836751855,0.0004210463157421045,176997.29570643324,925.2966098809117,413.80522380876437,92973.92820412654,1959.288136639498,876.2202922069627,0.0624384450702,0.38646119846475013,0.058092,0.0006836080748499077,0.0003057188250664316,-2.7611307721673355,0.007931855496854934,0.0035472336157346,25,5,0.0,0.0,0.0,0.232472,0.0015985368309801187,0.0007148874037217274,0.232144,0.003660557334614506,0.0016370510071466958,350607.08336219983,4638.536434234657,2074.416556611635,0.0,0.0,0.0,0.033574225035,0.38646119846475013,0.116788,0.000512952239492144,0.00022939921534303722,25,5,0.0,0.0,0.0,0.23284,0.002120707429137746,0.0009484091943881637,0.233184,0.0035814633880580232,0.0016016791189248896,156930.76774691182,717.6029947695104,320.9218154324102,0.0,0.0,0.0,0.069654500079,0.38646119846475013,0.051992000000000003,0.0007275438131136872,0.0003253674845463215,-1.5169851030418193,0.008549424684217424,0.0038234189524849666,25,5
0.075,20260805,0.0884826028,0.0018006470078150234,0.0008052738225911974,0.012072000000000003,0.000506872765099881,0.00022668039174132337,0.011983999999999998,0.0008302288841036546,0.0003712896443479132,1954144.81701459,0.0,0.0,615710.044322478,13986.378068184898,6254.898423894724,0.013111499996,0.1738477990042141,0.271024,0.0014315306493400538,0.000640199968759755,25,5,0.034300074,0.0016454114682747305,0.0007358503788040072,0.024132000000000004,0.0008596045602484886,0.0003844268460968868,0.023936000000000002,0.0018850145888029608,0.0008430041518284468,1045129.951769945,15649.21594123848,6998.542127836519,250739.40191335967,12632.210734141276,5649.296381528483,0.018111499992,0.1738477990042141,0.13962000000000002,0.0012424974849069082,0.0005556617676248731,25,5,0.047754328000000006,0.001483746856019075,0.0006635517662920489,0.004072,0.00010639548862616266,4.758150901348108e-05,0.004176,0.000401596812736356,0.00017959955456514908,483134.1578408869,0.0,0.0,173196.64094520715,5012.543916924659,2241.6777876893193,0.028111499996,0.1738477990042141,0.12987,0.0016168951728544475,0.0007230975037987634,0.7209692929194252,0.011169601437196097,0.004995197619029963,25,5,0.0,0.0,0.0,0.23390399999999997,0.002530865464618779,0.0011318374441588357,0.234592,0.0030080425528905,0.001345237525495033,1954144.81701459,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1738477990042141,0.26924800000000004,0.0015842727037981774,0.0007085082921180228,25,5,0.0,0.0,0.0,0.318056,0.0021336541425451155,0.0009541991406409808,0.31862399999999996,0.003954703528711096,0.0017685971842112604,1453047.8055698175,0.0,0.0,0.0,0.0,0.0,0.015611499994,0.1738477990042141,0.19588,0.0012215563842901402,0.0005462966227243219,25,5,0.0,0.0,0.0,0.003884,0.00019462785001124605,8.704022058795587e-05,0.004224,0.0003853310265213534,0.0001723252738283041,483134.1578408869,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1738477990042141,0.128976,0.000602187678386067,0.0002693065168168053,0.011783262688248463,0.008266083317726651,0.0036967048412227567,25,5,0.04898989599999999,0.0025536321286837647,0.0011420190058528776,0.019888,0.0005764720288097251,0.00025780612870915246,0.018656,0.0018943283770244286,0.0008471694045466946,528451.2560838609,0.0,0.0,143367.31222762057,6541.410185478681,2925.407568687968,0.023734150023,0.18152841386285024,0.174952,0.00359275938520798,0.0016067308424250791,25,5,0.033382941199999995,0.0004185782973819825,0.000187193905370447,0.019436,0.0003550774563387532,0.00015879546593023316,0.019776000000000002,0.0008789084138862247,0.0003930597918892237,234519.78820170517,0.0,0.0,99135.78322098788,642.1459958806859,287.1764196537027,0.046694325051,0.18152841386285024,0.077596,0.0008076385330084251,0.0003611869322110092,-2.7127544117613915,0.005659181073166709,0.0025308627153161943,25,5,0.0,0.0,0.0,0.23520399999999997,0.0015938883273303541,0.0007128085296908215,0.23542400000000002,0.0018394781868780127,0.0008226396537974595,528451.2560838609,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.18152841386285024,0.17367200000000002,0.001664728206044456,0.000744489086555336,25,5,0.0,0.0,0.0,0.236284,0.0021562652898008696,0.0009643111531036057,0.23745600000000003,0.004558736667104177,0.0020387290158331538,233403.02730545122,2051.620770285545,917.5127012817918,0.0,0.0,0.0,0.0480063350526,0.18152841386285024,0.07660399999999999,0.0011574454630780666,0.0005176253471382559,-1.4887604103099874,0.017230437711699614,0.007705686001087252,25,5
0.1,20260805,0.0734640148,0.003664198756783153,0.0016386795006474698,0.020791999999999998,0.0006312844050030064,0.0002823189685444461,0.021056,0.0019186662033819225,0.000858053611378683,2034144.81707859,73029.67439244574,32659.863263236864,523933.7608391867,43192.4673196617,19316.258608540338,0.013111499996,0.16012933817874087,0.278184,0.0020974937425413233,0.0009380277181405682,25,5,0.022530682,0.0016212712126322363,0.0007250545282818392,0.039872000000000005,0.0005947436422526952,0.0002659774426525685,0.038912,0.0019079622637777737,0.0008532666640622973,1075286.1250513815,10826.837822506313,4841.9090704979835,161614.87365814357,14422.053978523778,6449.738614230092,0.017111499992800004,0.16012933817874087,0.14431599999999997,0.0010456003060443245,0.0004676066723219387,25,5,0.031878236,0.0008201996958296166,0.0003668044549999347,0.007156,0.0004524157380109581,0.00020232646885664753,0.007088000000000001,0.0011615162504244184,0.0005194458585839337,503134.1578448868,18257.418587156997,8164.965810910243,118640.35987545228,4988.368740365287,2230.866320058356,0.028111499996,0.16012933817874087,0.131966,0.001595612734970492,0.0007135797082316751,0.6004250349771134,0.0067112627046011335,0.003001367924469445,25,5,0.0,0.0,0.0,0.23677199999999998,0.001308327176206311,0.0005851017005615313,0.237616,0.00352880716390114,0.0015781305395942383,1980811.48370259,59628.47944769705,26666.666687999943,0.0,0.0,0.0,0.013111499996,0.16012933817874087,0.277952,0.0017908992154780775,0.000800914477332005,25,5,0.0,0.0,0.0,0.319724,0.001775015492890135,0.0007938110606435273,0.319152,0.0028675285526041385,0.001282397754208887,1474033.471891831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.16012933817874087,0.20473199999999997,0.0007819974424510637,0.00034971988791031164,25,5,0.0,0.0,0.0,0.007243999999999999,0.0002578371579117329,0.0001153082824431965,0.006896000000000001,0.0004322961947554016,0.00019332873557751322,509800.82451288693,14907.119852980004,6666.666667999992,0.0,0.0,0.0,0.028111499996,0.16012933817874087,0.132746,0.0006722202020171706,0.0003006260135118069,0.00430180423216917,0.004925156890313706,0.0022025971213185847,25,5,0.0333333836,0.0009170063903718444,0.0004100977249346305,0.033440000000000004,0.0005268775948927813,0.00023562682360037102,0.03408,0.0010430723848324265,0.0004664761515876252,544711.2947324362,9089.637933747079,4065.0096621438393,96927.41315896095,3651.3388977551776,1632.9283968539462,0.023734150023,0.16030238934500451,0.18140400000000004,0.0015745729579793996,0.0007041704339149714,25,5,0.022583875600000004,0.0006321154488009288,0.0002826906226293329,0.034104,0.0006221575363201858,0.0002782373087851459,0.034544,0.002186796744098549,0.0009779652345559134,243118.84710239404,1748.0072949513517,781.7326273353494,67438.54934674471,1639.3718957280992,733.1493998501453,0.046694325051,0.16030238934500451,0.080036,0.0007120954992134163,0.0003184587885425694,-2.638596654078598,0.007521762987390411,0.0033638346700893703,25,5,0.0,0.0,0.0,0.243952,0.0014553075276380711,0.0006508333119931762,0.243552,0.003859367823879954,0.0017259617608742027,548776.3043945801,5.820766091346741e-11,2.6031257322754125e-11,0.0,0.0,0.0,0.023734150023,0.16030238934500451,0.178844,0.002286718172403425,0.0010226514557756282,25,5,0.0,0.0,0.0,0.243024,0.0025438317554429706,0.0011376361456986205,0.242064,0.0033616186577302334,0.0015033615666232801,243118.84710239404,1748.0072949513517,781.7326273353494,0.0,0.0,0.0,0.046694325051,0.16030238934500451,0.081268,0.0006444532566447322,0.0002882082580357478,-1.448188408593294,0.01701114761886171,0.007607616490211693,25,5
0.15,20260805,0.0399779212,0.0033414489331404147,0.0014943413915692234,0.042648,0.0009542117165493191,0.00042673645262620766,0.04136,0.0020761502835777578,0.0009284826331170663,2087478.1504545896,0.0,0.0,289336.69823406293,30294.85284072474,13548.270064042625,0.013111499996,0.1595261969235634,0.280588,0.0018788081328331532,0.000840228540338877,25,5,0.00016815,0.00037599483041658965,0.00016815,0.079456,0.0007409993252358673,0.0003313849725017749,0.079104,0.0036046192586735156,0.0016120347390797757,1146634.6922323122,0.0,0.0,676.0964329823962,1511.7975834937688,676.0964329823962,0.016861499993,0.1595261969235634,0.151796,0.00146508702813178,0.0006552068375711614,25,5,0.00014270699999999997,0.00030140117077244406,0.00013479070126904154,0.015503999999999999,0.0002647262737243885,0.00011838918869558981,0.015536,0.0014481988813695448,0.0006476542287362911,509800.82451288693,14907.119852980004,6666.666667999992,467.5151095571056,958.4601423459604,428.6364064019384,0.028111499996,0.1595261969235634,0.132722,0.0010982121835055399,0.000491135419207372,0.3670737881699931,0.011357754474288462,0.0050793422152522775,25,5,0.0,0.0,0.0,0.24998399999999998,0.0007436934852477943,0.000332589837487561,0.24824000000000002,0.0037016752964029783,0.0016554395186777484,2087478.1504545896,0.0,0.0,0.0,0.0,0.0,0.013111499996,0.1595261969235634,0.283032,0.0018448631385552707,0.0008250478773986397,25,5,0.0,0.0,0.0,0.334016,0.0022290536108402694,0.0009968630798660408,0.333664,0.0031289103534617203,0.00139929124916866,1554033.471955831,0.0,0.0,0.0,0.0,0.0,0.014361499994999999,0.1595261969235634,0.211984,0.0011615851238716904,0.0005194766597259227,25,5,0.0,0.0,0.0,0.0153,0.0005621387729022088,0.00025139610179953113,0.014992,0.00020861447696648435,9.329523031752462e-05,516467.49118088686,0.0,0.0,0.0,0.0,0.0,0.028111499996,0.1595261969235634,0.132386,0.0013003960935038129,0.0005815548125499396,0.009393532556959964,0.007995245538928365,0.003575582504369153,25,5,0.0015674824,0.0009305108372774602,0.00041613709719052924,0.068836,0.0011752786903539143,0.0005256006088276557,0.068672,0.002495820506366594,0.0011161648623747302,548776.30439458,0.0,0.0,4648.508506824115,2862.9320856016934,1280.3421516741266,0.023734150023,0.15952618414642117,0.183232,0.0019047624523808825,0.0008518356649025718,25,5,0.0001554032,0.00016652517770955838,7.447232346476105e-05,0.06870000000000001,0.0015742934923323544,0.0007040454530781377,0.068288,0.0022066082570315897,0.0009868252124869926,246245.77761173545,0.0,0.0,450.2430139022946,472.79769324569355,211.44155634049278,0.046694325051,0.15952618414642117,0.081288,0.0008209263060713792,0.0003671294049786804,-2.429887336588333,0.00797207221797438,0.003565219080185647,25,5,0.0,0.0,0.0,0.26183999999999996,0.0012465953633798027,0.0005574943945906582,0.262768,0.002101884868397895,0.0009399914893231785,548776.30439458,0.0,0.0,0.0,0.0,0.0,0.023734150023,0.15952618414642117,0.18386,0.0013332666649999141,0.0005962549790148495,25,5,0.0,0.0,0.0,0.263472,0.0005389990723554265,0.00024104771311921227,0.26244799999999996,0.005921243112725573,0.002648060422271366,247027.5102390708,1748.0072949513612,781.7326273353538,0.0,0.0,0.0,0.046694325051,0.15952618414642117,0.08136,0.0008416650165000345,0.00037640403823551187,-1.339080336425541,0.015452996095598604,0.006910789945159463,25,5
